交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/08/09,HI1,202108  ,39,39,37.5,38,0,0.00%,139.0,38.15,1349,37.6,38.15,44.6,37.25,,一般,,
2021/08/09,HI1,202109  ,-,-,-,-,-,-,0.0,38.15,1404,37.6,38.65,43.55,35.2,,一般,,
2021/08/09,HI1,202112  ,-,-,-,-,-,-,0.0,38.05,10,-,-,40.7,39.1,,一般,,
2021/08/10,HI1,202108  ,38.25,38.3,37.6,37.65,-0.5,-1.31%,78.0,37.65,1288,37.55,37.65,44.6,37.25,,一般,,
2021/08/10,HI1,202109  ,38.15,-,-,38.15,0,0.00%,50.0,37.65,1454,37.55,37.85,43.55,35.2,,一般,,
2021/08/10,HI1,202112  ,-,-,-,-,-,-,0.0,37.55,10,-,-,40.7,39.1,,一般,,
2021/08/11,HI1,202108  ,37.8,38.8,37.8,38.65,1,2.66%,133.0,38.8,1198,38.65,38.9,44.6,37.25,,一般,,
2021/08/11,HI1,202109  ,38.5,38.65,38.5,38.65,1,2.66%,89.0,38.8,1543,38.65,39,43.55,35.2,,一般,,
2021/08/11,HI1,202112  ,-,-,-,-,-,-,0.0,38.7,10,-,-,40.7,39.1,,一般,,
2021/08/12,HI1,202108  ,39.05,40,39.05,40,1.2,3.09%,113.0,40.3,1092,40.1,40.25,44.6,37.25,,一般,,
2021/08/12,HI1,202109  ,38.8,-,-,38.8,0,0.00%,100.0,40.3,1643,40.1,40.3,43.55,35.2,,一般,,
2021/08/12,HI1,202112  ,-,-,-,-,-,-,0.0,40.2,10,-,-,40.7,39.1,,一般,,
2021/08/13,HI1,202108  ,40.15,40.15,39.7,39.7,-0.6,-1.49%,39.0,40.55,1055,39.85,40.55,44.6,37.25,,一般,,
2021/08/13,HI1,202109  ,40.3,-,-,40.3,0,0.00%,33.0,40.55,1676,39.85,40.6,43.55,35.2,,一般,,
2021/08/13,HI1,202112  ,-,-,-,-,-,-,0.0,40.45,10,-,-,40.7,39.1,,一般,,
2021/08/16,HI1,202108  ,40.55,-,-,40.55,0,0.00%,78.0,40.5,977,39.5,40.55,44.6,37.25,,一般,,
2021/08/16,HI1,202109  ,40.55,-,-,40.55,0,0.00%,78.0,40.5,1754,-,40.55,43.55,35.2,,一般,,
2021/08/16,HI1,202112  ,-,-,-,-,-,-,0.0,40.4,10,-,-,40.7,39.1,,一般,,
2021/08/17,HI1,202108  ,38.35,38.35,38.35,38.35,-2.15,-5.31%,66.0,39,912,38.35,39.6,44.6,37.25,,一般,,
2021/08/17,HI1,202109  ,40.5,-,-,40.5,0,0.00%,65.0,39.45,1819,38.05,39.6,43.55,35.2,,一般,,
2021/08/17,HI1,202112  ,-,-,-,-,-,-,0.0,38.9,10,-,-,40.7,39.1,,一般,,
2021/08/18,HI1,202108  ,39,40.2,39,40.1,1.1,2.82%,25.0,0,897,39.1,40.3,44.6,37.25,,一般,,
2021/08/18,HI1,202109  ,39.45,-,-,39.45,0,0.00%,15.0,40.4,1834,36.5,40.8,43.55,35.2,,一般,,
2021/08/18,HI1,202112  ,-,-,-,-,-,-,0.0,40.2,10,-,-,40.7,39.1,,一般,,
2021/08/19,HI1,202109  ,40.75,40.75,40.75,40.75,0.35,0.87%,3.0,40.35,1834,-,40.85,43.55,35.2,,一般,,
2021/08/19,HI1,202112  ,-,-,-,-,-,-,0.0,40.15,10,-,-,40.7,39.1,,一般,,
2021/08/20,HI1,202109  ,-,-,-,-,-,-,0.0,40.15,1834,38.5,40.9,43.55,35.2,,一般,,
2021/08/20,HI1,202112  ,-,-,-,-,-,-,0.0,40.25,10,38.5,-,40.7,39.1,,一般,,
2021/08/23,HI1,202109  ,-,-,-,-,-,-,0.0,40.35,1834,-,40.95,43.55,35.2,,一般,,
2021/08/23,HI1,202112  ,-,-,-,-,-,-,0.0,40.45,10,-,-,40.7,39.1,,一般,,
2021/08/24,HI1,202109  ,40.7,40.7,40.7,40.7,0.35,0.87%,5.0,41.1,1834,37.05,43.75,43.55,35.2,,一般,,
2021/08/24,HI1,202112  ,-,-,-,-,-,-,0.0,41.2,10,37.05,-,40.7,39.1,,一般,,
2021/08/25,HI1,202109  ,-,-,-,-,-,-,0.0,41,1834,-,-,43.55,35.2,,一般,,
2021/08/25,HI1,202112  ,-,-,-,-,-,-,0.0,41.1,10,-,-,40.7,39.1,,一般,,
2021/08/26,HI1,202109  ,40,40,40,40,-1,-2.44%,1.0,40.75,1834,39.6,45.1,43.55,35.2,,一般,,
2021/08/26,HI1,202112  ,-,-,-,-,-,-,0.0,40.85,10,39.6,-,40.7,39.1,,一般,,
2021/08/27,HI1,202109  ,-,-,-,-,-,-,0.0,41.2,1834,36.7,44.8,43.55,35.2,,一般,,
2021/08/27,HI1,202112  ,-,-,-,-,-,-,0.0,41.3,10,-,-,40.7,39.1,,一般,,
2021/08/30,HI1,202109  ,41.3,41.35,41.3,41.3,0.1,0.24%,13.0,41.85,1834,40,45.25,43.55,35.2,,一般,,
2021/08/30,HI1,202112  ,-,-,-,-,-,-,0.0,41.95,10,40,-,40.7,39.1,,一般,,
2021/08/31,HI1,202109  ,-,-,-,-,-,-,0.0,42.15,1834,39.6,46,43.55,35.2,,一般,,
2021/08/31,HI1,202112  ,-,-,-,-,-,-,0.0,42.15,10,39.6,-,40.7,39.1,,一般,,
2021/08/10,HI1,202108/202109    ,0,0,0,0,-,-,50.0,-,-,0,0.2,0.3,0,,一般,0.0,
2021/08/11,HI1,202108/202109    ,0,0,0,0,-,-,85.0,-,-,0,0.08,0.3,0,,一般,4.0,
2021/08/12,HI1,202108/202109    ,0,0,0,0,-,-,100.0,-,-,0,0.05,0.3,0,,一般,0.0,
2021/08/13,HI1,202108/202109    ,0,0,0,0,-,-,33.0,-,-,0,0.03,0.3,0,,一般,0.0,
2021/08/16,HI1,202108/202109    ,0,0,0,0,-,-,78.0,-,-,-4,0,0.3,0,,一般,0.0,
2021/08/17,HI1,202108/202109    ,0,0,-0.01,-0.01,-,-,65.0,-,-,-0.3,-0.01,0.3,-0.01,,一般,0.0,
2021/08/18,HI1,202108/202109    ,0,0,0,0,-,-,15.0,-,-,-,-,0.3,-0.01,,一般,0.0,
2021/09/01,HI1,202109  ,42.15,-,-,42.15,0,0.00%,4.0,42.45,1834,39.8,46.35,43.55,35.2,,一般,,
2021/09/01,HI1,202112  ,42.15,-,-,42.15,0,0.00%,4.0,42.45,14,-,-,40.7,39.1,,一般,,
2021/09/02,HI1,202109  ,42.45,42.45,42.45,42.45,0,0.00%,5.0,42.45,1834,39.8,46.65,43.55,35.2,,一般,,
2021/09/02,HI1,202112  ,-,-,-,-,-,-,0.0,42.45,14,-,-,40.7,39.1,,一般,,
2021/09/03,HI1,202109  ,-,-,-,-,-,-,0.0,41.8,1834,40,46.65,43.55,35.2,,一般,,
2021/09/03,HI1,202112  ,-,-,-,-,-,-,0.0,41.8,14,-,-,40.7,39.1,,一般,,
2021/09/06,HI1,202109  ,-,-,-,-,-,-,0.0,40.4,1834,37.7,45.9,43.55,35.2,,一般,,
2021/09/06,HI1,202112  ,-,-,-,-,-,-,0.0,40.4,14,-,-,40.7,39.1,,一般,,
2021/09/07,HI1,202109  ,-,-,-,-,-,-,0.0,40.7,1834,-,-,43.55,35.2,,一般,,
2021/09/07,HI1,202112  ,-,-,-,-,-,-,0.0,40.7,14,-,-,40.7,39.1,,一般,,
2021/09/08,HI1,202109  ,-,-,-,-,-,-,0.0,40.15,1834,-,-,43.55,35.2,,一般,,
2021/09/08,HI1,202112  ,-,-,-,-,-,-,0.0,40.15,14,-,-,40.7,39.1,,一般,,
2021/09/09,HI1,202109  ,-,-,-,-,-,-,0.0,40.6,1834,-,-,43.55,35.2,,一般,,
2021/09/09,HI1,202112  ,-,-,-,-,-,-,0.0,40.6,14,-,-,40.7,39.1,,一般,,
2021/09/10,HI1,202109  ,-,-,-,-,-,-,0.0,40.8,1834,-,-,43.55,35.2,,一般,,
2021/09/10,HI1,202112  ,-,-,-,-,-,-,0.0,40.8,14,-,-,40.7,39.1,,一般,,
2021/09/13,HI1,202109  ,-,-,-,-,-,-,0.0,40.65,1834,36.8,41.4,43.55,35.2,,一般,,
2021/09/13,HI1,202112  ,-,-,-,-,-,-,0.0,40.65,14,-,-,40.7,39.1,,一般,,
2021/09/14,HI1,202109  ,40.7,40.7,40.6,40.6,-0.05,-0.12%,10.0,40.6,1834,36.6,41.5,43.55,35.2,,一般,,
2021/09/14,HI1,202112  ,-,-,-,-,-,-,0.0,40.6,14,-,-,40.7,39.1,,一般,,
2021/09/15,HI1,202109  ,-,-,-,-,-,-,0.0,0,1834,36.55,40.55,43.55,35.2,,一般,,
2021/09/15,HI1,202112  ,-,-,-,-,-,-,0.0,40.65,14,-,-,40.7,39.1,,一般,,
2021/09/16,HI1,202112  ,-,-,-,-,-,-,0.0,40.3,14,-,44.7,40.7,39.1,,一般,,
2021/09/17,HI1,202112  ,-,-,-,-,-,-,0.0,39.85,14,-,-,40.7,39.1,,一般,,
2021/09/22,HI1,202112  ,-,-,-,-,-,-,0.0,38.95,14,-,-,40.7,39.1,,一般,,
2021/09/23,HI1,202112  ,-,-,-,-,-,-,0.0,39.1,14,35.1,42.8,40.7,39.1,,一般,,
2021/09/24,HI1,202112  ,-,-,-,-,-,-,0.0,39.05,14,-,-,40.7,39.1,,一般,,
2021/09/27,HI1,202112  ,-,-,-,-,-,-,0.0,38.7,14,-,-,40.7,39.1,,一般,,
2021/09/28,HI1,202112  ,-,-,-,-,-,-,0.0,39.2,14,-,42.55,40.7,39.1,,一般,,
2021/09/29,HI1,202112  ,-,-,-,-,-,-,0.0,38.9,14,-,43.05,40.7,39.1,,一般,,
2021/09/30,HI1,202112  ,-,-,-,-,-,-,0.0,39.4,14,-,42.75,40.7,39.1,,一般,,
2021/09/01,HI1,202109/202112    ,0,0,0,0,-,-,4.0,-,-,-,-,0,0,,一般,0.0,
2021/10/01,HI1,202112  ,-,-,-,-,-,-,0.0,38.7,14,-,43.3,40.7,39.1,,一般,,
2021/10/04,HI1,202112  ,-,-,-,-,-,-,0.0,38.65,14,-,-,40.7,39.1,,一般,,
2021/10/05,HI1,202112  ,-,-,-,-,-,-,0.0,38.9,14,-,-,40.7,39.1,,一般,,
2021/10/06,HI1,202112  ,-,-,-,-,-,-,0.0,38.3,14,-,42.75,40.7,39.1,,一般,,
2021/10/07,HI1,202112  ,-,-,-,-,-,-,0.0,38.95,14,38.7,-,40.7,39.1,,一般,,
2021/10/08,HI1,202112  ,-,-,-,-,-,-,0.0,38.9,14,-,-,40.7,39.1,,一般,,
2021/10/12,HI1,202112  ,-,-,-,-,-,-,0.0,38.6,14,-,-,40.7,39.1,,一般,,
2021/10/13,HI1,202112  ,-,-,-,-,-,-,0.0,38.3,14,-,-,40.7,39.1,,一般,,
2021/10/14,HI1,202112  ,-,-,-,-,-,-,0.0,38.3,14,-,42.1,40.7,39.1,,一般,,
2021/10/15,HI1,202112  ,-,-,-,-,-,-,0.0,38.35,14,-,42.1,40.7,39.1,,一般,,
2021/10/18,HI1,202112  ,-,-,-,-,-,-,0.0,38.7,14,-,-,40.7,39.1,,一般,,
2021/10/19,HI1,202112  ,-,-,-,-,-,-,0.0,38.55,14,-,-,40.7,39.1,,一般,,
2021/10/20,HI1,202112  ,-,-,-,-,-,-,0.0,38.4,14,-,-,40.7,39.1,,一般,,
2021/10/21,HI1,202112  ,-,-,-,-,-,-,0.0,38.25,14,-,42.2,40.7,39.1,,一般,,
2021/10/22,HI1,202112  ,-,-,-,-,-,-,0.0,38.25,14,-,-,40.7,39.1,,一般,,
2021/10/25,HI1,202112  ,-,-,-,-,-,-,0.0,38.15,14,-,-,40.7,39.1,,一般,,
2021/10/26,HI1,202112  ,-,-,-,-,-,-,0.0,38.1,14,-,41.95,40.7,39.1,,一般,,
2021/10/27,HI1,202112  ,-,-,-,-,-,-,0.0,38.3,14,-,-,40.7,39.1,,一般,,
2021/10/28,HI1,202112  ,-,-,-,-,-,-,0.0,38.35,14,-,42.1,40.7,39.1,,一般,,
2021/10/29,HI1,202112  ,-,-,-,-,-,-,0.0,38.2,14,-,42.15,40.7,39.1,,一般,,
2021/11/01,HI1,202112  ,-,-,-,-,-,-,0.0,38.15,14,38.15,-,40.7,39.1,,一般,,
2021/11/02,HI1,202112  ,-,-,-,-,-,-,0.0,37.6,14,-,-,40.7,39.1,,一般,,
2021/11/03,HI1,202112  ,-,-,-,-,-,-,0.0,37.6,14,-,-,40.7,39.1,,一般,,
2021/11/04,HI1,202112  ,-,-,-,-,-,-,0.0,38.75,14,-,-,40.7,39.1,,一般,,
2021/11/05,HI1,202112  ,-,-,-,-,-,-,0.0,38.6,14,34.9,42.6,40.7,39.1,,一般,,
2021/11/08,HI1,202112  ,-,-,-,-,-,-,0.0,38.8,14,38.7,41.95,40.7,39.1,,一般,,
2021/11/09,HI1,202112  ,-,-,-,-,-,-,0.0,38.75,14,-,42.6,40.7,39.1,,一般,,
2021/11/10,HI1,202112  ,-,-,-,-,-,-,0.0,39.2,14,-,-,40.7,39.1,,一般,,
2021/11/11,HI1,202112  ,-,-,-,-,-,-,0.0,38.5,14,-,-,40.7,39.1,,一般,,
2021/11/12,HI1,202112  ,-,-,-,-,-,-,0.0,38.7,14,34.7,42.3,40.7,39.1,,一般,,
2021/11/15,HI1,202112  ,-,-,-,-,-,-,0.0,38.75,14,34.85,42.55,40.7,39.1,,一般,,
2021/11/16,HI1,202112  ,-,-,-,-,-,-,0.0,38.45,14,-,-,40.7,39.1,,一般,,
2021/11/17,HI1,202112  ,-,-,-,-,-,-,0.0,38.55,14,34.7,-,40.7,39.1,,一般,,
2021/11/18,HI1,202112  ,-,-,-,-,-,-,0.0,38.3,14,34.75,42.4,40.7,39.1,,一般,,
2021/11/19,HI1,202112  ,-,-,-,-,-,-,0.0,38.5,14,-,-,40.7,39.1,,一般,,
2021/11/22,HI1,202112  ,-,-,-,-,-,-,0.0,38.45,14,-,-,40.7,39.1,,一般,,
2021/11/23,HI1,202112  ,-,-,-,-,-,-,0.0,38.1,14,-,-,40.7,39.1,,一般,,
2021/11/24,HI1,202112  ,-,-,-,-,-,-,0.0,38.6,14,-,-,40.7,39.1,,一般,,
2021/11/25,HI1,202112  ,-,-,-,-,-,-,0.0,38.2,14,-,-,40.7,39.1,,一般,,
2021/11/26,HI1,202112  ,-,-,-,-,-,-,0.0,38,14,-,-,40.7,39.1,,一般,,
2021/11/29,HI1,202112  ,-,-,-,-,-,-,0.0,37.8,14,-,41.75,40.7,39.1,,一般,,
2021/11/30,HI1,202112  ,-,-,-,-,-,-,0.0,38.2,14,34.1,41.5,40.7,39.1,,一般,,
2021/12/01,HI1,202112  ,-,-,-,-,-,-,0.0,38.45,14,34.95,42,40.7,39.1,,一般,,
