交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HIF,201501,27.6,27.6,27.3,27.45,-0.3,-1.08%,33,27.45,461,26.9,27.55,30.45,25.3,,
2015/1/5,HIF,201502,27.45,27.45,27.3,27.4,-0.25,-0.90%,13,27.4,252,27,27.65,28.75,27.3,,
2015/1/5,HIF,201503,-,-,-,-,-,-,-,27.6,54,-,-,31.8,22,,
2015/1/5,HIF,201506,-,-,-,-,-,-,-,27.7,45,-,-,30.15,21.7,,
2015/1/5,HIF,201509,-,-,-,-,-,-,-,27.2,0,-,-,29.7,23.05,,
2015/1/6,HIF,201501,27.05,27.1,26.8,26.9,-0.55,-2.00%,35,26.9,458,26.8,27.3,30.45,25.3,,
2015/1/6,HIF,201502,27.1,27.1,26.95,27,-0.4,-1.46%,6,27.0,248,26.75,27.25,28.75,26.95,,
2015/1/6,HIF,201503,-,-,-,-,-,-,-,27.05,54,-,-,31.8,22,,
2015/1/6,HIF,201506,-,-,-,-,-,-,-,27.15,45,-,-,30.15,21.7,,
2015/1/6,HIF,201509,-,-,-,-,-,-,-,26.65,0,-,-,29.7,23.05,,
2015/1/7,HIF,201501,-,-,-,-,-,-,-,26.9,458,26.7,27.05,30.45,25.3,,
2015/1/7,HIF,201502,26.9,26.9,26.9,26.9,-0.1,-0.37%,20,26.9,268,26.65,27.15,28.75,26.9,,
2015/1/7,HIF,201503,-,-,-,-,-,-,-,27.05,54,-,-,31.8,22,,
2015/1/7,HIF,201506,-,-,-,-,-,-,-,27.15,45,-,-,30.15,21.7,,
2015/1/7,HIF,201509,-,-,-,-,-,-,-,26.65,0,-,-,29.7,23.05,,
2015/1/8,HIF,201501,27.25,27.35,27.25,27.25,0.35,1.30%,38,27.25,440,27.1,27.5,30.45,25.3,,
2015/1/8,HIF,201502,27.2,27.4,27.2,27.3,0.4,1.49%,30,27.3,257,27.2,27.6,28.75,26.9,,
2015/1/8,HIF,201503,-,-,-,-,-,-,-,27.4,54,-,-,31.8,22,,
2015/1/8,HIF,201506,-,-,-,-,-,-,-,27.5,45,-,-,30.15,21.7,,
2015/1/8,HIF,201509,-,-,-,-,-,-,-,27.0,0,-,-,29.7,23.05,,
2015/1/9,HIF,201501,27.25,27.3,27.15,27.3,0.05,0.18%,99,27.3,417,27.2,27.5,30.45,25.3,,
2015/1/9,HIF,201502,27.25,27.3,27.15,27.3,0,0.00%,44,27.3,238,27.3,27.6,28.75,26.9,,
2015/1/9,HIF,201503,-,-,-,-,-,-,-,27.45,54,-,-,31.8,22,,
2015/1/9,HIF,201506,-,-,-,-,-,-,-,27.55,45,-,-,30.15,21.7,,
2015/1/9,HIF,201509,-,-,-,-,-,-,-,27.05,0,-,-,29.7,23.05,,
2015/1/12,HIF,201501,27.9,29.2,27.9,28.85,1.55,5.68%,407,28.85,190,28.8,28.9,30.45,25.3,,
2015/1/12,HIF,201502,28.3,29.1,28.25,28.8,1.5,5.49%,233,28.8,118,28.75,28.85,29.1,26.9,,
2015/1/12,HIF,201503,28.45,28.45,28.45,28.45,1,3.64%,1,28.45,53,-,-,31.8,22,,
2015/1/12,HIF,201506,28.5,28.5,28.5,28.5,0.95,3.45%,1,28.5,44,-,-,30.15,21.7,,
2015/1/12,HIF,201509,-,-,-,-,-,-,-,28.6,0,-,-,29.7,23.05,,
2015/1/13,HIF,201501,28.85,28.85,28.4,28.4,-0.45,-1.56%,169,28.4,201,28.5,28.55,30.45,25.3,,
2015/1/13,HIF,201502,28.75,28.85,28.4,28.5,-0.3,-1.04%,100,28.5,90,28.45,28.6,29.1,26.9,,
2015/1/13,HIF,201503,-,-,-,-,-,-,-,28.0,53,-,29,31.8,22,,
2015/1/13,HIF,201506,-,-,-,-,-,-,-,28.05,44,28.6,29,30.15,21.7,,
2015/1/13,HIF,201509,-,-,-,-,-,-,-,28.15,0,-,-,29.7,23.05,,
2015/1/14,HIF,201501,28.6,28.75,28.2,28.6,0.2,0.70%,239,28.6,161,28.35,28.7,30.45,25.3,,
2015/1/14,HIF,201502,28.35,28.6,28.25,28.55,0.05,0.18%,140,28.6,114,28.4,28.75,29.1,26.9,,
2015/1/14,HIF,201503,-,-,-,-,-,-,-,28.2,53,-,-,31.8,22,,
2015/1/14,HIF,201506,28.6,28.6,28.6,28.6,0.55,1.96%,2,28.6,46,-,28.75,30.15,21.7,,
2015/1/14,HIF,201509,-,-,-,-,-,-,-,28.35,0,-,-,29.7,23.05,,
