交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HNF,201501,17.55,17.6,17.2,17.4,-0.4,-2.25%,342,17.4,217,17.55,17.7,21.3,17.2,,
2015/1/5,HNF,201502,17.65,17.65,17.25,17.35,-0.5,-2.80%,349,17.35,73,17.5,17.75,18.15,17.25,,
2015/1/5,HNF,201503,-,-,-,-,-,-,-,17.55,0,-,17.5,21.5,18.35,,
2015/1/5,HNF,201506,-,-,-,-,-,-,-,17.55,30,-,-,21.5,15.55,,
2015/1/5,HNF,201509,-,-,-,-,-,-,-,17.65,7,-,19.3,21.65,17.8,,
2015/1/6,HNF,201501,17.3,17.3,17.15,17.3,-0.1,-0.57%,117,17.3,214,16.4,17.35,21.3,17.15,,
2015/1/6,HNF,201502,17.25,17.35,17.2,17.25,-0.1,-0.58%,270,17.25,114,16.4,17.4,18.15,17.2,,
2015/1/6,HNF,201503,-,-,-,-,-,-,-,17.45,0,-,-,21.5,18.35,,
2015/1/6,HNF,201506,-,-,-,-,-,-,-,17.45,30,-,-,21.5,15.55,,
2015/1/6,HNF,201509,-,-,-,-,-,-,-,17.55,7,-,-,21.65,17.8,,
2015/1/7,HNF,201501,17.15,17.15,16.9,16.9,-0.4,-2.31%,119,16.9,231,16.45,17.2,21.3,16.9,,
2015/1/7,HNF,201502,17.3,17.3,16.95,16.95,-0.3,-1.74%,85,16.95,179,16.45,17.25,18.15,16.95,,
2015/1/7,HNF,201503,-,-,-,-,-,-,-,17.05,0,-,-,21.5,18.35,,
2015/1/7,HNF,201506,-,-,-,-,-,-,-,17.05,30,-,-,21.5,15.55,,
2015/1/7,HNF,201509,-,-,-,-,-,-,-,17.15,7,-,-,21.65,17.8,,
2015/1/8,HNF,201501,17.05,17.35,17.05,17.15,0.25,1.48%,134,17.15,223,17.1,17.2,21.3,16.9,,
2015/1/8,HNF,201502,17.1,17.35,17.1,17.2,0.25,1.47%,80,17.2,157,17.1,17.2,18.15,16.95,,
2015/1/8,HNF,201503,-,-,-,-,-,-,-,17.3,0,-,-,21.5,18.35,,
2015/1/8,HNF,201506,-,-,-,-,-,-,-,17.3,30,-,-,21.5,15.55,,
2015/1/8,HNF,201509,-,-,-,-,-,-,-,17.4,7,-,-,21.65,17.8,,
2015/1/9,HNF,201501,17.1,17.1,17.05,17.1,-0.05,-0.29%,68,17.1,212,17.05,17.3,21.3,16.9,,
2015/1/9,HNF,201502,17.25,17.25,17.05,17.15,-0.05,-0.29%,80,17.15,169,17,17.25,18.15,16.95,,
2015/1/9,HNF,201503,-,-,-,-,-,-,-,17.25,0,-,-,21.5,18.35,,
2015/1/9,HNF,201506,-,-,-,-,-,-,-,17.25,30,-,-,21.5,15.55,,
2015/1/9,HNF,201509,-,-,-,-,-,-,-,17.35,7,-,-,21.65,17.8,,
2015/1/12,HNF,201501,17.1,17.2,17.05,17.1,0,0.00%,203,17.1,244,15.95,17.25,21.3,16.9,,
2015/1/12,HNF,201502,17.1,17.15,17.05,17.05,-0.1,-0.58%,308,17.05,130,16.05,17.2,18.15,16.95,,
2015/1/12,HNF,201503,-,-,-,-,-,-,-,17.1,0,-,-,21.5,18.35,,
2015/1/12,HNF,201506,-,-,-,-,-,-,-,17.25,30,-,-,21.5,15.55,,
2015/1/12,HNF,201509,-,-,-,-,-,-,-,17.35,7,-,-,21.65,17.8,,
2015/1/13,HNF,201501,17,17.05,16.95,17,-0.1,-0.58%,58,17.0,242,-,17.9,21.3,16.9,,
2015/1/13,HNF,201502,17,17,16.9,17,-0.05,-0.29%,68,17.0,130,-,17.85,18.15,16.9,,
2015/1/13,HNF,201503,-,-,-,-,-,-,-,17.0,0,-,17.45,21.5,18.35,,
2015/1/13,HNF,201506,-,-,-,-,-,-,-,17.15,30,-,-,21.5,15.55,,
2015/1/13,HNF,201509,-,-,-,-,-,-,-,17.25,7,-,-,21.65,17.8,,
2015/1/14,HNF,201501,17.1,17.1,17,17.05,0.05,0.29%,62,17.05,240,16,17.2,21.3,16.9,,
2015/1/14,HNF,201502,17,17.05,16.4,16.4,-0.6,-3.53%,178,17.05,78,16.05,17.15,18.15,16.4,,
2015/1/14,HNF,201503,-,-,-,-,-,-,-,17.05,0,-,-,21.5,18.35,,
2015/1/14,HNF,201506,-,-,-,-,-,-,-,17.2,30,-,-,21.5,15.55,,
2015/1/14,HNF,201509,-,-,-,-,-,-,-,17.3,7,-,-,21.65,17.8,,
2015/1/15,HNF,201501,17,17,16.2,16.7,-0.35,-2.05%,263,16.7,194,16.4,16.85,21.3,16.2,,
2015/1/15,HNF,201502,16.95,16.95,16.2,16.75,-0.3,-1.76%,380,16.75,172,16.4,16.75,18.15,16.2,,
2015/1/15,HNF,201503,-,-,-,-,-,-,-,16.7,0,-,-,21.5,18.35,,
2015/1/15,HNF,201506,-,-,-,-,-,-,-,16.85,30,-,-,21.5,15.55,,
2015/1/15,HNF,201509,-,-,-,-,-,-,-,16.95,7,-,-,21.65,17.8,,
2015/1/16,HNF,201501,16.45,16.45,16.1,16.25,-0.45,-2.69%,207,16.25,206,-,16.45,21.3,16.1,,
2015/1/16,HNF,201502,16.3,16.3,16.05,16.1,-0.65,-3.88%,194,16.1,165,-,16.45,18.15,16.05,,
2015/1/16,HNF,201503,16.2,16.2,16.2,16.2,-0.5,-2.99%,10,16.2,10,-,17.45,21.5,16.2,,
2015/1/16,HNF,201506,-,-,-,-,-,-,-,16.4,30,16.2,-,21.5,15.55,,
2015/1/16,HNF,201509,-,-,-,-,-,-,-,16.5,7,-,-,21.65,17.8,,
2015/1/19,HNF,201501,16.15,16.15,15.2,15.2,-1.05,-6.46%,261,15.2,183,-,15.15,21.3,15.2,,
2015/1/19,HNF,201502,15.75,15.75,15,15.05,-1.05,-6.52%,374,15.05,102,-,15.05,18.15,15,,
