交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HOF,201501,57.2,57.8,57.2,57.7,0.4,0.70%,17,57.7,102,56.7,57.8,64.5,49.75,,
2015/1/5,HOF,201502,57.4,57.7,57.4,57.7,1.1,1.94%,6,57.7,20,56.8,57.9,60.5,56.6,,
2015/1/5,HOF,201503,-,-,-,-,-,-,-,58.3,12,-,-,74,50.3,,
2015/1/5,HOF,201506,-,-,-,-,-,-,-,57.7,3,-,-,50.3,50.1,,
2015/1/5,HOF,201509,-,-,-,-,-,-,-,57.2,0,-,-,-,-,,
2015/1/6,HOF,201501,56.9,56.9,55.5,55.8,-1.9,-3.29%,16,55.8,97,55.9,56.6,64.5,49.75,,
2015/1/6,HOF,201502,56.6,56.6,55.6,55.6,-2.1,-3.64%,11,56.2,24,55.8,56.5,60.5,55.6,,
2015/1/6,HOF,201503,-,-,-,-,-,-,-,56.4,12,-,-,74,50.3,,
2015/1/6,HOF,201506,-,-,-,-,-,-,-,55.8,3,-,-,50.3,50.1,,
2015/1/6,HOF,201509,-,-,-,-,-,-,-,56.3,0,-,-,-,-,,
2015/1/7,HOF,201501,55.7,55.7,55,55.5,-0.3,-0.54%,22,55.5,92,55.7,58.3,64.5,49.75,,
2015/1/7,HOF,201502,54.9,55.8,54.9,55.8,-0.4,-0.71%,10,55.8,21,55.5,58.4,60.5,54.9,,
2015/1/7,HOF,201503,-,-,-,-,-,-,-,56.1,12,-,-,74,50.3,,
2015/1/7,HOF,201506,-,-,-,-,-,-,-,55.5,3,-,-,50.3,50.1,,
2015/1/7,HOF,201509,-,-,-,-,-,-,-,56.0,0,-,-,-,-,,
2015/1/8,HOF,201501,56.1,56.5,55.9,55.9,0.4,0.72%,12,55.9,91,55.6,56,64.5,49.75,,
2015/1/8,HOF,201502,55.9,56.2,55.6,55.6,-0.2,-0.36%,6,55.6,20,55.6,55.8,60.5,54.9,,
2015/1/8,HOF,201503,-,-,-,-,-,-,-,56.5,12,-,-,74,50.3,,
2015/1/8,HOF,201506,-,-,-,-,-,-,-,55.9,3,-,-,50.3,50.1,,
2015/1/8,HOF,201509,-,-,-,-,-,-,-,56.4,0,-,-,-,-,,
2015/1/9,HOF,201501,56,57.5,56,57.5,1.6,2.86%,22,57.5,86,56.6,57.8,64.5,49.75,,
2015/1/9,HOF,201502,56.1,57.8,56.1,57.8,2.2,3.96%,17,57.8,14,56.7,57.6,60.5,54.9,,
2015/1/9,HOF,201503,-,-,-,-,-,-,-,58.1,12,-,-,74,50.3,,
2015/1/9,HOF,201506,-,-,-,-,-,-,-,57.5,3,-,-,50.3,50.1,,
2015/1/9,HOF,201509,-,-,-,-,-,-,-,58.0,0,-,-,-,-,,
2015/1/12,HOF,201501,57.1,58.4,57.1,58.1,0.6,1.04%,17,58.1,89,56.4,58.6,64.5,49.75,,
2015/1/12,HOF,201502,57,58.6,57,58.2,0.4,0.69%,11,58.2,21,56.5,58.4,60.5,54.9,,
2015/1/12,HOF,201503,-,-,-,-,-,-,-,58.7,12,-,-,74,50.3,,
2015/1/12,HOF,201506,-,-,-,-,-,-,-,58.1,3,-,-,50.3,50.1,,
2015/1/12,HOF,201509,-,-,-,-,-,-,-,58.6,0,-,-,-,-,,
2015/1/13,HOF,201501,57.9,58.1,57.9,58,-0.1,-0.17%,14,58.0,89,57.8,58.9,64.5,49.75,,
2015/1/13,HOF,201502,57.5,58.2,57.5,58.1,-0.1,-0.17%,6,58.1,23,57.7,58.8,60.5,54.9,,
2015/1/13,HOF,201503,-,-,-,-,-,-,-,58.6,12,-,-,74,50.3,,
2015/1/13,HOF,201506,-,-,-,-,-,-,-,58.0,3,-,-,50.3,50.1,,
2015/1/13,HOF,201509,-,-,-,-,-,-,-,58.5,0,-,-,-,-,,
2015/1/14,HOF,201501,58.4,58.4,58.4,58.4,0.4,0.69%,4,58.4,89,58.1,58.7,64.5,49.75,,
2015/1/14,HOF,201502,58.3,58.7,58.3,58.7,0.6,1.03%,6,58.7,23,58.1,58.7,60.5,54.9,,
2015/1/14,HOF,201503,-,-,-,-,-,-,-,59.0,12,-,-,74,50.3,,
2015/1/14,HOF,201506,-,-,-,-,-,-,-,58.4,3,-,-,50.3,50.1,,
2015/1/14,HOF,201509,-,-,-,-,-,-,-,58.9,0,-,-,-,-,,
2015/1/15,HOF,201501,59.5,60,59.1,60,1.6,2.74%,21,60.0,78,59.7,60.3,64.5,49.75,,
2015/1/15,HOF,201502,59,60.1,59,60,1.3,2.21%,8,60.0,17,59.7,60.2,60.5,54.9,,
2015/1/15,HOF,201503,-,-,-,-,-,-,-,60.6,12,-,-,74,50.3,,
2015/1/15,HOF,201506,-,-,-,-,-,-,-,60.0,3,-,-,50.3,50.1,,
2015/1/15,HOF,201509,-,-,-,-,-,-,-,60.5,0,-,-,-,-,,
2015/1/16,HOF,201501,59.1,60.1,59.1,60.1,0.1,0.17%,21,60.1,71,59.4,60.3,64.5,49.75,,
2015/1/16,HOF,201502,59.3,60,59.2,60,0,0.00%,14,60.0,11,59.4,61.4,60.5,54.9,,
2015/1/16,HOF,201503,-,-,-,-,-,-,-,60.7,12,-,-,74,50.3,,
2015/1/16,HOF,201506,-,-,-,-,-,-,-,60.1,3,-,-,50.3,50.1,,
2015/1/16,HOF,201509,-,-,-,-,-,-,-,60.6,0,-,-,-,-,,
2015/1/19,HOF,201501,59.9,59.9,58.7,58.8,-1.3,-2.16%,13,58.8,67,58.8,60,64.5,49.75,,
2015/1/19,HOF,201502,59.9,59.9,58.7,58.9,-1.1,-1.83%,17,58.9,22,58.8,61.1,60.5,54.9,,
2015/1/19,HOF,201503,58.9,58.9,58.9,58.9,-1.8,-2.97%,2,58.9,12,-,-,74,50.3,,
2015/1/19,HOF,201506,-,-,-,-,-,-,-,58.8,3,-,-,50.3,50.1,,
2015/1/19,HOF,201509,-,-,-,-,-,-,-,59.3,0,-,-,-,-,,
2015/1/20,HOF,201501,59.6,60.5,59.6,60.4,1.6,2.72%,15,60.4,68,59.6,60.5,64.5,49.75,,
2015/1/20,HOF,201502,60.4,60.4,59.7,59.9,1,1.70%,16,59.9,27,59.7,60.5,60.5,54.9,,
2015/1/20,HOF,201503,-,-,-,-,-,-,-,60.5,12,-,-,74,50.3,,
2015/1/20,HOF,201506,-,-,-,-,-,-,-,60.4,3,-,-,50.3,50.1,,
2015/1/20,HOF,201509,-,-,-,-,-,-,-,60.3,0,-,-,-,-,,
2015/1/21,HOF,201501,59.5,59.5,59.5,59.5,-0.9,-1.49%,1,0.0,68,59.5,-,64.5,49.75,,
2015/1/21,HOF,201502,59.8,59.8,59.3,59.7,-0.2,-0.33%,16,59.7,35,59.4,59.9,60.5,54.9,,
2015/1/21,HOF,201503,-,-,-,-,-,-,-,59.6,12,59.4,60.3,74,50.3,,
2015/1/21,HOF,201506,-,-,-,-,-,-,-,59.5,3,-,-,50.3,50.1,,
2015/1/21,HOF,201509,-,-,-,-,-,-,-,59.4,0,-,-,-,-,,
2015/1/22,HOF,201502,60.4,60.4,59.9,59.9,0.2,0.34%,16,59.9,37,59.9,61.4,60.5,54.9,,
2015/1/22,HOF,201503,-,-,-,-,-,-,-,59.8,12,59.9,60.8,74,50.3,,
2015/1/22,HOF,201506,-,-,-,-,-,-,-,59.7,3,-,-,50.3,50.1,,
2015/1/22,HOF,201509,-,-,-,-,-,-,-,59.6,0,-,-,-,-,,
2015/1/22,HOF,201512,-,-,-,-,-,-,-,60.5,0,-,-,-,-,,
2015/1/23,HOF,201502,59.9,59.9,59.8,59.8,-0.1,-0.17%,7,59.8,39,59.3,62.9,60.5,54.9,,
2015/1/23,HOF,201503,-,-,-,-,-,-,-,59.7,12,59.4,63.5,74,50.3,,
2015/1/23,HOF,201506,-,-,-,-,-,-,-,59.6,3,-,-,50.3,50.1,,
2015/1/23,HOF,201509,-,-,-,-,-,-,-,59.5,0,-,-,-,-,,
2015/1/23,HOF,201512,-,-,-,-,-,-,-,60.4,0,-,-,-,-,,
2015/1/26,HOF,201502,58.6,58.9,58.6,58.8,-1,-1.67%,5,58.8,38,57.5,59.6,60.5,54.9,,
2015/1/26,HOF,201503,58.7,58.7,58.6,58.6,-1.1,-1.84%,6,58.6,17,58.1,59,74,50.3,,
2015/1/26,HOF,201506,-,-,-,-,-,-,-,58.6,3,-,-,50.3,50.1,,
2015/1/26,HOF,201509,-,-,-,-,-,-,-,58.5,0,-,-,-,-,,
2015/1/26,HOF,201512,-,-,-,-,-,-,-,59.4,0,-,-,-,-,,
2015/1/27,HOF,201502,58.7,59,58.7,59,0.2,0.34%,5,59.0,34,58,59.5,60.5,54.9,,
2015/1/27,HOF,201503,59.1,59.1,59.1,59.1,0.5,0.85%,1,59.1,17,58.6,59.5,74,50.3,,
2015/1/27,HOF,201506,-,-,-,-,-,-,-,58.8,3,-,-,50.3,50.1,,
2015/1/27,HOF,201509,-,-,-,-,-,-,-,58.7,0,-,-,-,-,,
2015/1/27,HOF,201512,-,-,-,-,-,-,-,59.6,0,-,-,-,-,,
2015/1/28,HOF,201502,59.4,59.4,59.4,59.4,0.4,0.68%,4,59.4,32,58.8,60.3,60.5,54.9,,
2015/1/28,HOF,201503,59,59,59,59,-0.1,-0.17%,4,59.0,21,59,59.7,74,50.3,,
2015/1/28,HOF,201506,-,-,-,-,-,-,-,59.2,3,-,-,50.3,50.1,,
2015/1/28,HOF,201509,-,-,-,-,-,-,-,59.1,0,-,-,-,-,,
