交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/04/27,HQF,202205  ,27.5,29.6,27.5,28.95,0.5,1.76%,96.0,28.95,45,28.7,-,29.6,27.5,,一般,,
2022/04/27,HQF,202206  ,29.05,29.05,28.95,28.95,0.55,1.94%,2.0,28.95,0,28.55,-,29.05,28.95,,一般,,
2022/04/27,HQF,202209  ,29.7,29.7,29.7,29.7,1.2,4.21%,1.0,29,1,-,-,29.7,29.7,,一般,,
2022/04/27,HQF,202212  ,29.5,29.5,29.4,29.4,0.8,2.80%,2.0,29.1,2,-,-,29.5,29.4,,一般,,
2022/04/27,HQF,202303  ,-,-,-,-,-,-,0.0,29.1,0,-,-,-,-,,一般,,
2022/04/28,HQF,202205  ,28.95,28.95,27.95,28.35,-0.6,-2.07%,62.0,28.35,82,28.2,28.95,29.6,27.5,,一般,,
2022/04/28,HQF,202206  ,-,-,-,-,-,-,0.0,28.35,0,28.05,28.95,29.05,28.95,,一般,,
2022/04/28,HQF,202209  ,-,-,-,-,-,-,0.0,28.4,1,-,-,29.7,29.7,,一般,,
2022/04/28,HQF,202212  ,28.5,28.5,28.5,28.5,-0.6,-2.06%,1.0,28.5,3,-,-,29.5,28.5,,一般,,
2022/04/28,HQF,202303  ,-,-,-,-,-,-,0.0,28.5,0,-,-,-,-,,一般,,
2022/04/29,HQF,202205  ,28.4,30.7,28.4,30.1,1.75,6.17%,410.0,30.15,177,29.9,30.15,30.7,27.5,,一般,,
2022/04/29,HQF,202206  ,29.55,30.35,29.55,30.3,1.95,6.88%,3.0,30.3,1,29.75,30.15,30.35,28.95,,一般,,
2022/04/29,HQF,202209  ,-,-,-,-,-,-,0.0,30.2,1,-,-,29.7,29.7,,一般,,
2022/04/29,HQF,202212  ,-,-,-,-,-,-,0.0,30.3,3,-,-,29.5,28.5,,一般,,
2022/04/29,HQF,202303  ,-,-,-,-,-,-,0.0,30.3,0,-,-,-,-,,一般,,
2022/04/27,HQF,202205/202206    ,-,-,-,-,-,-,0.0,-,-,-0.11,0.01,-,-,,一般,2.0,
2022/04/29,HQF,202205/202206    ,-,-,-,-,-,-,0.0,-,-,-0.11,-0.01,-,-,,一般,2.0,
2022/05/03,HQF,202205  ,30.25,30.3,28.85,29.6,-0.55,-1.82%,233.0,29.6,131,29.5,29.65,30.7,27.5,,一般,,
2022/05/03,HQF,202206  ,29.1,29.6,29.1,29.6,-0.7,-2.31%,2.0,29.6,2,29.35,29.65,30.35,28.95,,一般,,
2022/05/03,HQF,202209  ,-,-,-,-,-,-,0.0,29.65,1,-,30.5,29.7,29.7,,一般,,
2022/05/03,HQF,202212  ,-,-,-,-,-,-,0.0,29.75,3,-,-,29.5,28.5,,一般,,
2022/05/03,HQF,202303  ,-,-,-,-,-,-,0.0,29.75,0,-,-,-,-,,一般,,
2022/05/04,HQF,202205  ,29.75,31.75,29.75,30.35,0.75,2.53%,343.0,30.35,176,30.3,30.4,31.75,27.5,,一般,,
2022/05/04,HQF,202206  ,30.25,31.05,30.25,30.75,1.15,3.89%,3.0,30.3,4,30.15,30.4,31.05,28.95,,一般,,
2022/05/04,HQF,202209  ,-,-,-,-,-,-,0.0,30.4,1,-,-,29.7,29.7,,一般,,
2022/05/04,HQF,202212  ,-,-,-,-,-,-,0.0,30.5,3,-,-,29.5,28.5,,一般,,
2022/05/04,HQF,202303  ,-,-,-,-,-,-,0.0,30.5,0,-,-,-,-,,一般,,
2022/05/05,HQF,202205  ,31.05,31.2,29.75,30.55,0.2,0.66%,193.0,30.55,184,30.5,30.6,31.75,27.5,,一般,,
2022/05/05,HQF,202206  ,30.45,30.5,30,30,-0.3,-0.99%,14.0,30.5,18,30.35,30.6,31.05,28.95,,一般,,
2022/05/05,HQF,202209  ,-,-,-,-,-,-,0.0,30.6,1,29.6,31.4,29.7,29.7,,一般,,
2022/05/05,HQF,202212  ,-,-,-,-,-,-,0.0,30.7,3,-,31.4,29.5,28.5,,一般,,
2022/05/05,HQF,202303  ,-,-,-,-,-,-,0.0,30.7,0,-,31.4,-,-,,一般,,
2022/05/06,HQF,202205  ,30.35,30.4,29.2,30.15,-0.4,-1.31%,213.0,30.15,192,30.15,30.35,31.75,27.5,,一般,,
2022/05/06,HQF,202206  ,29.2,30.25,29.2,30.05,-0.45,-1.48%,17.0,30.05,30,30.05,30.3,31.05,28.95,,一般,,
2022/05/06,HQF,202209  ,-,-,-,-,-,-,0.0,30.2,1,29.5,31.15,29.7,29.7,,一般,,
2022/05/06,HQF,202212  ,-,-,-,-,-,-,0.0,30.3,3,-,31.05,29.5,28.5,,一般,,
2022/05/06,HQF,202303  ,-,-,-,-,-,-,0.0,30.3,0,-,31.05,-,-,,一般,,
2022/05/09,HQF,202205  ,30.5,30.6,29.2,29.4,-0.75,-2.49%,104.0,29.4,149,29.3,29.75,31.75,27.5,,一般,,
2022/05/09,HQF,202206  ,29.5,29.5,29.2,29.2,-0.85,-2.83%,2.0,29.3,30,29.2,29.7,31.05,28.95,,一般,,
2022/05/09,HQF,202209  ,-,-,-,-,-,-,0.0,29.45,1,29,30.55,29.7,29.7,,一般,,
2022/05/09,HQF,202212  ,-,-,-,-,-,-,0.0,29.55,3,28.5,30.45,29.5,28.5,,一般,,
2022/05/09,HQF,202303  ,-,-,-,-,-,-,0.0,29.55,0,-,30.45,-,-,,一般,,
2022/05/10,HQF,202205  ,28.8,30.4,28.8,29.1,-0.3,-1.02%,147.0,29.1,158,29.15,29.55,31.75,27.5,,一般,,
2022/05/10,HQF,202206  ,29.8,30,29.15,29.15,-0.15,-0.51%,17.0,29.15,41,29.05,29.55,31.05,28.95,,一般,,
2022/05/10,HQF,202209  ,-,-,-,-,-,-,0.0,29.15,1,28.25,30.35,29.7,29.7,,一般,,
2022/05/10,HQF,202212  ,-,-,-,-,-,-,0.0,29.25,3,-,30.25,29.5,28.5,,一般,,
2022/05/10,HQF,202303  ,-,-,-,-,-,-,0.0,29.25,0,-,30.25,-,-,,一般,,
2022/05/11,HQF,202205  ,28.75,28.95,27.6,27.8,-1.3,-4.47%,143.0,27.8,155,27.45,27.8,31.75,27.5,,一般,,
2022/05/11,HQF,202206  ,27.75,28,27.7,28,-1.15,-3.95%,13.0,27.8,47,27.35,27.8,31.05,27.7,,一般,,
2022/05/11,HQF,202209  ,-,-,-,-,-,-,0.0,27.85,1,26.55,28.6,29.7,29.7,,一般,,
2022/05/11,HQF,202212  ,-,-,-,-,-,-,0.0,27.95,3,-,28.5,29.5,28.5,,一般,,
