交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HRF,201501,18.55,18.9,18.55,18.8,0.35,1.90%,38,18.8,37,18.5,18.9,18.9,17.65,,
2015/1/5,HRF,201502,18.55,18.85,18.55,18.75,0.3,1.63%,53,18.75,24,18.5,18.95,18.85,17.85,,
2015/1/5,HRF,201503,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
2015/1/5,HRF,201506,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
2015/1/5,HRF,201509,-,-,-,-,-,-,-,19.1,0,-,-,-,-,,
2015/1/6,HRF,201501,18.6,18.6,18.5,18.5,-0.3,-1.60%,74,18.5,37,18.45,18.55,18.9,17.65,,
2015/1/6,HRF,201502,18.65,18.65,18.5,18.5,-0.25,-1.33%,70,18.5,24,18.25,18.7,18.85,17.85,,
2015/1/6,HRF,201503,-,-,-,-,-,-,-,18.6,0,-,-,-,-,,
2015/1/6,HRF,201506,-,-,-,-,-,-,-,18.6,0,-,-,-,-,,
2015/1/6,HRF,201509,-,-,-,-,-,-,-,18.8,0,-,-,-,-,,
2015/1/7,HRF,201501,18.75,18.9,18.7,18.8,0.3,1.62%,10,18.8,41,18.4,18.85,18.9,17.65,,
2015/1/7,HRF,201502,18.75,18.8,18.7,18.7,0.2,1.08%,19,18.7,18,18.4,18.85,18.85,17.85,,
2015/1/7,HRF,201503,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
2015/1/7,HRF,201506,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
2015/1/7,HRF,201509,-,-,-,-,-,-,-,19.1,0,-,-,-,-,,
2015/1/8,HRF,201501,18.75,18.75,18.75,18.75,-0.05,-0.27%,2,18.75,39,17.9,18.7,18.9,17.65,,
2015/1/8,HRF,201502,-,-,-,-,-,-,-,18.65,18,18.45,18.95,18.85,17.85,,
2015/1/8,HRF,201503,-,-,-,-,-,-,-,18.85,0,-,-,-,-,,
2015/1/8,HRF,201506,-,-,-,-,-,-,-,18.85,0,-,-,-,-,,
2015/1/8,HRF,201509,-,-,-,-,-,-,-,19.05,0,-,-,-,-,,
2015/1/9,HRF,201501,18.95,19.25,18.95,19.15,0.4,2.13%,71,19.15,39,18.85,19.25,19.25,17.65,,
2015/1/9,HRF,201502,18.7,19.25,18.7,19.2,0.55,2.95%,52,19.2,30,19,19.35,19.25,17.85,,
2015/1/9,HRF,201503,19.3,19.3,19.3,19.3,0.45,2.39%,5,19.3,5,-,-,19.3,19.3,,
2015/1/9,HRF,201506,-,-,-,-,-,-,-,19.25,0,-,-,-,-,,
2015/1/9,HRF,201509,-,-,-,-,-,-,-,19.45,0,-,-,-,-,,
2015/1/12,HRF,201501,19.7,19.7,19.25,19.25,0.1,0.52%,33,19.25,29,19.05,19.35,19.7,17.65,,
2015/1/12,HRF,201502,19.65,19.75,19.3,19.3,0.1,0.52%,40,19.3,39,19.2,19.9,19.75,17.85,,
2015/1/12,HRF,201503,-,-,-,-,-,-,-,19.4,5,-,20.3,19.3,19.3,,
2015/1/12,HRF,201506,-,-,-,-,-,-,-,19.35,0,-,-,-,-,,
2015/1/12,HRF,201509,-,-,-,-,-,-,-,19.55,0,-,-,-,-,,
2015/1/13,HRF,201501,19.6,20,19.5,19.5,0.25,1.30%,35,19.5,23,19.5,19.8,20,17.65,,
2015/1/13,HRF,201502,19.65,19.95,19.65,19.65,0.35,1.81%,19,19.65,35,19.5,20.15,19.95,17.85,,
2015/1/13,HRF,201503,-,-,-,-,-,-,-,19.65,5,-,20.55,19.3,19.3,,
2015/1/13,HRF,201506,-,-,-,-,-,-,-,19.6,0,-,-,-,-,,
2015/1/13,HRF,201509,-,-,-,-,-,-,-,19.8,0,-,-,-,-,,
2015/1/14,HRF,201501,19.5,19.5,19.35,19.35,-0.15,-0.77%,98,19.35,19,19.1,19.85,20,17.65,,
2015/1/14,HRF,201502,19.5,19.5,19.4,19.4,-0.25,-1.27%,50,19.4,59,19.1,19.55,19.95,17.85,,
2015/1/14,HRF,201503,-,-,-,-,-,-,-,19.5,5,-,20.65,19.3,19.3,,
2015/1/14,HRF,201506,-,-,-,-,-,-,-,19.45,0,-,-,-,-,,
2015/1/14,HRF,201509,-,-,-,-,-,-,-,19.65,0,-,-,-,-,,
2015/1/15,HRF,201501,19.6,19.75,19.5,19.5,0.15,0.78%,30,19.5,35,19.15,19.65,20,17.65,,
2015/1/15,HRF,201502,19.4,19.75,19.4,19.55,0.15,0.77%,52,19.55,46,19.2,19.65,19.95,17.85,,
2015/1/15,HRF,201503,-,-,-,-,-,-,-,19.65,5,-,20.5,19.3,19.3,,
2015/1/15,HRF,201506,-,-,-,-,-,-,-,19.6,0,-,-,-,-,,
2015/1/15,HRF,201509,-,-,-,-,-,-,-,19.8,0,-,-,-,-,,
2015/1/16,HRF,201501,19.45,19.5,18.95,19.1,-0.4,-2.05%,142,19.1,97,19,19.2,20,17.65,,
2015/1/16,HRF,201502,19.4,19.45,19.1,19.15,-0.4,-2.05%,70,19.15,46,18.7,19.45,19.95,17.85,,
2015/1/16,HRF,201503,-,-,-,-,-,-,-,19.25,5,-,20.65,19.3,19.3,,
2015/1/16,HRF,201506,-,-,-,-,-,-,-,19.2,0,-,-,-,-,,
2015/1/16,HRF,201509,-,-,-,-,-,-,-,19.4,0,-,-,-,-,,
2015/1/19,HRF,201501,19.1,19.1,18.75,18.8,-0.3,-1.57%,101,18.8,24,18.55,19,20,17.65,,
2015/1/19,HRF,201502,18.9,18.95,18.8,18.8,-0.35,-1.83%,53,18.8,20,18.55,19.2,19.95,17.85,,
2015/1/19,HRF,201503,-,-,-,-,-,-,-,18.95,5,-,20.3,19.3,19.3,,
2015/1/19,HRF,201506,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
2015/1/19,HRF,201509,-,-,-,-,-,-,-,19.1,0,-,-,-,-,,
2015/1/20,HRF,201501,18.9,18.95,18.9,18.95,0.15,0.80%,6,18.95,25,18.75,19.15,20,17.65,,
2015/1/20,HRF,201502,18.95,18.95,18.9,18.9,0.1,0.53%,6,18.9,24,18.75,19.2,19.95,17.85,,
2015/1/20,HRF,201503,-,-,-,-,-,-,-,19.1,5,-,-,19.3,19.3,,
2015/1/20,HRF,201506,-,-,-,-,-,-,-,19.05,0,-,-,-,-,,
2015/1/20,HRF,201509,-,-,-,-,-,-,-,19.25,0,-,-,-,-,,
2015/1/21,HRF,201501,18.8,18.8,18.8,18.8,-0.15,-0.79%,1,0.0,24,-,-,20,17.65,,
2015/1/21,HRF,201502,19.05,19.05,19,19,0.1,0.53%,6,19.0,29,18.8,19.45,19.95,17.85,,
2015/1/21,HRF,201503,-,-,-,-,-,-,-,18.95,5,18.65,20.25,19.3,19.3,,
2015/1/21,HRF,201506,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
