交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/12/05,HS2,201812  ,15.55,15.65,15.55,15.65,0.1,0.64%,15.0,15.65,77,15.55,15.65,15.85,13.8,,一般,,
2018/12/06,HS2,201812  ,15.45,15.45,15.35,15.4,-0.25,-1.60%,7.0,15.45,83,15.4,15.5,15.85,13.8,,一般,,
2018/12/07,HS2,201812  ,15.55,15.55,15.55,15.55,0.1,0.65%,1.0,15.65,84,15.6,15.7,15.85,13.8,,一般,,
2018/12/10,HS2,201812  ,15.55,15.55,15.55,15.55,-0.1,-0.64%,5.0,15.45,89,15.5,15.7,15.85,13.8,,一般,,
2018/12/11,HS2,201812  ,-,-,-,-,-,-,0.0,15.6,89,15.6,15.7,15.85,13.8,,一般,,
2018/12/12,HS2,201812  ,-,-,-,-,-,-,0.0,15.6,89,15.6,15.75,15.85,13.8,,一般,,
2018/12/13,HS2,201812  ,15.7,15.7,15.7,15.7,0.1,0.64%,1.0,15.7,90,15.7,15.9,15.85,13.8,,一般,,
2018/12/14,HS2,201812  ,15.6,15.6,15.6,15.6,-0.1,-0.64%,9.0,15.65,91,15.65,15.75,15.85,13.8,,一般,,
2018/12/17,HS2,201812  ,16.05,16.05,16.05,16.05,0.4,2.56%,7.0,16.1,98,16.05,16.15,16.05,13.8,,一般,,
2018/12/18,HS2,201812  ,16.05,16.05,15.9,15.9,-0.2,-1.24%,27.0,15.85,112,15.85,15.95,16.05,13.8,,一般,,
2018/12/19,HS2,201812  ,16.25,16.25,16.2,16.2,0.35,2.21%,8.0,0,102,16.15,16.2,16.25,13.8,,一般,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/09/05,HS2,201909  ,13.55,13.8,13.55,13.8,0.35,2.60%,62.0,13.8,199,13.7,13.85,15.4,13.55,,一般,,
2019/09/06,HS2,201909  ,-,-,-,-,-,-,0.0,13.75,199,13.65,13.8,15.4,13.55,,一般,,
2019/09/09,HS2,201909  ,13.7,13.7,13.7,13.7,-0.05,-0.36%,3.0,13.7,199,13.55,13.8,15.4,13.55,,一般,,
2019/09/10,HS2,201909  ,-,-,-,-,-,-,0.0,13.75,199,13.65,13.8,15.4,13.55,,一般,,
2019/09/11,HS2,201909  ,13.8,13.8,13.8,13.8,0.05,0.36%,5.0,13.9,199,13.8,13.95,15.4,13.55,,一般,,
2019/09/12,HS2,201909  ,-,-,-,-,-,-,0.0,13.95,199,13.85,14,15.4,13.55,,一般,,
2019/09/16,HS2,201909  ,13.8,13.8,13.8,13.8,-0.15,-1.08%,2.0,13.9,201,13.85,14,15.4,13.55,,一般,,
2019/09/17,HS2,201909  ,13.85,13.85,13.8,13.8,-0.1,-0.72%,17.0,13.85,215,13.75,13.9,15.4,13.55,,一般,,
2019/09/18,HS2,201909  ,13.85,13.9,13.85,13.85,0,0.00%,50.0,0,263,13.8,13.9,15.4,13.55,,一般,,
