交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HUF,201503,-,-,-,-,-,-,-,328.5,1,-,-,329,312.5,,
2015/1/5,HUF,201506,-,-,-,-,-,-,-,327.5,1,-,332,330,311.5,,
2015/1/5,HUF,201509,-,-,-,-,-,-,-,332.5,0,-,-,-,-,,
2015/1/6,HUF,201503,329,329,329,329,0.5,0.15%,1,322.5,1,321,324,329,312.5,,
2015/1/6,HUF,201506,-,-,-,-,-,-,-,321.5,1,320,323,330,311.5,,
2015/1/6,HUF,201509,-,-,-,-,-,-,-,326.5,0,-,-,-,-,,
2015/1/7,HUF,201503,320,320,320,320,-2.5,-0.78%,1,320.0,0,321.5,324.5,329,312.5,,
2015/1/7,HUF,201506,-,-,-,-,-,-,-,322.5,1,321,324,330,311.5,,
2015/1/7,HUF,201509,-,-,-,-,-,-,-,324.0,0,-,-,-,-,,
2015/1/8,HUF,201503,-,-,-,-,-,-,-,322.5,0,321,324,329,312.5,,
2015/1/8,HUF,201506,-,-,-,-,-,-,-,322.0,1,320.5,323.5,330,311.5,,
2015/1/8,HUF,201509,-,-,-,-,-,-,-,323.5,0,-,-,-,-,,
2015/1/9,HUF,201503,-,-,-,-,-,-,-,323.0,0,-,-,329,312.5,,
2015/1/9,HUF,201506,-,-,-,-,-,-,-,322.5,1,-,-,330,311.5,,
2015/1/9,HUF,201509,-,-,-,-,-,-,-,324.0,0,-,-,-,-,,
2015/1/12,HUF,201503,-,-,-,-,-,-,-,326.0,0,324,326,329,312.5,,
2015/1/12,HUF,201506,-,-,-,-,-,-,-,325.5,1,323.5,325.5,330,311.5,,
2015/1/12,HUF,201509,-,-,-,-,-,-,-,327.0,0,-,-,-,-,,
2015/1/13,HUF,201503,-,-,-,-,-,-,-,326.0,0,324,326,329,312.5,,
2015/1/13,HUF,201506,-,-,-,-,-,-,-,325.5,1,323.5,325.5,330,311.5,,
2015/1/13,HUF,201509,-,-,-,-,-,-,-,327.0,0,-,-,-,-,,
2015/1/14,HUF,201503,-,-,-,-,-,-,-,322.0,0,321,323,329,312.5,,
2015/1/14,HUF,201506,-,-,-,-,-,-,-,321.5,1,320.5,322.5,330,311.5,,
2015/1/14,HUF,201509,-,-,-,-,-,-,-,323.0,0,-,-,-,-,,
2015/1/15,HUF,201503,-,-,-,-,-,-,-,320.5,0,320,322,329,312.5,,
2015/1/15,HUF,201506,-,-,-,-,-,-,-,320.0,1,319.5,321.5,330,311.5,,
2015/1/15,HUF,201509,-,-,-,-,-,-,-,321.5,0,-,-,-,-,,
2015/1/16,HUF,201503,-,-,-,-,-,-,-,318.5,0,-,-,329,312.5,,
2015/1/16,HUF,201506,-,-,-,-,-,-,-,318.0,1,-,-,330,311.5,,
2015/1/16,HUF,201509,-,-,-,-,-,-,-,319.5,0,-,-,-,-,,
2015/1/19,HUF,201503,-,-,-,-,-,-,-,318.5,0,-,-,329,312.5,,
2015/1/19,HUF,201506,-,-,-,-,-,-,-,318.0,1,-,-,330,311.5,,
2015/1/19,HUF,201509,-,-,-,-,-,-,-,319.5,0,-,-,-,-,,
2015/1/20,HUF,201503,-,-,-,-,-,-,-,321.0,0,-,-,329,312.5,,
2015/1/20,HUF,201506,-,-,-,-,-,-,-,320.5,1,-,-,330,311.5,,
2015/1/20,HUF,201509,-,-,-,-,-,-,-,322.0,0,-,-,-,-,,
2015/1/21,HUF,201503,-,-,-,-,-,-,-,322.5,0,320.5,323.5,329,312.5,,
2015/1/21,HUF,201506,-,-,-,-,-,-,-,322.0,1,-,-,330,311.5,,
2015/1/21,HUF,201509,-,-,-,-,-,-,-,323.5,0,-,-,-,-,,
2015/1/22,HUF,201503,322.5,324.5,322.5,324,1.5,0.47%,6,324.0,5,322,326,329,312.5,,
2015/1/22,HUF,201506,-,-,-,-,-,-,-,322.5,1,-,-,330,311.5,,
2015/1/22,HUF,201509,-,-,-,-,-,-,-,324.0,0,-,-,-,-,,
2015/1/23,HUF,201503,-,-,-,-,-,-,-,324.0,5,-,325.5,329,312.5,,
2015/1/23,HUF,201506,-,-,-,-,-,-,-,322.5,1,-,-,330,311.5,,
2015/1/23,HUF,201509,-,-,-,-,-,-,-,324.0,0,-,-,-,-,,
2015/1/26,HUF,201503,-,-,-,-,-,-,-,326.0,5,321.5,324,329,312.5,,
2015/1/26,HUF,201506,-,-,-,-,-,-,-,324.5,1,-,-,330,311.5,,
2015/1/26,HUF,201509,-,-,-,-,-,-,-,326.0,0,-,-,-,-,,
2015/1/27,HUF,201503,-,-,-,-,-,-,-,322.5,5,320.5,324,329,312.5,,
2015/1/27,HUF,201506,-,-,-,-,-,-,-,321.0,1,-,-,330,311.5,,
2015/1/27,HUF,201509,-,-,-,-,-,-,-,322.5,0,-,-,-,-,,
2015/1/28,HUF,201503,319.5,322,319.5,322,-0.5,-0.16%,2,322.0,5,319,322.5,329,312.5,,
2015/1/28,HUF,201506,-,-,-,-,-,-,-,320.0,1,-,-,330,311.5,,
2015/1/28,HUF,201509,-,-,-,-,-,-,-,321.5,0,-,-,-,-,,
2015/1/29,HUF,201503,-,-,-,-,-,-,-,322.0,5,320,323.5,329,312.5,,
2015/1/29,HUF,201506,-,-,-,-,-,-,-,320.0,1,-,-,330,311.5,,
2015/1/29,HUF,201509,-,-,-,-,-,-,-,321.5,0,-,-,-,-,,
2015/1/30,HUF,201503,-,-,-,-,-,-,-,319.5,5,319,-,329,312.5,,
2015/1/30,HUF,201506,-,-,-,-,-,-,-,317.5,1,-,-,330,311.5,,
2015/1/30,HUF,201509,-,-,-,-,-,-,-,319.0,0,-,-,-,-,,
2015/2/2,HUF,201503,322,322,321,321,1.5,0.47%,2,321.0,6,-,324.5,329,312.5,,
2015/2/2,HUF,201506,-,-,-,-,-,-,-,320.0,1,-,322.5,330,311.5,,
2015/2/2,HUF,201509,-,-,-,-,-,-,-,321.5,0,-,-,-,-,,
2015/2/3,HUF,201503,-,-,-,-,-,-,-,319.5,6,320,322,329,312.5,,
2015/2/3,HUF,201506,-,-,-,-,-,-,-,318.5,1,319.5,322,330,311.5,,
2015/2/3,HUF,201509,-,-,-,-,-,-,-,320.0,0,-,-,-,-,,
2015/2/4,HUF,201503,-,-,-,-,-,-,-,321.0,6,320.5,322.5,329,312.5,,
2015/2/4,HUF,201506,-,-,-,-,-,-,-,320.0,1,320,322.5,330,311.5,,
2015/2/4,HUF,201509,-,-,-,-,-,-,-,321.5,0,-,-,-,-,,
2015/2/5,HUF,201503,-,-,-,-,-,-,-,319.0,6,319.5,322.5,329,312.5,,
2015/2/5,HUF,201506,-,-,-,-,-,-,-,318.0,1,-,-,330,311.5,,
2015/2/5,HUF,201509,-,-,-,-,-,-,-,319.5,0,-,-,-,-,,
2015/2/6,HUF,201503,-,-,-,-,-,-,-,321.0,6,319.5,322,329,312.5,,
2015/2/6,HUF,201506,-,-,-,-,-,-,-,320.0,1,319.5,322,330,311.5,,
2015/2/6,HUF,201509,-,-,-,-,-,-,-,321.5,0,-,-,-,-,,
2015/2/9,HUF,201503,322.5,322.5,322.5,322.5,1.5,0.47%,1,322.0,6,320.5,323.5,329,312.5,,
2015/2/9,HUF,201506,-,-,-,-,-,-,-,321.0,1,-,-,330,311.5,,
2015/2/9,HUF,201509,-,-,-,-,-,-,-,322.5,0,-,-,-,-,,
2015/2/10,HUF,201503,-,-,-,-,-,-,-,321.5,6,320,323,329,312.5,,
2015/2/10,HUF,201506,-,-,-,-,-,-,-,320.5,1,-,-,330,311.5,,
2015/2/10,HUF,201509,-,-,-,-,-,-,-,322.0,0,-,-,-,-,,
2015/2/11,HUF,201503,319,319,318.5,318.5,-3,-0.93%,3,318.5,8,317.5,319,329,312.5,,
2015/2/11,HUF,201506,-,-,-,-,-,-,-,317.5,1,-,-,330,311.5,,
2015/2/11,HUF,201509,-,-,-,-,-,-,-,319.0,0,-,-,-,-,,
2015/2/12,HUF,201503,318.5,319,318.5,319,0.5,0.16%,4,319.0,11,316.5,318,329,312.5,,
2015/2/12,HUF,201506,-,-,-,-,-,-,-,318.0,1,-,-,330,311.5,,
2015/2/12,HUF,201509,-,-,-,-,-,-,-,319.0,0,-,-,-,-,,
2015/2/13,HUF,201503,-,-,-,-,-,-,-,318.5,11,316,-,329,312.5,,
2015/2/13,HUF,201506,-,-,-,-,-,-,-,317.5,1,-,-,330,311.5,,
2015/2/13,HUF,201509,-,-,-,-,-,-,-,318.5,0,-,-,-,-,,
2015/2/24,HUF,201503,-,-,-,-,-,-,-,319.5,11,318,-,329,312.5,,
2015/2/24,HUF,201506,-,-,-,-,-,-,-,318.5,1,-,-,330,311.5,,
2015/2/24,HUF,201509,-,-,-,-,-,-,-,319.5,0,-,-,-,-,,
2015/2/25,HUF,201503,-,-,-,-,-,-,-,321.5,11,318,-,329,312.5,,
2015/2/25,HUF,201506,-,-,-,-,-,-,-,320.5,1,-,-,330,311.5,,
2015/2/25,HUF,201509,-,-,-,-,-,-,-,321.5,0,-,-,-,-,,
2015/2/26,HUF,201503,-,-,-,-,-,-,-,328.5,11,322.5,327.5,329,312.5,,
2015/2/26,HUF,201506,-,-,-,-,-,-,-,327.5,1,-,-,330,311.5,,
2015/2/26,HUF,201509,-,-,-,-,-,-,-,328.5,0,-,-,-,-,,
2015/3/2,HUF,201503,-,-,-,-,-,-,-,329.0,11,326.5,329.5,329,312.5,,
2015/3/2,HUF,201506,-,-,-,-,-,-,-,328.0,1,-,-,330,311.5,,
2015/3/2,HUF,201509,-,-,-,-,-,-,-,329.0,0,-,-,-,-,,
2015/3/3,HUF,201503,328,328,327,327,-2,-0.61%,2,327.0,9,326.5,-,329,312.5,,
2015/3/3,HUF,201506,-,-,-,-,-,-,-,326.0,1,-,-,330,311.5,,
2015/3/3,HUF,201509,-,-,-,-,-,-,-,327.0,0,-,-,-,-,,
2015/3/4,HUF,201503,326,326,326,326,-1,-0.31%,1,326.0,8,324,327.5,329,312.5,,
2015/3/4,HUF,201506,-,-,-,-,-,-,-,325.0,1,-,-,330,311.5,,
2015/3/4,HUF,201509,-,-,-,-,-,-,-,326.0,0,-,-,-,-,,
2015/3/5,HUF,201503,-,-,-,-,-,-,-,328.5,8,324,327.5,329,312.5,,
2015/3/5,HUF,201506,-,-,-,-,-,-,-,327.5,1,-,-,330,311.5,,
2015/3/5,HUF,201509,-,-,-,-,-,-,-,328.5,0,-,-,-,-,,
2015/3/6,HUF,201503,-,-,-,-,-,-,-,328.5,8,326,329.5,329,312.5,,
2015/3/6,HUF,201506,325,325,325,325,-2.5,-0.76%,1,327.5,1,305,-,330,311.5,,
2015/3/6,HUF,201509,-,-,-,-,-,-,-,328.5,0,-,-,-,-,,
2015/3/9,HUF,201503,-,-,-,-,-,-,-,329.0,8,-,329.5,329,312.5,,
