交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,IA1,201503,-,-,-,-,-,-,-,9.17,718,-,-,9.74,8.92,,
2015/1/5,IA1,201506,-,-,-,-,-,-,-,9.17,411,-,-,9.79,9.51,,
2015/1/6,IA1,201503,9.05,9.05,9.03,9.03,-0.14,-1.53%,296,9.03,422,8.55,-,9.74,8.92,,
2015/1/6,IA1,201506,9.05,9.05,9.04,9.04,-0.13,-1.42%,104,9.04,307,8.55,-,9.79,9.04,,
2015/1/7,IA1,201503,-,-,-,-,-,-,-,9.01,422,-,-,9.74,8.92,,
2015/1/7,IA1,201506,-,-,-,-,-,-,-,9.01,307,-,-,9.79,9.04,,
2015/1/8,IA1,201503,-,-,-,-,-,-,-,9.11,422,-,-,9.74,8.92,,
2015/1/8,IA1,201506,-,-,-,-,-,-,-,9.11,307,-,-,9.79,9.04,,
2015/1/9,IA1,201503,-,-,-,-,-,-,-,9.11,422,-,-,9.74,8.92,,
2015/1/9,IA1,201506,-,-,-,-,-,-,-,9.11,307,-,-,9.79,9.04,,
2015/1/12,IA1,201503,-,-,-,-,-,-,-,9.12,422,-,-,9.74,8.92,,
2015/1/12,IA1,201506,-,-,-,-,-,-,-,9.12,307,-,-,9.79,9.04,,
2015/1/13,IA1,201503,-,-,-,-,-,-,-,9.17,422,-,-,9.74,8.92,,
2015/1/13,IA1,201506,-,-,-,-,-,-,-,9.17,307,-,-,9.79,9.04,,
2015/1/14,IA1,201503,-,-,-,-,-,-,-,9.22,422,-,-,9.74,8.92,,
2015/1/14,IA1,201506,-,-,-,-,-,-,-,9.22,307,-,-,9.79,9.04,,
2015/1/15,IA1,201503,-,-,-,-,-,-,-,9.18,422,-,-,9.74,8.92,,
2015/1/15,IA1,201506,-,-,-,-,-,-,-,9.18,307,-,-,9.79,9.04,,
2015/1/16,IA1,201503,-,-,-,-,-,-,-,9.07,422,-,-,9.74,8.92,,
2015/1/16,IA1,201506,-,-,-,-,-,-,-,9.07,307,-,-,9.79,9.04,,
2015/1/19,IA1,201503,-,-,-,-,-,-,-,9.09,422,-,-,9.74,8.92,,
2015/1/19,IA1,201506,-,-,-,-,-,-,-,9.09,307,-,-,9.79,9.04,,
