交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,IC1,201503,-,-,-,-,-,-,-,10.45,10,-,-,10.3,9.7,,
2015/1/6,IC1,201503,-,-,-,-,-,-,-,10.3,10,-,-,10.3,9.7,,
2015/1/7,IC1,201503,-,-,-,-,-,-,-,10.3,10,-,-,10.3,9.7,,
2015/1/8,IC1,201503,-,-,-,-,-,-,-,10.4,10,-,-,10.3,9.7,,
2015/1/9,IC1,201503,-,-,-,-,-,-,-,10.4,10,-,-,10.3,9.7,,
2015/1/12,IC1,201503,-,-,-,-,-,-,-,10.75,10,-,-,10.3,9.7,,
2015/1/13,IC1,201503,-,-,-,-,-,-,-,10.6,10,-,-,10.3,9.7,,
2015/1/14,IC1,201503,-,-,-,-,-,-,-,10.6,10,-,-,10.3,9.7,,
2015/1/15,IC1,201503,-,-,-,-,-,-,-,10.55,10,-,-,10.3,9.7,,
2015/1/16,IC1,201503,-,-,-,-,-,-,-,10.45,10,-,-,10.3,9.7,,
2015/1/19,IC1,201503,-,-,-,-,-,-,-,10.5,10,-,-,10.3,9.7,,
2015/1/20,IC1,201503,-,-,-,-,-,-,-,10.5,10,-,-,10.3,9.7,,
2015/1/21,IC1,201503,-,-,-,-,-,-,-,10.4,10,10.25,-,10.3,9.7,,
2015/1/22,IC1,201503,-,-,-,-,-,-,-,10.55,10,10.35,10.8,10.3,9.7,,
2015/1/23,IC1,201503,-,-,-,-,-,-,-,10.65,10,10.45,10.85,10.3,9.7,,
2015/1/26,IC1,201503,-,-,-,-,-,-,-,10.65,10,10.45,10.85,10.3,9.7,,
2015/1/27,IC1,201503,-,-,-,-,-,-,-,10.6,10,10.45,10.85,10.3,9.7,,
2015/1/28,IC1,201503,-,-,-,-,-,-,-,10.65,10,10.45,10.85,10.3,9.7,,
2015/1/29,IC1,201503,-,-,-,-,-,-,-,10.6,10,10.35,10.75,10.3,9.7,,
2015/1/30,IC1,201503,-,-,-,-,-,-,-,10.6,10,10.4,10.8,10.3,9.7,,
2015/2/2,IC1,201503,-,-,-,-,-,-,-,10.65,10,-,10.8,10.3,9.7,,
2015/2/3,IC1,201503,10.55,10.55,10.5,10.55,-0.1,-0.94%,15,10.55,14,-,10.8,10.55,9.7,,
2015/2/4,IC1,201503,10.6,10.6,10.55,10.55,0,0.00%,15,10.55,10,10.4,-,10.6,9.7,,
2015/2/5,IC1,201503,-,-,-,-,-,-,-,10.55,10,10.4,10.85,10.6,9.7,,
2015/2/6,IC1,201503,-,-,-,-,-,-,-,10.55,10,10.4,10.8,10.6,9.7,,
2015/2/9,IC1,201503,-,-,-,-,-,-,-,10.55,10,10.4,10.8,10.6,9.7,,
2015/2/10,IC1,201503,-,-,-,-,-,-,-,10.5,10,10.35,-,10.6,9.7,,
2015/2/11,IC1,201503,-,-,-,-,-,-,-,10.45,10,10.3,10.7,10.6,9.7,,
2015/2/12,IC1,201503,-,-,-,-,-,-,-,10.5,10,-,10.7,10.6,9.7,,
2015/2/13,IC1,201503,-,-,-,-,-,-,-,10.5,10,10.25,10.65,10.6,9.7,,
2015/2/24,IC1,201503,-,-,-,-,-,-,-,10.55,10,10.35,10.75,10.6,9.7,,
2015/2/25,IC1,201503,-,-,-,-,-,-,-,10.55,10,10.4,10.8,10.6,9.7,,
2015/2/26,IC1,201503,-,-,-,-,-,-,-,10.6,10,10.4,10.8,10.6,9.7,,
2015/3/2,IC1,201503,10.55,10.55,10.55,10.55,-0.05,-0.47%,2,10.55,10,10.4,10.8,10.6,9.7,,
2015/3/3,IC1,201503,10.5,10.5,10.5,10.5,-0.05,-0.47%,1,10.5,10,10.3,10.7,10.6,9.7,,
2015/3/4,IC1,201503,10.5,10.5,10.5,10.5,0,0.00%,10,10.5,17,10.25,10.65,10.6,9.7,,
2015/3/5,IC1,201503,-,-,-,-,-,-,-,10.4,17,10.2,10.6,10.6,9.7,,
2015/3/6,IC1,201503,-,-,-,-,-,-,-,10.4,17,10.25,10.65,10.6,9.7,,
2015/3/9,IC1,201503,-,-,-,-,-,-,-,10.4,17,-,10.55,10.6,9.7,,
2015/3/10,IC1,201503,-,-,-,-,-,-,-,10.4,17,10.15,10.55,10.6,9.7,,
2015/3/11,IC1,201503,10.4,10.4,10.35,10.35,-0.05,-0.48%,20,10.35,17,10.1,10.5,10.6,9.7,,
2015/3/12,IC1,201503,-,-,-,-,-,-,-,10.4,17,10.2,10.6,10.6,9.7,,
2015/3/13,IC1,201503,10.45,10.45,10.4,10.4,0,0.00%,20,10.4,17,10.2,10.6,10.6,9.7,,
2015/3/16,IC1,201503,-,-,-,-,-,-,-,10.4,17,10.2,10.6,10.6,9.7,,
2015/3/17,IC1,201503,10.4,10.4,10.4,10.4,0,0.00%,11,10.4,15,10.2,10.4,10.6,9.7,,
2015/3/18,IC1,201503,10.4,10.4,10.4,10.4,0,0.00%,10,0.0,15,-,-,10.6,9.7,,
2015/8/13,IC1,201508,12.15,12.45,12.1,12.25,0.6,5.15%,32,12.45,411,12.2,12.8,13.1,10.65,,
2015/8/13,IC1,201509,12.1,12.35,12.1,12.35,0.65,5.56%,10,12.35,377,12.2,12.5,13.1,11.2,,
2015/8/13,IC1,201603,-,-,-,-,-,-,-,12.55,1458,-,-,12.8,12.8,,
2015/8/14,IC1,201508,-,-,-,-,-,-,-,13.65,411,13.65,-,13.1,10.65,,
2015/8/14,IC1,201509,-,-,-,-,-,-,-,13.55,377,13.55,-,13.1,11.2,,
2015/8/14,IC1,201603,-,-,-,-,-,-,-,13.75,1458,13.8,-,12.8,12.8,,
2015/8/17,IC1,201508,15,15,13.95,13.95,0.3,2.20%,71,13.9,397,13.85,14,15,10.65,,
