交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,INF,201501,50.4,50.9,50.4,50.9,0.7,1.39%,2,50.8,53,50.7,50.9,51.8,45.65,,
2015/1/5,INF,201502,-,-,-,-,-,-,-,50.8,6,50.1,51.5,51.3,47.8,,
2015/1/5,INF,201503,-,-,-,-,-,-,-,50.5,1,-,51.9,50.4,48.15,,
2015/1/5,INF,201506,-,-,-,-,-,-,-,51.3,0,-,-,-,-,,
2015/1/5,INF,201509,-,-,-,-,-,-,-,51.4,0,-,-,-,-,,
2015/1/6,INF,201501,50.1,50.8,50.1,50.3,-0.5,-0.98%,23,50.3,42,49.95,50.7,51.8,45.65,,
2015/1/6,INF,201502,50.1,50.1,50.1,50.1,-0.7,-1.38%,1,50.1,5,49.9,50.7,51.3,47.8,,
2015/1/6,INF,201503,-,-,-,-,-,-,-,50.0,1,-,51.7,50.4,48.15,,
2015/1/6,INF,201506,-,-,-,-,-,-,-,50.8,0,-,-,-,-,,
2015/1/6,INF,201509,-,-,-,-,-,-,-,50.9,0,-,-,-,-,,
2015/1/7,INF,201501,50.5,51.4,50.5,51.2,0.9,1.79%,19,51.2,29,50.8,51.2,51.8,45.65,,
2015/1/7,INF,201502,51.3,51.3,51.3,51.3,1.2,2.40%,1,51.3,6,50.6,51.5,51.3,47.8,,
2015/1/7,INF,201503,-,-,-,-,-,-,-,50.9,1,-,52.2,50.4,48.15,,
2015/1/7,INF,201506,-,-,-,-,-,-,-,51.7,0,-,-,-,-,,
2015/1/7,INF,201509,-,-,-,-,-,-,-,51.8,0,-,-,-,-,,
2015/1/8,INF,201501,51.4,52,51.4,51.8,0.6,1.17%,11,51.8,28,51.7,52.8,52,45.65,,
2015/1/8,INF,201502,51.5,51.7,51.5,51.7,0.4,0.78%,9,51.7,12,51.5,52.2,51.7,47.8,,
2015/1/8,INF,201503,-,-,-,-,-,-,-,51.5,1,-,-,50.4,48.15,,
