交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/9/25,IP1,201510,45.9,45.9,41.8,45.7,3.3,7.78%,4,42.25,119,-,45.7,45.9,22.8,,
2015/9/30,IP1,201510,44.05,44.35,39.95,41.45,-0.8,-1.89%,11,41.9,117,39.95,42.45,45.9,22.8,,
2015/10/1,IP1,201510,40.5,42,40.5,42,0.1,0.24%,3,41.15,117,40.2,42.05,45.9,22.8,,
2015/10/2,IP1,201510,41.2,43.1,41.2,43.1,1.95,4.74%,15,42.85,111,-,43.5,45.9,22.8,,
2015/10/5,IP1,201510,43.85,47.1,43.85,47.1,4.25,9.92%,12,47.1,110,38.6,47.1,47.1,22.8,,
2015/10/6,IP1,201510,47.95,50.7,47.95,50.7,3.6,7.64%,4,49.4,110,-,51.4,50.7,22.8,,
2015/10/7,IP1,201510,50.6,50.6,49.15,49.95,0.55,1.11%,17,49.75,108,-,52.7,50.7,22.8,,
2015/10/8,IP1,201510,50.9,51.3,49.95,49.95,0.2,0.40%,3,49.9,108,-,50.8,51.3,22.8,,
2015/10/12,IP1,201510,50.8,51.2,50,50,0.1,0.20%,3,49.95,108,-,51.4,51.3,22.8,,
2015/10/13,IP1,201510,50.3,50.9,50.3,50.9,0.95,1.90%,2,50.3,108,-,53.9,51.3,22.8,,
2015/10/14,IP1,201510,52.1,53.2,52.1,53.2,2.9,5.77%,41,52.1,108,-,53.2,53.2,22.8,,
2015/10/15,IP1,201510,54.3,54.3,52.8,52.8,0.7,1.34%,2,52.2,108,47,54.2,54.3,22.8,,
2015/10/16,IP1,201510,52.9,52.9,51.3,51.8,-0.4,-0.77%,4,51.2,108,-,54.2,54.3,22.8,,
2015/10/19,IP1,201510,51.8,51.9,51.8,51.9,0.7,1.37%,2,50.9,108,-,51.9,54.3,22.8,,
2015/10/20,IP1,201510,51.6,51.9,51.6,51.8,0.9,1.77%,3,50.8,108,50,53.7,54.3,22.8,,
2015/10/21,IP1,201510,52.3,52.3,49.5,51.5,0.7,1.38%,92,0.0,110,50.3,51.2,54.3,22.8,,
