交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/13,IQ1,201501,48.85,48.85,48.85,48.85,0.9,1.88%,1,48.15,66,43.5,48.8,48.85,45.35,,
2015/1/13,IQ1,201502,-,-,-,-,-,-,-,47.9,9,-,-,48,46.2,,
2015/1/13,IQ1,201503,-,-,-,-,-,-,-,47.6,1,-,-,45.6,45.6,,
2015/1/14,IQ1,201501,47.7,47.7,47.7,47.7,-0.45,-0.93%,2,48.0,64,-,-,48.85,45.35,,
2015/1/14,IQ1,201502,48.1,48.1,48.1,48.1,0.2,0.42%,1,48.0,9,-,-,48.1,46.2,,
2015/1/14,IQ1,201503,-,-,-,-,-,-,-,47.45,1,-,-,45.6,45.6,,
2015/1/15,IQ1,201501,-,-,-,-,-,-,-,47.65,64,46.5,-,48.85,45.35,,
2015/1/15,IQ1,201502,-,-,-,-,-,-,-,47.75,9,-,-,48.1,46.2,,
2015/1/15,IQ1,201503,-,-,-,-,-,-,-,47.1,1,-,-,45.6,45.6,,
2015/1/16,IQ1,201501,-,-,-,-,-,-,-,47.35,64,46.5,-,48.85,45.35,,
2015/1/16,IQ1,201502,-,-,-,-,-,-,-,47.45,9,-,-,48.1,46.2,,
2015/1/16,IQ1,201503,-,-,-,-,-,-,-,46.8,1,-,-,45.6,45.6,,
2015/1/19,IQ1,201501,-,-,-,-,-,-,-,46.95,64,46.6,-,48.85,45.35,,
2015/1/19,IQ1,201502,-,-,-,-,-,-,-,47.35,9,-,-,48.1,46.2,,
2015/1/19,IQ1,201503,-,-,-,-,-,-,-,46.4,1,-,-,45.6,45.6,,
2015/1/20,IQ1,201501,-,-,-,-,-,-,-,47.2,64,46.5,-,48.85,45.35,,
2015/1/20,IQ1,201502,-,-,-,-,-,-,-,47.6,9,-,-,48.1,46.2,,
2015/1/20,IQ1,201503,-,-,-,-,-,-,-,46.65,1,-,-,45.6,45.6,,
2015/1/21,IQ1,201501,-,-,-,-,-,-,-,0.0,64,46.7,-,48.85,45.35,,
2015/1/21,IQ1,201502,-,-,-,-,-,-,-,47.55,9,-,-,48.1,46.2,,
2015/1/21,IQ1,201503,-,-,-,-,-,-,-,47.55,1,-,-,45.6,45.6,,
2015/1/22,IQ1,201502,-,-,-,-,-,-,-,48.15,9,-,-,48.1,46.2,,
2015/1/22,IQ1,201503,-,-,-,-,-,-,-,48.35,1,-,-,45.6,45.6,,
2015/1/23,IQ1,201502,-,-,-,-,-,-,-,49.25,9,-,-,48.1,46.2,,
2015/1/23,IQ1,201503,-,-,-,-,-,-,-,49.45,1,-,-,45.6,45.6,,
2015/1/26,IQ1,201502,-,-,-,-,-,-,-,48.4,9,-,-,48.1,46.2,,
2015/1/26,IQ1,201503,-,-,-,-,-,-,-,48.4,1,-,-,45.6,45.6,,
2015/1/27,IQ1,201502,-,-,-,-,-,-,-,48.05,9,-,-,48.1,46.2,,
2015/1/27,IQ1,201503,-,-,-,-,-,-,-,48.05,1,-,-,45.6,45.6,,
2015/1/28,IQ1,201502,-,-,-,-,-,-,-,47.7,9,-,-,48.1,46.2,,
2015/1/28,IQ1,201503,-,-,-,-,-,-,-,47.9,1,-,-,45.6,45.6,,
2015/1/29,IQ1,201502,-,-,-,-,-,-,-,47.15,9,-,-,48.1,46.2,,
2015/1/29,IQ1,201503,-,-,-,-,-,-,-,47.45,1,-,-,45.6,45.6,,
2015/1/30,IQ1,201502,-,-,-,-,-,-,-,47.2,9,-,-,48.1,46.2,,
2015/1/30,IQ1,201503,-,-,-,-,-,-,-,47.4,1,-,-,45.6,45.6,,
2015/2/2,IQ1,201502,-,-,-,-,-,-,-,46.5,9,-,-,48.1,46.2,,
2015/2/2,IQ1,201503,-,-,-,-,-,-,-,46.5,1,-,-,45.6,45.6,,
2015/2/3,IQ1,201502,-,-,-,-,-,-,-,47.2,9,-,-,48.1,46.2,,
2015/2/3,IQ1,201503,-,-,-,-,-,-,-,47.45,1,-,-,45.6,45.6,,
2015/2/4,IQ1,201502,-,-,-,-,-,-,-,48.15,9,-,-,48.1,46.2,,
2015/2/4,IQ1,201503,-,-,-,-,-,-,-,48.2,1,-,-,45.6,45.6,,
2015/2/5,IQ1,201502,48.5,48.5,48.5,48.5,0.35,0.73%,5,48.25,14,-,-,48.5,46.2,,
2015/2/5,IQ1,201503,-,-,-,-,-,-,-,48.65,1,-,-,45.6,45.6,,
2015/2/6,IQ1,201502,-,-,-,-,-,-,-,48.25,14,-,-,48.5,46.2,,
2015/2/6,IQ1,201503,-,-,-,-,-,-,-,48.5,1,-,-,45.6,45.6,,
2015/2/9,IQ1,201502,-,-,-,-,-,-,-,48.45,14,-,-,48.5,46.2,,
2015/2/9,IQ1,201503,-,-,-,-,-,-,-,48.6,1,-,-,45.6,45.6,,
2015/2/10,IQ1,201502,49.35,49.35,49.35,49.35,0.9,1.86%,2,48.6,12,-,-,49.35,46.2,,
2015/2/10,IQ1,201503,49.2,49.2,49.2,49.2,0.6,1.23%,1,49.35,1,-,-,49.2,45.6,,
2015/2/11,IQ1,201502,-,-,-,-,-,-,-,49.6,12,-,-,49.35,46.2,,
2015/2/11,IQ1,201503,-,-,-,-,-,-,-,49.35,1,-,-,49.2,45.6,,
2015/2/12,IQ1,201502,49.5,49.5,49.5,49.5,-0.1,-0.20%,10,49.25,22,-,49.55,49.5,46.2,,
2015/2/12,IQ1,201503,-,-,-,-,-,-,-,49.45,1,49,-,49.2,45.6,,
2015/2/13,IQ1,201502,49.55,49.6,49.55,49.6,0.35,0.71%,15,49.55,27,-,-,49.6,46.2,,
2015/2/13,IQ1,201503,49.6,49.6,49.6,49.6,0.15,0.30%,1,49.5,1,-,-,49.6,45.6,,
2015/2/24,IQ1,201502,-,-,-,-,-,-,-,0.0,27,-,-,49.6,46.2,,
