交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JBF,201501,-,-,-,-,-,-,-,93.2,41,92,94.3,96.7,86.8,,
2015/1/5,JBF,201502,-,-,-,-,-,-,-,93.1,10,91.4,93.7,93.4,93,,
2015/1/5,JBF,201503,-,-,-,-,-,-,-,93.4,0,-,-,88.6,85.2,,
2015/1/5,JBF,201506,-,-,-,-,-,-,-,93.7,0,-,-,-,-,,
2015/1/5,JBF,201509,-,-,-,-,-,-,-,93.9,0,-,-,-,-,,
2015/1/6,JBF,201501,91.3,91.3,90.7,90.7,-2.5,-2.68%,5,90.7,40,90,92.4,96.7,86.8,,
2015/1/6,JBF,201502,91.2,91.2,91.2,91.2,-1.9,-2.04%,4,91.2,14,90,91.8,93.4,91.2,,
2015/1/6,JBF,201503,-,-,-,-,-,-,-,90.9,0,-,-,88.6,85.2,,
2015/1/6,JBF,201506,-,-,-,-,-,-,-,91.2,0,-,-,-,-,,
2015/1/6,JBF,201509,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/7,JBF,201501,90.2,90.2,90.1,90.1,-0.6,-0.66%,2,90.1,41,89.7,91.5,96.7,86.8,,
2015/1/7,JBF,201502,90.5,90.5,90.3,90.3,-0.9,-0.99%,2,90.3,14,90.3,90.9,93.4,90.3,,
2015/1/7,JBF,201503,-,-,-,-,-,-,-,90.3,0,-,-,88.6,85.2,,
2015/1/7,JBF,201506,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/1/7,JBF,201509,-,-,-,-,-,-,-,90.8,0,-,-,-,-,,
2015/1/8,JBF,201501,-,-,-,-,-,-,-,90.9,41,90.2,92.4,96.7,86.8,,
2015/1/8,JBF,201502,-,-,-,-,-,-,-,91.1,14,90.1,91.8,93.4,90.3,,
2015/1/8,JBF,201503,-,-,-,-,-,-,-,91.1,0,-,-,88.6,85.2,,
2015/1/8,JBF,201506,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/8,JBF,201509,-,-,-,-,-,-,-,91.6,0,-,-,-,-,,
2015/1/9,JBF,201501,90.5,90.6,90,90,-0.9,-0.99%,9,90.0,47,88.9,92.4,96.7,86.8,,
2015/1/9,JBF,201502,90.9,90.9,90.5,90.5,-0.6,-0.66%,2,90.5,16,89.5,91.3,93.4,90.3,,
2015/1/9,JBF,201503,-,-,-,-,-,-,-,90.2,0,-,-,88.6,85.2,,
2015/1/9,JBF,201506,-,-,-,-,-,-,-,90.5,0,-,-,-,-,,
2015/1/9,JBF,201509,-,-,-,-,-,-,-,90.7,0,-,-,-,-,,
2015/1/12,JBF,201501,89.4,89.4,88.1,88.1,-1.9,-2.11%,15,89.9,42,87.7,92.1,96.7,86.8,,
2015/1/12,JBF,201502,89.9,89.9,89.9,89.9,-0.6,-0.66%,1,89.4,17,87.7,91,93.4,89.9,,
2015/1/12,JBF,201503,-,-,-,-,-,-,-,90.1,0,-,-,88.6,85.2,,
2015/1/12,JBF,201506,-,-,-,-,-,-,-,90.4,0,-,-,-,-,,
2015/1/12,JBF,201509,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/1/13,JBF,201501,89.2,89.5,89.2,89.5,-0.4,-0.44%,2,89.5,42,88.7,90.4,96.7,86.8,,
2015/1/13,JBF,201502,-,-,-,-,-,-,-,89.0,17,88.8,89.5,93.4,89.9,,
2015/1/13,JBF,201503,-,-,-,-,-,-,-,89.7,0,-,-,88.6,85.2,,
2015/1/13,JBF,201506,-,-,-,-,-,-,-,90.0,0,-,-,-,-,,
2015/1/13,JBF,201509,-,-,-,-,-,-,-,90.2,0,-,-,-,-,,
2015/1/14,JBF,201501,88.8,88.9,88,88.8,-0.7,-0.78%,5,88.8,41,87.9,89.5,96.7,86.8,,
2015/1/14,JBF,201502,88.7,88.7,88.7,88.7,-0.3,-0.34%,1,88.7,18,87.9,89.6,93.4,88.7,,
2015/1/14,JBF,201503,-,-,-,-,-,-,-,89.0,0,-,-,88.6,85.2,,
2015/1/14,JBF,201506,-,-,-,-,-,-,-,89.3,0,-,-,-,-,,
2015/1/14,JBF,201509,-,-,-,-,-,-,-,89.5,0,-,-,-,-,,
2015/1/15,JBF,201501,88.5,88.5,88.5,88.5,-0.3,-0.34%,1,88.5,42,88.3,90,96.7,86.8,,
2015/1/15,JBF,201502,89,89,89,89,0.3,0.34%,1,89.0,19,88.4,89.3,93.4,88.7,,
2015/1/15,JBF,201503,-,-,-,-,-,-,-,88.7,0,-,-,88.6,85.2,,
2015/1/15,JBF,201506,-,-,-,-,-,-,-,89.0,0,-,-,-,-,,
2015/1/15,JBF,201509,-,-,-,-,-,-,-,89.2,0,-,-,-,-,,
2015/1/16,JBF,201501,90.1,90.7,89.3,89.4,0.9,1.02%,15,89.4,38,89.1,89.7,96.7,86.8,,
2015/1/16,JBF,201502,89.8,90.5,89.3,89.3,0.3,0.34%,10,89.3,20,88.8,90.5,93.4,88.7,,
2015/1/16,JBF,201503,-,-,-,-,-,-,-,89.6,0,-,-,88.6,85.2,,
2015/1/16,JBF,201506,-,-,-,-,-,-,-,89.9,0,-,-,-,-,,
2015/1/16,JBF,201509,-,-,-,-,-,-,-,90.1,0,-,-,-,-,,
2015/1/19,JBF,201501,89.9,89.9,87.6,87.9,-1.5,-1.68%,8,87.9,35,87.5,89.7,96.7,86.8,,
2015/1/19,JBF,201502,89.6,89.6,87.6,87.6,-1.7,-1.90%,15,87.6,12,87.5,88.6,93.4,87.6,,
2015/1/19,JBF,201503,-,-,-,-,-,-,-,88.1,0,-,-,88.6,85.2,,
2015/1/19,JBF,201506,-,-,-,-,-,-,-,88.4,0,-,-,-,-,,
2015/1/19,JBF,201509,-,-,-,-,-,-,-,88.6,0,-,-,-,-,,
2015/1/20,JBF,201501,87.8,88,87.8,88,0.1,0.11%,3,88.0,35,87.9,88.9,96.7,86.8,,
2015/1/20,JBF,201502,-,-,-,-,-,-,-,87.7,12,88.2,88.8,93.4,87.6,,
2015/1/20,JBF,201503,-,-,-,-,-,-,-,88.2,0,-,-,88.6,85.2,,
2015/1/20,JBF,201506,-,-,-,-,-,-,-,88.5,0,-,-,-,-,,
2015/1/20,JBF,201509,-,-,-,-,-,-,-,88.7,0,-,-,-,-,,
2015/1/21,JBF,201501,-,-,-,-,-,-,-,0.0,35,86.6,89.3,96.7,86.8,,
2015/1/21,JBF,201502,89.9,89.9,88.7,88.7,1,1.14%,4,88.7,15,88,89.5,93.4,87.6,,
2015/1/21,JBF,201503,-,-,-,-,-,-,-,88.2,0,87.6,-,88.6,85.2,,
2015/1/21,JBF,201506,-,-,-,-,-,-,-,88.5,0,-,-,-,-,,
2015/1/21,JBF,201509,-,-,-,-,-,-,-,88.7,0,-,-,-,-,,
2015/1/22,JBF,201502,89,89,89,89,0.3,0.34%,1,89.0,16,88.7,90.3,93.4,87.6,,
2015/1/22,JBF,201503,88.5,88.5,88.5,88.5,0.3,0.34%,5,88.5,5,88.7,90.3,88.6,85.2,,
2015/1/22,JBF,201506,-,-,-,-,-,-,-,88.8,0,-,-,-,-,,
2015/1/22,JBF,201509,-,-,-,-,-,-,-,89.0,0,-,-,-,-,,
2015/1/22,JBF,201512,-,-,-,-,-,-,-,89.6,0,-,-,-,-,,
2015/1/23,JBF,201502,90,90,90,90,1,1.12%,4,90.0,17,88.9,90.5,93.4,87.6,,
2015/1/23,JBF,201503,90.2,90.2,90.2,90.2,1.7,1.92%,1,90.1,6,89.3,90.9,90.2,85.2,,
2015/1/23,JBF,201506,-,-,-,-,-,-,-,89.8,0,-,-,-,-,,
2015/1/23,JBF,201509,-,-,-,-,-,-,-,90.0,0,-,-,-,-,,
2015/1/23,JBF,201512,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/1/26,JBF,201502,89.5,89.6,89.5,89.6,-0.4,-0.44%,2,89.6,18,88.5,90.8,93.4,87.6,,
2015/1/26,JBF,201503,-,-,-,-,-,-,-,89.7,6,88.6,90.2,90.2,85.2,,
2015/1/26,JBF,201506,-,-,-,-,-,-,-,89.4,0,-,-,-,-,,
2015/1/26,JBF,201509,-,-,-,-,-,-,-,89.6,0,-,-,-,-,,
2015/1/26,JBF,201512,-,-,-,-,-,-,-,90.2,0,-,-,-,-,,
2015/1/27,JBF,201502,89.5,89.5,89.5,89.5,-0.1,-0.11%,2,89.5,20,88.7,90.4,93.4,87.6,,
2015/1/27,JBF,201503,-,-,-,-,-,-,-,89.6,6,88.7,91,90.2,85.2,,
2015/1/27,JBF,201506,-,-,-,-,-,-,-,89.3,0,-,-,-,-,,
2015/1/27,JBF,201509,-,-,-,-,-,-,-,89.5,0,-,-,-,-,,
2015/1/27,JBF,201512,-,-,-,-,-,-,-,90.1,0,-,-,-,-,,
2015/1/28,JBF,201502,-,-,-,-,-,-,-,89.6,20,88.8,91.1,93.4,87.6,,
2015/1/28,JBF,201503,-,-,-,-,-,-,-,89.7,6,88.9,90.5,90.2,85.2,,
2015/1/28,JBF,201506,-,-,-,-,-,-,-,89.4,0,-,-,-,-,,
2015/1/28,JBF,201509,-,-,-,-,-,-,-,89.6,0,-,-,-,-,,
2015/1/28,JBF,201512,-,-,-,-,-,-,-,90.2,0,-,-,-,-,,
2015/1/29,JBF,201502,-,-,-,-,-,-,-,89.0,20,87.9,89.6,93.4,87.6,,
2015/1/29,JBF,201503,-,-,-,-,-,-,-,89.1,6,88,89.5,90.2,85.2,,
2015/1/29,JBF,201506,-,-,-,-,-,-,-,88.8,0,-,-,-,-,,
2015/1/29,JBF,201509,-,-,-,-,-,-,-,89.0,0,-,-,-,-,,
2015/1/29,JBF,201512,-,-,-,-,-,-,-,89.6,0,-,-,-,-,,
2015/1/30,JBF,201502,-,-,-,-,-,-,-,88.3,20,86.5,89.3,93.4,87.6,,
2015/1/30,JBF,201503,-,-,-,-,-,-,-,88.4,6,87.6,89.4,90.2,85.2,,
2015/1/30,JBF,201506,-,-,-,-,-,-,-,88.1,0,-,-,-,-,,
