交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JDF,201501,23.05,23.6,22.75,23.25,0,0.00%,39,23.55,221,23.25,23.85,23.65,19.05,,
2015/1/5,JDF,201502,23,23.7,22.95,23.7,0.4,1.72%,55,23.7,118,23.4,23.8,23.7,21.6,,
2015/1/5,JDF,201503,-,-,-,-,-,-,-,23.05,10,-,-,33.45,20.35,,
2015/1/5,JDF,201506,-,-,-,-,-,-,-,23.65,2,-,24.85,21.9,21.9,,
2015/1/5,JDF,201509,-,-,-,-,-,-,-,23.6,0,-,24.85,-,-,,
2015/1/6,JDF,201501,23.15,23.15,22.2,22.2,-1.35,-5.73%,67,22.2,219,22.05,22.35,23.65,19.05,,
2015/1/6,JDF,201502,23.15,23.15,22.25,22.4,-1.3,-5.49%,97,22.4,159,22.1,22.65,23.7,21.6,,
2015/1/6,JDF,201503,-,-,-,-,-,-,-,21.7,10,-,23.35,33.45,20.35,,
2015/1/6,JDF,201506,-,-,-,-,-,-,-,22.3,2,-,23.35,21.9,21.9,,
2015/1/6,JDF,201509,-,-,-,-,-,-,-,22.25,0,-,23.35,-,-,,
2015/1/7,JDF,201501,22.45,22.65,22.05,22.6,0.4,1.80%,30,22.6,227,22.5,22.85,23.65,19.05,,
2015/1/7,JDF,201502,22,22.4,22,22.4,0,0.00%,16,22.8,157,22,22.9,23.7,21.6,,
2015/1/7,JDF,201503,-,-,-,-,-,-,-,22.1,10,-,-,33.45,20.35,,
2015/1/7,JDF,201506,-,-,-,-,-,-,-,22.7,2,-,23.85,21.9,21.9,,
2015/1/7,JDF,201509,-,-,-,-,-,-,-,22.65,0,-,-,-,-,,
2015/1/8,JDF,201501,22.85,22.9,22.5,22.55,-0.05,-0.22%,118,22.55,189,22.5,22.95,23.65,19.05,,
2015/1/8,JDF,201502,22.9,22.9,22.45,22.55,-0.25,-1.10%,20,22.55,161,22.05,23.25,23.7,21.6,,
2015/1/8,JDF,201503,-,-,-,-,-,-,-,22.05,10,-,-,33.45,20.35,,
2015/1/8,JDF,201506,-,-,-,-,-,-,-,22.65,2,-,23.95,21.9,21.9,,
2015/1/8,JDF,201509,-,-,-,-,-,-,-,22.6,0,-,23.95,-,-,,
2015/1/9,JDF,201501,22.6,22.65,22.3,22.3,-0.25,-1.11%,24,22.3,186,22.25,22.95,23.65,19.05,,
2015/1/9,JDF,201502,22.5,22.65,22.1,22.1,-0.45,-2.00%,7,22.1,164,22.05,22.45,23.7,21.6,,
2015/1/9,JDF,201503,-,-,-,-,-,-,-,21.8,10,-,-,33.45,20.35,,
2015/1/9,JDF,201506,-,-,-,-,-,-,-,22.4,2,-,-,21.9,21.9,,
2015/1/9,JDF,201509,-,-,-,-,-,-,-,22.35,0,-,-,-,-,,
2015/1/12,JDF,201501,22.5,22.5,22.35,22.35,0.05,0.22%,11,22.35,184,22.25,23,23.65,19.05,,
2015/1/12,JDF,201502,22.3,22.45,22.3,22.3,0.2,0.90%,28,22.3,161,21.9,22.5,23.7,21.6,,
2015/1/12,JDF,201503,-,-,-,-,-,-,-,21.85,10,-,-,33.45,20.35,,
2015/1/12,JDF,201506,-,-,-,-,-,-,-,22.45,2,-,-,21.9,21.9,,
2015/1/12,JDF,201509,-,-,-,-,-,-,-,22.4,0,-,-,-,-,,
2015/1/13,JDF,201501,22.4,22.55,22.05,22.05,-0.3,-1.34%,9,22.05,189,21.9,22.85,23.65,19.05,,
2015/1/13,JDF,201502,22.5,22.5,22.15,22.15,-0.15,-0.67%,2,22.15,161,22.05,22.6,23.7,21.6,,
2015/1/13,JDF,201503,-,-,-,-,-,-,-,21.55,10,-,-,33.45,20.35,,
2015/1/13,JDF,201506,-,-,-,-,-,-,-,22.15,2,-,23.85,21.9,21.9,,
2015/1/13,JDF,201509,-,-,-,-,-,-,-,22.1,0,-,23.85,-,-,,
2015/1/14,JDF,201501,22.45,22.55,22.35,22.35,0.3,1.36%,29,22.35,184,22.2,22.85,23.65,19.05,,
2015/1/14,JDF,201502,22.4,22.55,22.35,22.35,0.2,0.90%,20,22.35,161,22.05,23.05,23.7,21.6,,
2015/1/14,JDF,201503,-,-,-,-,-,-,-,21.85,10,-,-,33.45,20.35,,
2015/1/14,JDF,201506,-,-,-,-,-,-,-,22.45,2,-,-,21.9,21.9,,
2015/1/14,JDF,201509,-,-,-,-,-,-,-,22.4,0,-,-,-,-,,
2015/1/15,JDF,201501,22.45,22.45,22.35,22.35,0,0.00%,5,22.35,183,21.5,22.7,23.65,19.05,,
2015/1/15,JDF,201502,22.3,22.45,22.3,22.35,0,0.00%,4,22.35,161,22.05,22.45,23.7,21.6,,
2015/1/15,JDF,201503,-,-,-,-,-,-,-,21.85,10,-,-,33.45,20.35,,
2015/1/15,JDF,201506,-,-,-,-,-,-,-,22.45,2,-,23.7,21.9,21.9,,
2015/1/15,JDF,201509,-,-,-,-,-,-,-,22.4,0,-,23.7,-,-,,
2015/1/16,JDF,201501,22.2,22.25,21.6,21.65,-0.7,-3.13%,66,21.65,169,21.65,21.85,23.65,19.05,,
2015/1/16,JDF,201502,22.05,22.05,21.6,21.65,-0.7,-3.13%,70,21.65,183,21.5,21.85,23.7,21.6,,
2015/1/16,JDF,201503,-,-,-,-,-,-,-,21.15,10,-,22.85,33.45,20.35,,
2015/1/16,JDF,201506,-,-,-,-,-,-,-,21.75,2,-,22.85,21.9,21.9,,
2015/1/16,JDF,201509,-,-,-,-,-,-,-,21.7,0,-,22.85,-,-,,
2015/1/19,JDF,201501,21.75,21.8,21.55,21.55,-0.1,-0.46%,34,21.55,143,21.5,22.35,23.65,19.05,,
2015/1/19,JDF,201502,21.85,21.85,21.5,21.5,-0.15,-0.69%,51,21.5,197,21.05,21.6,23.7,21.5,,
2015/1/19,JDF,201503,-,-,-,-,-,-,-,21.05,10,-,-,33.45,20.35,,
2015/1/19,JDF,201506,-,-,-,-,-,-,-,21.65,2,-,-,21.9,21.9,,
2015/1/19,JDF,201509,-,-,-,-,-,-,-,21.6,0,-,-,-,-,,
2015/1/20,JDF,201501,21.7,21.9,21.7,21.9,0.35,1.62%,5,22.2,140,22.05,22.35,23.65,19.05,,
2015/1/20,JDF,201502,21.65,22.3,21.65,22.3,0.8,3.72%,21,22.3,200,22.15,22.45,23.7,21.5,,
2015/1/20,JDF,201503,-,-,-,-,-,-,-,21.7,10,-,-,33.45,20.35,,
2015/1/20,JDF,201506,-,-,-,-,-,-,-,22.3,2,-,-,21.9,21.9,,
2015/1/20,JDF,201509,-,-,-,-,-,-,-,22.25,0,-,-,-,-,,
2015/1/21,JDF,201501,21.95,21.95,21.9,21.9,-0.3,-1.35%,7,0.0,138,21.85,23,23.65,19.05,,
2015/1/21,JDF,201502,22.3,22.3,21.2,21.85,-0.45,-2.02%,61,21.85,222,21.6,22.05,23.7,21.2,,
2015/1/21,JDF,201503,-,-,-,-,-,-,-,21.85,10,21.6,22.05,33.45,20.35,,
2015/1/21,JDF,201506,-,-,-,-,-,-,-,22.0,2,-,23.05,21.9,21.9,,
