交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JEF,201501,20.1,20.25,20,20.2,-0.5,-2.42%,19,20.2,207,20.05,20.2,21.5,16.8,,
2015/1/5,JEF,201502,20.05,20.3,20,20.2,-0.55,-2.65%,20,20.2,51,20,20.4,21.2,18.65,,
2015/1/5,JEF,201503,-,-,-,-,-,-,-,20.1,17,-,21.2,27.55,18.7,,
2015/1/5,JEF,201506,-,-,-,-,-,-,-,20.35,0,-,21.2,-,-,,
2015/1/5,JEF,201509,-,-,-,-,-,-,-,20.15,0,-,21.2,-,-,,
2015/1/6,JEF,201501,19.65,19.65,18.85,18.95,-1.25,-6.19%,44,18.95,195,18.95,20,21.5,16.8,,
2015/1/6,JEF,201502,19.2,19.2,18.95,18.95,-1.25,-6.19%,17,18.95,59,18.8,19.45,21.2,18.65,,
2015/1/6,JEF,201503,-,-,-,-,-,-,-,18.85,17,-,-,27.55,18.7,,
2015/1/6,JEF,201506,-,-,-,-,-,-,-,19.1,0,-,-,-,-,,
2015/1/6,JEF,201509,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
2015/1/7,JEF,201501,18.75,19.15,18.75,19.15,0.2,1.06%,59,19.15,181,19.1,19.3,21.5,16.8,,
2015/1/7,JEF,201502,18.75,19.1,18.75,19.1,0.15,0.79%,7,19.1,54,18.8,19.3,21.2,18.65,,
2015/1/7,JEF,201503,-,-,-,-,-,-,-,19.05,17,-,-,27.55,18.7,,
2015/1/7,JEF,201506,-,-,-,-,-,-,-,19.3,0,-,20.3,-,-,,
2015/1/7,JEF,201509,-,-,-,-,-,-,-,19.1,0,-,-,-,-,,
2015/1/8,JEF,201501,19.2,19.2,18.85,19,-0.15,-0.78%,98,19.0,134,18.95,19.3,21.5,16.8,,
2015/1/8,JEF,201502,19.3,19.3,19,19.15,0.05,0.26%,13,19.15,62,18.95,19.65,21.2,18.65,,
2015/1/8,JEF,201503,-,-,-,-,-,-,-,18.9,17,-,20.3,27.55,18.7,,
2015/1/8,JEF,201506,-,-,-,-,-,-,-,19.15,0,-,20.3,-,-,,
2015/1/8,JEF,201509,-,-,-,-,-,-,-,18.95,0,-,20.3,-,-,,
2015/1/9,JEF,201501,19.1,19.2,19.05,19.2,0.2,1.05%,10,19.2,139,19.1,19.4,21.5,16.8,,
2015/1/9,JEF,201502,19.2,19.2,19.2,19.2,0.05,0.26%,3,19.2,62,18.9,19.95,21.2,18.65,,
2015/1/9,JEF,201503,-,-,-,-,-,-,-,19.1,17,-,-,27.55,18.7,,
2015/1/9,JEF,201506,-,-,-,-,-,-,-,19.35,0,-,20.4,-,-,,
2015/1/9,JEF,201509,-,-,-,-,-,-,-,19.15,0,-,-,-,-,,
2015/1/12,JEF,201501,18.85,18.9,18.75,18.75,-0.45,-2.34%,17,18.75,136,18.55,19,21.5,16.8,,
2015/1/12,JEF,201502,18.9,19,18.5,18.5,-0.7,-3.65%,42,18.5,72,18.5,18.95,21.2,18.5,,
2015/1/12,JEF,201503,19.9,19.9,19.9,19.9,0.8,4.19%,5,18.8,16,18.8,-,27.55,18.7,,
2015/1/12,JEF,201506,-,-,-,-,-,-,-,18.9,0,-,20,-,-,,
2015/1/12,JEF,201509,-,-,-,-,-,-,-,18.7,0,-,20,-,-,,
2015/1/13,JEF,201501,19,19.05,18.85,18.85,0.1,0.53%,17,18.85,139,18.9,19.15,21.5,16.8,,
2015/1/13,JEF,201502,18.9,19,18.7,18.7,0.2,1.08%,23,18.7,70,18.7,19.15,21.2,18.5,,
2015/1/13,JEF,201503,-,-,-,-,-,-,-,18.9,16,-,-,27.55,18.7,,
2015/1/13,JEF,201506,-,-,-,-,-,-,-,19.0,0,-,20.15,-,-,,
2015/1/13,JEF,201509,-,-,-,-,-,-,-,18.8,0,-,-,-,-,,
2015/1/14,JEF,201501,19.15,19.15,18.85,18.85,0,0.00%,24,18.85,129,18.85,19.1,21.5,16.8,,
2015/1/14,JEF,201502,19.05,19.05,19.05,19.05,0.35,1.87%,10,19.05,65,18.65,19.65,21.2,18.5,,
2015/1/14,JEF,201503,-,-,-,-,-,-,-,18.9,16,-,-,27.55,18.7,,
2015/1/14,JEF,201506,-,-,-,-,-,-,-,19.0,0,-,20.1,-,-,,
2015/1/14,JEF,201509,-,-,-,-,-,-,-,18.8,0,-,20.1,-,-,,
2015/1/15,JEF,201501,19,19.1,18.9,19,0.15,0.80%,24,19.0,125,19,19.35,21.5,16.8,,
2015/1/15,JEF,201502,19.05,19.2,19,19,-0.05,-0.26%,13,19.0,71,19,19.45,21.2,18.5,,
2015/1/15,JEF,201503,-,-,-,-,-,-,-,19.05,16,-,-,27.55,18.7,,
2015/1/15,JEF,201506,-,-,-,-,-,-,-,19.15,0,-,-,-,-,,
2015/1/15,JEF,201509,-,-,-,-,-,-,-,18.95,0,-,-,-,-,,
2015/1/16,JEF,201501,18.85,18.85,18.45,18.45,-0.55,-2.89%,25,18.45,126,18.4,18.7,21.5,16.8,,
2015/1/16,JEF,201502,18.85,18.85,18.45,18.45,-0.55,-2.89%,23,18.45,72,18.2,18.9,21.2,18.45,,
2015/1/16,JEF,201503,-,-,-,-,-,-,-,18.5,16,-,-,27.55,18.7,,
2015/1/16,JEF,201506,-,-,-,-,-,-,-,18.6,0,-,19.7,-,-,,
2015/1/16,JEF,201509,-,-,-,-,-,-,-,18.4,0,-,19.7,-,-,,
2015/1/19,JEF,201501,18.75,18.8,18.45,18.45,0,0.00%,63,18.45,117,18.45,18.75,21.5,16.8,,
2015/1/19,JEF,201502,18.7,18.8,18.45,18.45,0,0.00%,44,18.45,79,18.45,18.8,21.2,18.45,,
2015/1/19,JEF,201503,-,-,-,-,-,-,-,18.5,16,-,-,27.55,18.7,,
2015/1/19,JEF,201506,-,-,-,-,-,-,-,18.6,0,-,19.75,-,-,,
2015/1/19,JEF,201509,-,-,-,-,-,-,-,18.4,0,-,-,-,-,,
2015/1/20,JEF,201501,17.8,18.8,17.8,18.8,0.35,1.90%,33,19.1,109,18.85,19.35,21.5,16.8,,
2015/1/20,JEF,201502,17.5,18.7,17.5,18.7,0.25,1.36%,43,19.0,85,18.65,19.35,21.2,17.5,,
2015/1/20,JEF,201503,-,-,-,-,-,-,-,19.15,16,17.8,-,27.55,18.7,,
