交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/09/18,JI2,201809  ,9.3,9.61,9.3,9.51,0.36,3.93%,88.0,9.51,855,9.49,9.52,14.9,9.3,,一般,,
2018/09/18,JI2,201810  ,9.23,9.47,9.23,9.37,0.22,2.40%,86.0,9.39,120,9.35,9.38,11.25,9.23,,一般,,
2018/09/18,JI2,201812  ,-,-,-,-,-,-,0.0,9.42,3,9.35,9.49,14.65,9.14,,一般,,
2018/09/19,JI2,201809  ,9.66,10.45,9.66,10.45,0.94,9.88%,359.0,0,756,10.45,-,14.9,9.3,,一般,,
2018/09/19,JI2,201810  ,9.66,10.2,9.66,10.1,0.71,7.56%,348.0,10.3,465,10.3,-,11.25,9.23,,一般,,
2018/09/19,JI2,201812  ,-,-,-,-,-,-,0.0,10.35,3,10.35,-,14.65,9.14,,一般,,
2018/09/20,JI2,201810  ,10.7,10.7,10.2,10.25,-0.05,-0.49%,42.0,10.3,491,10.2,10.3,11.25,9.23,,一般,,
2018/09/20,JI2,201812  ,-,-,-,-,-,-,0.0,10.35,3,10.15,10.35,14.65,9.14,,一般,,
2018/09/21,JI2,201810  ,10.5,10.55,10.5,10.55,0.25,2.43%,3.0,10.4,490,10.3,10.4,11.25,9.23,,一般,,
2018/09/21,JI2,201812  ,-,-,-,-,-,-,0.0,10.45,3,10.3,10.45,14.65,9.14,,一般,,
2018/09/25,JI2,201810  ,10.4,10.6,10.35,10.4,0,0.00%,15.0,10.4,499,10.35,10.45,11.25,9.23,,一般,,
2018/09/25,JI2,201812  ,-,-,-,-,-,-,0.0,10.45,3,10.3,10.5,14.65,9.14,,一般,,
2018/09/26,JI2,201810  ,10.45,10.45,10.45,10.45,0.05,0.48%,5.0,10.35,504,10.3,10.4,11.25,9.23,,一般,,
2018/09/26,JI2,201812  ,-,-,-,-,-,-,0.0,10.4,3,10.3,10.45,14.65,9.14,,一般,,
2018/09/27,JI2,201810  ,10.3,10.3,10.3,10.3,-0.05,-0.48%,1.0,10.15,503,10.1,10.2,11.25,9.23,,一般,,
2018/09/27,JI2,201812  ,-,-,-,-,-,-,0.0,10.2,3,10.1,10.25,14.65,9.14,,一般,,
