交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JIF,201501,29.45,29.45,28.9,29.3,-0.5,-1.68%,124,29.3,666,29.15,29.3,31.45,25.6,,
2015/1/5,JIF,201502,29,29.45,28.85,29.15,-0.65,-2.18%,89,29.15,361,29.15,29.3,31.3,28.85,,
2015/1/5,JIF,201503,-,-,-,-,-,-,-,29.4,23,28.65,30.3,30.15,26,,
2015/1/5,JIF,201506,-,-,-,-,-,-,-,29.3,12,28.5,30.3,30.1,26.9,,
2015/1/5,JIF,201509,-,-,-,-,-,-,-,29.4,0,-,30.3,-,-,,
2015/1/6,JIF,201501,28.2,28.55,27.5,27.6,-1.7,-5.80%,274,27.6,627,27.6,27.65,31.45,25.6,,
2015/1/6,JIF,201502,28.45,28.5,27.5,27.6,-1.55,-5.32%,111,27.6,404,27.55,27.6,31.3,27.5,,
2015/1/6,JIF,201503,28.5,28.5,28.5,28.5,-0.9,-3.06%,1,27.85,24,-,28.1,30.15,26,,
2015/1/6,JIF,201506,28.5,28.5,28.5,28.5,-0.8,-2.73%,1,27.75,13,-,29.9,30.1,26.9,,
2015/1/6,JIF,201509,-,-,-,-,-,-,-,27.7,0,-,29.9,-,-,,
2015/1/7,JIF,201501,27.65,27.85,27.2,27.7,0.1,0.36%,249,27.7,602,27.4,27.75,31.45,25.6,,
2015/1/7,JIF,201502,27.4,27.8,27.2,27.7,0.1,0.36%,56,27.7,400,27.35,27.75,31.3,27.2,,
2015/1/7,JIF,201503,-,-,-,-,-,-,-,27.85,24,-,28.25,30.15,26,,
2015/1/7,JIF,201506,-,-,-,-,-,-,-,27.75,13,-,28.75,30.1,26.9,,
2015/1/7,JIF,201509,-,-,-,-,-,-,-,27.8,0,-,28.75,-,-,,
2015/1/8,JIF,201501,27.95,28.1,27.55,27.9,0.2,0.72%,123,27.9,591,27.75,27.95,31.45,25.6,,
2015/1/8,JIF,201502,27.75,28,27.45,27.75,0.05,0.18%,57,27.75,424,27.6,27.95,31.3,27.2,,
2015/1/8,JIF,201503,-,-,-,-,-,-,-,28.05,24,26.6,28.7,30.15,26,,
2015/1/8,JIF,201506,-,-,-,-,-,-,-,27.95,13,-,28.95,30.1,26.9,,
2015/1/8,JIF,201509,-,-,-,-,-,-,-,28.0,0,-,28.95,-,-,,
2015/1/9,JIF,201501,28.3,28.7,28.2,28.2,0.3,1.08%,51,28.2,596,28.2,28.4,31.45,25.6,,
2015/1/9,JIF,201502,28.15,28.5,28.1,28.3,0.55,1.98%,57,28.3,432,28.05,28.35,31.3,27.2,,
2015/1/9,JIF,201503,-,-,-,-,-,-,-,28.35,24,27.1,28.85,30.15,26,,
2015/1/9,JIF,201506,-,-,-,-,-,-,-,28.25,13,-,29.4,30.1,26.9,,
2015/1/9,JIF,201509,-,-,-,-,-,-,-,28.3,0,-,29.4,-,-,,
2015/1/12,JIF,201501,28.1,28.15,27.6,27.6,-0.6,-2.13%,49,27.6,591,27.35,27.7,31.45,25.6,,
2015/1/12,JIF,201502,28,28.15,27.7,27.7,-0.6,-2.12%,27,27.7,431,27.3,27.7,31.3,27.2,,
2015/1/12,JIF,201503,-,-,-,-,-,-,-,27.75,24,27.8,28.2,30.15,26,,
2015/1/12,JIF,201506,-,-,-,-,-,-,-,27.65,13,-,28.7,30.1,26.9,,
2015/1/12,JIF,201509,-,-,-,-,-,-,-,27.7,0,-,28.7,-,-,,
2015/1/13,JIF,201501,27.6,28.4,27.6,28.25,0.65,2.36%,65,28.25,589,28.05,28.3,31.45,25.6,,
2015/1/13,JIF,201502,27.8,28.3,27.8,28.05,0.35,1.26%,51,28.05,447,27.8,28.05,31.3,27.2,,
2015/1/13,JIF,201503,-,-,-,-,-,-,-,28.4,24,27.7,28.55,30.15,26,,
2015/1/13,JIF,201506,-,-,-,-,-,-,-,28.3,13,-,29.3,30.1,26.9,,
2015/1/13,JIF,201509,-,-,-,-,-,-,-,28.35,0,-,29.3,-,-,,
2015/1/14,JIF,201501,28.5,28.5,28.1,28.1,-0.15,-0.53%,111,28.1,593,28.1,28.2,31.45,25.6,,
2015/1/14,JIF,201502,28.45,28.45,28,28.1,0.05,0.18%,98,28.1,446,28.1,28.2,31.3,27.2,,
2015/1/14,JIF,201503,-,-,-,-,-,-,-,28.15,24,27.6,28.75,30.15,26,,
2015/1/14,JIF,201506,-,-,-,-,-,-,-,28.05,13,-,29.2,30.1,26.9,,
2015/1/14,JIF,201509,-,-,-,-,-,-,-,28.2,0,-,29.2,-,-,,
2015/1/15,JIF,201501,28.05,28.15,27.95,27.95,-0.15,-0.53%,20,27.95,603,27.95,28.3,31.45,25.6,,
2015/1/15,JIF,201502,28.15,28.15,28,28,-0.1,-0.36%,19,28.0,458,27.75,28.05,31.3,27.2,,
2015/1/15,JIF,201503,-,-,-,-,-,-,-,28.0,24,27.25,28.55,30.15,26,,
2015/1/15,JIF,201506,-,-,-,-,-,-,-,27.9,13,-,29.3,30.1,26.9,,
2015/1/15,JIF,201509,-,-,-,-,-,-,-,28.05,0,-,29.3,-,-,,
2015/1/16,JIF,201501,27.9,27.9,26.75,26.75,-1.2,-4.29%,201,26.75,536,26.85,26.95,31.45,25.6,,
2015/1/16,JIF,201502,27.9,27.9,26.75,26.8,-1.2,-4.29%,195,26.8,516,26.5,26.8,31.3,26.75,,
2015/1/16,JIF,201503,-,-,-,-,-,-,-,26.8,24,-,27.3,30.15,26,,
2015/1/16,JIF,201506,-,-,-,-,-,-,-,26.7,13,27,27.95,30.1,26.9,,
2015/1/16,JIF,201509,-,-,-,-,-,-,-,26.85,0,-,27.95,-,-,,
2015/1/19,JIF,201501,27.5,27.5,26.9,27,0.25,0.93%,107,27.0,465,26.85,27.05,31.45,25.6,,
2015/1/19,JIF,201502,27.5,27.5,26.85,26.85,0.05,0.19%,140,26.85,611,26.75,26.85,31.3,26.75,,
2015/1/19,JIF,201503,-,-,-,-,-,-,-,27.05,24,26.25,27.35,30.15,26,,
2015/1/19,JIF,201506,-,-,-,-,-,-,-,26.95,13,-,28.05,30.1,26.9,,
2015/1/19,JIF,201509,-,-,-,-,-,-,-,27.1,0,-,-,-,-,,
2015/1/20,JIF,201501,27.35,28.05,27.15,27.8,0.8,2.96%,147,27.8,421,27.8,28.05,31.45,25.6,,
2015/1/20,JIF,201502,27.2,28,27.1,28,1.15,4.28%,175,28.0,624,27.75,28,31.3,26.75,,
2015/1/20,JIF,201503,-,-,-,-,-,-,-,28.15,24,27.25,28.15,30.15,26,,
2015/1/20,JIF,201506,-,-,-,-,-,-,-,28.05,13,-,-,30.1,26.9,,
2015/1/20,JIF,201509,-,-,-,-,-,-,-,27.9,0,-,-,-,-,,
2015/1/21,JIF,201501,27.65,27.65,27.4,27.4,-0.4,-1.44%,75,0.0,374,27.3,27.45,31.45,25.6,,
2015/1/21,JIF,201502,28.2,28.2,27.3,27.3,-0.7,-2.50%,148,27.3,682,27.25,27.35,31.3,26.75,,
2015/1/21,JIF,201503,27.7,27.7,27.5,27.5,-0.65,-2.31%,6,27.5,30,27.05,27.5,30.15,26,,
2015/1/21,JIF,201506,-,-,-,-,-,-,-,27.4,13,-,28.65,30.1,26.9,,
2015/1/21,JIF,201509,-,-,-,-,-,-,-,27.5,0,-,28.7,-,-,,
2015/1/22,JIF,201502,27.2,27.3,25.5,27.2,-0.1,-0.37%,140,27.2,692,27.15,27.45,31.3,25.5,,
2015/1/22,JIF,201503,27.35,27.35,26.65,27.2,-0.3,-1.09%,76,27.2,71,27.05,27.45,30.15,26,,
2015/1/22,JIF,201506,-,-,-,-,-,-,-,27.4,13,-,-,30.1,26.9,,
2015/1/22,JIF,201509,-,-,-,-,-,-,-,27.4,0,-,-,-,-,,
2015/1/22,JIF,201512,-,-,-,-,-,-,-,27.5,0,-,-,-,-,,
2015/1/23,JIF,201502,27.05,27.2,26.85,26.9,-0.3,-1.10%,81,26.9,689,26.9,26.95,31.3,25.5,,
2015/1/23,JIF,201503,27,27.2,26.9,26.95,-0.25,-0.92%,28,26.95,92,26.8,27,30.15,26,,
2015/1/23,JIF,201506,-,-,-,-,-,-,-,26.95,13,-,-,30.1,26.9,,
2015/1/23,JIF,201509,-,-,-,-,-,-,-,27.1,0,-,-,-,-,,
2015/1/23,JIF,201512,-,-,-,-,-,-,-,27.2,0,-,-,-,-,,
2015/1/26,JIF,201502,27.05,27.3,26.95,27,0.1,0.37%,53,27.0,678,26.95,27.1,31.3,25.5,,
2015/1/26,JIF,201503,27.1,27.1,26.95,26.95,0,0.00%,24,26.95,106,26.95,27,30.15,26,,
2015/1/26,JIF,201506,-,-,-,-,-,-,-,27.05,13,-,-,30.1,26.9,,
2015/1/26,JIF,201509,-,-,-,-,-,-,-,27.2,0,-,-,-,-,,
2015/1/26,JIF,201512,-,-,-,-,-,-,-,27.3,0,-,-,-,-,,
2015/1/27,JIF,201502,27.25,27.4,27,27.05,0.05,0.19%,144,27.05,687,27,27.2,31.3,25.5,,
2015/1/27,JIF,201503,27.05,27.35,27,27.1,0.15,0.56%,119,27.1,165,26.9,27.1,30.15,26,,
2015/1/27,JIF,201506,-,-,-,-,-,-,-,27.1,13,-,-,30.1,26.9,,
2015/1/27,JIF,201509,-,-,-,-,-,-,-,27.25,0,-,-,-,-,,
2015/1/27,JIF,201512,-,-,-,-,-,-,-,27.35,0,-,-,-,-,,
2015/1/28,JIF,201502,27.25,27.7,27.25,27.25,0.2,0.74%,123,27.25,654,27.25,27.4,31.3,25.5,,
2015/1/28,JIF,201503,27.3,27.6,27.3,27.35,0.25,0.92%,80,27.35,195,27.15,27.3,30.15,26,,
2015/1/28,JIF,201506,-,-,-,-,-,-,-,27.35,13,-,-,30.1,26.9,,
2015/1/28,JIF,201509,-,-,-,-,-,-,-,27.45,0,-,-,-,-,,
2015/1/28,JIF,201512,-,-,-,-,-,-,-,27.55,0,-,-,-,-,,
2015/1/29,JIF,201502,27.35,27.4,27.2,27.3,0.05,0.18%,95,27.3,660,27.3,27.4,31.3,25.5,,
2015/1/29,JIF,201503,27.25,27.4,27.2,27.3,-0.05,-0.18%,79,27.3,236,27.2,27.35,30.15,26,,
2015/1/29,JIF,201506,-,-,-,-,-,-,-,27.4,13,-,-,30.1,26.9,,
2015/1/29,JIF,201509,-,-,-,-,-,-,-,27.5,0,-,-,-,-,,
2015/1/29,JIF,201512,-,-,-,-,-,-,-,27.6,0,-,-,-,-,,
2015/1/30,JIF,201502,27.35,27.65,27.3,27.3,0,0.00%,49,27.3,635,27.3,27.4,31.3,25.5,,
2015/1/30,JIF,201503,27.45,27.6,27.3,27.3,0,0.00%,12,27.3,236,27.2,27.35,30.15,26,,
2015/1/30,JIF,201506,-,-,-,-,-,-,-,27.4,13,-,-,30.1,26.9,,
2015/1/30,JIF,201509,-,-,-,-,-,-,-,27.5,0,-,-,-,-,,
2015/1/30,JIF,201512,-,-,-,-,-,-,-,27.6,0,-,-,-,-,,
2015/2/2,JIF,201502,27.65,27.65,27.4,27.45,0.15,0.55%,40,27.45,619,26.8,27.45,31.3,25.5,,
2015/2/2,JIF,201503,27.35,27.35,27.35,27.35,0.05,0.18%,2,27.35,236,27.05,27.45,30.15,26,,
2015/2/2,JIF,201506,-,-,-,-,-,-,-,27.45,13,-,-,30.1,26.9,,
2015/2/2,JIF,201509,-,-,-,-,-,-,-,27.65,0,-,-,-,-,,
2015/2/2,JIF,201512,-,-,-,-,-,-,-,27.75,0,-,-,-,-,,
2015/2/3,JIF,201502,27.6,27.8,27.35,27.35,-0.1,-0.36%,88,27.35,601,27.3,27.4,31.3,25.5,,
2015/2/3,JIF,201503,27.7,27.8,27.35,27.35,0,0.00%,34,27.35,245,27.25,27.35,30.15,26,,
2015/2/3,JIF,201506,-,-,-,-,-,-,-,27.35,13,-,-,30.1,26.9,,
2015/2/3,JIF,201509,-,-,-,-,-,-,-,27.55,0,-,-,-,-,,
2015/2/3,JIF,201512,-,-,-,-,-,-,-,27.65,0,-,-,-,-,,
2015/2/4,JIF,201502,27.7,28.05,27.7,27.7,0.35,1.28%,57,27.7,597,27.45,27.85,31.3,25.5,,
2015/2/4,JIF,201503,27.65,28.1,27.6,27.7,0.35,1.28%,19,27.7,248,27.4,27.85,30.15,26,,
2015/2/4,JIF,201506,-,-,-,-,-,-,-,27.7,13,-,-,30.1,26.9,,
2015/2/4,JIF,201509,-,-,-,-,-,-,-,27.9,0,-,-,-,-,,
2015/2/4,JIF,201512,-,-,-,-,-,-,-,28.0,0,-,-,-,-,,
2015/2/5,JIF,201502,27.5,27.65,27.45,27.5,-0.2,-0.72%,39,27.5,602,27.5,27.8,31.3,25.5,,
2015/2/5,JIF,201503,27.65,27.65,27.5,27.55,-0.15,-0.54%,30,27.55,250,27.55,27.6,30.15,26,,
2015/2/5,JIF,201506,-,-,-,-,-,-,-,27.5,13,-,-,30.1,26.9,,
2015/2/5,JIF,201509,-,-,-,-,-,-,-,27.7,0,-,-,-,-,,
2015/2/5,JIF,201512,-,-,-,-,-,-,-,27.8,0,-,-,-,-,,
2015/2/6,JIF,201502,27.4,27.4,27.3,27.3,-0.2,-0.73%,35,27.3,587,27.3,27.55,31.3,25.5,,
2015/2/6,JIF,201503,27.4,27.45,27.25,27.35,-0.2,-0.73%,24,27.35,255,27.2,28.9,30.15,26,,
2015/2/6,JIF,201506,-,-,-,-,-,-,-,27.35,13,-,-,30.1,26.9,,
2015/2/6,JIF,201509,-,-,-,-,-,-,-,27.5,0,-,-,-,-,,
2015/2/6,JIF,201512,-,-,-,-,-,-,-,27.6,0,-,-,-,-,,
2015/2/9,JIF,201502,27.05,27.05,26.75,26.75,-0.55,-2.01%,50,26.75,571,26.75,26.9,31.3,25.5,,
2015/2/9,JIF,201503,27,27.15,26.8,26.8,-0.55,-2.01%,81,26.8,262,26.8,27,30.15,26,,
2015/2/9,JIF,201506,-,-,-,-,-,-,-,26.8,13,-,-,30.1,26.9,,
2015/2/9,JIF,201509,-,-,-,-,-,-,-,26.95,0,-,-,-,-,,
2015/2/9,JIF,201512,-,-,-,-,-,-,-,27.05,0,-,-,-,-,,
2015/2/10,JIF,201502,26.8,27.05,26.6,26.6,-0.15,-0.56%,53,26.6,558,26.6,26.75,31.3,25.5,,
2015/2/10,JIF,201503,26.95,27.1,26.6,26.65,-0.15,-0.56%,72,26.65,282,26.6,26.65,30.15,26,,
2015/2/10,JIF,201506,-,-,-,-,-,-,-,26.65,13,-,-,30.1,26.9,,
2015/2/10,JIF,201509,-,-,-,-,-,-,-,26.8,0,-,-,-,-,,
2015/2/10,JIF,201512,-,-,-,-,-,-,-,26.9,0,-,-,-,-,,
2015/2/11,JIF,201502,26.85,27,26.3,26.35,-0.25,-0.94%,113,26.35,499,26.2,26.4,31.3,25.5,,
2015/2/11,JIF,201503,26.75,27.05,26.2,26.4,-0.25,-0.94%,227,26.4,401,26.2,26.4,30.15,26,,
2015/2/11,JIF,201506,-,-,-,-,-,-,-,26.4,13,-,-,30.1,26.9,,
2015/2/11,JIF,201509,-,-,-,-,-,-,-,26.55,0,-,-,-,-,,
2015/2/11,JIF,201512,-,-,-,-,-,-,-,26.65,0,-,-,-,-,,
2015/2/12,JIF,201502,26.5,26.5,26.25,26.25,-0.1,-0.38%,28,26.25,481,26.25,26.3,31.3,25.5,,
2015/2/12,JIF,201503,26.9,26.9,26.2,26.25,-0.15,-0.57%,59,26.25,434,26.2,26.25,30.15,26,,
2015/2/12,JIF,201506,-,-,-,-,-,-,-,26.25,13,-,-,30.1,26.9,,
2015/2/12,JIF,201509,-,-,-,-,-,-,-,26.45,0,-,-,-,-,,
2015/2/12,JIF,201512,-,-,-,-,-,-,-,26.55,0,-,-,-,-,,
2015/2/13,JIF,201502,26.3,26.35,26.3,26.3,0.05,0.19%,50,26.3,445,26.3,26.4,31.3,25.5,,
2015/2/13,JIF,201503,26.4,26.5,26.3,26.3,0.05,0.19%,66,26.3,473,26,26.3,30.15,26,,
2015/2/13,JIF,201506,-,-,-,-,-,-,-,26.3,13,-,-,30.1,26.9,,
2015/2/13,JIF,201509,-,-,-,-,-,-,-,26.5,0,-,-,-,-,,
2015/2/13,JIF,201512,-,-,-,-,-,-,-,26.6,0,-,-,-,-,,
2015/2/24,JIF,201502,26.6,26.7,26.55,26.55,0.25,0.95%,118,0.0,388,26.45,26.6,31.3,25.5,,
2015/2/24,JIF,201503,26.45,26.7,26.4,26.5,0.2,0.76%,207,26.5,566,26.45,26.5,30.15,26,,
