交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/10/01,JP1,201810  ,41.4,41.4,41.4,41.4,1,2.48%,1.0,41.3,32,41,41.9,41.4,37.25,,一般,,
2018/10/02,JP1,201810  ,41.1,41.1,41.1,41.1,-0.2,-0.48%,1.0,40.1,32,37.2,41.5,41.4,37.25,,一般,,
2018/10/03,JP1,201810  ,39.1,39.1,39.1,39.1,-1,-2.49%,1.0,39.1,33,38.85,39.15,41.4,37.25,,一般,,
2018/10/04,JP1,201810  ,38.55,38.8,38.55,38.8,-0.3,-0.77%,6.0,38.85,28,37.45,38.85,41.4,37.25,,一般,,
2018/10/05,JP1,201810  ,-,-,-,-,-,-,0.0,38.95,28,37.55,38.85,41.4,37.25,,一般,,
2018/10/08,JP1,201810  ,38.6,38.6,38.6,38.6,-0.35,-0.90%,1.0,38.7,27,36.6,41,41.4,37.25,,一般,,
2018/10/09,JP1,201810  ,-,-,-,-,-,-,0.0,38.5,27,37.2,38.8,41.4,37.25,,一般,,
2018/10/11,JP1,201810  ,36.85,37.45,36.65,37.45,-1.05,-2.73%,8.0,37.6,21,36.4,38.8,41.4,36.65,,一般,,
2018/10/12,JP1,201810  ,-,-,-,-,-,-,0.0,37.2,21,36,37.7,41.4,36.65,,一般,,
2018/10/15,JP1,201810  ,37.35,37.35,37.35,37.35,0.15,0.40%,1.0,37.35,20,37.2,37.5,41.4,36.65,,一般,,
2018/10/16,JP1,201810  ,-,-,-,-,-,-,0.0,37.3,20,35.9,38.65,41.4,36.65,,一般,,
2018/10/17,JP1,201810  ,-,-,-,-,-,-,0.0,0,20,37.2,37.55,41.4,36.65,,一般,,
