交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JPF,201501,36.5,36.75,36.5,36.75,-0.05,-0.14%,15,36.75,84,36.55,37.8,37,34.8,,
2015/1/5,JPF,201502,-,-,-,-,-,-,-,36.45,34,36.5,37.4,37.1,34.8,,
2015/1/5,JPF,201503,-,-,-,-,-,-,-,36.2,0,-,-,42,38.1,,
2015/1/5,JPF,201506,-,-,-,-,-,-,-,36.4,0,-,-,-,-,,
2015/1/5,JPF,201509,-,-,-,-,-,-,-,36.95,0,-,-,-,-,,
2015/1/6,JPF,201501,36.1,36.1,35.7,35.7,-1.05,-2.86%,9,35.7,82,35.4,36.5,37,34.8,,
2015/1/6,JPF,201502,36,36,35.85,35.85,-0.6,-1.65%,5,35.85,32,35.8,35.95,37.1,34.8,,
2015/1/6,JPF,201503,-,-,-,-,-,-,-,35.15,0,-,-,42,38.1,,
2015/1/6,JPF,201506,-,-,-,-,-,-,-,35.35,0,-,-,-,-,,
2015/1/6,JPF,201509,-,-,-,-,-,-,-,35.9,0,-,-,-,-,,
2015/1/7,JPF,201501,35.8,35.85,35.75,35.75,0.05,0.14%,33,35.75,69,35.3,36.55,37,34.8,,
2015/1/7,JPF,201502,35.8,35.8,35.8,35.8,-0.05,-0.14%,1,35.8,32,35.1,36,37.1,34.8,,
2015/1/7,JPF,201503,-,-,-,-,-,-,-,35.2,0,-,-,42,38.1,,
2015/1/7,JPF,201506,-,-,-,-,-,-,-,35.4,0,-,-,-,-,,
2015/1/7,JPF,201509,-,-,-,-,-,-,-,35.95,0,-,-,-,-,,
2015/1/8,JPF,201501,36.75,36.9,36.5,36.8,1.05,2.94%,14,36.8,68,36.65,37,37,34.8,,
2015/1/8,JPF,201502,36.65,36.9,36.65,36.9,1.1,3.07%,24,36.9,38,36.1,36.9,37.1,34.8,,
2015/1/8,JPF,201503,-,-,-,-,-,-,-,36.25,0,-,-,42,38.1,,
2015/1/8,JPF,201506,-,-,-,-,-,-,-,36.45,0,-,-,-,-,,
2015/1/8,JPF,201509,-,-,-,-,-,-,-,37.0,0,-,-,-,-,,
2015/1/9,JPF,201501,37,37.05,37,37.05,0.25,0.68%,2,36.95,66,36.5,37.4,37.05,34.8,,
2015/1/9,JPF,201502,37,37,37,37,0.1,0.27%,6,36.95,39,36.5,37.4,37.1,34.8,,
2015/1/9,JPF,201503,-,-,-,-,-,-,-,36.4,0,-,-,42,38.1,,
2015/1/9,JPF,201506,-,-,-,-,-,-,-,36.6,0,-,-,-,-,,
2015/1/9,JPF,201509,-,-,-,-,-,-,-,37.15,0,-,-,-,-,,
2015/1/12,JPF,201501,-,-,-,-,-,-,-,36.8,66,36.45,37.1,37.05,34.8,,
2015/1/12,JPF,201502,-,-,-,-,-,-,-,36.8,39,36.45,37.1,37.1,34.8,,
2015/1/12,JPF,201503,-,-,-,-,-,-,-,36.25,0,-,-,42,38.1,,
