交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/9/14,JW1,201509,43.8,44,43.8,43.9,0.55,1.27%,7,43.9,50,-,44,65,43.2,,
2015/9/14,JW1,201510,43.75,43.75,43.75,43.75,0.6,1.39%,1,43.95,50,43.2,45.15,49.9,43.75,,
2015/9/14,JW1,201512,-,-,-,-,-,-,-,44.35,1,-,-,55.5,47,,
2015/9/15,JW1,201509,43.8,43.8,43.65,43.65,-0.25,-0.57%,2,43.8,50,43.4,-,65,43.2,,
2015/9/15,JW1,201510,-,-,-,-,-,-,-,43.95,50,43.3,43.75,49.9,43.75,,
2015/9/15,JW1,201512,-,-,-,-,-,-,-,44.25,1,-,-,55.5,47,,
2015/9/16,JW1,201509,45.95,45.95,45.95,45.95,2.15,4.91%,3,0.0,47,45,45.9,65,43.2,,
2015/9/16,JW1,201510,45.4,45.4,45.4,45.4,1.45,3.30%,2,45.4,50,45,-,49.9,43.75,,
2015/9/16,JW1,201512,-,-,-,-,-,-,-,45.8,1,-,-,55.5,47,,
2015/9/17,JW1,201510,45.8,45.8,45.8,45.8,0.4,0.88%,1,45.55,49,45.4,45.7,49.9,43.75,,
2015/9/17,JW1,201512,-,-,-,-,-,-,-,45.95,1,-,-,55.5,47,,
2015/9/18,JW1,201510,-,-,-,-,-,-,-,46.0,49,45.55,46.15,49.9,43.75,,
2015/9/18,JW1,201512,-,-,-,-,-,-,-,46.4,1,-,-,55.5,47,,
2015/9/21,JW1,201510,45,45,45,45,-1,-2.17%,3,45.0,46,44.3,45.35,49.9,43.75,,
2015/9/21,JW1,201512,-,-,-,-,-,-,-,45.4,1,-,-,55.5,47,,
2015/9/22,JW1,201510,45.65,45.65,45.05,45.05,0.05,0.11%,10,45.05,43,-,45.7,49.9,43.75,,
2015/9/22,JW1,201512,-,-,-,-,-,-,-,45.45,1,-,-,55.5,47,,
2015/9/23,JW1,201510,44.4,44.4,44.4,44.4,-0.65,-1.44%,1,44.3,43,-,44.3,49.9,43.75,,
2015/9/23,JW1,201512,-,-,-,-,-,-,-,44.7,1,-,-,55.5,47,,
2015/9/24,JW1,201510,44.3,44.3,44.3,44.3,0,0.00%,1,44.2,43,43.55,43.95,49.9,43.75,,
