交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KIF,201501,45,45.2,45,45.2,-0.05,-0.11%,4,45.2,99,44.9,48.35,46.3,42.55,,
2015/1/5,KIF,201502,45.05,45.05,44.8,44.8,-0.25,-0.55%,5,45.0,18,44.85,48,46.35,43.8,,
2015/1/5,KIF,201503,-,-,-,-,-,-,-,45.4,6,-,-,45.45,43.3,,
2015/1/5,KIF,201506,-,-,-,-,-,-,-,45.5,0,-,-,-,-,,
2015/1/5,KIF,201509,-,-,-,-,-,-,-,45.5,0,-,-,-,-,,
2015/1/6,KIF,201501,44.5,44.55,44.05,44.35,-0.85,-1.88%,25,44.35,102,44.25,44.7,46.3,42.55,,
2015/1/6,KIF,201502,44.7,44.7,44.5,44.5,-0.5,-1.11%,10,44.5,27,43.75,45.25,46.35,43.8,,
2015/1/6,KIF,201503,-,-,-,-,-,-,-,44.55,6,-,-,45.45,43.3,,
2015/1/6,KIF,201506,-,-,-,-,-,-,-,44.65,0,-,-,-,-,,
2015/1/6,KIF,201509,-,-,-,-,-,-,-,44.65,0,-,-,-,-,,
2015/1/7,KIF,201501,44.55,44.55,44.55,44.55,0.2,0.45%,1,44.55,101,44.1,45.95,46.3,42.55,,
2015/1/7,KIF,201502,44.5,44.75,44.4,44.75,0.25,0.56%,8,44.75,27,44.15,45.45,46.35,43.8,,
2015/1/7,KIF,201503,-,-,-,-,-,-,-,44.75,6,-,-,45.45,43.3,,
2015/1/7,KIF,201506,-,-,-,-,-,-,-,44.85,0,-,-,-,-,,
2015/1/7,KIF,201509,-,-,-,-,-,-,-,44.85,0,-,-,-,-,,
2015/1/8,KIF,201501,44.9,44.95,44.45,44.95,0.4,0.90%,3,44.95,101,44.8,47.45,46.3,42.55,,
2015/1/8,KIF,201502,44.95,44.95,44.55,44.55,-0.2,-0.45%,2,44.55,29,44.6,47.1,46.35,43.8,,
2015/1/8,KIF,201503,-,-,-,-,-,-,-,45.15,6,-,-,45.45,43.3,,
2015/1/8,KIF,201506,-,-,-,-,-,-,-,45.25,0,-,-,-,-,,
2015/1/8,KIF,201509,-,-,-,-,-,-,-,45.25,0,-,-,-,-,,
2015/1/9,KIF,201501,44.75,44.75,44.55,44.65,-0.3,-0.67%,6,44.65,101,44.5,45.75,46.3,42.55,,
2015/1/9,KIF,201502,44.95,44.95,44.95,44.95,0.4,0.90%,5,44.95,34,44.55,46.3,46.35,43.8,,
2015/1/9,KIF,201503,-,-,-,-,-,-,-,44.85,6,-,-,45.45,43.3,,
2015/1/9,KIF,201506,-,-,-,-,-,-,-,44.95,0,-,-,-,-,,
2015/1/9,KIF,201509,-,-,-,-,-,-,-,44.95,0,-,-,-,-,,
2015/1/12,KIF,201501,44.75,44.75,44.25,44.25,-0.4,-0.90%,9,44.25,104,44.05,44.95,46.3,42.55,,
2015/1/12,KIF,201502,44.5,44.55,44.45,44.45,-0.5,-1.11%,3,44.45,37,44.1,45.5,46.35,43.8,,
2015/1/12,KIF,201503,-,-,-,-,-,-,-,44.45,6,-,-,45.45,43.3,,
2015/1/12,KIF,201506,-,-,-,-,-,-,-,44.55,0,-,-,-,-,,
2015/1/12,KIF,201509,-,-,-,-,-,-,-,44.55,0,-,-,-,-,,
2015/1/13,KIF,201501,-,-,-,-,-,-,-,44.1,104,44.2,44.75,46.3,42.55,,
2015/1/13,KIF,201502,44.4,44.4,44.25,44.35,-0.1,-0.22%,5,44.35,38,44.25,45.3,46.35,43.8,,
2015/1/13,KIF,201503,-,-,-,-,-,-,-,44.3,6,-,-,45.45,43.3,,
2015/1/13,KIF,201506,-,-,-,-,-,-,-,44.4,0,-,-,-,-,,
2015/1/13,KIF,201509,-,-,-,-,-,-,-,44.4,0,-,-,-,-,,
2015/1/14,KIF,201501,44,44,43.95,43.95,-0.15,-0.34%,4,43.95,103,43.85,44,46.3,42.55,,
2015/1/14,KIF,201502,44.25,44.25,43.95,43.95,-0.4,-0.90%,9,43.95,47,43.8,44.55,46.35,43.8,,
2015/1/14,KIF,201503,-,-,-,-,-,-,-,44.15,6,-,-,45.45,43.3,,
2015/1/14,KIF,201506,-,-,-,-,-,-,-,44.25,0,-,-,-,-,,
2015/1/14,KIF,201509,-,-,-,-,-,-,-,44.25,0,-,-,-,-,,
2015/1/15,KIF,201501,44.15,45.1,44.15,44.85,0.9,2.05%,19,45.25,111,45,45.45,46.3,42.55,,
2015/1/15,KIF,201502,44.35,45.2,44.35,45.2,1.25,2.84%,5,45.2,49,44.55,45.95,46.35,43.8,,
2015/1/15,KIF,201503,-,-,-,-,-,-,-,45.45,6,-,-,45.45,43.3,,
2015/1/15,KIF,201506,-,-,-,-,-,-,-,45.55,0,-,-,-,-,,
2015/1/15,KIF,201509,-,-,-,-,-,-,-,45.55,0,-,-,-,-,,
2015/1/16,KIF,201501,44.1,44.1,43.95,43.95,-1.3,-2.87%,14,43.95,109,43.8,45.4,46.3,42.55,,
2015/1/16,KIF,201502,44.5,44.5,44.1,44.15,-1.05,-2.32%,11,44.15,58,43.9,44.35,46.35,43.8,,
2015/1/16,KIF,201503,-,-,-,-,-,-,-,44.15,6,-,-,45.45,43.3,,
2015/1/16,KIF,201506,-,-,-,-,-,-,-,44.25,0,-,-,-,-,,
2015/1/16,KIF,201509,-,-,-,-,-,-,-,44.25,0,-,-,-,-,,
2015/1/19,KIF,201501,44.5,44.5,43.7,43.7,-0.25,-0.57%,2,43.7,109,43.8,44.25,46.3,42.55,,
2015/1/19,KIF,201502,44.65,44.65,43.7,43.8,-0.35,-0.79%,16,43.8,61,43.8,45.3,46.35,43.7,,
2015/1/19,KIF,201503,-,-,-,-,-,-,-,43.9,6,-,-,45.45,43.3,,
2015/1/19,KIF,201506,-,-,-,-,-,-,-,44.0,0,-,-,-,-,,
2015/1/19,KIF,201509,-,-,-,-,-,-,-,44.0,0,-,-,-,-,,
2015/1/20,KIF,201501,44.1,44.2,43.95,44.2,0.5,1.14%,5,44.2,108,44.2,44.65,46.3,42.55,,
2015/1/20,KIF,201502,44.25,44.4,44.25,44.4,0.6,1.37%,5,44.4,60,44.25,46.7,46.35,43.7,,
2015/1/20,KIF,201503,-,-,-,-,-,-,-,44.4,6,-,-,45.45,43.3,,
2015/1/20,KIF,201506,-,-,-,-,-,-,-,44.5,0,-,-,-,-,,
2015/1/20,KIF,201509,-,-,-,-,-,-,-,44.5,0,-,-,-,-,,
2015/1/21,KIF,201501,-,-,-,-,-,-,-,0.0,107,-,44.3,46.3,42.55,,
2015/1/21,KIF,201502,44.2,44.55,44,44.05,-0.35,-0.79%,66,44.05,66,43.85,44.35,46.35,43.7,,
2015/1/21,KIF,201503,-,-,-,-,-,-,-,44.15,6,44.15,44.3,45.45,43.3,,
2015/1/21,KIF,201506,-,-,-,-,-,-,-,44.25,0,-,-,-,-,,
2015/1/21,KIF,201509,-,-,-,-,-,-,-,44.25,0,-,-,-,-,,
2015/1/22,KIF,201502,44.5,44.85,44.5,44.75,0.7,1.59%,12,44.75,65,44.55,45.55,46.35,43.7,,
2015/1/22,KIF,201503,44.7,44.7,44.7,44.7,0.55,1.25%,4,44.7,10,44.45,45,45.45,43.3,,
2015/1/22,KIF,201506,-,-,-,-,-,-,-,44.95,0,-,-,-,-,,
2015/1/22,KIF,201509,-,-,-,-,-,-,-,44.95,0,-,-,-,-,,
2015/1/22,KIF,201512,-,-,-,-,-,-,-,45.15,0,-,-,-,-,,
2015/1/23,KIF,201502,44.75,45.1,44.55,44.9,0.15,0.34%,11,44.9,69,44.65,45.25,46.35,43.7,,
2015/1/23,KIF,201503,44.85,45.2,44.85,44.9,0.2,0.45%,9,44.9,18,44.7,45.1,45.45,43.3,,
2015/1/23,KIF,201506,-,-,-,-,-,-,-,45.1,0,-,-,-,-,,
2015/1/23,KIF,201509,-,-,-,-,-,-,-,45.1,0,-,-,-,-,,
2015/1/23,KIF,201512,-,-,-,-,-,-,-,45.3,0,-,-,-,-,,
2015/1/26,KIF,201502,44.75,44.75,44.6,44.6,-0.3,-0.67%,22,44.6,77,44.5,45.4,46.35,43.7,,
2015/1/26,KIF,201503,-,-,-,-,-,-,-,44.6,18,44.4,44.85,45.45,43.3,,
2015/1/26,KIF,201506,-,-,-,-,-,-,-,44.8,0,-,-,-,-,,
2015/1/26,KIF,201509,-,-,-,-,-,-,-,44.8,0,-,-,-,-,,
2015/1/26,KIF,201512,-,-,-,-,-,-,-,45.0,0,-,-,-,-,,
2015/1/27,KIF,201502,44.75,45.8,44.75,45.75,1.15,2.58%,69,45.75,74,45.65,45.8,46.35,43.7,,
2015/1/27,KIF,201503,45.6,45.6,45.6,45.6,1,2.24%,2,45.6,20,45.65,46.1,45.6,43.3,,
2015/1/27,KIF,201506,-,-,-,-,-,-,-,45.95,0,-,-,-,-,,
2015/1/27,KIF,201509,-,-,-,-,-,-,-,45.95,0,-,-,-,-,,
2015/1/27,KIF,201512,-,-,-,-,-,-,-,46.15,0,-,-,-,-,,
2015/1/28,KIF,201502,45.8,46.3,45.55,45.55,-0.2,-0.44%,26,45.55,81,45.6,46.05,46.35,43.7,,
2015/1/28,KIF,201503,46,46,45.8,45.8,0.2,0.44%,2,45.8,20,45.65,46.1,46,43.3,,
2015/1/28,KIF,201506,-,-,-,-,-,-,-,45.75,0,-,-,-,-,,
2015/1/28,KIF,201509,-,-,-,-,-,-,-,45.75,0,-,-,-,-,,
2015/1/28,KIF,201512,-,-,-,-,-,-,-,45.95,0,-,-,-,-,,
2015/1/29,KIF,201502,45.2,45.35,45.2,45.35,-0.2,-0.44%,5,45.35,79,44.9,45.2,46.35,43.7,,
2015/1/29,KIF,201503,45.25,45.25,45.25,45.25,-0.55,-1.20%,2,45.25,22,44.95,45.4,46,43.3,,
2015/1/29,KIF,201506,-,-,-,-,-,-,-,45.55,0,-,-,-,-,,
2015/1/29,KIF,201509,-,-,-,-,-,-,-,45.55,0,-,-,-,-,,
2015/1/29,KIF,201512,-,-,-,-,-,-,-,45.75,0,-,-,-,-,,
2015/1/30,KIF,201502,45.2,45.2,45.1,45.1,-0.25,-0.55%,4,45.1,80,44.9,45.45,46.35,43.7,,
2015/1/30,KIF,201503,45.15,45.15,45.15,45.15,-0.1,-0.22%,2,45.15,22,44.95,45.45,46,43.3,,
2015/1/30,KIF,201506,-,-,-,-,-,-,-,45.3,0,-,-,-,-,,
2015/1/30,KIF,201509,-,-,-,-,-,-,-,45.3,0,-,-,-,-,,
2015/1/30,KIF,201512,-,-,-,-,-,-,-,45.5,0,-,-,-,-,,
2015/2/2,KIF,201502,45,45,44.7,44.7,-0.4,-0.89%,4,44.7,81,43.7,46.2,46.35,43.7,,
2015/2/2,KIF,201503,44.75,44.8,44.75,44.8,-0.35,-0.78%,3,44.8,25,44.75,45.2,46,43.3,,
2015/2/2,KIF,201506,-,-,-,-,-,-,-,44.9,0,-,-,-,-,,
2015/2/2,KIF,201509,-,-,-,-,-,-,-,44.9,0,-,-,-,-,,
2015/2/2,KIF,201512,-,-,-,-,-,-,-,45.1,0,-,-,-,-,,
