交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KKF,201501,17.65,18.15,17.65,18.15,0.25,1.40%,34,18.15,45,17.95,18.45,18.15,15.55,,
2015/1/5,KKF,201502,17.65,18.15,17.65,18.1,0.1,0.56%,45,18.1,40,17.9,18.4,18.15,16.8,,
2015/1/5,KKF,201503,-,-,-,-,-,-,-,18.25,0,-,-,22.6,20.5,,
2015/1/5,KKF,201506,-,-,-,-,-,-,-,18.35,0,-,-,-,-,,
2015/1/5,KKF,201509,-,-,-,-,-,-,-,18.35,0,-,-,-,-,,
2015/1/6,KKF,201501,18,18,17.75,17.75,-0.4,-2.20%,29,17.75,38,17.45,17.9,18.15,15.55,,
2015/1/6,KKF,201502,17.85,17.85,17.8,17.8,-0.3,-1.66%,29,17.8,21,17.45,17.9,18.15,16.8,,
2015/1/6,KKF,201503,-,-,-,-,-,-,-,17.85,0,-,-,22.6,20.5,,
2015/1/6,KKF,201506,-,-,-,-,-,-,-,17.95,0,-,-,-,-,,
2015/1/6,KKF,201509,-,-,-,-,-,-,-,17.95,0,-,-,-,-,,
2015/1/7,KKF,201501,17.7,17.7,17.6,17.6,-0.15,-0.85%,25,17.6,40,17.45,17.9,18.15,15.55,,
2015/1/7,KKF,201502,17.6,17.8,17.6,17.8,0,0.00%,35,17.8,31,17.45,17.9,18.15,16.8,,
2015/1/7,KKF,201503,-,-,-,-,-,-,-,17.7,0,-,-,22.6,20.5,,
2015/1/7,KKF,201506,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/7,KKF,201509,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/8,KKF,201501,18.15,18.5,18.1,18.2,0.6,3.41%,58,18.2,44,17.85,18.3,18.5,15.55,,
2015/1/8,KKF,201502,18.15,18.5,18.1,18.1,0.3,1.69%,52,18.1,36,17.85,18.4,18.5,16.8,,
2015/1/8,KKF,201503,-,-,-,-,-,-,-,18.3,0,-,-,22.6,20.5,,
2015/1/8,KKF,201506,-,-,-,-,-,-,-,18.4,0,-,-,-,-,,
2015/1/8,KKF,201509,-,-,-,-,-,-,-,18.4,0,-,-,-,-,,
2015/1/9,KKF,201501,18.25,18.3,18.15,18.2,0,0.00%,23,18.0,41,17.7,18.25,18.5,15.55,,
2015/1/9,KKF,201502,18.25,18.25,18.1,18.1,0,0.00%,2,18.1,36,17.75,18.35,18.5,16.8,,
2015/1/9,KKF,201503,-,-,-,-,-,-,-,18.1,0,-,-,22.6,20.5,,
2015/1/9,KKF,201506,-,-,-,-,-,-,-,18.2,0,-,-,-,-,,
2015/1/9,KKF,201509,-,-,-,-,-,-,-,18.2,0,-,-,-,-,,
2015/1/12,KKF,201501,17.65,17.7,17.65,17.7,-0.3,-1.67%,10,17.7,41,17.35,19.2,18.5,15.55,,
2015/1/12,KKF,201502,17.8,17.8,17.65,17.7,-0.4,-2.21%,18,17.7,31,17.35,19.35,18.5,16.8,,
2015/1/12,KKF,201503,-,-,-,-,-,-,-,17.8,0,-,-,22.6,20.5,,
2015/1/12,KKF,201506,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
