交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/13,KP1,201507,42,43.2,41.75,42.15,1.15,2.80%,21,42.95,146,42.1,45.1,50.2,41.75,,
2015/7/13,KP1,201508,43,43,43,43,2.1,5.13%,2,42.35,88,-,44.95,49.6,43,,
2015/7/14,KP1,201507,42.85,44,42.8,43.45,0.5,1.16%,36,43.2,141,-,47.15,50.2,41.75,,
2015/7/14,KP1,201508,42.75,43.1,42.75,43.1,0.75,1.77%,10,43.25,88,-,-,49.6,42.75,,
2015/7/15,KP1,201507,43,43,41.7,41.85,-1.35,-3.13%,64,0.0,101,38.9,42.6,50.2,41.7,,
2015/7/15,KP1,201508,42.15,42.15,41.85,41.85,-1.4,-3.24%,20,42.0,88,38.95,41.85,49.6,41.85,,
2015/7/16,KP1,201508,42.25,42.25,42,42,0,0.00%,12,42.0,89,37.8,42.2,49.6,41.85,,
2015/7/17,KP1,201508,-,-,-,-,-,-,-,41.9,89,37.8,46.2,49.6,41.85,,
2015/7/20,KP1,201508,41.2,41.2,40.8,40.8,-1.1,-2.63%,2,40.8,89,-,40.8,49.6,40.8,,
2015/7/21,KP1,201508,41.15,41.2,41.15,41.2,0.4,0.98%,2,40.8,89,-,-,49.6,40.8,,
2015/7/22,KP1,201508,-,-,-,-,-,-,-,41.25,89,-,44.85,49.6,40.8,,
2015/7/23,KP1,201508,40.95,40.95,40.65,40.85,-0.4,-0.97%,18,41.1,89,40.75,-,49.6,40.65,,
2015/7/24,KP1,201508,40.8,41,40.8,40.85,-0.25,-0.61%,22,41.0,94,-,-,49.6,40.65,,
2015/7/27,KP1,201508,40.3,40.3,40.3,40.3,-0.7,-1.71%,3,40.5,94,-,-,49.6,40.3,,
2015/7/28,KP1,201508,39.45,40.4,39.45,39.85,-0.65,-1.60%,13,40.15,100,-,-,49.6,39.45,,
2015/7/29,KP1,201508,-,-,-,-,-,-,-,40.5,100,-,-,49.6,39.45,,
2015/7/30,KP1,201508,-,-,-,-,-,-,-,40.05,100,-,-,49.6,39.45,,
2015/7/31,KP1,201508,-,-,-,-,-,-,-,40.0,100,-,-,49.6,39.45,,
2015/8/3,KP1,201508,-,-,-,-,-,-,-,39.9,100,-,-,49.6,39.45,,
2015/8/4,KP1,201508,-,-,-,-,-,-,-,39.85,100,-,-,49.6,39.45,,
2015/8/5,KP1,201508,-,-,-,-,-,-,-,39.55,100,-,-,49.6,39.45,,
2015/8/6,KP1,201508,38.95,38.95,38.95,38.95,-0.6,-1.52%,1,38.95,100,-,39,49.6,38.95,,
2015/8/7,KP1,201508,-,-,-,-,-,-,-,38.7,100,-,39.1,49.6,38.95,,
2015/8/10,KP1,201508,38.85,38.85,38.85,38.85,0.15,0.39%,4,38.8,100,38.6,38.95,49.6,38.85,,
2015/8/11,KP1,201508,-,-,-,-,-,-,-,38.8,100,38.6,39,49.6,38.85,,
2015/8/12,KP1,201508,38.45,38.45,38.45,38.45,-0.35,-0.90%,1,38.05,100,38.15,-,49.6,38.45,,
2015/8/13,KP1,201508,-,-,-,-,-,-,-,38.3,100,-,38.45,49.6,38.45,,
2015/8/14,KP1,201508,-,-,-,-,-,-,-,38.5,100,-,-,49.6,38.45,,
2015/8/17,KP1,201508,-,-,-,-,-,-,-,38.35,100,37.9,38.35,49.6,38.45,,
2015/8/18,KP1,201508,36.8,36.8,36.25,36.25,-2.1,-5.48%,10,36.25,95,36.15,36.25,49.6,36.25,,
2015/8/19,KP1,201508,34.4,34.4,34.4,34.4,-1.85,-5.10%,16,0.0,79,34.3,34.55,49.6,34.4,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/8/31,KP1,201709,28.45,29.5,28.45,29.5,1.1,3.87%,452,29.55,665,29.45,29.6,34.9,28.45,,一般,,
2017/8/31,KP1,201710,28.75,29.55,28.75,29.5,1.2,4.24%,24,29.5,59,29.4,29.65,34.15,28.75,,一般,,
2017/9/1,KP1,201709,29.45,29.5,29.4,29.45,-0.1,-0.34%,290,29.45,381,29.3,29.5,34.9,28.45,,一般,,
2017/9/1,KP1,201710,-,-,-,-,-,-,0,29.5,59,28.8,29.5,34.15,28.75,,一般,,
2017/9/4,KP1,201709,29.35,29.4,29.15,29.2,-0.25,-0.85%,191,29.1,250,29.05,29.2,34.9,28.45,,一般,,
2017/9/4,KP1,201710,-,-,-,-,-,-,0,29.15,59,27.95,29.25,34.15,28.75,,一般,,
2017/9/5,KP1,201709,29.1,29.2,29.1,29.2,0.1,0.34%,43,29.25,221,29.1,29.25,34.9,28.45,,一般,,
2017/9/5,KP1,201710,-,-,-,-,-,-,0,29.2,59,29,29.25,34.15,28.75,,一般,,
2017/9/6,KP1,201709,29.2,29.2,29,29.1,-0.15,-0.51%,32,29.15,204,28.95,29.15,34.9,28.45,,一般,,
2017/9/6,KP1,201710,29.1,29.1,29.1,29.1,-0.1,-0.34%,1,29.2,60,28.55,29.3,34.15,28.75,,一般,,
2017/9/7,KP1,201709,29.15,29.15,29.05,29.05,-0.1,-0.34%,16,29.05,191,28.1,29.05,34.9,28.45,,一般,,
2017/9/7,KP1,201710,-,-,-,-,-,-,0,29.1,60,27.95,29.1,34.15,28.75,,一般,,
2017/9/8,KP1,201709,29.05,29.1,29.05,29.1,0.05,0.17%,4,29.1,190,28.95,29.15,34.9,28.45,,一般,,
2017/9/8,KP1,201710,-,-,-,-,-,-,0,29.05,60,28.95,29.15,34.15,28.75,,一般,,
2017/9/11,KP1,201709,-,-,-,-,-,-,0,29.05,190,28.1,29.1,34.9,28.45,,一般,,
2017/9/11,KP1,201710,29,29,29,29,-0.05,-0.17%,3,29,57,28.85,29.1,34.15,28.75,,一般,,
2017/9/12,KP1,201709,29.1,29.1,29.1,29.1,0.05,0.17%,2,29.1,188,28.9,29.2,34.9,28.45,,一般,,
2017/9/12,KP1,201710,28.95,28.95,28.95,28.95,-0.05,-0.17%,2,29.05,57,28.85,29.35,34.15,28.75,,一般,,
2017/9/13,KP1,201709,-,-,-,-,-,-,0,29,188,28.85,29,34.9,28.45,,一般,,
2017/9/13,KP1,201710,28.9,28.9,28.9,28.9,-0.15,-0.52%,2,29,55,28.85,29,34.15,28.75,,一般,,
2017/9/14,KP1,201709,28.8,28.8,28.8,28.8,-0.2,-0.69%,1,28.85,187,28.7,28.9,34.9,28.45,,一般,,
2017/9/14,KP1,201710,28.75,28.75,28.75,28.75,-0.25,-0.86%,5,28.85,60,28.75,28.95,34.15,28.75,,一般,,
2017/9/15,KP1,201709,28.6,28.6,28.5,28.55,-0.3,-1.04%,18,28.6,187,28.45,28.8,34.9,28.45,,一般,,
2017/9/15,KP1,201710,28.6,28.6,28.55,28.55,-0.3,-1.04%,10,28.65,60,28.5,28.7,34.15,28.55,,一般,,
2017/9/18,KP1,201709,-,-,-,-,-,-,0,29.05,187,28.85,29.15,34.9,28.45,,一般,,
2017/9/18,KP1,201710,-,-,-,-,-,-,0,29.05,60,28.8,29.1,34.15,28.55,,一般,,
2017/9/19,KP1,201709,28.95,28.95,28.95,28.95,-0.1,-0.34%,3,28.85,188,28.85,29,34.9,28.45,,一般,,
2017/9/19,KP1,201710,28.9,28.9,28.9,28.9,-0.15,-0.52%,1,28.85,61,28.7,29,34.15,28.55,,一般,,
2017/9/20,KP1,201709,28.6,28.6,28.6,28.6,-0.25,-0.87%,1,0,188,28.55,28.7,34.9,28.45,,一般,,
2017/9/20,KP1,201710,28.65,28.65,28.65,28.65,-0.2,-0.69%,5,28.65,66,28.55,28.65,34.15,28.55,,一般,,
