交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KTF,201501,-,-,-,-,-,-,-,71.5,20,70.7,75.6,75.3,68.3,,
2015/1/5,KTF,201502,-,-,-,-,-,-,-,71.8,6,70.7,73.9,73,69.7,,
2015/1/5,KTF,201503,-,-,-,-,-,-,-,72.5,0,-,-,-,-,,
2015/1/5,KTF,201506,-,-,-,-,-,-,-,72.1,4,-,-,76,68.6,,
2015/1/5,KTF,201509,-,-,-,-,-,-,-,72.4,2,-,-,68.4,68.4,,
2015/1/6,KTF,201501,70.8,70.8,70.6,70.6,-0.9,-1.26%,3,70.6,23,70,75.6,75.3,68.3,,
2015/1/6,KTF,201502,-,-,-,-,-,-,-,70.9,6,70,73.9,73,69.7,,
2015/1/6,KTF,201503,-,-,-,-,-,-,-,71.6,0,-,-,-,-,,
2015/1/6,KTF,201506,-,-,-,-,-,-,-,71.2,4,-,-,76,68.6,,
2015/1/6,KTF,201509,-,-,-,-,-,-,-,71.5,2,-,-,68.4,68.4,,
2015/1/7,KTF,201501,-,-,-,-,-,-,-,70.7,23,69.9,71.4,75.3,68.3,,
2015/1/7,KTF,201502,70.8,70.8,70.8,70.8,-0.1,-0.14%,1,70.8,5,69.9,71.5,73,69.7,,
2015/1/7,KTF,201503,-,-,-,-,-,-,-,71.7,0,-,-,-,-,,
2015/1/7,KTF,201506,-,-,-,-,-,-,-,71.3,4,-,-,76,68.6,,
2015/1/7,KTF,201509,-,-,-,-,-,-,-,71.6,2,-,-,68.4,68.4,,
2015/1/8,KTF,201501,-,-,-,-,-,-,-,71.5,23,70.8,72.2,75.3,68.3,,
2015/1/8,KTF,201502,71.7,71.7,71.5,71.5,0.7,0.99%,3,71.5,7,70.8,72.3,73,69.7,,
2015/1/8,KTF,201503,-,-,-,-,-,-,-,72.5,0,-,-,-,-,,
2015/1/8,KTF,201506,-,-,-,-,-,-,-,72.1,4,-,-,76,68.6,,
2015/1/8,KTF,201509,-,-,-,-,-,-,-,72.4,2,-,-,68.4,68.4,,
2015/1/9,KTF,201501,72.6,73.8,72.4,73.1,1.6,2.24%,55,73.1,14,72.1,73.2,75.3,68.3,,
2015/1/9,KTF,201502,72.3,73.4,72,72.8,1.3,1.82%,34,72.8,7,72.1,73,73.4,69.7,,
2015/1/9,KTF,201503,-,-,-,-,-,-,-,74.1,0,-,-,-,-,,
2015/1/9,KTF,201506,-,-,-,-,-,-,-,73.7,4,-,-,76,68.6,,
2015/1/9,KTF,201509,-,-,-,-,-,-,-,74.0,2,-,-,68.4,68.4,,
2015/1/12,KTF,201501,72.9,72.9,72.9,72.9,-0.2,-0.27%,1,72.6,15,71.9,73.3,75.3,68.3,,
2015/1/12,KTF,201502,-,-,-,-,-,-,-,72.6,7,71.7,73.5,73.4,69.7,,
2015/1/12,KTF,201503,-,-,-,-,-,-,-,73.6,0,-,-,-,-,,
2015/1/12,KTF,201506,-,-,-,-,-,-,-,73.2,4,-,-,76,68.6,,
