交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/08/02,KUF,202108  ,38,39.55,37.95,39.55,1.4,3.67%,92.0,39.55,70,39.5,39.6,39.55,37.95,,一般,,
2021/08/02,KUF,202109  ,38.1,39.3,38.1,39.3,1.2,3.15%,4.0,39.3,4,39.35,39.55,39.3,38.1,,一般,,
2021/08/02,KUF,202112  ,-,-,-,-,-,-,0.0,39.65,0,39.05,39.65,-,-,,一般,,
2021/08/02,KUF,202203  ,-,-,-,-,-,-,0.0,39.5,0,38.4,40.6,-,-,,一般,,
2021/08/02,KUF,202206  ,-,-,-,-,-,-,0.0,39.6,0,36.5,40.6,-,-,,一般,,
2021/08/03,KUF,202108  ,39.05,39.5,38.6,39.25,-0.3,-0.76%,121.0,39.25,152,39.05,39.3,39.55,37.95,,一般,,
2021/08/03,KUF,202109  ,38.65,38.65,38.45,38.45,-0.85,-2.16%,10.0,39.05,12,38.85,39.25,39.3,38.1,,一般,,
2021/08/03,KUF,202112  ,-,-,-,-,-,-,0.0,39.35,0,38.6,39.35,-,-,,一般,,
2021/08/03,KUF,202203  ,-,-,-,-,-,-,0.0,39.2,0,-,40.3,-,-,,一般,,
2021/08/03,KUF,202206  ,-,-,-,-,-,-,0.0,39.3,0,-,40.1,-,-,,一般,,
2021/08/04,KUF,202108  ,39,39.65,38.7,39.45,0.2,0.51%,47.0,39.45,158,39.45,39.6,39.65,37.95,,一般,,
2021/08/04,KUF,202109  ,39,39,39,39,-0.05,-0.13%,2.0,39.35,12,39.2,39.5,39.3,38.1,,一般,,
2021/08/04,KUF,202112  ,-,-,-,-,-,-,0.0,39.35,0,39,39.65,-,-,,一般,,
2021/08/04,KUF,202203  ,-,-,-,-,-,-,0.0,39.4,0,-,40.6,-,-,,一般,,
2021/08/04,KUF,202206  ,-,-,-,-,-,-,0.0,39.5,0,-,40.4,-,-,,一般,,
2021/08/05,KUF,202108  ,39.3,39.3,38.1,38.45,-1,-2.53%,58.0,38.45,198,38.2,38.7,39.65,37.95,,一般,,
2021/08/05,KUF,202109  ,38.2,38.2,37.9,37.9,-1.45,-3.68%,6.0,37.9,15,37.95,38.55,39.3,37.9,,一般,,
2021/08/05,KUF,202112  ,-,-,-,-,-,-,0.0,38.35,0,37.75,38.75,-,-,,一般,,
2021/08/05,KUF,202203  ,-,-,-,-,-,-,0.0,38.4,0,-,39.7,-,-,,一般,,
2021/08/05,KUF,202206  ,-,-,-,-,-,-,0.0,38.5,0,36.5,39.5,-,-,,一般,,
2021/08/06,KUF,202108  ,38.8,39.6,38.6,38.65,0.2,0.52%,127.0,38.65,232,38.6,38.9,39.65,37.95,,一般,,
2021/08/06,KUF,202109  ,39.05,39.05,39.05,39.05,1.15,3.03%,1.0,38.6,16,38.35,38.8,39.3,37.9,,一般,,
2021/08/06,KUF,202112  ,-,-,-,-,-,-,0.0,38.55,0,38.15,38.95,-,-,,一般,,
2021/08/06,KUF,202203  ,-,-,-,-,-,-,0.0,38.6,0,-,39.8,-,-,,一般,,
2021/08/06,KUF,202206  ,-,-,-,-,-,-,0.0,38.7,0,38.5,39.8,-,-,,一般,,
2021/08/09,KUF,202108  ,38.75,39.8,38.75,39.3,0.65,1.68%,127.0,39.3,187,39.15,39.8,39.8,37.95,,一般,,
2021/08/09,KUF,202109  ,39.1,39.6,39.1,39.15,0.55,1.42%,42.0,39.15,30,39.1,39.8,39.6,37.9,,一般,,
2021/08/09,KUF,202112  ,-,-,-,-,-,-,0.0,39.2,0,38.7,39.85,-,-,,一般,,
2021/08/09,KUF,202203  ,-,-,-,-,-,-,0.0,39.25,0,-,40.8,-,-,,一般,,
2021/08/09,KUF,202206  ,-,-,-,-,-,-,0.0,39.35,0,36.5,40.6,-,-,,一般,,
2021/08/10,KUF,202108  ,39.15,39.65,37.5,37.65,-1.65,-4.20%,114.0,37.65,214,37.65,37.85,39.8,37.5,,一般,,
2021/08/10,KUF,202109  ,38.9,38.9,37.45,37.45,-1.7,-4.34%,29.0,37.45,32,37.4,37.75,39.6,37.45,,一般,,
2021/08/10,KUF,202112  ,-,-,-,-,-,-,0.0,37.55,0,37.2,37.9,-,-,,一般,,
2021/08/10,KUF,202203  ,38,38,38,38,-1.25,-3.18%,1.0,38,1,37.5,38.75,38,38,,一般,,
2021/08/10,KUF,202206  ,38.2,38.2,38.2,38.2,-1.15,-2.92%,1.0,38.2,1,36.5,38.65,38.2,38.2,,一般,,
2021/08/11,KUF,202108  ,37.8,38,36.05,37.25,-0.4,-1.06%,73.0,37.25,190,36.5,38,39.8,36.05,,一般,,
2021/08/11,KUF,202109  ,36.6,37.05,36.1,37.05,-0.4,-1.07%,7.0,37.05,32,36.3,37.9,39.6,36.1,,一般,,
2021/08/11,KUF,202112  ,-,-,-,-,-,-,0.0,37.15,0,36.05,38.05,-,-,,一般,,
2021/08/11,KUF,202203  ,-,-,-,-,-,-,0.0,37.6,1,-,39,38,38,,一般,,
2021/08/11,KUF,202206  ,-,-,-,-,-,-,0.0,37.8,1,-,38.8,38.2,38.2,,一般,,
2021/08/12,KUF,202108  ,37.2,37.3,37.2,37.25,0,0.00%,6.0,37.25,194,36.85,37.25,39.8,36.05,,一般,,
2021/08/12,KUF,202109  ,-,-,-,-,-,-,0.0,37.05,32,36.65,37.15,39.6,36.1,,一般,,
2021/08/12,KUF,202112  ,-,-,-,-,-,-,0.0,37.15,0,36.4,37.3,-,-,,一般,,
2021/08/12,KUF,202203  ,-,-,-,-,-,-,0.0,37.6,1,-,38.05,38,38,,一般,,
2021/08/12,KUF,202206  ,-,-,-,-,-,-,0.0,37.8,1,-,38.05,38.2,38.2,,一般,,
