交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LCF,201501,104,104,104,104,-0.5,-0.48%,1,104.0,7,103,104.5,104,97.6,,
2015/1/5,LCF,201502,-,-,-,-,-,-,-,104.0,11,102.5,105,103,99.9,,
2015/1/5,LCF,201503,-,-,-,-,-,-,-,104.0,7,-,-,94.2,90.4,,
2015/1/5,LCF,201506,-,-,-,-,-,-,-,103.0,8,-,-,100,90.4,,
2015/1/5,LCF,201509,-,-,-,-,-,-,-,104.0,0,-,-,-,-,,
2015/1/6,LCF,201501,102.5,102.5,102.5,102.5,-1.5,-1.44%,1,102.5,8,100.5,103.5,104,97.6,,
2015/1/6,LCF,201502,102,102,102,102,-2,-1.92%,1,102.0,11,100,102.5,103,99.9,,
2015/1/6,LCF,201503,-,-,-,-,-,-,-,102.5,7,-,-,94.2,90.4,,
2015/1/6,LCF,201506,-,-,-,-,-,-,-,101.5,8,-,-,100,90.4,,
2015/1/6,LCF,201509,-,-,-,-,-,-,-,102.5,0,-,-,-,-,,
2015/1/7,LCF,201501,100,101,100,101,-1.5,-1.46%,11,101.0,9,99.2,101.5,104,97.6,,
2015/1/7,LCF,201502,101,101,101,101,-1,-0.98%,13,101.0,14,99.2,101.5,103,99.9,,
2015/1/7,LCF,201503,-,-,-,-,-,-,-,101.0,7,-,-,94.2,90.4,,
2015/1/7,LCF,201506,-,-,-,-,-,-,-,100.0,8,-,101.5,100,90.4,,
2015/1/7,LCF,201509,-,-,-,-,-,-,-,101.0,0,-,-,-,-,,
2015/1/8,LCF,201501,103,104,103,104,3,2.97%,4,104.0,10,103,105.5,104,97.6,,
2015/1/8,LCF,201502,102,104,102,104,3,2.97%,8,104.0,11,103,106,104,99.9,,
2015/1/8,LCF,201503,-,-,-,-,-,-,-,104.0,7,-,-,94.2,90.4,,
2015/1/8,LCF,201506,-,-,-,-,-,-,-,103.0,8,-,-,100,90.4,,
2015/1/8,LCF,201509,-,-,-,-,-,-,-,104.0,0,-,-,-,-,,
2015/1/9,LCF,201501,106,106,106,106,2,1.92%,2,106.0,8,102.5,107,106,97.6,,
2015/1/9,LCF,201502,106,106,106,106,2,1.92%,1,106.0,10,104,107,106,99.9,,
2015/1/9,LCF,201503,-,-,-,-,-,-,-,106.0,7,-,-,94.2,90.4,,
2015/1/9,LCF,201506,-,-,-,-,-,-,-,105.0,8,-,106,100,90.4,,
2015/1/9,LCF,201509,-,-,-,-,-,-,-,106.0,0,-,-,-,-,,
2015/1/12,LCF,201501,107,109.5,107,108,2,1.89%,19,108.0,16,107,108.5,109.5,97.6,,
2015/1/12,LCF,201502,106,110,106,110,4,3.77%,13,107.5,12,106,108.5,110,99.9,,
2015/1/12,LCF,201503,-,-,-,-,-,-,-,108.0,7,-,-,94.2,90.4,,
2015/1/12,LCF,201506,-,-,-,-,-,-,-,107.0,8,-,108.5,100,90.4,,
2015/1/12,LCF,201509,-,-,-,-,-,-,-,108.0,0,-,-,-,-,,
2015/1/13,LCF,201501,109,112.5,109,111,3,2.78%,52,111.0,24,109.5,111,112.5,97.6,,
2015/1/13,LCF,201502,109.5,113,109.5,110,2.5,2.33%,50,110.0,12,109.5,110.5,113,99.9,,
2015/1/13,LCF,201503,110,110,110,110,2,1.85%,4,110.0,3,109,113,110,90.4,,
2015/1/13,LCF,201506,110,110,110,110,3,2.80%,1,110.0,7,-,110.5,110,90.4,,
2015/1/13,LCF,201509,-,-,-,-,-,-,-,111.0,0,-,-,-,-,,
2015/1/14,LCF,201501,111,111,106.5,107.5,-3.5,-3.15%,18,107.5,22,106.5,108.5,112.5,97.6,,
2015/1/14,LCF,201502,108,108,107,107,-3,-2.73%,6,107.0,17,108,108.5,113,99.9,,
2015/1/14,LCF,201503,-,-,-,-,-,-,-,106.5,3,-,-,110,90.4,,
2015/1/14,LCF,201506,-,-,-,-,-,-,-,106.5,7,-,108.5,110,90.4,,
2015/1/14,LCF,201509,-,-,-,-,-,-,-,107.5,0,-,-,-,-,,
2015/1/15,LCF,201501,107,107,104,106,-1.5,-1.40%,41,106.0,18,104.5,107,112.5,97.6,,
2015/1/15,LCF,201502,107,107,104,106,-1,-0.93%,27,106.0,19,105,107,113,99.9,,
2015/1/15,LCF,201503,-,-,-,-,-,-,-,105.0,3,-,-,110,90.4,,
2015/1/15,LCF,201506,-,-,-,-,-,-,-,105.0,7,-,107,110,90.4,,
2015/1/15,LCF,201509,-,-,-,-,-,-,-,106.0,0,-,-,-,-,,
2015/1/16,LCF,201501,105,107,105,107,1,0.94%,29,107.0,16,105.5,108.5,112.5,97.6,,
2015/1/16,LCF,201502,105,107,104.5,106.5,0.5,0.47%,19,106.5,25,105,109,113,99.9,,
2015/1/16,LCF,201503,-,-,-,-,-,-,-,106.0,3,-,-,110,90.4,,
2015/1/16,LCF,201506,-,-,-,-,-,-,-,106.0,7,-,109,110,90.4,,
2015/1/16,LCF,201509,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/1/19,LCF,201501,-,-,-,-,-,-,-,107.5,16,105,109.5,112.5,97.6,,
2015/1/19,LCF,201502,107,107,107,107,0.5,0.47%,3,107.0,23,106.5,109.5,113,99.9,,
2015/1/19,LCF,201503,-,-,-,-,-,-,-,106.5,3,-,-,110,90.4,,
2015/1/19,LCF,201506,107,107,107,107,1,0.94%,1,107.0,6,-,-,110,90.4,,
2015/1/19,LCF,201509,-,-,-,-,-,-,-,107.5,0,-,-,-,-,,
2015/1/20,LCF,201501,-,-,-,-,-,-,-,105.5,16,105.5,107.5,112.5,97.6,,
2015/1/20,LCF,201502,107,107,106,106,-1,-0.93%,12,106.0,28,106,106.5,113,99.9,,
2015/1/20,LCF,201503,-,-,-,-,-,-,-,104.5,3,-,-,110,90.4,,
2015/1/20,LCF,201506,-,-,-,-,-,-,-,105.0,6,-,-,110,90.4,,
2015/1/20,LCF,201509,-,-,-,-,-,-,-,105.5,0,-,-,-,-,,
2015/1/21,LCF,201501,-,-,-,-,-,-,-,0.0,16,107,108.5,112.5,97.6,,
2015/1/21,LCF,201502,107,107.5,107,107.5,1.5,1.42%,18,107.5,28,106.5,109,113,99.9,,
