交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/8/28,LG1,201509,-,-,-,-,-,-,-,44.25,9,-,-,55.8,42.55,,
2015/8/31,LG1,201509,-,-,-,-,-,-,-,43.05,9,-,-,55.8,42.55,,
2015/9/1,LG1,201509,-,-,-,-,-,-,-,43.45,9,-,-,55.8,42.55,,
2015/9/2,LG1,201509,-,-,-,-,-,-,-,43.75,9,-,-,55.8,42.55,,
2015/9/3,LG1,201509,-,-,-,-,-,-,-,44.25,9,-,-,55.8,42.55,,
2015/9/4,LG1,201509,-,-,-,-,-,-,-,43.85,9,-,-,55.8,42.55,,
2015/9/7,LG1,201509,-,-,-,-,-,-,-,44.0,9,-,-,55.8,42.55,,
2015/9/8,LG1,201509,-,-,-,-,-,-,-,44.35,9,44.3,44.9,55.8,42.55,,
2015/9/9,LG1,201509,-,-,-,-,-,-,-,44.95,9,45.25,45.85,55.8,42.55,,
2015/9/10,LG1,201509,-,-,-,-,-,-,-,45.85,9,45.55,46.15,55.8,42.55,,
2015/9/11,LG1,201509,-,-,-,-,-,-,-,45.45,9,45.05,45.6,55.8,42.55,,
2015/9/14,LG1,201509,-,-,-,-,-,-,-,45.5,9,45.1,-,55.8,42.55,,
2015/9/15,LG1,201509,-,-,-,-,-,-,-,45.45,9,45.15,45.7,55.8,42.55,,
2015/9/16,LG1,201509,-,-,-,-,-,-,-,0.0,9,-,-,55.8,42.55,,
