交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LKF,201501,-,-,-,-,-,-,-,86.4,1,85.7,87,90.2,85,,
2015/1/5,LKF,201502,-,-,-,-,-,-,-,85.9,0,85.7,86.9,87.3,85,,
2015/1/5,LKF,201503,-,-,-,-,-,-,-,85.6,0,-,-,-,-,,
2015/1/5,LKF,201506,-,-,-,-,-,-,-,86.4,0,-,-,-,-,,
2015/1/5,LKF,201509,-,-,-,-,-,-,-,86.5,0,-,-,-,-,,
2015/1/6,LKF,201501,85.4,85.4,85.4,85.4,-1,-1.16%,4,85.4,5,84.5,85.5,90.2,85,,
2015/1/6,LKF,201502,85.4,85.4,85.4,85.4,-0.5,-0.58%,5,85.4,5,84.5,85.5,87.3,85,,
2015/1/6,LKF,201503,-,-,-,-,-,-,-,84.6,0,-,-,-,-,,
2015/1/6,LKF,201506,-,-,-,-,-,-,-,85.4,0,-,-,-,-,,
2015/1/6,LKF,201509,-,-,-,-,-,-,-,85.5,0,-,-,-,-,,
2015/1/7,LKF,201501,-,-,-,-,-,-,-,85.5,5,84.4,85.4,90.2,85,,
2015/1/7,LKF,201502,-,-,-,-,-,-,-,85.5,5,84.3,85.4,87.3,85,,
2015/1/7,LKF,201503,-,-,-,-,-,-,-,84.7,0,-,-,-,-,,
2015/1/7,LKF,201506,-,-,-,-,-,-,-,85.5,0,-,-,-,-,,
2015/1/7,LKF,201509,-,-,-,-,-,-,-,85.6,0,-,-,-,-,,
2015/1/8,LKF,201501,-,-,-,-,-,-,-,85.6,5,85.3,86.3,90.2,85,,
2015/1/8,LKF,201502,-,-,-,-,-,-,-,85.6,5,85.3,86.2,87.3,85,,
2015/1/8,LKF,201503,-,-,-,-,-,-,-,84.8,0,-,-,-,-,,
2015/1/8,LKF,201506,-,-,-,-,-,-,-,85.6,0,-,-,-,-,,
2015/1/8,LKF,201509,-,-,-,-,-,-,-,85.7,0,-,-,-,-,,
2015/1/9,LKF,201501,-,-,-,-,-,-,-,86.5,5,86.1,86.8,90.2,85,,
2015/1/9,LKF,201502,86.4,86.4,86.4,86.4,0.8,0.93%,5,86.4,1,85.5,86.8,87.3,85,,
2015/1/9,LKF,201503,-,-,-,-,-,-,-,85.7,0,-,-,-,-,,
2015/1/9,LKF,201506,-,-,-,-,-,-,-,86.5,0,-,-,-,-,,
2015/1/9,LKF,201509,-,-,-,-,-,-,-,86.6,0,-,-,-,-,,
2015/1/12,LKF,201501,85.5,85.5,85.5,85.5,-1,-1.16%,4,85.5,1,84.7,85.9,90.2,85,,
2015/1/12,LKF,201502,85.5,85.5,85.5,85.5,-0.9,-1.04%,1,85.5,0,84.9,85.9,87.3,85,,
2015/1/12,LKF,201503,-,-,-,-,-,-,-,84.7,0,-,-,-,-,,
2015/1/12,LKF,201506,-,-,-,-,-,-,-,85.5,0,-,-,-,-,,
2015/1/12,LKF,201509,-,-,-,-,-,-,-,85.6,0,-,-,-,-,,
2015/1/13,LKF,201501,-,-,-,-,-,-,-,85.6,1,85.1,86.1,90.2,85,,
2015/1/13,LKF,201502,-,-,-,-,-,-,-,85.6,0,84.5,86.1,87.3,85,,
2015/1/13,LKF,201503,-,-,-,-,-,-,-,84.8,0,-,-,-,-,,
2015/1/13,LKF,201506,-,-,-,-,-,-,-,85.6,0,-,-,-,-,,
2015/1/13,LKF,201509,-,-,-,-,-,-,-,85.7,0,-,-,-,-,,
2015/1/14,LKF,201501,-,-,-,-,-,-,-,85.3,1,84.5,86.1,90.2,85,,
2015/1/14,LKF,201502,-,-,-,-,-,-,-,85.3,0,84.2,85.5,87.3,85,,
2015/1/14,LKF,201503,-,-,-,-,-,-,-,84.5,0,-,-,-,-,,
2015/1/14,LKF,201506,-,-,-,-,-,-,-,85.3,0,-,-,-,-,,
2015/1/14,LKF,201509,-,-,-,-,-,-,-,85.4,0,-,-,-,-,,
2015/1/15,LKF,201501,-,-,-,-,-,-,-,85.4,1,85.2,86.2,90.2,85,,
2015/1/15,LKF,201502,-,-,-,-,-,-,-,85.4,0,84.6,86.3,87.3,85,,
2015/1/15,LKF,201503,-,-,-,-,-,-,-,84.6,0,-,-,-,-,,
2015/1/15,LKF,201506,-,-,-,-,-,-,-,85.4,0,-,-,-,-,,
2015/1/15,LKF,201509,-,-,-,-,-,-,-,85.5,0,-,-,-,-,,
2015/1/16,LKF,201501,-,-,-,-,-,-,-,84.5,1,83.9,85.1,90.2,85,,
2015/1/16,LKF,201502,-,-,-,-,-,-,-,84.5,0,84.1,85.1,87.3,85,,
2015/1/16,LKF,201503,-,-,-,-,-,-,-,83.7,0,-,-,-,-,,
2015/1/16,LKF,201506,-,-,-,-,-,-,-,84.5,0,-,-,-,-,,
2015/1/16,LKF,201509,-,-,-,-,-,-,-,84.6,0,-,-,-,-,,
2015/1/19,LKF,201501,85.7,86.2,85.7,86.2,1.7,2.01%,4,86.2,4,85.9,86.3,90.2,85,,
2015/1/19,LKF,201502,-,-,-,-,-,-,-,86.2,0,84.8,87.2,87.3,85,,
2015/1/19,LKF,201503,-,-,-,-,-,-,-,85.4,0,-,-,-,-,,
2015/1/19,LKF,201506,-,-,-,-,-,-,-,86.2,0,-,-,-,-,,
2015/1/19,LKF,201509,-,-,-,-,-,-,-,86.3,0,-,-,-,-,,
2015/1/20,LKF,201501,88,88,87.6,87.6,1.4,1.62%,5,87.6,3,87,87.9,90.2,85,,
2015/1/20,LKF,201502,87.8,87.8,87.8,87.8,1.6,1.86%,1,87.8,1,85.4,88.1,87.8,85,,
2015/1/20,LKF,201503,-,-,-,-,-,-,-,86.8,0,-,-,-,-,,
