交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LOF,201501,16.15,16.2,16.1,16.15,-0.15,-0.92%,344,16.15,59,16,16.3,16.4,16,,
2015/1/5,LOF,201502,16.15,16.2,16.1,16.15,-0.05,-0.31%,294,16.15,101,16.05,16.25,16.25,16,,
2015/1/5,LOF,201503,-,-,-,-,-,-,-,16.1,138,15.9,16.4,16.95,15.95,,
2015/1/5,LOF,201506,-,-,-,-,-,-,-,16.05,625,15.85,16.8,16.55,15.95,,
2015/1/5,LOF,201509,-,-,-,-,-,-,-,16.15,1073,16,16.8,16.45,16,,
2015/1/6,LOF,201501,16.05,16.05,16,16,-0.15,-0.93%,151,16.0,57,15.95,16.15,16.4,16,,
2015/1/6,LOF,201502,16.05,16.05,15.95,15.95,-0.2,-1.24%,169,15.95,107,15.95,16.15,16.25,15.95,,
2015/1/6,LOF,201503,-,-,-,-,-,-,-,15.95,138,15.85,16.3,16.95,15.95,,
2015/1/6,LOF,201506,-,-,-,-,-,-,-,15.9,625,15.85,16.65,16.55,15.95,,
2015/1/6,LOF,201509,-,-,-,-,-,-,-,16.0,1073,16,16.65,16.45,16,,
2015/1/7,LOF,201501,16.05,16.05,16,16.05,0.05,0.31%,175,16.05,64,16,16.05,16.4,16,,
2015/1/7,LOF,201502,16,16.1,16,16.05,0.1,0.63%,105,16.05,105,16,16.1,16.25,15.95,,
2015/1/7,LOF,201503,-,-,-,-,-,-,-,16.0,138,15.9,16.3,16.95,15.95,,
2015/1/7,LOF,201506,-,-,-,-,-,-,-,15.95,625,15.9,16.55,16.55,15.95,,
2015/1/7,LOF,201509,-,-,-,-,-,-,-,16.05,1073,16,16.55,16.45,16,,
2015/1/8,LOF,201501,16.1,16.15,16.05,16.1,0.05,0.31%,336,16.1,49,15.5,16.3,16.4,16,,
2015/1/8,LOF,201502,16.1,16.1,16.05,16.1,0.05,0.31%,401,16.1,120,15.1,16.3,16.25,15.95,,
2015/1/8,LOF,201503,-,-,-,-,-,-,-,16.15,138,15.85,16.45,16.95,15.95,,
2015/1/8,LOF,201506,-,-,-,-,-,-,-,16.1,625,16,16.8,16.55,15.95,,
2015/1/8,LOF,201509,-,-,-,-,-,-,-,16.1,1073,16,16.8,16.45,16,,
2015/1/9,LOF,201501,16.15,16.2,16.1,16.2,0.1,0.62%,866,16.2,85,16.05,16.35,16.4,16,,
2015/1/9,LOF,201502,16.15,16.2,16.1,16.2,0.1,0.62%,840,16.2,135,16.05,16.3,16.25,15.95,,
2015/1/9,LOF,201503,-,-,-,-,-,-,-,16.2,138,15.9,16.45,16.95,15.95,,
2015/1/9,LOF,201506,-,-,-,-,-,-,-,16.2,625,15.85,16.9,16.55,15.95,,
2015/1/9,LOF,201509,-,-,-,-,-,-,-,16.2,1073,16,16.9,16.45,16,,
2015/1/12,LOF,201501,16.1,16.15,16.05,16.15,-0.05,-0.31%,235,16.15,47,16,16.3,16.4,16,,
2015/1/12,LOF,201502,16.1,16.15,16.1,16.1,-0.1,-0.62%,265,16.1,106,16,16.25,16.25,15.95,,
2015/1/12,LOF,201503,-,-,-,-,-,-,-,16.15,138,16,16.4,16.95,15.95,,
2015/1/12,LOF,201506,16.05,16.25,16,16.2,0,0.00%,28,16.15,625,16,16.85,16.55,15.95,,
2015/1/12,LOF,201509,-,-,-,-,-,-,-,16.15,1073,16,16.85,16.45,16,,
2015/1/13,LOF,201501,16.1,16.25,16.1,16.2,0.05,0.31%,881,16.2,119,16.15,16.35,16.4,16,,
2015/1/13,LOF,201502,16.1,16.25,16.1,16.2,0.1,0.62%,553,16.2,182,16.1,16.35,16.25,15.95,,
2015/1/13,LOF,201503,-,-,-,-,-,-,-,16.3,138,16.05,16.5,16.95,15.95,,
2015/1/13,LOF,201506,-,-,-,-,-,-,-,16.3,625,16,16.85,16.55,15.95,,
2015/1/13,LOF,201509,-,-,-,-,-,-,-,16.2,1073,16,16.85,16.45,16,,
2015/1/14,LOF,201501,16.15,16.2,16.1,16.1,-0.1,-0.62%,1614,16.1,104,16.05,16.2,16.4,16,,
2015/1/14,LOF,201502,16.15,16.2,16.1,16.1,-0.1,-0.62%,1516,16.1,147,16.05,16.2,16.25,15.95,,
2015/1/14,LOF,201503,-,-,-,-,-,-,-,16.2,138,16.1,16.35,16.95,15.95,,
2015/1/14,LOF,201506,-,-,-,-,-,-,-,16.2,625,16,16.7,16.55,15.95,,
2015/1/14,LOF,201509,-,-,-,-,-,-,-,16.1,1073,16,16.7,16.45,16,,
2015/1/15,LOF,201501,16.15,16.15,16.1,16.1,0,0.00%,64,16.1,94,16,16.3,16.4,16,,
2015/1/15,LOF,201502,16.15,16.15,16.1,16.1,0,0.00%,160,16.1,156,16.05,16.35,16.25,15.95,,
2015/1/15,LOF,201503,-,-,-,-,-,-,-,16.2,138,15.9,16.8,16.95,15.95,,
2015/1/15,LOF,201506,-,-,-,-,-,-,-,16.2,625,15.9,16.8,16.55,15.95,,
2015/1/15,LOF,201509,-,-,-,-,-,-,-,16.1,1073,16,16.8,16.45,16,,
2015/1/16,LOF,201501,16.05,16.05,16.05,16.05,-0.05,-0.31%,72,16.05,102,16,16.2,16.4,16,,
2015/1/16,LOF,201502,16.05,16.1,16,16.1,0,0.00%,152,16.1,188,16,16.2,16.25,15.95,,
2015/1/16,LOF,201503,-,-,-,-,-,-,-,16.15,138,15.85,16.35,16.95,15.95,,
2015/1/16,LOF,201506,-,-,-,-,-,-,-,16.15,625,16,16.7,16.55,15.95,,
2015/1/16,LOF,201509,-,-,-,-,-,-,-,16.05,1073,16,16.7,16.45,16,,
2015/1/19,LOF,201501,16.2,16.2,16.05,16.05,0,0.00%,110,16.05,97,16.05,16.25,16.4,16,,
2015/1/19,LOF,201502,16.15,16.2,16.1,16.1,0,0.00%,86,16.1,140,16.05,16.3,16.25,15.95,,
2015/1/19,LOF,201503,-,-,-,-,-,-,-,16.15,138,16.05,16.45,16.95,15.95,,
2015/1/19,LOF,201506,-,-,-,-,-,-,-,16.15,625,16,16.75,16.55,15.95,,
2015/1/19,LOF,201509,-,-,-,-,-,-,-,16.05,1073,15.55,16.75,16.45,16,,
2015/1/20,LOF,201501,16.1,16.15,16.1,16.15,0.1,0.62%,10,16.15,100,16.1,16.3,16.4,16,,
2015/1/20,LOF,201502,16.15,16.15,16.15,16.15,0.05,0.31%,9,16.15,139,16.15,16.3,16.25,15.95,,
2015/1/20,LOF,201503,-,-,-,-,-,-,-,16.1,138,16,16.45,16.95,15.95,,
2015/1/20,LOF,201506,-,-,-,-,-,-,-,16.1,625,16,16.8,16.55,15.95,,
2015/1/20,LOF,201509,-,-,-,-,-,-,-,16.15,1073,15.5,16.8,16.45,16,,
2015/1/21,LOF,201501,16.1,16.1,16.1,16.1,-0.05,-0.31%,100,0.0,98,-,-,16.4,16,,
2015/1/21,LOF,201502,16.1,16.2,16.1,16.2,0.05,0.31%,52,16.2,140,16.1,16.25,16.25,15.95,,
2015/1/21,LOF,201503,-,-,-,-,-,-,-,16.2,138,16.1,16.25,16.95,15.95,,
