交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LSF,201501,28.75,28.85,28.75,28.85,-0.35,-1.20%,2,28.85,46,28.8,29.25,29.65,23.6,,
2015/1/5,LSF,201502,28.95,29,28.85,29,-0.15,-0.51%,3,29.0,16,28.8,29.25,29.65,27.7,,
2015/1/5,LSF,201503,-,-,-,-,-,-,-,28.8,0,-,-,-,-,,
2015/1/5,LSF,201506,-,-,-,-,-,-,-,28.9,0,-,-,-,-,,
2015/1/5,LSF,201509,-,-,-,-,-,-,-,28.6,0,-,-,-,-,,
2015/1/6,LSF,201501,29.55,30.45,29.55,30,1.15,3.99%,7,30.0,46,29.9,30.35,30.45,23.6,,
2015/1/6,LSF,201502,29.45,30.4,29.45,30.25,1.25,4.31%,10,30.25,19,29.95,30.4,30.4,27.7,,
2015/1/6,LSF,201503,-,-,-,-,-,-,-,29.95,0,-,-,-,-,,
2015/1/6,LSF,201506,-,-,-,-,-,-,-,30.05,0,-,-,-,-,,
2015/1/6,LSF,201509,-,-,-,-,-,-,-,29.75,0,-,-,-,-,,
2015/1/7,LSF,201501,30.55,31.35,30.2,30.75,0.75,2.50%,32,30.75,47,30.55,30.8,31.35,23.6,,
2015/1/7,LSF,201502,30.6,31.3,30.15,31,0.75,2.48%,21,31.0,21,30.55,30.85,31.3,27.7,,
2015/1/7,LSF,201503,-,-,-,-,-,-,-,30.7,0,-,-,-,-,,
2015/1/7,LSF,201506,-,-,-,-,-,-,-,30.8,0,-,-,-,-,,
2015/1/7,LSF,201509,-,-,-,-,-,-,-,30.5,0,-,-,-,-,,
2015/1/8,LSF,201501,30.75,31,30.35,30.65,-0.1,-0.33%,40,30.65,38,30.55,30.65,31.35,23.6,,
2015/1/8,LSF,201502,30.3,31,30.3,30.6,-0.4,-1.29%,23,30.6,27,30.05,30.7,31.3,27.7,,
2015/1/8,LSF,201503,-,-,-,-,-,-,-,30.6,0,-,-,-,-,,
2015/1/8,LSF,201506,-,-,-,-,-,-,-,30.7,0,-,-,-,-,,
2015/1/8,LSF,201509,-,-,-,-,-,-,-,30.4,0,-,-,-,-,,
2015/1/9,LSF,201501,30.5,30.65,30.5,30.5,-0.15,-0.49%,3,30.5,37,30.2,30.65,31.35,23.6,,
2015/1/9,LSF,201502,30.75,30.8,30.75,30.8,0.2,0.65%,2,30.45,28,30.25,30.65,31.3,27.7,,
2015/1/9,LSF,201503,-,-,-,-,-,-,-,30.45,0,-,-,-,-,,
2015/1/9,LSF,201506,-,-,-,-,-,-,-,30.55,0,-,-,-,-,,
2015/1/9,LSF,201509,-,-,-,-,-,-,-,30.25,0,-,-,-,-,,
2015/1/12,LSF,201501,30.5,30.5,29.9,30.15,-0.35,-1.15%,8,30.15,36,29.75,30.2,31.35,23.6,,
2015/1/12,LSF,201502,30.6,30.6,29.85,29.85,-0.6,-1.97%,6,29.85,27,29.75,30.15,31.3,27.7,,
2015/1/12,LSF,201503,-,-,-,-,-,-,-,30.1,0,-,-,-,-,,
2015/1/12,LSF,201506,-,-,-,-,-,-,-,30.2,0,-,-,-,-,,
2015/1/12,LSF,201509,-,-,-,-,-,-,-,29.9,0,-,-,-,-,,
2015/1/13,LSF,201501,30.25,30.25,29.6,29.6,-0.55,-1.82%,4,29.6,34,29.6,30.15,31.35,23.6,,
2015/1/13,LSF,201502,30.25,30.25,29.6,29.6,-0.25,-0.84%,2,29.6,28,29.6,30.15,31.3,27.7,,
2015/1/13,LSF,201503,-,-,-,-,-,-,-,29.55,0,-,-,-,-,,
2015/1/13,LSF,201506,-,-,-,-,-,-,-,29.65,0,-,-,-,-,,
2015/1/13,LSF,201509,-,-,-,-,-,-,-,29.35,0,-,-,-,-,,
2015/1/14,LSF,201501,29.7,30.1,29.7,30.05,0.45,1.52%,38,30.05,33,29.75,30.05,31.35,23.6,,
2015/1/14,LSF,201502,29.8,30.3,29.8,29.8,0.2,0.68%,21,29.8,35,29.8,30.1,31.3,27.7,,
2015/1/14,LSF,201503,-,-,-,-,-,-,-,30.0,0,-,-,-,-,,
2015/1/14,LSF,201506,-,-,-,-,-,-,-,30.1,0,-,-,-,-,,
2015/1/14,LSF,201509,-,-,-,-,-,-,-,29.8,0,-,-,-,-,,
2015/1/15,LSF,201501,30,30,29.75,29.75,-0.3,-1.00%,6,29.75,29,29.75,30.15,31.35,23.6,,
2015/1/15,LSF,201502,29.8,29.95,29.8,29.95,0.15,0.50%,9,29.95,34,29.7,30.15,31.3,27.7,,
2015/1/15,LSF,201503,-,-,-,-,-,-,-,29.7,0,-,-,-,-,,
2015/1/15,LSF,201506,-,-,-,-,-,-,-,29.8,0,-,-,-,-,,
2015/1/15,LSF,201509,-,-,-,-,-,-,-,29.5,0,-,-,-,-,,
2015/1/16,LSF,201501,29.5,29.7,29.4,29.7,-0.05,-0.17%,9,29.45,30,29.25,29.6,31.35,23.6,,
2015/1/16,LSF,201502,-,-,-,-,-,-,-,29.5,34,29.25,29.7,31.3,27.7,,
2015/1/16,LSF,201503,-,-,-,-,-,-,-,29.4,0,-,-,-,-,,
2015/1/16,LSF,201506,-,-,-,-,-,-,-,29.5,0,-,-,-,-,,
2015/1/16,LSF,201509,-,-,-,-,-,-,-,29.2,0,-,-,-,-,,
2015/1/19,LSF,201501,29.5,29.55,28.45,28.45,-1,-3.40%,48,28.45,23,28.25,28.7,31.35,23.6,,
2015/1/19,LSF,201502,29.65,29.65,28.25,28.25,-1.25,-4.24%,40,28.25,28,28.25,28.35,31.3,27.7,,
2015/1/19,LSF,201503,-,-,-,-,-,-,-,28.4,0,-,-,-,-,,
2015/1/19,LSF,201506,-,-,-,-,-,-,-,28.5,0,-,-,-,-,,
2015/1/19,LSF,201509,-,-,-,-,-,-,-,28.2,0,-,-,-,-,,
2015/1/20,LSF,201501,28.5,28.5,28.5,28.5,0.05,0.18%,1,28.5,22,28.3,28.95,31.35,23.6,,
2015/1/20,LSF,201502,28.65,28.75,28.6,28.6,0.35,1.24%,5,28.6,28,28.5,28.6,31.3,27.7,,
2015/1/20,LSF,201503,-,-,-,-,-,-,-,28.45,0,-,-,-,-,,
2015/1/20,LSF,201506,-,-,-,-,-,-,-,28.55,0,-,-,-,-,,
2015/1/20,LSF,201509,-,-,-,-,-,-,-,28.25,0,-,-,-,-,,
2015/1/21,LSF,201501,28.55,28.6,28.45,28.6,0.1,0.35%,25,0.0,23,28.3,28.7,31.35,23.6,,
2015/1/21,LSF,201502,28.65,28.65,28.4,28.55,-0.05,-0.17%,14,28.55,29,28.4,28.6,31.3,27.7,,
2015/1/21,LSF,201503,-,-,-,-,-,-,-,28.55,0,28.35,-,-,-,,
2015/1/21,LSF,201506,-,-,-,-,-,-,-,28.65,0,-,-,-,-,,
2015/1/21,LSF,201509,-,-,-,-,-,-,-,28.35,0,-,-,-,-,,
2015/1/22,LSF,201502,28.7,29.4,28.7,28.85,0.3,1.05%,6,28.85,30,28.8,29.4,31.3,27.7,,
2015/1/22,LSF,201503,28.9,29,28.9,29,0.45,1.58%,7,29.0,5,29,29.45,29,28.9,,
2015/1/22,LSF,201506,-,-,-,-,-,-,-,28.95,0,-,-,-,-,,
2015/1/22,LSF,201509,-,-,-,-,-,-,-,28.65,0,-,-,-,-,,
2015/1/22,LSF,201512,-,-,-,-,-,-,-,29.1,0,-,-,-,-,,
2015/1/23,LSF,201502,29.3,29.3,28.75,28.75,-0.1,-0.35%,12,28.75,32,28.3,29.25,31.3,27.7,,
2015/1/23,LSF,201503,29.3,29.3,29.3,29.3,0.3,1.03%,5,29.15,9,28.85,29.45,29.3,28.9,,
2015/1/23,LSF,201506,-,-,-,-,-,-,-,28.85,0,-,-,-,-,,
2015/1/23,LSF,201509,-,-,-,-,-,-,-,28.55,0,-,-,-,-,,
2015/1/23,LSF,201512,-,-,-,-,-,-,-,29.0,0,-,-,-,-,,
2015/1/26,LSF,201502,28.9,28.9,28.5,28.5,-0.25,-0.87%,3,28.5,32,28.3,29.3,31.3,27.7,,
2015/1/26,LSF,201503,29,29,29,29,-0.15,-0.51%,5,28.6,5,28.45,28.75,29.3,28.9,,
2015/1/26,LSF,201506,-,-,-,-,-,-,-,28.6,0,-,-,-,-,,
2015/1/26,LSF,201509,-,-,-,-,-,-,-,28.3,0,-,-,-,-,,
2015/1/26,LSF,201512,-,-,-,-,-,-,-,28.75,0,-,-,-,-,,
2015/1/27,LSF,201502,29,29,28.8,28.8,0.3,1.05%,3,28.8,33,28.3,29,31.3,27.7,,
2015/1/27,LSF,201503,-,-,-,-,-,-,-,28.8,5,28.6,29,29.3,28.9,,
2015/1/27,LSF,201506,-,-,-,-,-,-,-,28.9,0,-,-,-,-,,
2015/1/27,LSF,201509,-,-,-,-,-,-,-,28.6,0,-,-,-,-,,
2015/1/27,LSF,201512,-,-,-,-,-,-,-,29.05,0,-,-,-,-,,
2015/1/28,LSF,201502,29.15,29.9,29.15,29.75,0.95,3.30%,20,29.75,30,29.3,30.3,31.3,27.7,,
2015/1/28,LSF,201503,28.75,29.75,28.75,29.75,0.95,3.30%,16,29.75,9,29.05,29.75,29.75,28.75,,
2015/1/28,LSF,201506,-,-,-,-,-,-,-,29.85,0,-,-,-,-,,
2015/1/28,LSF,201509,-,-,-,-,-,-,-,29.55,0,-,-,-,-,,
2015/1/28,LSF,201512,-,-,-,-,-,-,-,30.0,0,-,-,-,-,,
2015/1/29,LSF,201502,29.3,29.3,29.3,29.3,-0.45,-1.51%,1,29.3,29,29.25,29.85,31.3,27.7,,
2015/1/29,LSF,201503,29.4,29.4,29.4,29.4,-0.35,-1.18%,1,29.4,9,29.25,29.7,29.75,28.75,,
2015/1/29,LSF,201506,-,-,-,-,-,-,-,29.4,0,-,-,-,-,,
2015/1/29,LSF,201509,-,-,-,-,-,-,-,29.1,0,-,-,-,-,,
2015/1/29,LSF,201512,-,-,-,-,-,-,-,29.55,0,-,-,-,-,,
2015/1/30,LSF,201502,29.5,29.5,29.5,29.5,0.2,0.68%,1,29.4,29,29,29.8,31.3,27.7,,
2015/1/30,LSF,201503,29.3,29.3,29.3,29.3,-0.1,-0.34%,2,29.3,9,27.95,29.45,29.75,28.75,,
2015/1/30,LSF,201506,-,-,-,-,-,-,-,29.5,0,-,-,-,-,,
2015/1/30,LSF,201509,-,-,-,-,-,-,-,29.2,0,-,-,-,-,,
2015/1/30,LSF,201512,-,-,-,-,-,-,-,29.65,0,-,-,-,-,,
2015/2/2,LSF,201502,28.8,28.85,28.8,28.85,-0.55,-1.87%,2,28.85,29,28.75,30.2,31.3,27.7,,
2015/2/2,LSF,201503,-,-,-,-,-,-,-,28.75,9,28.75,29.15,29.75,28.75,,
2015/2/2,LSF,201506,-,-,-,-,-,-,-,28.95,0,-,-,-,-,,
2015/2/2,LSF,201509,-,-,-,-,-,-,-,28.65,0,-,-,-,-,,
2015/2/2,LSF,201512,-,-,-,-,-,-,-,29.1,0,-,-,-,-,,
2015/2/3,LSF,201502,29.05,29.35,29.05,29.15,0.3,1.04%,17,29.15,31,28.9,29.2,31.3,27.7,,
2015/2/3,LSF,201503,29,29.25,29,29.25,0.5,1.74%,21,29.25,14,28.9,29.2,29.75,28.75,,
