交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/10/29,LU1,202011  ,-,-,-,-,-,-,0.0,127,232,123.5,128,27.6,24.6,,一般,,
2020/10/30,LU1,202011  ,-,-,-,-,-,-,0.0,119,232,115,139,27.6,24.6,,一般,,
2020/11/02,LU1,202011  ,-,-,-,-,-,-,0.0,119.5,232,116.5,129,27.6,24.6,,一般,,
2020/11/03,LU1,202011  ,-,-,-,-,-,-,0.0,123,232,120.5,126,27.6,24.6,,一般,,
2020/11/04,LU1,202011  ,-,-,-,-,-,-,0.0,126,232,116.5,126.5,27.6,24.6,,一般,,
2020/11/05,LU1,202011  ,126.5,127,126.5,127,1,0.79%,3.0,127,232,126.5,128.5,127,24.6,,一般,,
2020/11/06,LU1,202011  ,126,126,126,126,-1,-0.79%,5.0,127.5,236,126.5,128,127,24.6,,一般,,
2020/11/09,LU1,202011  ,127.5,127.5,127.5,127.5,0,0.00%,1.0,127.5,236,127,128.5,127.5,24.6,,一般,,
2020/11/10,LU1,202011  ,124.5,124.5,124,124,-3.5,-2.75%,2.0,123,238,120.5,123,127.5,24.6,,一般,,
2020/11/11,LU1,202011  ,124,125,124,125,2,1.63%,7.0,123,234,121.5,132,127.5,24.6,,一般,,
2020/11/12,LU1,202011  ,124,124,124,124,1,0.81%,1.0,124.5,233,123.5,126,127.5,24.6,,一般,,
2020/11/13,LU1,202011  ,-,-,-,-,-,-,0.0,123,233,-,-,127.5,24.6,,一般,,
2020/11/16,LU1,202011  ,-,-,-,-,-,-,0.0,127,233,-,-,127.5,24.6,,一般,,
2020/11/17,LU1,202011  ,-,-,-,-,-,-,0.0,124.5,233,115,139,127.5,24.6,,一般,,
2020/11/18,LU1,202011  ,-,-,-,-,-,-,0.0,0,231,120.5,121,127.5,24.6,,一般,,
