交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LW1,201503,-,-,-,-,-,-,-,317.0,1,-,-,305,305,,
2015/1/6,LW1,201503,-,-,-,-,-,-,-,308.5,1,-,-,305,305,,
2015/1/7,LW1,201503,-,-,-,-,-,-,-,300.5,1,-,-,305,305,,
2015/1/8,LW1,201503,-,-,-,-,-,-,-,309.5,1,-,-,305,305,,
2015/1/9,LW1,201503,-,-,-,-,-,-,-,308.5,1,-,-,305,305,,
2015/1/12,LW1,201503,-,-,-,-,-,-,-,304.0,1,-,-,305,305,,
2015/1/13,LW1,201503,-,-,-,-,-,-,-,311.5,1,-,-,305,305,,
2015/1/14,LW1,201503,-,-,-,-,-,-,-,312.5,1,-,-,305,305,,
2015/1/15,LW1,201503,-,-,-,-,-,-,-,313.0,1,-,-,305,305,,
2015/1/16,LW1,201503,-,-,-,-,-,-,-,307.5,1,-,-,305,305,,
2015/1/19,LW1,201503,-,-,-,-,-,-,-,311.5,1,-,-,305,305,,
2015/1/20,LW1,201503,-,-,-,-,-,-,-,323.5,1,-,-,305,305,,
2015/1/21,LW1,201503,340,340,340,340,16.5,5.10%,1,343.5,0,-,-,340,305,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/1/6,LW1,201601,421,426,419,424.5,6.5,1.56%,32,424.5,425,421.5,426.5,458,407,,
2016/1/6,LW1,201602,425.5,425.5,425.5,425.5,9,2.16%,1,422.0,69,415.5,425.5,456,416.5,,
2016/1/6,LW1,201603,-,-,-,-,-,-,-,428.5,2,-,-,-,-,,
2016/1/7,LW1,201601,420,425,408,419,-5.5,-1.30%,129,419.0,366,418,420,458,407,,
2016/1/7,LW1,201602,410,410,405,405,-17,-4.03%,3,417.5,67,411.5,419,456,405,,
2016/1/7,LW1,201603,-,-,-,-,-,-,-,422.0,2,-,-,-,-,,
2016/1/8,LW1,201601,416,427,415,423.5,4.5,1.07%,56,423.5,347,423,424.5,458,407,,
2016/1/8,LW1,201602,-,-,-,-,-,-,-,421.5,67,418,423.5,456,405,,
2016/1/8,LW1,201603,-,-,-,-,-,-,-,429.0,2,402,-,-,-,,
2016/1/11,LW1,201601,412.5,420,409,417.5,-6,-1.42%,49,416.0,340,416.5,417.5,458,407,,
2016/1/11,LW1,201602,409.5,412,409.5,412,-9.5,-2.25%,8,415.0,65,414.5,416.5,456,405,,
2016/1/11,LW1,201603,-,-,-,-,-,-,-,421.0,2,411,-,-,-,,
2016/1/12,LW1,201601,416,416,396.5,402.5,-13.5,-3.25%,97,402.5,310,401,402.5,458,396.5,,
2016/1/12,LW1,201602,399,400,398.5,398.5,-16.5,-3.98%,3,398.5,66,397,401,456,398.5,,
2016/1/12,LW1,201603,-,-,-,-,-,-,-,406.0,2,394.5,430,-,-,,
2016/1/13,LW1,201601,405,411.5,401,407.5,5,1.24%,51,408.0,289,407,408.5,458,396.5,,
2016/1/13,LW1,201602,401.5,404.5,399.5,404.5,6,1.51%,6,404.5,66,403,405,456,398.5,,
2016/1/13,LW1,201603,-,-,-,-,-,-,-,413.0,2,-,-,-,-,,
2016/1/14,LW1,201601,398,398.5,391,391,-17,-4.17%,30,398.0,283,396,401,458,391,,
2016/1/14,LW1,201602,397,397,391.5,391.5,-13,-3.21%,6,393.5,65,392.5,399.5,456,391.5,,
2016/1/14,LW1,201603,-,-,-,-,-,-,-,403.0,2,389.5,-,-,-,,
2016/1/15,LW1,201601,399.5,411.5,399.5,405,7,1.76%,11,405.0,276,405.5,407.5,458,391,,
2016/1/15,LW1,201602,409.5,409.5,409.5,409.5,16,4.07%,1,402.0,65,399,404.5,456,391.5,,
2016/1/15,LW1,201603,-,-,-,-,-,-,-,410.0,2,396,404.5,-,-,,
2016/1/18,LW1,201601,402,412.5,402,412,7,1.73%,16,413.5,261,411,416,458,391,,
2016/1/18,LW1,201602,-,-,-,-,-,-,-,410.0,65,407,413,456,391.5,,
2016/1/18,LW1,201603,-,-,-,-,-,-,-,418.5,2,-,-,-,-,,
2016/1/19,LW1,201601,413,420.5,413,418.5,5,1.21%,34,419.5,240,419.5,421,458,391,,
2016/1/19,LW1,201602,411,416,411,414.5,4.5,1.10%,5,416.0,65,415,419,456,391.5,,
2016/1/19,LW1,201603,-,-,-,-,-,-,-,424.5,2,410.5,419,-,-,,
2016/1/20,LW1,201601,407,430,407,419.5,0,0.00%,117,0.0,262,419.5,420,458,391,,
2016/1/20,LW1,201602,423,424,412,412,-4,-0.96%,35,409.0,83,408,410.5,456,391.5,,
2016/1/20,LW1,201603,-,-,-,-,-,-,-,414.5,2,404,-,-,-,,
2016/1/21,LW1,201602,409.5,411,402.5,403,-6,-1.47%,20,403.0,75,393,403.5,456,391.5,,
2016/1/21,LW1,201603,-,-,-,-,-,-,-,402.5,2,393,402,-,-,,
2016/1/22,LW1,201602,409,409.5,401,406.5,3.5,0.87%,10,408.0,72,407,411,456,391.5,,
2016/1/22,LW1,201603,405,405,405,405,2.5,0.62%,1,405.0,3,392,411,405,405,,
2016/1/25,LW1,201602,413.5,418,413.5,418,10,2.45%,6,416.0,76,415,417.5,456,391.5,,
2016/1/25,LW1,201603,412,415,412,415,10,2.47%,2,414.5,3,407,416.5,415,405,,
2016/1/26,LW1,201602,414,416.5,414,416,0,0.00%,4,416.0,77,412.5,417.5,456,391.5,,
2016/1/26,LW1,201603,413,413,413,413,-1.5,-0.36%,1,413.0,4,411,414.5,415,405,,
2016/1/27,LW1,201602,400,417,400,417,1,0.24%,7,419.0,80,417,421,456,391.5,,
2016/1/27,LW1,201603,412,412,412,412,-1,-0.24%,2,416.5,4,413,420,415,405,,
