交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LXF,201501,50.2,50.2,49.65,49.65,-1.25,-2.46%,46,49.65,119,49.15,49.75,51.2,47.2,,
2015/1/5,LXF,201502,49.85,50.1,49.7,49.7,-1.2,-2.36%,14,49.7,17,49.2,49.7,51.1,48,,
2015/1/5,LXF,201503,-,-,-,-,-,-,-,49.65,7,-,-,50.1,44.45,,
2015/1/5,LXF,201506,-,-,-,-,-,-,-,49.65,18,-,-,50.9,44.8,,
2015/1/5,LXF,201509,-,-,-,-,-,-,-,50.1,0,-,-,-,-,,
2015/1/6,LXF,201501,48.85,48.9,46.95,47.3,-2.35,-4.73%,31,47.3,105,47.25,47.85,51.2,46.95,,
2015/1/6,LXF,201502,48.3,48.3,47,47,-2.7,-5.43%,12,47.55,17,47.3,47.8,51.1,47,,
2015/1/6,LXF,201503,48.7,48.7,47.75,47.75,-1.9,-3.83%,2,47.75,6,-,-,50.1,44.45,,
2015/1/6,LXF,201506,47.75,47.75,47.75,47.75,-1.9,-3.83%,2,47.75,18,-,-,50.9,44.8,,
2015/1/6,LXF,201509,-,-,-,-,-,-,-,47.75,0,-,-,-,-,,
2015/1/7,LXF,201501,47.25,47.25,47.25,47.25,-0.05,-0.11%,1,47.25,106,46.75,47.7,51.2,46.95,,
2015/1/7,LXF,201502,47.2,47.35,47.2,47.35,-0.2,-0.42%,3,47.35,16,46.7,47.65,51.1,47,,
2015/1/7,LXF,201503,-,-,-,-,-,-,-,47.7,6,-,-,50.1,44.45,,
2015/1/7,LXF,201506,-,-,-,-,-,-,-,47.7,18,-,-,50.9,44.8,,
2015/1/7,LXF,201509,-,-,-,-,-,-,-,47.7,0,-,-,-,-,,
2015/1/8,LXF,201501,48,48,48,48,0.75,1.59%,7,48.0,104,47,48.15,51.2,46.95,,
2015/1/8,LXF,201502,47.8,48.25,47.8,48.25,0.9,1.90%,3,48.25,16,47,48.2,51.1,47,,
2015/1/8,LXF,201503,-,-,-,-,-,-,-,48.25,6,-,-,50.1,44.45,,
2015/1/8,LXF,201506,47.9,47.9,47.9,47.9,0.2,0.42%,2,47.9,16,-,-,50.9,44.8,,
