交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MBF,201501,50.4,50.4,50.4,50.4,-0.2,-0.40%,1,50.4,31,50,51.1,51.6,47.8,,
2015/1/5,MBF,201502,-,-,-,-,-,-,-,50.4,13,50.2,51.1,51.3,50.2,,
2015/1/5,MBF,201503,-,-,-,-,-,-,-,50.5,0,-,-,-,-,,
2015/1/5,MBF,201506,-,-,-,-,-,-,-,51.0,0,-,-,-,-,,
2015/1/5,MBF,201509,-,-,-,-,-,-,-,50.8,0,-,-,-,-,,
2015/1/6,MBF,201501,50,50,50,50,-0.4,-0.79%,4,50.0,31,49.05,50.7,51.6,47.8,,
2015/1/6,MBF,201502,-,-,-,-,-,-,-,50.0,13,49.25,50.1,51.3,50.2,,
2015/1/6,MBF,201503,-,-,-,-,-,-,-,50.1,0,-,-,-,-,,
2015/1/6,MBF,201506,-,-,-,-,-,-,-,50.6,0,-,-,-,-,,
2015/1/6,MBF,201509,-,-,-,-,-,-,-,50.4,0,-,-,-,-,,
2015/1/7,MBF,201501,-,-,-,-,-,-,-,50.1,31,49.15,51.1,51.6,47.8,,
2015/1/7,MBF,201502,50.3,50.3,50.3,50.3,0.3,0.60%,5,50.3,8,49.7,50.5,51.3,50.2,,
2015/1/7,MBF,201503,-,-,-,-,-,-,-,50.2,0,-,-,-,-,,
2015/1/7,MBF,201506,-,-,-,-,-,-,-,50.7,0,-,-,-,-,,
2015/1/7,MBF,201509,-,-,-,-,-,-,-,50.5,0,-,-,-,-,,
2015/1/8,MBF,201501,51.2,51.7,51.2,51.5,1.4,2.79%,35,51.5,32,51.5,52,51.7,47.8,,
2015/1/8,MBF,201502,-,-,-,-,-,-,-,51.7,8,51.5,52.6,51.3,50.2,,
2015/1/8,MBF,201503,-,-,-,-,-,-,-,51.6,0,-,-,-,-,,
2015/1/8,MBF,201506,-,-,-,-,-,-,-,52.1,0,-,-,-,-,,
2015/1/8,MBF,201509,-,-,-,-,-,-,-,51.9,0,-,-,-,-,,
2015/1/9,MBF,201501,51.9,51.9,51.4,51.9,0.4,0.78%,7,51.7,37,51.4,52,51.9,47.8,,
2015/1/9,MBF,201502,-,-,-,-,-,-,-,51.6,8,51.2,52,51.3,50.2,,
2015/1/9,MBF,201503,-,-,-,-,-,-,-,51.8,0,-,-,-,-,,
2015/1/9,MBF,201506,-,-,-,-,-,-,-,52.3,0,-,-,-,-,,
2015/1/9,MBF,201509,-,-,-,-,-,-,-,52.1,0,-,-,-,-,,
2015/1/12,MBF,201501,51.7,52.8,51.7,52.7,1,1.93%,41,52.7,31,52.1,54.1,52.8,47.8,,
2015/1/12,MBF,201502,52.5,52.6,52.5,52.6,1,1.94%,12,52.6,10,51,53,52.6,50.2,,
2015/1/12,MBF,201503,-,-,-,-,-,-,-,52.8,0,-,-,-,-,,
2015/1/12,MBF,201506,-,-,-,-,-,-,-,53.3,0,-,-,-,-,,
2015/1/12,MBF,201509,-,-,-,-,-,-,-,53.1,0,-,-,-,-,,
2015/1/13,MBF,201501,52.1,52.4,52.1,52.4,-0.3,-0.57%,41,52.4,37,52.2,53,52.8,47.8,,
2015/1/13,MBF,201502,52.1,52.3,52.1,52.3,-0.3,-0.57%,15,52.3,15,52.1,53.1,52.6,50.2,,
2015/1/13,MBF,201503,-,-,-,-,-,-,-,52.5,0,-,-,-,-,,
2015/1/13,MBF,201506,-,-,-,-,-,-,-,53.0,0,-,-,-,-,,
2015/1/13,MBF,201509,-,-,-,-,-,-,-,52.8,0,-,-,-,-,,
2015/1/14,MBF,201501,-,-,-,-,-,-,-,52.2,37,51.7,52.6,52.8,47.8,,
2015/1/14,MBF,201502,-,-,-,-,-,-,-,52.1,15,52,52.6,52.6,50.2,,
2015/1/14,MBF,201503,-,-,-,-,-,-,-,52.3,0,-,-,-,-,,
2015/1/14,MBF,201506,-,-,-,-,-,-,-,52.8,0,-,-,-,-,,
2015/1/14,MBF,201509,-,-,-,-,-,-,-,52.6,0,-,-,-,-,,
2015/1/15,MBF,201501,52,53.6,52,52.8,0.6,1.15%,24,52.8,36,53,53.3,53.6,47.8,,
2015/1/15,MBF,201502,52.4,52.9,52.4,52.8,0.7,1.34%,23,52.8,18,53,53.4,52.9,50.2,,
2015/1/15,MBF,201503,-,-,-,-,-,-,-,52.9,0,-,-,-,-,,
2015/1/15,MBF,201506,-,-,-,-,-,-,-,53.4,0,-,-,-,-,,
2015/1/15,MBF,201509,-,-,-,-,-,-,-,53.2,0,-,-,-,-,,
2015/1/16,MBF,201501,52.8,52.8,52.5,52.7,-0.1,-0.19%,8,52.7,35,52.3,52.8,53.6,47.8,,
2015/1/16,MBF,201502,52.7,52.7,52.7,52.7,-0.1,-0.19%,4,52.7,18,51.2,53.3,52.9,50.2,,
2015/1/16,MBF,201503,-,-,-,-,-,-,-,52.8,0,-,-,-,-,,
2015/1/16,MBF,201506,-,-,-,-,-,-,-,53.3,0,-,-,-,-,,
2015/1/16,MBF,201509,-,-,-,-,-,-,-,53.1,0,-,-,-,-,,
