交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MDF,201501,33.35,33.35,32.9,33.2,-0.75,-2.21%,14,32.95,52,32.7,33.15,33.95,29.85,,
2015/1/5,MDF,201502,33.25,33.25,33.15,33.15,-0.6,-1.78%,2,32.95,6,32.7,33.15,33.25,31.15,,
2015/1/5,MDF,201503,-,-,-,-,-,-,-,33.2,0,-,-,-,-,,
2015/1/5,MDF,201506,-,-,-,-,-,-,-,33.25,0,-,-,-,-,,
2015/1/5,MDF,201509,-,-,-,-,-,-,-,33.2,0,-,-,-,-,,
2015/1/6,MDF,201501,32.3,32.3,32.3,32.3,-0.65,-1.97%,1,32.3,51,32.15,32.5,33.95,29.85,,
2015/1/6,MDF,201502,32.4,32.5,32.4,32.5,-0.45,-1.37%,2,32.5,7,32.05,32.5,33.25,31.15,,
2015/1/6,MDF,201503,-,-,-,-,-,-,-,32.55,0,-,-,-,-,,
2015/1/6,MDF,201506,-,-,-,-,-,-,-,32.6,0,-,-,-,-,,
2015/1/6,MDF,201509,-,-,-,-,-,-,-,32.55,0,-,-,-,-,,
2015/1/7,MDF,201501,-,-,-,-,-,-,-,32.6,51,31.85,32.9,33.95,29.85,,
2015/1/7,MDF,201502,-,-,-,-,-,-,-,32.8,7,32.15,32.55,33.25,31.15,,
2015/1/7,MDF,201503,-,-,-,-,-,-,-,32.85,0,-,-,-,-,,
2015/1/7,MDF,201506,-,-,-,-,-,-,-,32.9,0,-,-,-,-,,
2015/1/7,MDF,201509,-,-,-,-,-,-,-,32.85,0,-,-,-,-,,
2015/1/8,MDF,201501,32.35,32.4,32.35,32.4,-0.2,-0.61%,15,32.4,46,32.35,32.9,33.95,29.85,,
2015/1/8,MDF,201502,32.5,32.6,32.5,32.6,-0.2,-0.61%,10,32.6,8,32.35,32.85,33.25,31.15,,
2015/1/8,MDF,201503,-,-,-,-,-,-,-,32.65,0,-,-,-,-,,
2015/1/8,MDF,201506,-,-,-,-,-,-,-,32.7,0,-,-,-,-,,
2015/1/8,MDF,201509,-,-,-,-,-,-,-,32.65,0,-,-,-,-,,
2015/1/9,MDF,201501,32.65,32.65,32.65,32.65,0.25,0.77%,20,32.65,28,32.45,32.7,33.95,29.85,,
2015/1/9,MDF,201502,-,-,-,-,-,-,-,32.75,8,32.5,32.95,33.25,31.15,,
2015/1/9,MDF,201503,-,-,-,-,-,-,-,32.9,0,-,-,-,-,,
2015/1/9,MDF,201506,-,-,-,-,-,-,-,32.95,0,-,-,-,-,,
2015/1/9,MDF,201509,-,-,-,-,-,-,-,32.9,0,-,-,-,-,,
2015/1/12,MDF,201501,32,32.05,32,32.05,-0.6,-1.84%,16,32.05,17,31.85,32.25,33.95,29.85,,
2015/1/12,MDF,201502,32.05,32.1,32.05,32.1,-0.65,-1.98%,6,32.1,11,31.85,32.3,33.25,31.15,,
2015/1/12,MDF,201503,-,-,-,-,-,-,-,32.3,0,-,-,-,-,,
2015/1/12,MDF,201506,-,-,-,-,-,-,-,32.35,0,-,-,-,-,,
2015/1/12,MDF,201509,-,-,-,-,-,-,-,32.3,0,-,-,-,-,,
2015/1/13,MDF,201501,32.2,32.2,32.2,32.2,0.15,0.47%,1,32.2,17,31.9,32.35,33.95,29.85,,
2015/1/13,MDF,201502,32.2,32.25,32.05,32.05,-0.05,-0.16%,17,32.05,10,31.9,32.35,33.25,31.15,,
2015/1/13,MDF,201503,-,-,-,-,-,-,-,32.45,0,-,-,-,-,,
2015/1/13,MDF,201506,-,-,-,-,-,-,-,32.5,0,-,-,-,-,,
2015/1/13,MDF,201509,-,-,-,-,-,-,-,32.45,0,-,-,-,-,,
2015/1/14,MDF,201501,-,-,-,-,-,-,-,32.2,17,31.65,32.15,33.95,29.85,,
2015/1/14,MDF,201502,-,-,-,-,-,-,-,32.05,10,31.65,32.15,33.25,31.15,,
2015/1/14,MDF,201503,-,-,-,-,-,-,-,32.45,0,-,-,-,-,,
2015/1/14,MDF,201506,-,-,-,-,-,-,-,32.5,0,-,-,-,-,,
2015/1/14,MDF,201509,-,-,-,-,-,-,-,32.45,0,-,-,-,-,,
2015/1/15,MDF,201501,-,-,-,-,-,-,-,32.0,17,31.75,32.2,33.95,29.85,,
2015/1/15,MDF,201502,-,-,-,-,-,-,-,31.85,10,31.75,32.2,33.25,31.15,,
2015/1/15,MDF,201503,-,-,-,-,-,-,-,32.25,0,-,-,-,-,,
2015/1/15,MDF,201506,-,-,-,-,-,-,-,32.3,0,-,-,-,-,,
2015/1/15,MDF,201509,-,-,-,-,-,-,-,32.25,0,-,-,-,-,,
2015/1/16,MDF,201501,31.8,31.85,31.8,31.85,-0.15,-0.47%,4,31.85,17,31.45,31.9,33.95,29.85,,
2015/1/16,MDF,201502,31.8,31.8,31.8,31.8,-0.05,-0.16%,4,31.8,6,31.45,31.9,33.25,31.15,,
2015/1/16,MDF,201503,-,-,-,-,-,-,-,32.1,0,-,-,-,-,,
2015/1/16,MDF,201506,-,-,-,-,-,-,-,32.15,0,-,-,-,-,,
2015/1/16,MDF,201509,-,-,-,-,-,-,-,32.1,0,-,-,-,-,,
2015/1/19,MDF,201501,-,-,-,-,-,-,-,31.4,17,31.15,31.6,33.95,29.85,,
2015/1/19,MDF,201502,-,-,-,-,-,-,-,31.35,6,31.15,31.6,33.25,31.15,,
2015/1/19,MDF,201503,-,-,-,-,-,-,-,31.65,0,-,-,-,-,,
2015/1/19,MDF,201506,-,-,-,-,-,-,-,31.7,0,-,-,-,-,,
2015/1/19,MDF,201509,-,-,-,-,-,-,-,31.65,0,-,-,-,-,,
2015/1/20,MDF,201501,31.7,31.7,31.7,31.7,0.3,0.96%,2,32.25,15,32.05,32.45,33.95,29.85,,
