交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/8/12,MF1,201508,-,-,-,-,-,-,-,7.77,40,-,-,10.35,8.17,,
2015/8/12,MF1,201509,-,-,-,-,-,-,-,7.74,7,-,-,9.06,8.17,,
2015/8/13,MF1,201508,-,-,-,-,-,-,-,7.9,40,-,-,10.35,8.17,,
2015/8/13,MF1,201509,-,-,-,-,-,-,-,7.87,7,-,-,9.06,8.17,,
2015/8/14,MF1,201508,-,-,-,-,-,-,-,8.31,40,-,-,10.35,8.17,,
2015/8/14,MF1,201509,-,-,-,-,-,-,-,8.34,7,-,-,9.06,8.17,,
2015/8/17,MF1,201508,-,-,-,-,-,-,-,8.2,40,-,-,10.35,8.17,,
2015/8/17,MF1,201509,-,-,-,-,-,-,-,8.21,7,-,-,9.06,8.17,,
2015/8/18,MF1,201508,-,-,-,-,-,-,-,8.17,40,-,-,10.35,8.17,,
2015/8/18,MF1,201509,-,-,-,-,-,-,-,8.14,7,-,-,9.06,8.17,,
2015/8/19,MF1,201508,-,-,-,-,-,-,-,0.0,40,-,-,10.35,8.17,,
2015/8/19,MF1,201509,-,-,-,-,-,-,-,8.08,7,-,-,9.06,8.17,,
2015/8/20,MF1,201509,-,-,-,-,-,-,-,8.24,7,-,-,9.06,8.17,,
2015/8/21,MF1,201509,8.02,8.02,8,8,-0.24,-2.91%,6,8.0,7,-,-,9.06,8,,
2015/8/24,MF1,201509,-,-,-,-,-,-,-,7.25,7,-,-,9.06,8,,
2015/8/25,MF1,201509,-,-,-,-,-,-,-,7.25,7,-,-,9.06,8,,
2015/8/26,MF1,201509,-,-,-,-,-,-,-,7.26,7,-,-,9.06,8,,
2015/8/27,MF1,201509,-,-,-,-,-,-,-,7.34,7,-,-,9.06,8,,
2015/8/28,MF1,201509,-,-,-,-,-,-,-,7.48,7,-,-,9.06,8,,
2015/8/31,MF1,201509,-,-,-,-,-,-,-,7.67,7,-,-,9.06,8,,
2015/9/1,MF1,201509,-,-,-,-,-,-,-,7.93,7,-,-,9.06,8,,
2015/9/2,MF1,201509,-,-,-,-,-,-,-,8.05,7,-,-,9.06,8,,
2015/9/3,MF1,201509,-,-,-,-,-,-,-,8.26,7,-,-,9.06,8,,
2015/9/4,MF1,201509,-,-,-,-,-,-,-,8.21,7,-,-,9.06,8,,
2015/9/7,MF1,201509,-,-,-,-,-,-,-,8.15,7,-,-,9.06,8,,
2015/9/8,MF1,201509,-,-,-,-,-,-,-,8.16,7,-,-,9.06,8,,
2015/9/9,MF1,201509,-,-,-,-,-,-,-,8.29,7,-,-,9.06,8,,
2015/9/10,MF1,201509,-,-,-,-,-,-,-,8.39,7,-,-,9.06,8,,
2015/9/11,MF1,201509,-,-,-,-,-,-,-,8.4,7,-,-,9.06,8,,
2015/9/14,MF1,201509,-,-,-,-,-,-,-,8.21,7,-,-,9.06,8,,
2015/9/15,MF1,201509,-,-,-,-,-,-,-,8.32,7,-,-,9.06,8,,
2015/9/16,MF1,201509,-,-,-,-,-,-,-,0.0,7,-,-,9.06,8,,
