交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MGF,201503,-,-,-,-,-,-,-,26.4,6,-,-,27.15,25,,
2015/1/5,MGF,201506,-,-,-,-,-,-,-,27.45,0,-,-,-,-,,
2015/1/5,MGF,201509,-,-,-,-,-,-,-,27.5,0,-,-,-,-,,
2015/1/6,MGF,201503,-,-,-,-,-,-,-,26.6,6,26.5,26.65,27.15,25,,
2015/1/6,MGF,201506,-,-,-,-,-,-,-,26.55,0,26.45,26.6,-,-,,
2015/1/6,MGF,201509,-,-,-,-,-,-,-,26.75,0,-,-,-,-,,
2015/1/7,MGF,201503,26.55,26.55,26.55,26.55,-0.05,-0.19%,5,26.55,11,26.35,26.5,27.15,25,,
2015/1/7,MGF,201506,-,-,-,-,-,-,-,26.55,0,26.35,26.5,-,-,,
2015/1/7,MGF,201509,-,-,-,-,-,-,-,26.75,0,-,-,-,-,,
2015/1/8,MGF,201503,26.55,26.6,26.5,26.5,-0.05,-0.19%,15,26.5,16,26.45,26.6,27.15,25,,
2015/1/8,MGF,201506,-,-,-,-,-,-,-,26.65,0,26.4,26.55,-,-,,
2015/1/8,MGF,201509,-,-,-,-,-,-,-,26.85,0,-,-,-,-,,
2015/1/9,MGF,201503,26.65,26.65,26.45,26.45,-0.05,-0.19%,11,26.45,15,-,-,27.15,25,,
2015/1/9,MGF,201506,-,-,-,-,-,-,-,26.55,0,-,-,-,-,,
2015/1/9,MGF,201509,-,-,-,-,-,-,-,26.75,0,-,-,-,-,,
2015/1/12,MGF,201503,-,-,-,-,-,-,-,26.35,15,26.25,26.4,27.15,25,,
2015/1/12,MGF,201506,-,-,-,-,-,-,-,26.45,0,26.2,26.35,-,-,,
2015/1/12,MGF,201509,-,-,-,-,-,-,-,26.65,0,-,-,-,-,,
2015/1/13,MGF,201503,-,-,-,-,-,-,-,26.5,15,26.35,26.5,27.15,25,,
2015/1/13,MGF,201506,-,-,-,-,-,-,-,26.6,0,26.3,26.45,-,-,,
2015/1/13,MGF,201509,-,-,-,-,-,-,-,26.8,0,-,-,-,-,,
2015/1/14,MGF,201503,-,-,-,-,-,-,-,26.4,15,26.3,26.45,27.15,25,,
2015/1/14,MGF,201506,-,-,-,-,-,-,-,26.5,0,26.25,26.4,-,-,,
2015/1/14,MGF,201509,-,-,-,-,-,-,-,26.7,0,-,-,-,-,,
2015/1/15,MGF,201503,-,-,-,-,-,-,-,26.3,15,26.2,26.35,27.15,25,,
2015/1/15,MGF,201506,-,-,-,-,-,-,-,26.4,0,26.15,26.3,-,-,,
2015/1/15,MGF,201509,-,-,-,-,-,-,-,26.6,0,-,-,-,-,,
2015/1/16,MGF,201503,-,-,-,-,-,-,-,25.95,15,-,-,27.15,25,,
2015/1/16,MGF,201506,-,-,-,-,-,-,-,26.05,0,-,-,-,-,,
2015/1/16,MGF,201509,-,-,-,-,-,-,-,26.25,0,-,-,-,-,,
2015/1/19,MGF,201503,-,-,-,-,-,-,-,25.8,15,-,-,27.15,25,,
2015/1/19,MGF,201506,-,-,-,-,-,-,-,25.9,0,-,-,-,-,,
2015/1/19,MGF,201509,-,-,-,-,-,-,-,26.1,0,-,-,-,-,,
2015/1/20,MGF,201503,-,-,-,-,-,-,-,25.9,15,-,-,27.15,25,,
2015/1/20,MGF,201506,-,-,-,-,-,-,-,26.0,0,-,-,-,-,,
2015/1/20,MGF,201509,-,-,-,-,-,-,-,26.2,0,-,-,-,-,,
2015/1/21,MGF,201503,25.95,25.95,25.95,25.95,0.05,0.19%,1,25.95,15,25.8,26.25,27.15,25,,
2015/1/21,MGF,201506,25.9,25.9,25.9,25.9,-0.1,-0.38%,1,25.9,1,-,-,25.9,25.9,,
2015/1/21,MGF,201509,-,-,-,-,-,-,-,26.2,0,-,-,-,-,,
2015/1/22,MGF,201503,26.15,26.15,26.15,26.15,0.2,0.77%,5,26.15,10,25.9,26.35,27.15,25,,
2015/1/22,MGF,201506,-,-,-,-,-,-,-,25.95,1,-,-,25.9,25.9,,
2015/1/22,MGF,201509,-,-,-,-,-,-,-,26.25,0,-,-,-,-,,
2015/1/23,MGF,201503,26.05,26.05,26.05,26.05,-0.1,-0.38%,1,26.05,10,25.8,26.9,27.15,25,,
2015/1/23,MGF,201506,-,-,-,-,-,-,-,25.95,1,-,-,25.9,25.9,,
2015/1/23,MGF,201509,-,-,-,-,-,-,-,26.25,0,-,-,-,-,,
2015/1/26,MGF,201503,26.05,26.05,26.05,26.05,0,0.00%,1,26.05,10,25.7,26.9,27.15,25,,
2015/1/26,MGF,201506,-,-,-,-,-,-,-,25.95,1,-,-,25.9,25.9,,
2015/1/26,MGF,201509,-,-,-,-,-,-,-,26.1,0,-,-,-,-,,
2015/1/27,MGF,201503,-,-,-,-,-,-,-,26.1,10,25.7,26.9,27.15,25,,
2015/1/27,MGF,201506,-,-,-,-,-,-,-,26.0,1,-,-,25.9,25.9,,
2015/1/27,MGF,201509,-,-,-,-,-,-,-,26.15,0,-,-,-,-,,
2015/1/28,MGF,201503,-,-,-,-,-,-,-,26.2,10,25.15,26.9,27.15,25,,
2015/1/28,MGF,201506,-,-,-,-,-,-,-,26.1,1,-,-,25.9,25.9,,
2015/1/28,MGF,201509,-,-,-,-,-,-,-,26.25,0,-,-,-,-,,
2015/1/29,MGF,201503,-,-,-,-,-,-,-,26.3,10,25.85,26.9,27.15,25,,
2015/1/29,MGF,201506,-,-,-,-,-,-,-,26.2,1,-,-,25.9,25.9,,
2015/1/29,MGF,201509,-,-,-,-,-,-,-,26.35,0,-,-,-,-,,
2015/1/30,MGF,201503,-,-,-,-,-,-,-,26.1,10,25.8,26.9,27.15,25,,
2015/1/30,MGF,201506,-,-,-,-,-,-,-,26.0,1,-,-,25.9,25.9,,
2015/1/30,MGF,201509,-,-,-,-,-,-,-,26.15,0,-,-,-,-,,
2015/2/2,MGF,201503,26.1,26.1,26.1,26.1,0,0.00%,5,26.1,10,25.95,26.9,27.15,25,,
2015/2/2,MGF,201506,-,-,-,-,-,-,-,26.05,1,-,-,25.9,25.9,,
2015/2/2,MGF,201509,-,-,-,-,-,-,-,26.2,0,-,-,-,-,,
2015/2/3,MGF,201503,-,-,-,-,-,-,-,26.15,10,26.05,26.2,27.15,25,,
2015/2/3,MGF,201506,-,-,-,-,-,-,-,26.1,1,25.85,26,25.9,25.9,,
2015/2/3,MGF,201509,-,-,-,-,-,-,-,26.25,0,-,-,-,-,,
2015/2/4,MGF,201503,-,-,-,-,-,-,-,26.2,10,26.1,26.25,27.15,25,,
