交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MIF,201501,58,58,58,58,0.1,0.17%,1,58.0,47,57.9,58.8,59.7,50,,
2015/1/5,MIF,201502,57.8,57.8,57.8,57.8,-0.1,-0.17%,1,57.8,13,57.4,58.2,59.5,56.5,,
2015/1/5,MIF,201503,-,-,-,-,-,-,-,57.5,3,-,-,58.3,48.85,,
2015/1/5,MIF,201506,-,-,-,-,-,-,-,58.8,0,-,-,-,-,,
2015/1/5,MIF,201509,-,-,-,-,-,-,-,58.4,0,-,-,-,-,,
2015/1/6,MIF,201501,57.5,57.5,57.1,57.2,-0.8,-1.38%,16,57.2,35,57.1,57.7,59.7,50,,
2015/1/6,MIF,201502,57.5,57.5,57.5,57.5,-0.3,-0.52%,1,57.5,14,56.9,58.3,59.5,56.5,,
2015/1/6,MIF,201503,-,-,-,-,-,-,-,56.7,3,-,-,58.3,48.85,,
2015/1/6,MIF,201506,-,-,-,-,-,-,-,58.0,0,-,-,-,-,,
2015/1/6,MIF,201509,-,-,-,-,-,-,-,57.6,0,-,-,-,-,,
2015/1/7,MIF,201501,56.6,57.1,56.6,57.1,-0.1,-0.17%,2,57.1,33,56.7,57.4,59.7,50,,
2015/1/7,MIF,201502,-,-,-,-,-,-,-,57.4,14,56.6,57.4,59.5,56.5,,
2015/1/7,MIF,201503,-,-,-,-,-,-,-,56.6,3,-,-,58.3,48.85,,
2015/1/7,MIF,201506,-,-,-,-,-,-,-,57.9,0,-,-,-,-,,
2015/1/7,MIF,201509,-,-,-,-,-,-,-,57.5,0,-,-,-,-,,
2015/1/8,MIF,201501,58,58.2,57.9,57.9,0.8,1.40%,7,57.9,36,57.7,58.4,59.7,50,,
2015/1/8,MIF,201502,57.5,57.5,57.5,57.5,0.1,0.17%,1,57.5,13,57.7,58.4,59.5,56.5,,
2015/1/8,MIF,201503,-,-,-,-,-,-,-,57.4,3,-,-,58.3,48.85,,
2015/1/8,MIF,201506,-,-,-,-,-,-,-,58.7,0,-,-,-,-,,
2015/1/8,MIF,201509,-,-,-,-,-,-,-,58.3,0,-,-,-,-,,
2015/1/9,MIF,201501,-,-,-,-,-,-,-,57.4,36,57.2,58,59.7,50,,
2015/1/9,MIF,201502,57.8,57.8,57.8,57.8,0.3,0.52%,5,57.6,18,57.2,58,59.5,56.5,,
2015/1/9,MIF,201503,-,-,-,-,-,-,-,56.9,3,-,-,58.3,48.85,,
2015/1/9,MIF,201506,-,-,-,-,-,-,-,58.2,0,-,-,-,-,,
2015/1/9,MIF,201509,-,-,-,-,-,-,-,57.8,0,-,-,-,-,,
2015/1/12,MIF,201501,59,59.7,58.9,59.3,1.9,3.31%,23,59.3,48,58.8,59.7,59.7,50,,
