交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MMF,201501,66.8,67,66.8,67,0.6,0.90%,4,67.0,38,66.6,67.5,72.2,64.1,,
2015/1/5,MMF,201502,66.6,67.1,66.6,67.1,0.6,0.90%,6,67.1,14,66.8,67.4,67.9,66.5,,
2015/1/5,MMF,201503,-,-,-,-,-,-,-,67.6,4,-,-,84.1,64.9,,
2015/1/5,MMF,201506,-,-,-,-,-,-,-,67.7,0,-,-,-,-,,
2015/1/5,MMF,201509,-,-,-,-,-,-,-,68.0,0,-,-,-,-,,
2015/1/6,MMF,201501,66.6,66.6,66.6,66.6,-0.4,-0.60%,2,66.6,37,65.7,66.7,72.2,64.1,,
2015/1/6,MMF,201502,-,-,-,-,-,-,-,66.7,14,65.9,66.6,67.9,66.5,,
2015/1/6,MMF,201503,-,-,-,-,-,-,-,67.2,4,-,-,84.1,64.9,,
2015/1/6,MMF,201506,-,-,-,-,-,-,-,67.3,0,-,-,-,-,,
2015/1/6,MMF,201509,-,-,-,-,-,-,-,67.6,0,-,-,-,-,,
2015/1/7,MMF,201501,-,-,-,-,-,-,-,66.5,37,65.6,66.9,72.2,64.1,,
2015/1/7,MMF,201502,66.8,66.8,66.6,66.6,-0.1,-0.15%,4,66.6,18,65.8,67.1,67.9,66.5,,
2015/1/7,MMF,201503,-,-,-,-,-,-,-,67.1,4,-,-,84.1,64.9,,
2015/1/7,MMF,201506,-,-,-,-,-,-,-,67.2,0,-,-,-,-,,
2015/1/7,MMF,201509,-,-,-,-,-,-,-,67.5,0,-,-,-,-,,
2015/1/8,MMF,201501,66.5,66.6,66.5,66.6,0.1,0.15%,2,66.6,37,66.3,67.5,72.2,64.1,,
2015/1/8,MMF,201502,67,67,66.8,66.8,0.2,0.30%,3,66.8,16,66.5,67.4,67.9,66.5,,
2015/1/8,MMF,201503,-,-,-,-,-,-,-,67.2,4,-,-,84.1,64.9,,
2015/1/8,MMF,201506,-,-,-,-,-,-,-,67.3,0,-,-,-,-,,
2015/1/8,MMF,201509,-,-,-,-,-,-,-,67.6,0,-,-,-,-,,
2015/1/9,MMF,201501,-,-,-,-,-,-,-,67.5,37,67.7,70,72.2,64.1,,
