交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MOF,201501,109.5,109.5,109.5,109.5,0,0.00%,6,109.5,10,106.5,111.5,114.5,103,,
2015/1/5,MOF,201502,-,-,-,-,-,-,-,108.5,9,106.5,110.5,111.5,105,,
2015/1/5,MOF,201503,-,-,-,-,-,-,-,109.5,0,-,-,-,-,,
2015/1/5,MOF,201506,-,-,-,-,-,-,-,110.5,2,-,-,116.5,111,,
2015/1/5,MOF,201509,-,-,-,-,-,-,-,111.0,0,-,-,-,-,,
2015/1/6,MOF,201501,107.5,107.5,107.5,107.5,-2,-1.83%,2,107.5,9,105,109.5,114.5,103,,
2015/1/6,MOF,201502,107.5,107.5,107.5,107.5,-1,-0.92%,1,107.5,10,105,108,111.5,105,,
2015/1/6,MOF,201503,-,-,-,-,-,-,-,107.5,0,-,-,-,-,,
2015/1/6,MOF,201506,-,-,-,-,-,-,-,108.5,2,-,-,116.5,111,,
2015/1/6,MOF,201509,-,-,-,-,-,-,-,109.0,0,-,-,-,-,,
2015/1/7,MOF,201501,108,108,108,108,0.5,0.47%,2,108.0,11,105.5,110.5,114.5,103,,
2015/1/7,MOF,201502,108,108,108,108,0.5,0.47%,1,108.0,10,104.5,109.5,111.5,105,,
2015/1/7,MOF,201503,-,-,-,-,-,-,-,108.0,0,-,-,-,-,,
2015/1/7,MOF,201506,-,-,-,-,-,-,-,109.0,2,-,-,116.5,111,,
2015/1/7,MOF,201509,-,-,-,-,-,-,-,109.5,0,-,-,-,-,,
2015/1/8,MOF,201501,109,109,109,109,1,0.93%,5,109.0,14,108.5,111,114.5,103,,
2015/1/8,MOF,201502,108,109,108,109,1,0.93%,3,109.0,7,107.5,111,111.5,105,,
2015/1/8,MOF,201503,-,-,-,-,-,-,-,109.0,0,-,-,-,-,,
2015/1/8,MOF,201506,-,-,-,-,-,-,-,110.0,2,-,-,116.5,111,,
