交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/8/28,NA1,201509,32.7,32.7,31.6,31.6,-0.4,-1.25%,13,31.55,183,-,31.7,39.95,25,,
2015/8/31,NA1,201509,30.85,30.85,30.5,30.5,-1.05,-3.33%,7,30.5,183,-,30.65,39.95,25,,
2015/9/1,NA1,201509,32,32,31.55,31.8,1.3,4.26%,6,31.8,183,-,31.75,39.95,25,,
2015/9/2,NA1,201509,32,32.5,31.8,32.5,0.7,2.20%,49,32.8,156,32.25,32.5,39.95,25,,
2015/9/3,NA1,201509,33.8,35,33.7,35,2.2,6.71%,47,35.0,140,34.5,35.45,39.95,25,,
2015/9/4,NA1,201509,34.2,34.2,32.8,33.05,-1.95,-5.57%,3,32.6,139,32.7,33.8,39.95,25,,
2015/9/7,NA1,201509,32.8,33.3,32.8,33.3,0.7,2.15%,18,33.3,127,32.55,33.5,39.95,25,,
2015/9/8,NA1,201509,33.45,33.9,33.3,33.85,0.55,1.65%,8,33.5,125,32.5,35,39.95,25,,
2015/9/9,NA1,201509,34.85,35.4,34.65,35.4,1.9,5.67%,11,35.3,124,-,35.3,39.95,25,,
2015/9/10,NA1,201509,34.55,35,34.55,35,-0.3,-0.85%,5,34.5,124,-,35.5,39.95,25,,
2015/9/11,NA1,201509,35.15,36.3,35.15,36.3,1.8,5.22%,10,36.2,124,-,36.9,39.95,25,,
2015/9/14,NA1,201509,35.8,36.05,35.7,36.05,-0.15,-0.41%,15,35.45,124,-,36.1,39.95,25,,
2015/9/15,NA1,201509,36.05,36.05,35.4,35.55,0.1,0.28%,14,35.55,122,-,36.5,39.95,25,,
2015/9/16,NA1,201509,36.8,37.25,35.5,37.25,1.7,4.78%,14,0.0,115,-,37.35,39.95,25,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/9/23,NA1,201610,83.8,83.8,81,81.1,0.4,0.50%,25,81.2,35,81,82,83.8,56.1,,
2016/9/26,NA1,201610,82.1,83.4,82.1,83.4,2.2,2.71%,4,83.6,34,82.7,83.7,83.8,56.1,,
2016/9/29,NA1,201610,85.7,90.7,85.7,90.7,7.1,8.49%,39,91.4,22,89.2,-,90.7,56.1,,
2016/9/30,NA1,201610,91.3,91.3,91.3,91.3,-0.1,-0.11%,1,91.7,21,87.4,100,91.3,56.1,,
2016/10/3,NA1,201610,91.9,93.6,91.7,91.7,0,0.00%,6,91.4,23,85.4,98.1,93.6,56.1,,
2016/10/4,NA1,201610,91.8,91.8,91.2,91.2,-0.2,-0.22%,2,91.5,22,-,-,93.6,56.1,,
2016/10/5,NA1,201610,-,-,-,-,-,-,-,91.3,22,90,97.9,93.6,56.1,,
2016/10/6,NA1,201610,92.3,92.3,92.2,92.2,0.9,0.99%,2,91.1,23,84.9,97.7,93.6,56.1,,
2016/10/7,NA1,201610,89.7,90.4,89.5,90.4,-0.7,-0.77%,7,90.4,20,90,97.5,93.6,56.1,,
2016/10/11,NA1,201610,90.4,93.1,90.4,92,1.6,1.77%,4,92.0,21,91.5,-,93.6,56.1,,
2016/10/12,NA1,201610,92.1,92.2,92.1,92.2,0.2,0.22%,3,92.4,20,85.6,98.4,93.6,56.1,,
2016/10/13,NA1,201610,-,-,-,-,-,-,-,92.1,20,85.9,98.9,93.6,56.1,,
2016/10/14,NA1,201610,-,-,-,-,-,-,-,90.5,20,85.7,98.5,93.6,56.1,,
2016/10/17,NA1,201610,-,-,-,-,-,-,-,91.2,20,91,96.8,93.6,56.1,,
2016/10/18,NA1,201610,90.5,91.9,90.5,91.9,0.7,0.77%,7,91.9,26,91.3,92.1,93.6,56.1,,
2016/10/19,NA1,201610,92.2,92.3,92.2,92.3,0.4,0.44%,21,0.0,26,91.9,92.4,93.6,56.1,,
