交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/08/19,NG1,202209  ,167,169,157.5,158.5,-8,-4.80%,99.0,157.5,111,158,159,198.5,137,,一般,,
2022/08/19,NG1,202210  ,-,-,-,-,-,-,0.0,157.5,5,156.5,160,-,-,,一般,,
2022/08/19,NG1,202212  ,-,-,-,-,-,-,0.0,158,2,-,-,156.5,156.5,,一般,,
2022/08/22,NG1,202209  ,158,159.5,154.5,154.5,-3,-1.90%,12.0,153,104,153,154,198.5,137,,一般,,
2022/08/22,NG1,202210  ,-,-,-,-,-,-,0.0,152.5,5,-,154.5,-,-,,一般,,
2022/08/22,NG1,202212  ,-,-,-,-,-,-,0.0,153.5,2,-,-,156.5,156.5,,一般,,
2022/08/23,NG1,202209  ,153,153,152,152,-1,-0.65%,11.0,152.5,98,150,151.5,198.5,137,,一般,,
2022/08/23,NG1,202210  ,-,-,-,-,-,-,0.0,151,5,144.5,-,-,-,,一般,,
2022/08/23,NG1,202212  ,-,-,-,-,-,-,0.0,153,2,-,-,156.5,156.5,,一般,,
2022/08/24,NG1,202209  ,148,148,143.5,143.5,-9,-5.90%,9.0,144,89,143.5,144.5,198.5,137,,一般,,
2022/08/24,NG1,202210  ,-,-,-,-,-,-,0.0,144,5,-,145,-,-,,一般,,
2022/08/24,NG1,202212  ,-,-,-,-,-,-,0.0,144,2,-,-,156.5,156.5,,一般,,
2022/08/25,NG1,202209  ,147,147.5,144.5,147.5,3.5,2.43%,9.0,147,84,146.5,149,198.5,137,,一般,,
2022/08/25,NG1,202210  ,144.5,144.5,144.5,144.5,0.5,0.35%,1.0,147,6,145.5,-,144.5,144.5,,一般,,
2022/08/25,NG1,202212  ,-,-,-,-,-,-,0.0,147,2,-,-,156.5,156.5,,一般,,
2022/08/26,NG1,202209  ,148,148,148,148,1,0.68%,1.0,148,84,147.5,149,198.5,137,,一般,,
2022/08/26,NG1,202210  ,-,-,-,-,-,-,0.0,147.5,6,146.5,149,144.5,144.5,,一般,,
