交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/7/28,NJ1,201608,16.25,16.25,16,16,-0.05,-0.31%,21,16.05,8,15.05,16.9,17.4,16,,
2016/7/28,NJ1,201609,-,-,-,-,-,-,-,16.1,3,-,17,17.35,17.3,,
2016/7/29,NJ1,201608,-,-,-,-,-,-,-,16.1,8,-,17,17.4,16,,
2016/7/29,NJ1,201609,-,-,-,-,-,-,-,16.15,3,-,17,17.35,17.3,,
2016/8/1,NJ1,201608,-,-,-,-,-,-,-,16.15,8,-,17,17.4,16,,
2016/8/1,NJ1,201609,-,-,-,-,-,-,-,16.2,3,-,17,17.35,17.3,,
2016/8/2,NJ1,201608,-,-,-,-,-,-,-,16.2,8,-,17,17.4,16,,
2016/8/2,NJ1,201609,-,-,-,-,-,-,-,16.25,3,-,17,17.35,17.3,,
2016/8/3,NJ1,201608,-,-,-,-,-,-,-,16.15,8,15.05,17,17.4,16,,
2016/8/3,NJ1,201609,16.25,16.25,16.25,16.25,0,0.00%,2,16.25,1,15.1,16.3,17.35,16.25,,
2016/8/4,NJ1,201608,-,-,-,-,-,-,-,16.15,8,15,17,17.4,16,,
2016/8/4,NJ1,201609,-,-,-,-,-,-,-,16.2,1,15.1,17,17.35,16.25,,
2016/8/5,NJ1,201608,-,-,-,-,-,-,-,16.15,8,15,17,17.4,16,,
2016/8/5,NJ1,201609,-,-,-,-,-,-,-,16.2,1,-,17,17.35,16.25,,
2016/8/8,NJ1,201608,-,-,-,-,-,-,-,16.2,8,-,-,17.4,16,,
2016/8/8,NJ1,201609,-,-,-,-,-,-,-,16.25,1,-,-,17.35,16.25,,
2016/8/9,NJ1,201608,-,-,-,-,-,-,-,16.35,8,15.05,16.5,17.4,16,,
2016/8/9,NJ1,201609,16.35,16.35,16.35,16.35,0.1,0.62%,1,16.35,0,15.1,17.4,17.35,16.25,,
2016/8/10,NJ1,201608,-,-,-,-,-,-,-,16.4,8,15.2,16.45,17.4,16,,
2016/8/11,NJ1,201608,16.25,16.25,16.25,16.25,-0.15,-0.91%,1,16.35,7,15.25,17.55,17.4,16,,
2016/8/12,NJ1,201608,-,-,-,-,-,-,-,16.45,7,15.2,17.5,17.4,16,,
2016/8/15,NJ1,201608,-,-,-,-,-,-,-,16.5,7,15.3,17.6,17.4,16,,
2016/8/16,NJ1,201608,-,-,-,-,-,-,-,16.45,7,15.35,17.65,17.4,16,,
2016/8/17,NJ1,201608,-,-,-,-,-,-,-,0.0,7,15.3,17.6,17.4,16,,
