交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NKF,201501,124,124,124,124,-0.5,-0.40%,5,124.0,6,123,125.5,127.5,123,,
2015/1/5,NKF,201502,122.5,122.5,122.5,122.5,-1.5,-1.21%,1,122.5,1,122,126.5,127,122.5,,
2015/1/5,NKF,201503,-,-,-,-,-,-,-,124.5,2,122.5,-,121,117.5,,
2015/1/5,NKF,201506,-,-,-,-,-,-,-,123.0,0,-,-,-,-,,
2015/1/5,NKF,201509,-,-,-,-,-,-,-,125.0,0,-,-,-,-,,
2015/1/6,NKF,201501,123,123,122.5,122.5,-1.5,-1.21%,4,122.5,3,-,123,127.5,122.5,,
2015/1/6,NKF,201502,-,-,-,-,-,-,-,121.0,1,-,124,127,122.5,,
2015/1/6,NKF,201503,-,-,-,-,-,-,-,123.0,2,122,-,121,117.5,,
2015/1/6,NKF,201506,-,-,-,-,-,-,-,121.5,0,-,-,-,-,,
2015/1/6,NKF,201509,-,-,-,-,-,-,-,123.5,0,-,-,-,-,,
2015/1/7,NKF,201501,-,-,-,-,-,-,-,122.0,3,122,-,127.5,122.5,,
2015/1/7,NKF,201502,-,-,-,-,-,-,-,121.0,1,121,-,127,122.5,,
2015/1/7,NKF,201503,-,-,-,-,-,-,-,122.5,2,-,-,121,117.5,,
2015/1/7,NKF,201506,-,-,-,-,-,-,-,121.0,0,-,-,-,-,,
2015/1/7,NKF,201509,-,-,-,-,-,-,-,123.0,0,-,-,-,-,,
2015/1/8,NKF,201501,-,-,-,-,-,-,-,122.5,3,122.5,-,127.5,122.5,,
2015/1/8,NKF,201502,-,-,-,-,-,-,-,121.5,1,121.5,-,127,122.5,,
2015/1/8,NKF,201503,-,-,-,-,-,-,-,123.0,2,-,-,121,117.5,,
2015/1/8,NKF,201506,-,-,-,-,-,-,-,121.5,0,-,-,-,-,,
2015/1/8,NKF,201509,-,-,-,-,-,-,-,123.5,0,-,-,-,-,,
2015/1/9,NKF,201501,-,-,-,-,-,-,-,121.5,3,-,-,127.5,122.5,,
