交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NLF,201501,52.3,52.5,52,52.5,0.5,0.96%,16,52.5,83,51,52.6,53.7,45.4,,
2015/1/5,NLF,201502,52.2,52.5,52.2,52.5,-0.1,-0.19%,4,52.5,23,52,53,53.6,46.5,,
2015/1/5,NLF,201503,-,-,-,-,-,-,-,52.1,0,-,-,-,-,,
2015/1/5,NLF,201506,-,-,-,-,-,-,-,52.2,0,-,-,-,-,,
2015/1/5,NLF,201509,-,-,-,-,-,-,-,52.3,0,-,-,-,-,,
2015/1/6,NLF,201501,51.1,51.1,50.6,51,-1.5,-2.86%,17,51.0,74,50.8,51.2,53.7,45.4,,
2015/1/6,NLF,201502,51.3,51.4,50.9,51.4,-1.1,-2.10%,13,51.4,28,-,52.2,53.6,46.5,,
2015/1/6,NLF,201503,-,-,-,-,-,-,-,50.6,0,-,-,-,-,,
2015/1/6,NLF,201506,-,-,-,-,-,-,-,50.7,0,-,-,-,-,,
2015/1/6,NLF,201509,-,-,-,-,-,-,-,50.8,0,-,-,-,-,,
2015/1/7,NLF,201501,50.5,51,49.7,50.5,-0.5,-0.98%,61,50.5,68,50.1,51.7,53.7,45.4,,
2015/1/7,NLF,201502,50.5,50.8,49.6,50.8,-0.6,-1.17%,23,50.8,28,-,52.7,53.6,46.5,,
2015/1/7,NLF,201503,-,-,-,-,-,-,-,50.1,0,-,-,-,-,,
2015/1/7,NLF,201506,-,-,-,-,-,-,-,50.2,0,-,-,-,-,,
2015/1/7,NLF,201509,-,-,-,-,-,-,-,50.3,0,-,-,-,-,,
2015/1/8,NLF,201501,51,53.7,51,53.6,3.1,6.14%,40,53.6,64,52.3,53.6,53.7,45.4,,
