交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NNF,201501,99.9,102.5,99.9,101,1.1,1.10%,17,101.0,49,101,102,103,86.8,,
2015/1/5,NNF,201502,100.5,101.5,100.5,101,0.5,0.50%,37,101.0,7,96,102.5,101.5,96,,
2015/1/5,NNF,201503,-,-,-,-,-,-,-,102.0,0,-,103,-,-,,
2015/1/5,NNF,201506,-,-,-,-,-,-,-,101.5,0,-,103,-,-,,
2015/1/5,NNF,201509,-,-,-,-,-,-,-,102.0,0,-,103,-,-,,
2015/1/6,NNF,201501,101,103.5,100.5,101,0,0.00%,11,101.0,51,101,103.5,103.5,86.8,,
2015/1/6,NNF,201502,101,102.5,101,102.5,1.5,1.49%,2,102.5,5,96,102.5,102.5,96,,
2015/1/6,NNF,201503,-,-,-,-,-,-,-,102.0,0,-,104.5,-,-,,
2015/1/6,NNF,201506,-,-,-,-,-,-,-,101.5,0,-,104.5,-,-,,
2015/1/6,NNF,201509,-,-,-,-,-,-,-,102.0,0,-,104.5,-,-,,
2015/1/7,NNF,201501,101.5,101.5,100.5,100.5,-0.5,-0.50%,13,100.5,47,100,101,103.5,86.8,,
2015/1/7,NNF,201502,101.5,101.5,101.5,101.5,-1,-0.98%,1,101.5,5,-,101.5,102.5,96,,
2015/1/7,NNF,201503,-,-,-,-,-,-,-,101.5,0,-,102,-,-,,
2015/1/7,NNF,201506,-,-,-,-,-,-,-,101.0,0,-,102,-,-,,
2015/1/7,NNF,201509,-,-,-,-,-,-,-,101.5,0,-,102,-,-,,
2015/1/8,NNF,201501,100.5,100.5,99.6,100.5,0,0.00%,13,100.5,45,99.5,100.5,103.5,86.8,,
2015/1/8,NNF,201502,99.7,100.5,99.7,100.5,-1,-0.99%,2,100.5,7,100,100.5,102.5,96,,
2015/1/8,NNF,201503,-,-,-,-,-,-,-,101.5,0,-,101.5,-,-,,
2015/1/8,NNF,201506,-,-,-,-,-,-,-,101.0,0,-,101.5,-,-,,
2015/1/8,NNF,201509,-,-,-,-,-,-,-,101.5,0,-,101.5,-,-,,
2015/1/9,NNF,201501,102.5,102.5,98,100,-0.5,-0.50%,6,100.0,42,98.7,101.5,103.5,86.8,,
2015/1/9,NNF,201502,101,101,101,101,0.5,0.50%,1,101.0,8,93.7,100.5,102.5,96,,
2015/1/9,NNF,201503,-,-,-,-,-,-,-,101.0,0,-,102.5,-,-,,
2015/1/9,NNF,201506,-,-,-,-,-,-,-,100.5,0,-,102.5,-,-,,
2015/1/9,NNF,201509,-,-,-,-,-,-,-,101.0,0,-,102.5,-,-,,
2015/1/12,NNF,201501,101.5,105,101,104.5,4.5,4.50%,39,104.5,43,103.5,104.5,105,86.8,,
2015/1/12,NNF,201502,101,104.5,101,104,3,2.97%,14,104.0,11,104.5,105.5,104.5,96,,
2015/1/12,NNF,201503,-,-,-,-,-,-,-,105.5,0,-,105.5,-,-,,
2015/1/12,NNF,201506,-,-,-,-,-,-,-,105.0,0,-,105.5,-,-,,
2015/1/12,NNF,201509,-,-,-,-,-,-,-,105.5,0,-,105.5,-,-,,
2015/1/13,NNF,201501,105,105.5,103.5,103.5,-1,-0.96%,38,103.5,39,102,104,105.5,86.8,,
2015/1/13,NNF,201502,105,105,104,104,0,0.00%,5,104.0,10,97,104.5,105,96,,
2015/1/13,NNF,201503,-,-,-,-,-,-,-,104.5,0,-,105,-,-,,
2015/1/13,NNF,201506,-,-,-,-,-,-,-,104.0,0,-,105,-,-,,
2015/1/13,NNF,201509,-,-,-,-,-,-,-,104.5,0,-,105,-,-,,
2015/1/14,NNF,201501,105,106,105,105,1.5,1.45%,44,105.0,50,104.5,105.5,106,86.8,,
2015/1/14,NNF,201502,106,106,105.5,105.5,1.5,1.44%,4,105.5,9,102,105.5,106,96,,
2015/1/14,NNF,201503,-,-,-,-,-,-,-,106.0,0,-,106.5,-,-,,
2015/1/14,NNF,201506,-,-,-,-,-,-,-,105.5,0,-,106.5,-,-,,
