交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/4/13,NT1,201604,34.85,35.9,34.6,35.75,0.9,2.58%,81,35.75,187,35.15,35.75,43.85,33.15,,
2016/4/13,NT1,201605,34.2,35.4,34.05,35.35,0.9,2.61%,71,35.35,239,35.1,35.35,38.45,33.25,,
2016/4/14,NT1,201604,36.15,36.15,35.6,35.8,0.05,0.14%,49,35.8,164,35.7,35.9,43.85,33.15,,
2016/4/14,NT1,201605,35.4,35.4,35,35.05,-0.3,-0.85%,95,35.05,244,35,35.2,38.45,33.25,,
2016/4/15,NT1,201604,35.1,35.1,34.55,34.55,-1.25,-3.49%,21,34.55,160,34.45,34.55,43.85,33.15,,
2016/4/15,NT1,201605,34.5,34.5,34.3,34.3,-0.75,-2.14%,18,34.3,240,34.3,34.35,38.45,33.25,,
2016/4/18,NT1,201604,34,34,33.45,33.55,-1,-2.89%,11,33.4,156,33.45,33.7,43.85,33.15,,
2016/4/18,NT1,201605,33.55,33.65,33.2,33.35,-0.95,-2.77%,14,33.05,234,33.15,33.3,38.45,33.2,,
2016/4/19,NT1,201604,34,34,33.6,33.6,0.2,0.60%,17,33.6,153,33.3,33.75,43.85,33.15,,
2016/4/19,NT1,201605,33.4,33.4,33.4,33.4,0.35,1.06%,1,33.4,234,32.95,33.45,38.45,33.2,,
2016/4/20,NT1,201604,33.1,33.1,32.2,32.2,-1.4,-4.17%,36,0.0,149,32.15,32.25,43.85,32.2,,
2016/4/20,NT1,201605,32.75,32.75,32,32,-1.4,-4.19%,27,31.95,235,32,32.2,38.45,32,,
2016/4/21,NT1,201605,32.4,32.4,31.2,31.5,-0.45,-1.41%,4,31.3,233,31.2,31.4,38.45,31.2,,
2016/4/22,NT1,201605,31.25,31.45,29.8,31.25,-0.05,-0.16%,91,31.25,178,31.1,31.3,38.45,29.8,,
2016/4/25,NT1,201605,30.8,31.4,30.8,31,-0.25,-0.80%,45,30.75,154,30.65,30.9,38.45,29.8,,
2016/4/26,NT1,201605,32.4,33,32,32.8,2.05,6.67%,54,32.85,179,32.7,33.1,38.45,29.8,,
2016/4/27,NT1,201605,31.5,31.5,31.5,31.5,-1.35,-4.11%,2,31.4,177,31.35,31.55,38.45,29.8,,
2016/4/28,NT1,201605,31.1,31.1,30.1,30.1,-1.3,-4.14%,28,30.1,173,30.05,33,38.45,29.8,,
2016/4/29,NT1,201605,30.8,30.9,30.45,30.75,0.65,2.16%,126,30.75,117,30.65,30.85,38.45,29.8,,
2016/5/3,NT1,201605,31.55,32.15,31.55,31.9,1.15,3.74%,36,31.95,104,31.8,32.05,38.45,29.8,,
2016/5/4,NT1,201605,32.05,32.05,30.95,30.95,-1,-3.13%,18,30.7,93,30.6,30.8,38.45,29.8,,
2016/5/5,NT1,201605,30.65,31.55,30.65,31.55,0.85,2.77%,58,31.25,74,31.25,31.4,38.45,29.8,,
2016/5/6,NT1,201605,31.2,31.3,31.2,31.3,0.05,0.16%,6,31.25,69,31.05,31.6,38.45,29.8,,
2016/5/9,NT1,201605,31,31,31,31,-0.25,-0.80%,1,30.8,68,30.7,31,38.45,29.8,,
2016/5/10,NT1,201605,31.2,31.2,31.2,31.2,0.4,1.30%,1,31.65,69,31.55,31.8,38.45,29.8,,
2016/5/11,NT1,201605,32.05,32.05,31.5,31.5,-0.15,-0.47%,19,31.5,69,31.25,31.65,38.45,29.8,,
2016/5/12,NT1,201605,31.5,31.5,31.25,31.25,-0.25,-0.79%,2,31.25,69,31.1,31.4,38.45,29.8,,
2016/5/13,NT1,201605,31.2,31.2,30.25,30.3,-0.95,-3.04%,11,30.35,62,30.35,30.75,38.45,29.8,,
2016/5/16,NT1,201605,29.45,30.65,29.45,30.65,0.3,0.99%,10,30.55,59,30.5,30.65,38.45,29.45,,
2016/5/17,NT1,201605,31.9,33.1,31.9,33.1,2.55,8.35%,14,32.85,58,32.8,33,38.45,29.45,,
2016/5/18,NT1,201605,33.25,33.25,33.25,33.25,0.4,1.22%,1,0.0,58,32.9,33.05,38.45,29.45,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/6/28,NT1,201707,25.4,25.7,25.4,25.45,-0.35,-1.36%,112,25.5,260,25.45,25.6,28.65,24.55,,一般,,
2017/6/28,NT1,201708,25.55,25.6,25.4,25.4,-0.2,-0.78%,32,25.45,31,25.35,25.6,27.85,25.4,,一般,,
2017/6/29,NT1,201707,25.25,25.35,24.95,25.15,-0.35,-1.37%,52,25,231,25,25.15,28.65,24.55,,一般,,
2017/6/29,NT1,201708,25.1,25.1,25,25,-0.45,-1.77%,8,25,39,24.85,25.05,27.85,25,,一般,,
2017/6/30,NT1,201707,25.1,25.1,25,25,0,0.00%,7,25,225,25,25.15,28.65,24.55,,一般,,
2017/6/30,NT1,201708,-,-,-,-,-,-,0,24.95,39,24.85,25.05,27.85,25,,一般,,
2017/7/3,NT1,201707,25.05,25.05,25,25,0,0.00%,4,25.05,224,24.95,25.15,28.65,24.55,,一般,,
2017/7/3,NT1,201708,25.05,25.25,25,25,0.05,0.20%,9,25,34,24.95,25.15,27.85,25,,一般,,
2017/7/4,NT1,201707,25.5,25.65,25.4,25.4,0.35,1.40%,85,25.55,213,25.4,25.55,28.65,24.55,,一般,,
2017/7/4,NT1,201708,25.3,25.4,25.3,25.3,0.3,1.20%,5,25.45,32,25.3,25.5,27.85,25,,一般,,
2017/7/5,NT1,201707,25.15,25.2,25,25,-0.55,-2.15%,20,25.05,201,25.05,25.2,28.65,24.55,,一般,,
2017/7/5,NT1,201708,25,25,25,25,-0.45,-1.77%,1,25.1,32,24.9,25.15,27.85,25,,一般,,
2017/7/6,NT1,201707,25.1,25.1,25.1,25.1,0.05,0.20%,1,25,202,24.95,25.1,28.65,24.55,,一般,,
2017/7/6,NT1,201708,25,25,25,25,-0.1,-0.40%,1,24.95,33,24.85,25,27.85,25,,一般,,
2017/7/7,NT1,201707,25.05,25.1,24.6,24.6,-0.4,-1.60%,30,24.8,198,24.6,24.8,28.65,24.55,,一般,,
2017/7/7,NT1,201708,-,-,-,-,-,-,0,24.75,33,24.55,24.8,27.85,25,,一般,,
2017/7/10,NT1,201707,25.1,25.1,24.75,24.75,-0.05,-0.20%,24,24.8,203,24.75,24.9,28.65,24.55,,一般,,
2017/7/10,NT1,201708,24.8,24.8,24.75,24.75,0,0.00%,5,24.75,36,24.65,24.85,27.85,24.75,,一般,,
2017/7/11,NT1,201707,24.6,24.6,24.1,24.1,-0.7,-2.82%,38,24.1,182,24.1,24.25,28.65,24.1,,一般,,
2017/7/11,NT1,201708,24.3,24.3,24.3,24.3,-0.45,-1.82%,5,24.15,39,24.05,24.25,27.85,24.3,,一般,,
2017/7/12,NT1,201707,24.25,24.25,23.95,23.95,-0.15,-0.62%,68,23.95,176,23.95,24.1,28.65,23.95,,一般,,
2017/7/12,NT1,201708,24.15,24.15,24,24,-0.15,-0.62%,7,24,37,23.9,24.1,27.85,24,,一般,,
2017/7/13,NT1,201707,24.15,24.25,24.1,24.2,0.25,1.04%,15,24.2,183,24.05,24.2,28.65,23.95,,一般,,
2017/7/13,NT1,201708,24.2,24.2,24.15,24.15,0.15,0.63%,2,24.15,35,24,24.2,27.85,24,,一般,,
2017/7/14,NT1,201707,24.35,24.35,24.15,24.15,-0.05,-0.21%,7,24.2,179,24.15,24.25,28.65,23.95,,一般,,
2017/7/14,NT1,201708,24.15,24.15,24.15,24.15,0,0.00%,1,24.15,35,24.05,24.25,27.85,24,,一般,,
2017/7/17,NT1,201707,23.95,24,23.9,23.9,-0.3,-1.24%,42,23.95,176,23.85,23.95,28.65,23.9,,一般,,
2017/7/17,NT1,201708,23.85,23.85,23.85,23.85,-0.3,-1.24%,2,23.85,35,23.85,23.95,27.85,23.85,,一般,,
2017/7/18,NT1,201707,24,24,23.95,23.95,0,0.00%,3,23.95,176,23.9,24,28.65,23.9,,一般,,
2017/7/18,NT1,201708,23.9,23.9,23.9,23.9,0.05,0.21%,1,23.95,35,23.9,24,27.85,23.85,,一般,,
2017/7/19,NT1,201707,23.8,23.85,23.65,23.65,-0.3,-1.25%,15,0,183,23.65,23.75,28.65,23.65,,一般,,
2017/7/19,NT1,201708,23.8,23.8,23.7,23.7,-0.25,-1.04%,3,23.6,36,23.5,23.65,27.85,23.7,,一般,,
2017/7/20,NT1,201708,24.15,24.15,23.75,23.8,0.2,0.85%,19,23.8,52,23.7,23.8,27.85,23.7,,一般,,
