交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NTF,201501,47.1,47.1,46.1,46.6,-1.85,-3.82%,212,46.6,262,46.3,46.6,49.6,31.95,,
2015/1/5,NTF,201502,47,47,46.3,46.45,-2.05,-4.23%,17,46.45,74,46.25,46.9,49.05,38,,
2015/1/5,NTF,201503,-,-,-,-,-,-,-,46.35,2,-,-,48.2,33.3,,
2015/1/5,NTF,201506,-,-,-,-,-,-,-,46.9,4,-,-,41.55,40.55,,
2015/1/5,NTF,201509,-,-,-,-,-,-,-,46.75,0,-,-,-,-,,
2015/1/6,NTF,201501,46.6,46.6,43.35,43.35,-3.25,-6.97%,111,43.35,240,-,43.35,49.6,31.95,,
2015/1/6,NTF,201502,45.3,45.3,43.2,43.3,-3.15,-6.78%,48,43.3,90,-,43.3,49.05,38,,
2015/1/6,NTF,201503,-,-,-,-,-,-,-,43.15,2,-,-,48.2,33.3,,
2015/1/6,NTF,201506,-,-,-,-,-,-,-,43.65,4,-,-,41.55,40.55,,
2015/1/6,NTF,201509,-,-,-,-,-,-,-,43.5,0,-,-,-,-,,
2015/1/7,NTF,201501,43,44.75,42.75,44.35,1,2.31%,116,44.35,270,44.05,44.3,49.6,31.95,,
2015/1/7,NTF,201502,42.8,44.7,42.8,44.5,1.2,2.77%,49,44.5,105,43.7,44.3,49.05,38,,
2015/1/7,NTF,201503,-,-,-,-,-,-,-,44.15,2,-,-,48.2,33.3,,
2015/1/7,NTF,201506,-,-,-,-,-,-,-,44.65,4,-,-,41.55,40.55,,
2015/1/7,NTF,201509,-,-,-,-,-,-,-,44.5,0,-,-,-,-,,
2015/1/8,NTF,201501,43.8,44.25,42.6,43.4,-0.95,-2.14%,34,43.4,261,43,44.8,49.6,31.95,,
2015/1/8,NTF,201502,44.3,44.3,42.6,43.5,-1,-2.25%,23,43.5,111,42.65,43.5,49.05,38,,
2015/1/8,NTF,201503,-,-,-,-,-,-,-,43.2,2,-,-,48.2,33.3,,
2015/1/8,NTF,201506,-,-,-,-,-,-,-,43.7,4,-,-,41.55,40.55,,
2015/1/8,NTF,201509,-,-,-,-,-,-,-,43.55,0,-,-,-,-,,
2015/1/9,NTF,201501,44.05,44.05,43,43.1,-0.3,-0.69%,42,43.1,268,43,44.2,49.6,31.95,,
2015/1/9,NTF,201502,44,44,43.1,43.1,-0.4,-0.92%,2,43.1,111,42.8,44.2,49.05,38,,
2015/1/9,NTF,201503,-,-,-,-,-,-,-,42.9,2,-,-,48.2,33.3,,
2015/1/9,NTF,201506,-,-,-,-,-,-,-,43.4,4,-,-,41.55,40.55,,
2015/1/9,NTF,201509,-,-,-,-,-,-,-,43.25,0,-,-,-,-,,
2015/1/12,NTF,201501,43.35,43.35,42.7,42.7,-0.4,-0.93%,15,42.7,257,42.5,44.1,49.6,31.95,,
2015/1/12,NTF,201502,43.3,43.3,42.75,42.75,-0.35,-0.81%,6,42.75,109,-,44.65,49.05,38,,
2015/1/12,NTF,201503,42.9,42.9,42.9,42.9,0,0.00%,1,42.9,2,42.9,-,48.2,33.3,,
2015/1/12,NTF,201506,-,-,-,-,-,-,-,43.0,4,-,-,41.55,40.55,,
2015/1/12,NTF,201509,-,-,-,-,-,-,-,42.85,0,-,-,-,-,,
2015/1/13,NTF,201501,43.05,44.1,42.95,43.15,0.45,1.05%,42,43.15,256,43.3,44,49.6,31.95,,
2015/1/13,NTF,201502,43.3,43.85,43,43,0.25,0.58%,36,43.0,125,-,43.5,49.05,38,,
2015/1/13,NTF,201503,-,-,-,-,-,-,-,43.35,2,-,-,48.2,33.3,,
2015/1/13,NTF,201506,-,-,-,-,-,-,-,43.45,4,-,-,41.55,40.55,,
2015/1/13,NTF,201509,-,-,-,-,-,-,-,43.3,0,-,-,-,-,,
2015/1/14,NTF,201501,43.1,43.7,42.95,43.05,-0.1,-0.23%,50,43.05,242,42.8,44.85,49.6,31.95,,
2015/1/14,NTF,201502,43.6,43.6,42.9,43.3,0.3,0.70%,15,43.3,122,-,43.5,49.05,38,,
2015/1/14,NTF,201503,-,-,-,-,-,-,-,43.25,2,-,-,48.2,33.3,,
