交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NX1,201503,-,-,-,-,-,-,-,91.7,5,-,-,88.1,65.3,,
2015/1/6,NX1,201503,-,-,-,-,-,-,-,91.4,5,-,-,88.1,65.3,,
2015/1/7,NX1,201503,-,-,-,-,-,-,-,91.0,5,-,-,88.1,65.3,,
2015/1/8,NX1,201503,-,-,-,-,-,-,-,90.0,5,-,-,88.1,65.3,,
2015/1/9,NX1,201503,-,-,-,-,-,-,-,88.2,5,-,-,88.1,65.3,,
2015/1/12,NX1,201503,-,-,-,-,-,-,-,87.1,5,-,-,88.1,65.3,,
2015/1/13,NX1,201503,-,-,-,-,-,-,-,88.5,5,-,-,88.1,65.3,,
2015/1/14,NX1,201503,-,-,-,-,-,-,-,88.4,5,-,-,88.1,65.3,,
2015/1/15,NX1,201503,-,-,-,-,-,-,-,88.4,5,-,-,88.1,65.3,,
2015/1/16,NX1,201503,-,-,-,-,-,-,-,87.0,5,-,-,88.1,65.3,,
2015/1/19,NX1,201503,-,-,-,-,-,-,-,87.1,5,-,-,88.1,65.3,,
2015/1/20,NX1,201503,-,-,-,-,-,-,-,87.6,5,-,-,88.1,65.3,,
2015/1/21,NX1,201503,-,-,-,-,-,-,-,89.5,5,-,-,88.1,65.3,,
2015/1/22,NX1,201503,-,-,-,-,-,-,-,90.7,5,-,-,88.1,65.3,,
2015/1/23,NX1,201503,-,-,-,-,-,-,-,91.1,5,-,-,88.1,65.3,,
2015/1/26,NX1,201503,-,-,-,-,-,-,-,90.8,5,-,-,88.1,65.3,,
2015/1/27,NX1,201503,-,-,-,-,-,-,-,91.1,5,-,-,88.1,65.3,,
2015/1/28,NX1,201503,-,-,-,-,-,-,-,91.8,5,-,-,88.1,65.3,,
2015/1/29,NX1,201503,-,-,-,-,-,-,-,90.0,5,-,-,88.1,65.3,,
2015/1/30,NX1,201503,-,-,-,-,-,-,-,89.9,5,-,-,88.1,65.3,,
2015/2/2,NX1,201503,-,-,-,-,-,-,-,90.2,5,-,-,88.1,65.3,,
2015/2/3,NX1,201503,-,-,-,-,-,-,-,90.5,5,-,-,88.1,65.3,,
2015/2/4,NX1,201503,-,-,-,-,-,-,-,91.4,5,-,-,88.1,65.3,,
2015/2/5,NX1,201503,-,-,-,-,-,-,-,91.4,5,-,-,88.1,65.3,,
2015/2/6,NX1,201503,-,-,-,-,-,-,-,92.1,5,-,-,88.1,65.3,,
2015/2/9,NX1,201503,-,-,-,-,-,-,-,90.5,5,-,-,88.1,65.3,,
2015/2/10,NX1,201503,-,-,-,-,-,-,-,88.9,5,-,-,88.1,65.3,,
2015/2/11,NX1,201503,-,-,-,-,-,-,-,89.2,5,-,-,88.1,65.3,,
2015/2/12,NX1,201503,-,-,-,-,-,-,-,88.5,5,-,-,88.1,65.3,,
2015/2/13,NX1,201503,-,-,-,-,-,-,-,89.7,5,-,-,88.1,65.3,,
2015/2/24,NX1,201503,-,-,-,-,-,-,-,90.7,5,-,-,88.1,65.3,,
2015/2/25,NX1,201503,-,-,-,-,-,-,-,91.0,5,-,-,88.1,65.3,,
2015/2/26,NX1,201503,-,-,-,-,-,-,-,91.3,5,-,-,88.1,65.3,,
2015/3/2,NX1,201503,-,-,-,-,-,-,-,92.0,5,-,-,88.1,65.3,,
2015/3/3,NX1,201503,-,-,-,-,-,-,-,94.3,5,-,-,88.1,65.3,,
2015/3/4,NX1,201503,-,-,-,-,-,-,-,96.1,5,-,-,88.1,65.3,,
2015/3/5,NX1,201503,-,-,-,-,-,-,-,97.5,5,-,-,88.1,65.3,,
2015/3/6,NX1,201503,100.5,100.5,100.5,100.5,3,3.08%,1,99.3,5,-,-,100.5,65.3,,
2015/3/9,NX1,201503,-,-,-,-,-,-,-,99.1,5,-,-,100.5,65.3,,
2015/3/10,NX1,201503,-,-,-,-,-,-,-,97.2,5,-,-,100.5,65.3,,
2015/3/11,NX1,201503,102,102.5,102,102.5,5.3,5.45%,2,99.5,5,-,-,102.5,65.3,,
2015/3/12,NX1,201503,-,-,-,-,-,-,-,101.5,5,-,-,102.5,65.3,,
2015/3/13,NX1,201503,-,-,-,-,-,-,-,100.0,5,-,-,102.5,65.3,,
2015/3/16,NX1,201503,-,-,-,-,-,-,-,102.0,5,-,-,102.5,65.3,,
2015/3/17,NX1,201503,101.5,101.5,101,101,-1,-0.98%,2,101.0,3,-,-,102.5,65.3,,
2015/3/18,NX1,201503,-,-,-,-,-,-,-,0.0,3,-,-,102.5,65.3,,
