交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NYF,201501,66.5,66.7,65.9,66.55,-0.35,-0.52%,476,66.55,660,66.55,66.6,67.75,63.4,,
2015/1/5,NYF,201502,66.5,66.75,65.9,66.55,-0.3,-0.45%,264,66.55,298,66.5,66.6,67.35,63.6,,
2015/1/5,NYF,201503,66.45,66.45,66.45,66.45,-0.35,-0.52%,1,66.45,28,66.45,66.6,67,63.65,,
2015/1/5,NYF,201506,-,-,-,-,-,-,-,66.6,20,66.35,66.6,66.7,64.05,,
2015/1/5,NYF,201509,-,-,-,-,-,-,-,66.75,12,66.4,66.6,65.5,63.65,,
2015/1/6,NYF,201501,66,66,64.75,64.95,-1.6,-2.40%,826,64.95,592,64.9,64.95,67.75,63.4,,
2015/1/6,NYF,201502,65.6,65.7,64.8,64.95,-1.6,-2.40%,533,64.95,352,64.9,64.95,67.35,63.6,,
2015/1/6,NYF,201503,-,-,-,-,-,-,-,64.85,28,64.85,64.95,67,63.65,,
2015/1/6,NYF,201506,-,-,-,-,-,-,-,65.0,20,64.75,64.95,66.7,64.05,,
2015/1/6,NYF,201509,-,-,-,-,-,-,-,65.15,12,64.75,65,65.5,63.65,,
2015/1/7,NYF,201501,64.95,65.2,64.7,64.9,-0.05,-0.08%,476,64.9,611,64.8,64.9,67.75,63.4,,
2015/1/7,NYF,201502,64.95,65.2,64.8,64.95,0,0.00%,306,64.95,314,64.85,64.9,67.35,63.6,,
2015/1/7,NYF,201503,64.95,64.95,64.9,64.9,0.05,0.08%,2,64.9,27,64.8,64.9,67,63.65,,
2015/1/7,NYF,201506,-,-,-,-,-,-,-,64.95,20,64.65,64.9,66.7,64.05,,
2015/1/7,NYF,201509,-,-,-,-,-,-,-,65.1,12,64.65,64.95,65.5,63.65,,
2015/1/8,NYF,201501,65.5,66.65,65.5,66.65,1.75,2.70%,632,66.65,608,66.65,66.7,67.75,63.4,,
2015/1/8,NYF,201502,65.75,66.65,65.7,66.65,1.7,2.62%,598,66.65,327,66.6,66.7,67.35,63.6,,
2015/1/8,NYF,201503,66.05,66.6,66.05,66.55,1.65,2.54%,8,66.55,28,66.55,66.75,67,63.65,,
2015/1/8,NYF,201506,-,-,-,-,-,-,-,66.7,20,66.45,66.7,66.7,64.05,,
2015/1/8,NYF,201509,66.45,66.5,66.4,66.4,1.3,2.00%,12,66.4,16,66.5,66.7,66.5,63.65,,
2015/1/9,NYF,201501,67.8,67.8,66.1,66.1,-0.55,-0.83%,949,66.15,635,66.1,66.15,67.8,63.4,,
2015/1/9,NYF,201502,67.05,67.05,66.1,66.2,-0.45,-0.68%,679,66.2,314,66.1,66.2,67.35,63.6,,
2015/1/9,NYF,201503,66.2,66.25,66.2,66.25,-0.3,-0.45%,6,66.25,28,66.05,66.15,67,63.65,,
2015/1/9,NYF,201506,-,-,-,-,-,-,-,66.2,20,65.9,66.15,66.7,64.05,,
2015/1/9,NYF,201509,-,-,-,-,-,-,-,65.9,16,65.95,66.2,66.5,63.65,,
2015/1/12,NYF,201501,65.75,66.2,65.65,65.7,-0.45,-0.68%,536,65.7,691,65.7,65.8,67.8,63.4,,
2015/1/12,NYF,201502,65.75,66.15,65.7,65.75,-0.45,-0.68%,376,65.75,353,65.7,65.8,67.35,63.6,,
2015/1/12,NYF,201503,65.8,65.8,65.8,65.8,-0.45,-0.68%,1,65.8,29,65.65,65.8,67,63.65,,
2015/1/12,NYF,201506,-,-,-,-,-,-,-,65.75,20,65.5,65.8,66.7,64.05,,
2015/1/12,NYF,201509,-,-,-,-,-,-,-,65.45,16,65.55,65.8,66.5,63.65,,
2015/1/13,NYF,201501,65.65,66.45,65.5,66.1,0.4,0.61%,288,66.1,667,66.1,66.2,67.8,63.4,,
2015/1/13,NYF,201502,65.6,66.45,65.55,66.05,0.3,0.46%,232,66.05,364,66.1,66.2,67.35,63.6,,
2015/1/13,NYF,201503,-,-,-,-,-,-,-,66.2,29,66.05,66.25,67,63.65,,
2015/1/13,NYF,201506,-,-,-,-,-,-,-,66.15,20,65.95,66.2,66.7,64.05,,
2015/1/13,NYF,201509,-,-,-,-,-,-,-,65.85,16,66,66.25,66.5,63.65,,
2015/1/14,NYF,201501,66,66,65.45,65.45,-0.65,-0.98%,462,65.45,633,65.45,65.5,67.8,63.4,,
2015/1/14,NYF,201502,65.85,66,65.45,65.5,-0.55,-0.83%,403,65.5,350,65.45,65.5,67.35,63.6,,
2015/1/14,NYF,201503,-,-,-,-,-,-,-,65.55,29,65.4,65.55,67,63.65,,
2015/1/14,NYF,201506,-,-,-,-,-,-,-,65.5,20,65.4,65.55,66.7,64.05,,
2015/1/14,NYF,201509,-,-,-,-,-,-,-,65.2,16,65.4,65.55,66.5,63.65,,
2015/1/15,NYF,201501,65.45,65.95,65.4,65.8,0.35,0.53%,253,65.8,561,65.8,65.85,67.8,63.4,,
2015/1/15,NYF,201502,65.75,65.9,65.45,65.8,0.3,0.46%,165,65.8,362,65.8,65.9,67.35,63.6,,
2015/1/15,NYF,201503,-,-,-,-,-,-,-,65.9,29,65.75,65.9,67,63.65,,
2015/1/15,NYF,201506,-,-,-,-,-,-,-,65.85,20,65.6,65.9,66.7,64.05,,
2015/1/15,NYF,201509,-,-,-,-,-,-,-,65.55,16,65.65,65.9,66.5,63.65,,
2015/1/16,NYF,201501,66.1,66.3,65.3,65.55,-0.25,-0.38%,276,65.55,530,65.5,65.6,67.8,63.4,,
2015/1/16,NYF,201502,65.8,66.2,65.4,65.6,-0.2,-0.30%,220,65.6,426,65.55,65.6,67.35,63.6,,
2015/1/16,NYF,201503,-,-,-,-,-,-,-,65.65,29,65.5,65.65,67,63.65,,
2015/1/16,NYF,201506,-,-,-,-,-,-,-,65.6,20,65.35,65.65,66.7,64.05,,
2015/1/16,NYF,201509,-,-,-,-,-,-,-,65.3,16,65.35,65.65,66.5,63.65,,
2015/1/19,NYF,201501,66.2,66.9,66.1,66.3,0.75,1.14%,232,66.3,453,66.35,66.45,67.8,63.4,,
2015/1/19,NYF,201502,66.5,66.85,66.05,66.3,0.7,1.07%,316,66.3,493,66.3,66.4,67.35,63.6,,
2015/1/19,NYF,201503,-,-,-,-,-,-,-,66.4,29,66.25,66.45,67,63.65,,
2015/1/19,NYF,201506,-,-,-,-,-,-,-,66.35,20,66.15,66.5,66.7,64.05,,
2015/1/19,NYF,201509,-,-,-,-,-,-,-,66.05,16,66.2,66.5,66.5,63.65,,
2015/1/20,NYF,201501,66.4,66.85,66.4,66.85,0.55,0.83%,213,66.85,424,66.8,66.9,67.8,63.4,,
2015/1/20,NYF,201502,66.35,66.9,66.35,66.9,0.6,0.90%,216,66.9,555,66.8,66.9,67.35,63.6,,
2015/1/20,NYF,201503,66.75,66.85,66.75,66.85,0.45,0.68%,17,66.85,30,66.75,66.95,67,63.65,,
2015/1/20,NYF,201506,-,-,-,-,-,-,-,66.9,20,66.3,66.95,66.7,64.05,,
2015/1/20,NYF,201509,-,-,-,-,-,-,-,66.6,16,66.3,66.95,66.5,63.65,,
2015/1/21,NYF,201501,67.3,67.3,67.1,67.25,0.4,0.60%,102,0.0,300,67.2,67.25,67.8,63.4,,
2015/1/21,NYF,201502,67.2,67.3,67.05,67.2,0.3,0.45%,301,67.2,721,67.2,67.25,67.35,63.6,,
2015/1/21,NYF,201503,67.25,67.25,67.25,67.25,0.4,0.60%,1,67.25,30,67.1,67.3,67.25,63.65,,
2015/1/21,NYF,201506,-,-,-,-,-,-,-,67.3,20,67.15,67.35,66.7,64.05,,
2015/1/21,NYF,201509,67.2,67.2,67.2,67.2,0.6,0.90%,1,67.2,16,67.15,67.4,67.2,63.65,,
2015/1/22,NYF,201502,67.5,67.9,67.45,67.7,0.5,0.74%,175,67.7,747,67.65,67.7,67.9,63.6,,
2015/1/22,NYF,201503,67.75,67.85,67.5,67.65,0.4,0.59%,89,67.65,48,67.65,67.7,67.85,63.65,,
2015/1/22,NYF,201506,-,-,-,-,-,-,-,67.8,20,67.5,67.75,66.7,64.05,,
2015/1/22,NYF,201509,67.7,67.7,67.7,67.7,0.5,0.74%,1,67.7,16,67.2,67.8,67.7,63.65,,
2015/1/22,NYF,201512,-,-,-,-,-,-,-,68.4,0,63.65,68,-,-,,
2015/1/23,NYF,201502,68,68.75,68,68.65,0.95,1.40%,274,68.65,786,68.6,68.7,68.75,63.6,,
2015/1/23,NYF,201503,68.45,68.75,68.35,68.7,1.05,1.55%,60,68.7,50,68.65,68.75,68.75,63.65,,
2015/1/23,NYF,201506,-,-,-,-,-,-,-,68.75,20,68.35,68.75,66.7,64.05,,
2015/1/23,NYF,201509,-,-,-,-,-,-,-,68.65,16,68.4,68.75,67.7,63.65,,
2015/1/23,NYF,201512,-,-,-,-,-,-,-,68.9,0,64.6,68.9,-,-,,
2015/1/26,NYF,201502,68.7,68.75,68.4,68.75,0.1,0.15%,97,68.75,820,68.7,68.8,68.75,63.6,,
2015/1/26,NYF,201503,68.55,68.75,68.45,68.65,-0.05,-0.07%,82,68.65,61,68.65,68.75,68.75,63.65,,
2015/1/26,NYF,201506,-,-,-,-,-,-,-,68.85,20,68.45,68.85,66.7,64.05,,
2015/1/26,NYF,201509,-,-,-,-,-,-,-,68.75,16,68.2,68.9,67.7,63.65,,
2015/1/26,NYF,201512,-,-,-,-,-,-,-,69.0,0,64.7,69,-,-,,
2015/1/27,NYF,201502,68.9,69.3,68.7,69.2,0.45,0.65%,293,69.2,821,69.15,69.25,69.3,63.6,,
2015/1/27,NYF,201503,69.2,69.2,68.75,69.2,0.55,0.80%,177,69.2,56,69.2,69.25,69.2,63.65,,
2015/1/27,NYF,201506,-,-,-,-,-,-,-,69.3,20,68.9,69.3,66.7,64.05,,
2015/1/27,NYF,201509,-,-,-,-,-,-,-,69.2,16,68.7,69.35,67.7,63.65,,
2015/1/27,NYF,201512,-,-,-,-,-,-,-,69.45,0,67.15,69.45,-,-,,
2015/1/28,NYF,201502,68.8,69.2,68.8,69.15,-0.05,-0.07%,250,69.15,854,69.15,69.2,69.3,63.6,,
2015/1/28,NYF,201503,68.85,69.2,68.85,69.2,0,0.00%,80,69.2,88,69.1,69.2,69.2,63.65,,
2015/1/28,NYF,201506,-,-,-,-,-,-,-,69.25,20,68.85,69.2,66.7,64.05,,
2015/1/28,NYF,201509,-,-,-,-,-,-,-,69.15,16,68.7,69.25,67.7,63.65,,
2015/1/28,NYF,201512,-,-,-,-,-,-,-,69.4,0,67.15,69.4,-,-,,
2015/1/29,NYF,201502,68.85,68.85,68.2,68.3,-0.85,-1.23%,339,68.3,907,68.2,68.3,69.3,63.6,,
2015/1/29,NYF,201503,68.9,68.9,68.2,68.25,-0.95,-1.37%,164,68.25,86,68.2,68.3,69.2,63.65,,
2015/1/29,NYF,201506,-,-,-,-,-,-,-,68.4,20,67.95,68.3,66.7,64.05,,
2015/1/29,NYF,201509,-,-,-,-,-,-,-,68.3,16,67.75,68.3,67.7,63.65,,
2015/1/29,NYF,201512,-,-,-,-,-,-,-,68.55,0,66.2,68.5,-,-,,
2015/1/30,NYF,201502,68.55,68.55,67.9,68,-0.3,-0.44%,272,68.0,902,68,68.05,69.3,63.6,,
2015/1/30,NYF,201503,68.35,68.45,67.95,67.95,-0.3,-0.44%,165,67.95,110,68,68.05,69.2,63.65,,
2015/1/30,NYF,201506,68,68,68,68,-0.4,-0.58%,1,68.0,21,67.8,68.1,68,64.05,,
2015/1/30,NYF,201509,-,-,-,-,-,-,-,68.0,16,67.55,68.05,67.7,63.65,,
2015/1/30,NYF,201512,68.1,68.1,68.1,68.1,-0.45,-0.66%,2,68.1,2,68,68.25,68.1,68.1,,
2015/2/2,NYF,201502,67.8,68.3,67.8,68.25,0.25,0.37%,217,68.25,894,68.2,68.3,69.3,63.6,,
2015/2/2,NYF,201503,68.2,68.2,67.9,68.15,0.2,0.29%,101,68.15,125,68.2,68.3,69.2,63.65,,
2015/2/2,NYF,201506,-,-,-,-,-,-,-,68.25,21,68,68.3,68,64.05,,
2015/2/2,NYF,201509,-,-,-,-,-,-,-,68.25,16,67.75,68.35,67.7,63.65,,
2015/2/2,NYF,201512,-,-,-,-,-,-,-,68.35,2,66.2,68.5,68.1,68.1,,
2015/2/3,NYF,201502,68.35,68.85,68.05,68.75,0.5,0.73%,258,68.75,851,68.7,68.75,69.3,63.6,,
2015/2/3,NYF,201503,68.4,68.9,68.05,68.7,0.55,0.81%,143,68.7,164,68.7,68.8,69.2,63.65,,
2015/2/3,NYF,201506,68.6,68.6,68.6,68.6,0.35,0.51%,1,68.6,20,68.45,68.8,68.6,64.05,,
2015/2/3,NYF,201509,-,-,-,-,-,-,-,68.75,16,68.25,68.8,67.7,63.65,,
2015/2/3,NYF,201512,-,-,-,-,-,-,-,68.85,2,66.7,68.95,68.1,68.1,,
2015/2/4,NYF,201502,69.15,69.5,69.05,69.4,0.65,0.95%,205,69.4,856,69.35,69.4,69.5,63.6,,
2015/2/4,NYF,201503,69.25,69.45,69.1,69.4,0.7,1.02%,146,69.4,160,69.3,69.4,69.45,63.65,,
2015/2/4,NYF,201506,-,-,-,-,-,-,-,69.25,20,69.15,69.4,68.6,64.05,,
2015/2/4,NYF,201509,-,-,-,-,-,-,-,69.4,16,68.9,69.4,67.7,63.65,,
2015/2/4,NYF,201512,-,-,-,-,-,-,-,69.5,2,67.35,69.6,68.1,68.1,,
2015/2/5,NYF,201502,69.1,69.2,68.8,69.1,-0.3,-0.43%,251,69.1,810,69.05,69.15,69.5,63.6,,
2015/2/5,NYF,201503,69.05,69.15,68.8,69.1,-0.3,-0.43%,213,69.1,185,69.05,69.15,69.45,63.65,,
2015/2/5,NYF,201506,-,-,-,-,-,-,-,68.95,20,68.8,69.2,68.6,64.05,,
