交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NZF,201501,16.99,17.11,16.82,17.1,0.18,1.06%,742,17.1,1406,17.09,17.11,17.11,13.56,,
2015/1/5,NZF,201502,16.94,17.1,16.84,17.09,0.16,0.95%,385,17.09,372,17.07,17.1,17.1,16.34,,
2015/1/5,NZF,201503,-,-,-,-,-,-,-,17.18,47,17.02,17.15,16.99,13.73,,
2015/1/5,NZF,201506,-,-,-,-,-,-,-,17.15,17,16.59,17.6,16.91,13.51,,
2015/1/5,NZF,201509,-,-,-,-,-,-,-,17.06,25,16.72,17.6,16.91,13.73,,
2015/1/6,NZF,201501,17.02,17.75,16.93,17.6,0.5,2.92%,3493,17.59,1709,17.6,17.62,17.75,13.56,,
2015/1/6,NZF,201502,17.02,17.74,16.97,17.57,0.48,2.81%,859,17.57,414,17.59,17.62,17.74,16.34,,
2015/1/6,NZF,201503,17.45,17.45,17.2,17.2,0.02,0.12%,15,17.63,62,17.54,17.72,17.45,13.73,,
2015/1/6,NZF,201506,-,-,-,-,-,-,-,17.64,17,17.1,18.12,16.91,13.51,,
2015/1/6,NZF,201509,17.06,17.06,17.06,17.06,0,0.00%,1,17.61,25,17.1,18.12,17.06,13.73,,
2015/1/7,NZF,201501,17.65,17.85,17.4,17.6,0.01,0.06%,1907,17.61,1674,17.58,17.6,17.85,13.56,,
2015/1/7,NZF,201502,17.77,17.84,17.4,17.64,0.07,0.40%,387,17.64,394,17.6,17.63,17.84,16.34,,
2015/1/7,NZF,201503,17.8,17.8,17.75,17.75,0.12,0.68%,3,17.75,65,17.63,17.69,17.8,13.73,,
2015/1/7,NZF,201506,17.81,17.81,17.81,17.81,0.17,0.96%,1,17.81,17,17.26,18.1,17.81,13.51,,
2015/1/7,NZF,201509,17.81,17.81,17.81,17.81,0.2,1.14%,1,17.81,25,17.76,18.1,17.81,13.73,,
2015/1/8,NZF,201501,17.8,18.17,17.59,17.9,0.29,1.65%,3108,17.91,2135,17.9,17.94,18.17,13.56,,
2015/1/8,NZF,201502,17.84,18.17,17.6,17.92,0.28,1.59%,565,17.91,377,17.9,17.93,18.17,16.34,,
2015/1/8,NZF,201503,17.72,17.88,17.58,17.88,0.13,0.73%,10,17.87,59,17.85,17.88,17.88,13.73,,
2015/1/8,NZF,201506,-,-,-,-,-,-,-,18.11,17,17.4,18.38,17.81,13.51,,
2015/1/8,NZF,201509,-,-,-,-,-,-,-,18.11,25,17.43,18.38,17.81,13.73,,
2015/1/9,NZF,201501,17.85,18.42,17.7,18.42,0.51,2.85%,1394,18.4,1803,18.41,18.42,18.42,13.56,,
2015/1/9,NZF,201502,17.9,18.41,17.75,18.4,0.49,2.74%,372,18.39,323,18.4,18.42,18.41,16.34,,
2015/1/9,NZF,201503,18.05,18.35,18.05,18.35,0.48,2.69%,7,18.35,52,18.35,18.48,18.35,13.73,,
2015/1/9,NZF,201506,-,-,-,-,-,-,-,18.6,17,17.91,18.92,17.81,13.51,,
2015/1/9,NZF,201509,-,-,-,-,-,-,-,18.6,25,17.91,18.92,17.81,13.73,,
2015/1/12,NZF,201501,17.88,17.99,17.53,17.69,-0.71,-3.86%,1992,17.69,1736,17.69,17.7,18.42,13.56,,
2015/1/12,NZF,201502,17.9,17.96,17.52,17.67,-0.72,-3.92%,889,17.67,544,17.68,17.7,18.41,16.34,,
2015/1/12,NZF,201503,17.95,17.95,17.65,17.65,-0.7,-3.81%,14,17.65,66,17.63,17.76,18.35,13.73,,
2015/1/12,NZF,201506,-,-,-,-,-,-,-,17.89,17,17.5,18.2,17.81,13.51,,
2015/1/12,NZF,201509,-,-,-,-,-,-,-,17.89,25,17.35,18.2,17.81,13.73,,
2015/1/13,NZF,201501,17.85,18,17.8,17.94,0.25,1.41%,926,17.94,1657,17.93,17.95,18.42,13.56,,
2015/1/13,NZF,201502,17.84,18,17.8,17.94,0.27,1.53%,454,17.94,597,17.92,17.95,18.41,16.34,,
2015/1/13,NZF,201503,17.97,17.97,17.97,17.97,0.32,1.81%,1,17.97,65,17.87,18,18.35,13.73,,
2015/1/13,NZF,201506,-,-,-,-,-,-,-,18.14,17,17.43,18.45,17.81,13.51,,
2015/1/13,NZF,201509,-,-,-,-,-,-,-,18.14,25,17.43,18.45,17.81,13.73,,
2015/1/14,NZF,201501,17.92,18.01,17.78,17.84,-0.1,-0.56%,848,17.83,1686,17.82,17.84,18.42,13.56,,
2015/1/14,NZF,201502,18.09,18.09,17.77,17.82,-0.12,-0.67%,474,17.82,728,17.81,17.83,18.41,16.34,,
2015/1/14,NZF,201503,17.95,17.95,17.78,17.78,-0.19,-1.06%,7,17.78,67,17.76,17.88,18.35,13.73,,
2015/1/14,NZF,201506,-,-,-,-,-,-,-,18.03,17,17.5,18.33,17.81,13.51,,
2015/1/14,NZF,201509,-,-,-,-,-,-,-,18.03,25,17.32,18.33,17.81,13.73,,
2015/1/15,NZF,201501,17.8,17.95,17.72,17.84,0.01,0.06%,846,17.85,1639,17.85,17.87,18.42,13.56,,
2015/1/15,NZF,201502,17.79,17.93,17.72,17.85,0.03,0.17%,352,17.85,778,17.85,17.87,18.41,16.34,,
2015/1/15,NZF,201503,-,-,-,-,-,-,-,17.8,67,17.85,17.93,18.35,13.73,,
2015/1/15,NZF,201506,-,-,-,-,-,-,-,18.05,17,17.7,18.37,17.81,13.51,,
2015/1/15,NZF,201509,-,-,-,-,-,-,-,18.05,25,17.65,18.37,17.81,13.73,,
2015/1/16,NZF,201501,18.02,18.1,17.88,17.98,0.13,0.73%,1271,17.99,1337,17.98,18,18.42,13.56,,
2015/1/16,NZF,201502,18.05,18.09,17.9,17.98,0.13,0.73%,510,17.98,854,17.96,18,18.41,16.34,,
2015/1/16,NZF,201503,-,-,-,-,-,-,-,17.94,67,17.9,17.98,18.35,13.73,,
2015/1/16,NZF,201506,-,-,-,-,-,-,-,18.19,17,17.48,18.48,17.81,13.51,,
2015/1/16,NZF,201509,-,-,-,-,-,-,-,18.19,25,17.53,18.48,17.81,13.73,,
2015/1/19,NZF,201501,17.72,17.8,16.36,16.49,-1.5,-8.34%,1533,16.52,965,16.44,16.53,18.42,13.56,,
2015/1/19,NZF,201502,17.89,17.89,16.35,16.49,-1.49,-8.29%,1285,16.49,1065,16.44,16.5,18.41,16.34,,
2015/1/19,NZF,201503,17.87,17.87,16.37,16.46,-1.48,-8.25%,45,16.46,99,16.4,16.55,18.35,13.73,,
2015/1/19,NZF,201506,17.46,17.46,16.63,16.75,-1.44,-7.92%,5,16.75,16,16.21,16.7,17.81,13.51,,
2015/1/19,NZF,201509,16.63,16.63,16.62,16.62,-1.57,-8.63%,4,16.62,23,16.2,16.9,17.81,13.73,,
2015/1/20,NZF,201501,16.33,17.03,16.13,16.72,0.2,1.21%,725,16.73,907,16.72,16.8,18.42,13.56,,
2015/1/20,NZF,201502,16.29,17,16.1,16.73,0.24,1.46%,985,16.74,1187,16.72,16.8,18.41,16.1,,
2015/1/20,NZF,201503,16.2,16.95,16.2,16.95,0.49,2.98%,4,16.95,99,16.67,16.85,18.35,13.73,,
2015/1/20,NZF,201506,-,-,-,-,-,-,-,16.96,16,16.42,16.97,17.81,13.51,,
2015/1/20,NZF,201509,-,-,-,-,-,-,-,16.83,23,16.24,17.17,17.81,13.73,,
2015/1/21,NZF,201501,16.93,17.29,16.93,17.27,0.54,3.23%,1004,0.0,312,17.26,17.28,18.42,13.56,,
2015/1/21,NZF,201502,16.95,17.41,16.9,17.38,0.64,3.82%,1282,17.39,1527,17.38,17.41,18.41,16.1,,
2015/1/21,NZF,201503,17.05,17.36,17.05,17.34,0.39,2.30%,25,17.34,93,17.35,17.4,18.35,13.73,,
2015/1/21,NZF,201506,-,-,-,-,-,-,-,17.5,16,16.94,17.85,17.81,13.51,,
2015/1/21,NZF,201509,-,-,-,-,-,-,-,17.37,23,16.88,17.9,17.81,13.73,,
2015/1/22,NZF,201502,17.58,17.7,17.35,17.45,0.06,0.35%,773,17.5,1650,17.45,17.48,18.41,16.1,,
2015/1/22,NZF,201503,17.6,17.6,17.38,17.5,0.16,0.92%,134,17.51,171,17.42,17.48,18.35,13.73,,
2015/1/22,NZF,201506,-,-,-,-,-,-,-,17.61,16,17.32,17.58,17.81,13.51,,
2015/1/22,NZF,201509,-,-,-,-,-,-,-,17.48,23,16.95,17.8,17.81,13.73,,
2015/1/22,NZF,201512,-,-,-,-,-,-,-,17.67,0,-,18,-,-,,
2015/1/23,NZF,201502,17.64,17.86,17.61,17.63,0.13,0.74%,1179,17.64,1721,17.64,17.68,18.41,16.1,,
2015/1/23,NZF,201503,17.72,17.84,17.62,17.63,0.12,0.69%,347,17.64,395,17.62,17.68,18.35,13.73,,
2015/1/23,NZF,201506,17.78,17.85,17.78,17.85,0.24,1.36%,6,17.85,18,17.2,17.77,17.85,13.51,,
2015/1/23,NZF,201509,-,-,-,-,-,-,-,17.62,23,17.14,18.02,17.81,13.73,,
2015/1/23,NZF,201512,17.75,17.8,17.75,17.8,0.13,0.74%,9,17.8,0,-,18.19,17.8,17.75,,
2015/1/26,NZF,201502,17.66,17.83,17.5,17.62,-0.02,-0.11%,836,17.59,1747,17.58,17.61,18.41,16.1,,
2015/1/26,NZF,201503,17.71,17.72,17.52,17.57,-0.07,-0.40%,174,17.58,435,17.56,17.61,18.35,13.73,,
2015/1/26,NZF,201506,-,-,-,-,-,-,-,17.8,18,17.5,17.7,17.85,13.51,,
2015/1/26,NZF,201509,-,-,-,-,-,-,-,17.57,23,17.11,17.81,17.81,13.73,,
2015/1/26,NZF,201512,17.65,17.65,17.65,17.65,-0.15,-0.84%,1,17.65,1,16.58,18.01,17.8,17.65,,
2015/1/27,NZF,201502,17.75,17.79,17.18,17.32,-0.27,-1.53%,1272,17.29,1609,17.22,17.28,18.41,16.1,,
2015/1/27,NZF,201503,17.75,17.76,17.18,17.3,-0.28,-1.59%,227,17.28,533,17.2,17.28,18.35,13.73,,
2015/1/27,NZF,201506,17.33,17.35,17.31,17.31,-0.49,-2.75%,4,17.31,22,17.11,17.29,17.85,13.51,,
2015/1/27,NZF,201509,17.31,17.31,17.31,17.31,-0.26,-1.48%,1,17.31,24,16.75,17.5,17.81,13.73,,
2015/1/27,NZF,201512,17.5,17.5,17.31,17.31,-0.34,-1.93%,3,17.31,4,16.22,17.7,17.8,17.31,,
2015/1/28,NZF,201502,17.34,17.62,17.34,17.62,0.33,1.91%,911,17.61,1677,17.61,17.62,18.41,16.1,,
2015/1/28,NZF,201503,17.4,17.6,17.37,17.6,0.32,1.85%,201,17.6,544,17.59,17.62,18.35,13.73,,
2015/1/28,NZF,201506,17.51,17.51,17.51,17.51,0.2,1.16%,1,17.51,23,17.5,17.63,17.85,13.51,,
2015/1/28,NZF,201509,-,-,-,-,-,-,-,17.63,24,17.14,17.91,17.81,13.73,,
2015/1/28,NZF,201512,-,-,-,-,-,-,-,17.63,4,16.61,18.11,17.8,17.31,,
2015/1/29,NZF,201502,17.29,17.29,17.09,17.22,-0.39,-2.21%,956,17.21,1662,17.2,17.22,18.41,16.1,,
2015/1/29,NZF,201503,17.25,17.26,17.08,17.21,-0.39,-2.22%,273,17.21,588,17.18,17.22,18.35,13.73,,
2015/1/29,NZF,201506,17.3,17.3,17.12,17.2,-0.31,-1.77%,6,17.2,29,17.12,17.23,17.85,13.51,,
2015/1/29,NZF,201509,-,-,-,-,-,-,-,17.23,24,16.73,17.45,17.81,13.73,,
2015/1/29,NZF,201512,17.27,17.27,17.27,17.27,-0.36,-2.04%,1,17.27,5,17.06,17.65,17.8,17.27,,
2015/1/30,NZF,201502,17.25,17.32,16.98,17.06,-0.15,-0.87%,1325,17.05,1552,17.03,17.07,18.41,16.1,,
