交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,OAF,201501,32.49,32.49,31.89,32.37,0.62,1.95%,2989,32.36,3089,32.34,32.37,32.49,21.75,,
2015/1/5,OAF,201502,32.24,32.35,31.89,32.34,0.61,1.92%,339,32.34,494,32.32,32.36,32.35,29.5,,
2015/1/5,OAF,201503,-,-,-,-,-,-,-,32.28,21,32.27,32.42,32.11,26.93,,
2015/1/5,OAF,201506,32.47,32.47,32.47,32.47,0.63,1.98%,1,32.47,14,32.05,32.53,32.47,21.15,,
2015/1/5,OAF,201509,32.59,32.59,32.59,32.59,0.85,2.68%,2,32.59,58,32.2,32.62,32.59,27.2,,
2015/1/6,OAF,201501,32.35,32.75,31.8,32.4,0.04,0.12%,4768,32.4,2918,32.38,32.4,32.75,21.75,,
2015/1/6,OAF,201502,32.22,32.7,31.8,32.38,0.04,0.12%,539,32.37,465,32.37,32.4,32.7,29.5,,
2015/1/6,OAF,201503,32.44,32.44,31.85,31.85,-0.43,-1.33%,3,32.4,20,32.32,32.47,32.44,26.93,,
2015/1/6,OAF,201506,-,-,-,-,-,-,-,32.22,14,31.88,32.56,32.47,21.15,,
2015/1/6,OAF,201509,32.47,32.47,32.31,32.47,-0.12,-0.37%,12,32.27,70,31.88,32.65,32.59,27.2,,
2015/1/7,OAF,201501,32.45,32.76,32.29,32.47,0.07,0.22%,3152,32.46,2943,32.47,32.48,32.76,21.75,,
2015/1/7,OAF,201502,32.4,32.75,32.3,32.45,0.08,0.25%,404,32.45,551,32.45,32.48,32.75,29.5,,
2015/1/7,OAF,201503,32.5,32.5,32.5,32.5,0.1,0.31%,1,32.5,21,32.39,32.5,32.5,26.93,,
2015/1/7,OAF,201506,-,-,-,-,-,-,-,32.28,14,31.97,32.64,32.47,21.15,,
2015/1/7,OAF,201509,32.35,32.57,32.34,32.57,0.3,0.93%,24,32.57,47,31.97,32.73,32.59,27.2,,
2015/1/8,OAF,201501,32.88,33.02,32.15,32.3,-0.16,-0.49%,4280,32.31,3331,32.3,32.31,33.02,21.75,,
2015/1/8,OAF,201502,32.79,33.03,32.14,32.3,-0.15,-0.46%,572,32.3,740,32.28,32.31,33.03,29.5,,
2015/1/8,OAF,201503,-,-,-,-,-,-,-,32.35,21,32.21,32.37,32.5,26.93,,
2015/1/8,OAF,201506,-,-,-,-,-,-,-,32.13,14,31.8,32.52,32.47,21.15,,
