交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/5/11,ODF,201505,-,-,-,-,-,-,-,380.0,0,-,-,-,-,,
2015/5/11,ODF,201506,-,-,-,-,-,-,-,380.5,0,-,-,-,-,,
2015/5/11,ODF,201509,-,-,-,-,-,-,-,381.5,0,-,-,-,-,,
2015/5/11,ODF,201512,-,-,-,-,-,-,-,382.5,0,-,-,-,-,,
2015/5/11,ODF,201603,-,-,-,-,-,-,-,383.5,0,-,-,-,-,,
2015/5/12,ODF,201505,-,-,-,-,-,-,-,386.5,0,-,-,-,-,,
2015/5/12,ODF,201506,381,381,381,381,0.5,0.13%,1,387.0,1,-,-,381,381,,
2015/5/12,ODF,201509,-,-,-,-,-,-,-,388.0,0,-,-,-,-,,
2015/5/12,ODF,201512,-,-,-,-,-,-,-,389.0,0,-,-,-,-,,
2015/5/12,ODF,201603,-,-,-,-,-,-,-,390.0,0,-,-,-,-,,
2015/5/13,ODF,201505,-,-,-,-,-,-,-,390.0,0,-,-,-,-,,
2015/5/13,ODF,201506,-,-,-,-,-,-,-,390.5,1,-,-,381,381,,
2015/5/13,ODF,201509,-,-,-,-,-,-,-,391.5,0,-,-,-,-,,
2015/5/13,ODF,201512,-,-,-,-,-,-,-,392.5,0,-,-,-,-,,
2015/5/13,ODF,201603,-,-,-,-,-,-,-,393.5,0,-,-,-,-,,
2015/5/14,ODF,201505,-,-,-,-,-,-,-,391.0,0,-,-,-,-,,
2015/5/14,ODF,201506,386.5,389,386.5,389,-1.5,-0.38%,8,389.0,3,-,389,389,381,,
2015/5/14,ODF,201509,-,-,-,-,-,-,-,392.5,0,-,-,-,-,,
2015/5/14,ODF,201512,-,-,-,-,-,-,-,393.5,0,-,-,-,-,,
2015/5/14,ODF,201603,-,-,-,-,-,-,-,394.5,0,-,-,-,-,,
2015/5/15,ODF,201505,-,-,-,-,-,-,-,396.0,0,-,-,-,-,,
2015/5/15,ODF,201506,-,-,-,-,-,-,-,394.0,3,-,-,389,381,,
2015/5/15,ODF,201509,-,-,-,-,-,-,-,397.5,0,-,-,-,-,,
2015/5/15,ODF,201512,-,-,-,-,-,-,-,398.5,0,-,-,-,-,,
2015/5/15,ODF,201603,-,-,-,-,-,-,-,399.5,0,-,-,-,-,,
2015/5/18,ODF,201505,-,-,-,-,-,-,-,405.0,0,-,-,-,-,,
2015/5/18,ODF,201506,-,-,-,-,-,-,-,403.0,3,-,-,389,381,,
2015/5/18,ODF,201509,-,-,-,-,-,-,-,406.5,0,-,-,-,-,,
2015/5/18,ODF,201512,-,-,-,-,-,-,-,407.5,0,-,-,-,-,,
2015/5/18,ODF,201603,-,-,-,-,-,-,-,408.5,0,-,-,-,-,,
2015/5/19,ODF,201505,-,-,-,-,-,-,-,401.5,0,-,-,-,-,,
2015/5/19,ODF,201506,-,-,-,-,-,-,-,399.5,3,-,-,389,381,,
2015/5/19,ODF,201509,-,-,-,-,-,-,-,403.0,0,-,-,-,-,,
2015/5/19,ODF,201512,-,-,-,-,-,-,-,404.0,0,-,-,-,-,,
2015/5/19,ODF,201603,-,-,-,-,-,-,-,405.0,0,-,-,-,-,,
2015/5/20,ODF,201505,-,-,-,-,-,-,-,0.0,0,-,-,-,-,,
2015/5/20,ODF,201506,-,-,-,-,-,-,-,397.0,3,-,-,389,381,,
2015/5/20,ODF,201509,-,-,-,-,-,-,-,400.5,0,-,-,-,-,,
2015/5/20,ODF,201512,-,-,-,-,-,-,-,401.5,0,-,-,-,-,,
2015/5/20,ODF,201603,-,-,-,-,-,-,-,402.5,0,-,-,-,-,,
2015/5/21,ODF,201506,-,-,-,-,-,-,-,409.0,3,-,-,389,381,,
2015/5/21,ODF,201507,-,-,-,-,-,-,-,411.5,0,-,-,-,-,,
2015/5/21,ODF,201509,-,-,-,-,-,-,-,412.5,0,-,-,-,-,,
2015/5/21,ODF,201512,-,-,-,-,-,-,-,413.5,0,-,-,-,-,,
2015/5/21,ODF,201603,-,-,-,-,-,-,-,414.5,0,-,-,-,-,,
2015/5/22,ODF,201506,407.5,407.5,407.5,407.5,-1.5,-0.37%,1,407.5,3,-,-,407.5,381,,
2015/5/22,ODF,201507,-,-,-,-,-,-,-,410.0,0,-,-,-,-,,
2015/5/22,ODF,201509,-,-,-,-,-,-,-,411.0,0,-,-,-,-,,
2015/5/22,ODF,201512,-,-,-,-,-,-,-,412.0,0,-,-,-,-,,
2015/5/22,ODF,201603,-,-,-,-,-,-,-,413.0,0,-,-,-,-,,
2015/5/25,ODF,201506,-,-,-,-,-,-,-,402.0,3,398,-,407.5,381,,
2015/5/25,ODF,201507,-,-,-,-,-,-,-,404.5,0,-,-,-,-,,
2015/5/25,ODF,201509,-,-,-,-,-,-,-,405.5,0,-,-,-,-,,
2015/5/25,ODF,201512,-,-,-,-,-,-,-,406.5,0,-,-,-,-,,
2015/5/25,ODF,201603,-,-,-,-,-,-,-,407.5,0,-,-,-,-,,
2015/5/26,ODF,201506,-,-,-,-,-,-,-,401.0,3,-,405,407.5,381,,
2015/5/26,ODF,201507,-,-,-,-,-,-,-,403.5,0,-,408,-,-,,
2015/5/26,ODF,201509,-,-,-,-,-,-,-,404.5,0,-,-,-,-,,
2015/5/26,ODF,201512,-,-,-,-,-,-,-,405.5,0,-,-,-,-,,
2015/5/26,ODF,201603,-,-,-,-,-,-,-,406.5,0,-,-,-,-,,
