交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/5/11,OEF,201505,-,-,-,-,-,-,-,6.37,0,-,-,-,-,,
2015/5/11,OEF,201506,6.35,6.35,6.35,6.35,-0.27,-4.08%,1,6.35,1,-,-,6.35,6.35,,
2015/5/11,OEF,201509,-,-,-,-,-,-,-,6.39,0,-,-,-,-,,
2015/5/11,OEF,201512,-,-,-,-,-,-,-,6.41,0,-,-,-,-,,
2015/5/11,OEF,201603,-,-,-,-,-,-,-,6.43,0,-,-,-,-,,
2015/5/12,OEF,201505,6.43,6.43,6.4,6.41,0.04,0.63%,25,6.41,0,-,6.44,6.43,6.4,,
2015/5/12,OEF,201506,6.4,6.52,6.4,6.52,0.17,2.68%,15,6.52,1,6.2,-,6.52,6.35,,
2015/5/12,OEF,201509,-,-,-,-,-,-,-,6.43,0,-,-,-,-,,
2015/5/12,OEF,201512,-,-,-,-,-,-,-,6.45,0,-,-,-,-,,
2015/5/12,OEF,201603,-,-,-,-,-,-,-,6.47,0,-,-,-,-,,
2015/5/13,OEF,201505,6.48,6.51,6.47,6.48,0.07,1.09%,189,6.48,20,6.46,-,6.51,6.4,,
2015/5/13,OEF,201506,6.48,6.51,6.47,6.48,-0.04,-0.61%,100,6.48,17,6.47,-,6.52,6.35,,
2015/5/13,OEF,201509,-,-,-,-,-,-,-,6.5,0,-,-,-,-,,
2015/5/13,OEF,201512,-,-,-,-,-,-,-,6.52,0,-,-,-,-,,
2015/5/13,OEF,201603,-,-,-,-,-,-,-,6.54,0,-,-,-,-,,
2015/5/14,OEF,201505,6.51,6.51,6.47,6.5,0.02,0.31%,127,6.5,24,6.51,-,6.51,6.4,,
2015/5/14,OEF,201506,6.51,6.51,6.47,6.51,0.03,0.46%,93,6.51,9,6.5,-,6.52,6.35,,
2015/5/14,OEF,201509,-,-,-,-,-,-,-,6.52,0,-,-,-,-,,
2015/5/14,OEF,201512,-,-,-,-,-,-,-,6.54,0,-,-,-,-,,
2015/5/14,OEF,201603,-,-,-,-,-,-,-,6.56,0,-,-,-,-,,
2015/5/15,OEF,201505,6.52,6.52,6.39,6.39,-0.11,-1.69%,196,6.39,5,-,-,6.52,6.39,,
2015/5/15,OEF,201506,6.52,6.52,6.39,6.39,-0.12,-1.84%,309,6.39,46,6.2,-,6.52,6.35,,
2015/5/15,OEF,201509,-,-,-,-,-,-,-,6.41,0,-,-,-,-,,
2015/5/15,OEF,201512,-,-,-,-,-,-,-,6.43,0,-,-,-,-,,
2015/5/15,OEF,201603,-,-,-,-,-,-,-,6.45,0,-,-,-,-,,
2015/5/18,OEF,201505,6.41,6.46,6.38,6.4,0.01,0.16%,137,6.4,32,6.39,-,6.52,6.38,,
2015/5/18,OEF,201506,6.41,6.48,6.39,6.39,0,0.00%,253,6.39,32,6.2,-,6.52,6.35,,
2015/5/18,OEF,201509,-,-,-,-,-,-,-,6.42,0,-,-,-,-,,
2015/5/18,OEF,201512,-,-,-,-,-,-,-,6.44,0,-,-,-,-,,
2015/5/18,OEF,201603,-,-,-,-,-,-,-,6.46,0,-,-,-,-,,
2015/5/19,OEF,201505,6.41,6.57,6.41,6.52,0.12,1.88%,522,6.52,81,-,-,6.57,6.38,,
2015/5/19,OEF,201506,6.44,6.56,6.43,6.52,0.13,2.03%,426,6.52,86,6.25,-,6.56,6.35,,
2015/5/19,OEF,201509,-,-,-,-,-,-,-,6.54,0,-,-,-,-,,
2015/5/19,OEF,201512,-,-,-,-,-,-,-,6.56,0,-,-,-,-,,
2015/5/19,OEF,201603,-,-,-,-,-,-,-,6.58,0,-,-,-,-,,
2015/5/20,OEF,201505,6.48,6.68,6.48,6.62,0.1,1.53%,211,0.0,43,-,-,6.68,6.38,,
2015/5/20,OEF,201506,6.49,6.68,6.45,6.47,-0.05,-0.77%,274,6.47,29,6.25,-,6.68,6.35,,
2015/5/20,OEF,201509,-,-,-,-,-,-,-,6.64,0,-,-,-,-,,
2015/5/20,OEF,201512,-,-,-,-,-,-,-,6.66,0,-,-,-,-,,
2015/5/20,OEF,201603,-,-,-,-,-,-,-,6.68,0,-,-,-,-,,
2015/5/21,OEF,201506,6.55,6.55,6.33,6.33,-0.14,-2.16%,293,6.33,52,6.21,6.45,6.68,6.33,,
2015/5/21,OEF,201507,6.55,6.55,6.47,6.47,-0.09,-1.37%,86,6.47,35,-,-,6.55,6.47,,
2015/5/21,OEF,201509,-,-,-,-,-,-,-,6.5,0,-,-,-,-,,
2015/5/21,OEF,201512,-,-,-,-,-,-,-,6.52,0,-,-,-,-,,
2015/5/21,OEF,201603,-,-,-,-,-,-,-,6.54,0,-,-,-,-,,
2015/5/22,OEF,201506,6.52,6.71,6.52,6.59,0.26,4.11%,556,6.59,68,6.25,-,6.71,6.33,,
2015/5/22,OEF,201507,6.53,6.71,6.52,6.62,0.15,2.32%,533,6.62,37,-,-,6.71,6.47,,
2015/5/22,OEF,201509,-,-,-,-,-,-,-,6.76,0,-,-,-,-,,
2015/5/22,OEF,201512,-,-,-,-,-,-,-,6.78,0,-,-,-,-,,
2015/5/22,OEF,201603,-,-,-,-,-,-,-,6.8,0,-,-,-,-,,
2015/5/25,OEF,201506,6.65,6.65,6.59,6.59,0,0.00%,300,6.59,117,6.59,6.7,6.71,6.33,,
2015/5/25,OEF,201507,6.62,6.63,6.58,6.59,-0.03,-0.45%,155,6.59,57,-,7,6.71,6.47,,
2015/5/25,OEF,201509,-,-,-,-,-,-,-,6.76,0,-,-,-,-,,
2015/5/25,OEF,201512,-,-,-,-,-,-,-,6.78,0,-,-,-,-,,
2015/5/25,OEF,201603,-,-,-,-,-,-,-,6.8,0,-,-,-,-,,
2015/5/26,OEF,201506,6.65,6.66,6.6,6.6,0.01,0.15%,230,6.6,75,6.58,6.65,6.71,6.33,,
2015/5/26,OEF,201507,6.66,6.66,6.6,6.62,0.03,0.46%,134,6.62,48,-,-,6.71,6.47,,
2015/5/26,OEF,201509,-,-,-,-,-,-,-,6.77,0,-,-,-,-,,
2015/5/26,OEF,201512,-,-,-,-,-,-,-,6.79,0,-,-,-,-,,
2015/5/26,OEF,201603,-,-,-,-,-,-,-,6.81,0,-,-,-,-,,
2015/5/27,OEF,201506,6.69,6.74,6.63,6.7,0.1,1.52%,291,6.7,79,6.69,6.7,6.74,6.33,,
2015/5/27,OEF,201507,6.65,6.74,6.65,6.72,0.1,1.51%,238,6.72,38,-,6.7,6.74,6.47,,
2015/5/27,OEF,201509,-,-,-,-,-,-,-,6.87,0,-,-,-,-,,
2015/5/27,OEF,201512,-,-,-,-,-,-,-,6.89,0,-,-,-,-,,
2015/5/27,OEF,201603,-,-,-,-,-,-,-,6.91,0,-,-,-,-,,
2015/5/28,OEF,201506,6.68,6.69,6.55,6.55,-0.15,-2.24%,473,6.55,100,6.55,-,6.74,6.33,,
2015/5/28,OEF,201507,6.69,6.69,6.59,6.59,-0.13,-1.93%,457,6.59,59,6.4,-,6.74,6.47,,
2015/5/28,OEF,201509,-,-,-,-,-,-,-,6.72,0,-,-,-,-,,
2015/5/28,OEF,201512,-,-,-,-,-,-,-,6.74,0,-,-,-,-,,
2015/5/28,OEF,201603,-,-,-,-,-,-,-,6.76,0,-,-,-,-,,
2015/5/29,OEF,201506,6.55,6.55,6.5,6.52,-0.03,-0.46%,26,6.52,85,-,-,6.74,6.33,,
2015/5/29,OEF,201507,6.57,6.57,6.53,6.53,-0.06,-0.91%,35,6.53,74,6.4,-,6.74,6.47,,
2015/5/29,OEF,201509,-,-,-,-,-,-,-,6.69,0,-,-,-,-,,
2015/5/29,OEF,201512,-,-,-,-,-,-,-,6.71,0,-,-,-,-,,
2015/5/29,OEF,201603,-,-,-,-,-,-,-,6.73,0,-,-,-,-,,
2015/6/1,OEF,201506,6.39,6.39,6.11,6.27,-0.25,-3.83%,101,6.27,99,-,-,6.74,6.11,,
2015/6/1,OEF,201507,6.39,6.39,6.16,6.29,-0.24,-3.68%,97,6.29,56,-,-,6.74,6.16,,
2015/6/1,OEF,201509,-,-,-,-,-,-,-,6.44,0,-,-,-,-,,
2015/6/1,OEF,201512,-,-,-,-,-,-,-,6.46,0,-,-,-,-,,
2015/6/1,OEF,201603,-,-,-,-,-,-,-,6.48,0,-,-,-,-,,
2015/6/2,OEF,201506,6.31,6.41,6.3,6.32,0.05,0.80%,677,6.32,108,6.32,-,6.74,6.11,,
2015/6/2,OEF,201507,6.31,6.41,6.3,6.35,0.06,0.95%,397,6.35,59,-,-,6.74,6.16,,
2015/6/2,OEF,201509,-,-,-,-,-,-,-,6.46,0,-,-,-,-,,
2015/6/2,OEF,201512,-,-,-,-,-,-,-,6.48,0,-,-,-,-,,
2015/6/2,OEF,201603,-,-,-,-,-,-,-,6.5,0,-,-,-,-,,
2015/6/3,OEF,201506,6.36,6.48,6.35,6.48,0.16,2.53%,198,6.48,153,-,-,6.74,6.11,,
2015/6/3,OEF,201507,6.36,6.47,6.35,6.47,0.12,1.89%,292,6.47,124,-,6.47,6.74,6.16,,
2015/6/3,OEF,201509,-,-,-,-,-,-,-,6.62,0,-,-,-,-,,
2015/6/3,OEF,201512,-,-,-,-,-,-,-,6.64,0,-,-,-,-,,
2015/6/3,OEF,201603,-,-,-,-,-,-,-,6.66,0,-,-,-,-,,
2015/6/4,OEF,201506,6.51,6.62,6.43,6.47,-0.01,-0.15%,341,6.47,93,-,6.6,6.74,6.11,,
2015/6/4,OEF,201507,6.5,6.62,6.43,6.43,-0.04,-0.62%,480,6.43,82,-,6.59,6.74,6.16,,
2015/6/4,OEF,201509,-,-,-,-,-,-,-,6.61,0,-,-,-,-,,
2015/6/4,OEF,201512,-,-,-,-,-,-,-,6.63,0,-,-,-,-,,
2015/6/4,OEF,201603,-,-,-,-,-,-,-,6.65,0,-,-,-,-,,
2015/6/5,OEF,201506,6.4,6.45,6.34,6.45,-0.02,-0.31%,207,6.45,91,5.98,-,6.74,6.11,,
2015/6/5,OEF,201507,6.43,6.47,6.34,6.45,0.02,0.31%,253,6.45,71,6,-,6.74,6.16,,
2015/6/5,OEF,201509,-,-,-,-,-,-,-,6.59,0,-,-,-,-,,
2015/6/5,OEF,201512,-,-,-,-,-,-,-,6.61,0,-,-,-,-,,
2015/6/5,OEF,201603,-,-,-,-,-,-,-,6.63,0,-,-,-,-,,
2015/6/8,OEF,201506,6.4,6.48,6.31,6.47,0.02,0.31%,137,6.43,98,-,6.43,6.74,6.11,,
2015/6/8,OEF,201507,6.33,6.45,6.33,6.44,-0.01,-0.16%,109,6.44,77,-,6.45,6.74,6.16,,
2015/6/8,OEF,201509,-,-,-,-,-,-,-,6.57,0,-,-,-,-,,
2015/6/8,OEF,201512,-,-,-,-,-,-,-,6.59,0,-,-,-,-,,
2015/6/8,OEF,201603,-,-,-,-,-,-,-,6.61,0,-,-,-,-,,
2015/6/9,OEF,201506,6.39,6.39,5.98,5.99,-0.44,-6.84%,222,5.99,71,-,-,6.74,5.98,,
2015/6/9,OEF,201507,6.39,6.39,5.98,5.99,-0.45,-6.99%,371,5.99,165,5.8,-,6.74,5.98,,
2015/6/9,OEF,201509,-,-,-,-,-,-,-,6.13,0,-,-,-,-,,
2015/6/9,OEF,201512,-,-,-,-,-,-,-,6.15,0,-,-,-,-,,
2015/6/9,OEF,201603,-,-,-,-,-,-,-,6.17,0,-,-,-,-,,
