交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/5/11,OFF,201505,-,-,-,-,-,-,-,123.0,0,-,-,-,-,,
2015/5/11,OFF,201506,-,-,-,-,-,-,-,123.0,0,-,-,-,-,,
2015/5/11,OFF,201509,-,-,-,-,-,-,-,123.5,0,-,-,-,-,,
2015/5/11,OFF,201512,-,-,-,-,-,-,-,124.0,0,-,-,-,-,,
2015/5/11,OFF,201603,-,-,-,-,-,-,-,124.0,0,-,-,-,-,,
2015/5/12,OFF,201505,-,-,-,-,-,-,-,125.5,0,-,-,-,-,,
2015/5/12,OFF,201506,-,-,-,-,-,-,-,125.5,0,-,-,-,-,,
2015/5/12,OFF,201509,-,-,-,-,-,-,-,126.0,0,-,-,-,-,,
2015/5/12,OFF,201512,-,-,-,-,-,-,-,126.5,0,-,-,-,-,,
2015/5/12,OFF,201603,-,-,-,-,-,-,-,126.5,0,-,-,-,-,,
2015/5/13,OFF,201505,-,-,-,-,-,-,-,129.0,0,-,-,-,-,,
2015/5/13,OFF,201506,-,-,-,-,-,-,-,129.0,0,-,-,-,-,,
2015/5/13,OFF,201509,-,-,-,-,-,-,-,129.5,0,-,-,-,-,,
2015/5/13,OFF,201512,-,-,-,-,-,-,-,130.0,0,-,-,-,-,,
2015/5/13,OFF,201603,-,-,-,-,-,-,-,130.0,0,-,-,-,-,,
2015/5/14,OFF,201505,127,128,125,126,-3,-2.33%,9,126.0,1,-,-,128,125,,
2015/5/14,OFF,201506,128,128,126.5,126.5,-2.5,-1.94%,6,126.5,3,-,-,128,126.5,,
2015/5/14,OFF,201509,-,-,-,-,-,-,-,126.5,0,-,-,-,-,,
2015/5/14,OFF,201512,-,-,-,-,-,-,-,127.0,0,-,-,-,-,,
2015/5/14,OFF,201603,-,-,-,-,-,-,-,127.0,0,-,-,-,-,,
2015/5/15,OFF,201505,-,-,-,-,-,-,-,125.0,1,-,-,128,125,,
2015/5/15,OFF,201506,-,-,-,-,-,-,-,125.5,3,-,-,128,126.5,,
2015/5/15,OFF,201509,-,-,-,-,-,-,-,125.5,0,-,-,-,-,,
2015/5/15,OFF,201512,-,-,-,-,-,-,-,126.0,0,-,-,-,-,,
2015/5/15,OFF,201603,-,-,-,-,-,-,-,126.0,0,-,-,-,-,,
2015/5/18,OFF,201505,-,-,-,-,-,-,-,128.5,1,-,-,128,125,,
2015/5/18,OFF,201506,128,128,128,128,2.5,1.99%,1,128.0,4,128,-,128,126.5,,
2015/5/18,OFF,201509,-,-,-,-,-,-,-,129.0,0,-,-,-,-,,
2015/5/18,OFF,201512,-,-,-,-,-,-,-,129.5,0,-,-,-,-,,
2015/5/18,OFF,201603,-,-,-,-,-,-,-,129.5,0,-,-,-,-,,
2015/5/19,OFF,201505,-,-,-,-,-,-,-,125.5,1,-,-,128,125,,
2015/5/19,OFF,201506,130.5,130.5,127,127,-1,-0.78%,6,127.0,7,-,-,130.5,126.5,,
2015/5/19,OFF,201509,-,-,-,-,-,-,-,126.0,0,-,-,-,-,,
2015/5/19,OFF,201512,-,-,-,-,-,-,-,126.5,0,-,-,-,-,,
2015/5/19,OFF,201603,-,-,-,-,-,-,-,126.5,0,-,-,-,-,,
2015/5/20,OFF,201505,128,128,125,125,-0.5,-0.40%,2,0.0,1,-,-,128,125,,
2015/5/20,OFF,201506,127,127,126.5,126.5,-0.5,-0.39%,3,126.5,10,126,-,130.5,126.5,,
2015/5/20,OFF,201509,-,-,-,-,-,-,-,125.5,0,-,-,-,-,,
2015/5/20,OFF,201512,-,-,-,-,-,-,-,126.0,0,-,-,-,-,,
2015/5/20,OFF,201603,-,-,-,-,-,-,-,126.0,0,-,-,-,-,,
2015/5/21,OFF,201506,131.5,131.5,130.5,130.5,4,3.16%,18,130.5,23,129,-,131.5,126.5,,
2015/5/21,OFF,201507,-,-,-,-,-,-,-,129.0,0,128,-,-,-,,
2015/5/21,OFF,201509,-,-,-,-,-,-,-,129.5,0,-,-,-,-,,
2015/5/21,OFF,201512,-,-,-,-,-,-,-,130.0,0,-,-,-,-,,
2015/5/21,OFF,201603,-,-,-,-,-,-,-,130.0,0,-,-,-,-,,
2015/5/22,OFF,201506,129.5,129.5,129.5,129.5,-1,-0.77%,1,129.5,24,130,-,131.5,126.5,,
2015/5/22,OFF,201507,-,-,-,-,-,-,-,128.0,0,-,-,-,-,,
2015/5/22,OFF,201509,-,-,-,-,-,-,-,128.5,0,-,-,-,-,,
2015/5/22,OFF,201512,-,-,-,-,-,-,-,129.0,0,-,-,-,-,,
2015/5/22,OFF,201603,-,-,-,-,-,-,-,129.0,0,-,-,-,-,,
2015/5/25,OFF,201506,130,131,130,131,1.5,1.16%,4,131.0,24,131,-,131.5,126.5,,
2015/5/25,OFF,201507,-,-,-,-,-,-,-,129.5,0,129,-,-,-,,
2015/5/25,OFF,201509,-,-,-,-,-,-,-,130.0,0,-,-,-,-,,
2015/5/25,OFF,201512,-,-,-,-,-,-,-,130.5,0,-,-,-,-,,
2015/5/25,OFF,201603,-,-,-,-,-,-,-,130.5,0,-,-,-,-,,
2015/5/26,OFF,201506,130,130,129.5,130,-1,-0.76%,3,130.0,24,129,-,131.5,126.5,,
2015/5/26,OFF,201507,130,130,130,130,0.5,0.39%,1,130.0,1,-,-,130,130,,
2015/5/26,OFF,201509,-,-,-,-,-,-,-,129.0,0,-,-,-,-,,
2015/5/26,OFF,201512,-,-,-,-,-,-,-,129.5,0,-,-,-,-,,
2015/5/26,OFF,201603,-,-,-,-,-,-,-,129.5,0,-,-,-,-,,
2015/5/27,OFF,201506,128.5,128.5,128,128,-2,-1.54%,2,128.0,25,-,-,131.5,126.5,,
2015/5/27,OFF,201507,129.5,129.5,128,128,-2,-1.54%,3,128.0,3,-,-,130,128,,
2015/5/27,OFF,201509,-,-,-,-,-,-,-,127.0,0,-,-,-,-,,
2015/5/27,OFF,201512,-,-,-,-,-,-,-,127.5,0,-,-,-,-,,
2015/5/27,OFF,201603,-,-,-,-,-,-,-,127.5,0,-,-,-,-,,
2015/5/28,OFF,201506,130.5,130.5,130.5,130.5,2.5,1.95%,1,130.5,26,-,-,131.5,126.5,,
2015/5/28,OFF,201507,-,-,-,-,-,-,-,130.5,3,-,-,130,128,,
2015/5/28,OFF,201509,-,-,-,-,-,-,-,129.5,0,-,-,-,-,,
2015/5/28,OFF,201512,-,-,-,-,-,-,-,130.0,0,-,-,-,-,,
2015/5/28,OFF,201603,-,-,-,-,-,-,-,130.0,0,-,-,-,-,,
2015/5/29,OFF,201506,-,-,-,-,-,-,-,128.5,26,127,-,131.5,126.5,,
2015/5/29,OFF,201507,-,-,-,-,-,-,-,128.5,3,128,-,130,128,,
2015/5/29,OFF,201509,-,-,-,-,-,-,-,127.5,0,-,-,-,-,,
2015/5/29,OFF,201512,-,-,-,-,-,-,-,128.0,0,-,-,-,-,,
2015/5/29,OFF,201603,-,-,-,-,-,-,-,128.0,0,-,-,-,-,,
2015/6/1,OFF,201506,-,-,-,-,-,-,-,135.5,26,125.5,136,131.5,126.5,,
2015/6/1,OFF,201507,-,-,-,-,-,-,-,135.5,3,-,137,130,128,,
2015/6/1,OFF,201509,-,-,-,-,-,-,-,134.5,0,-,-,-,-,,
2015/6/1,OFF,201512,-,-,-,-,-,-,-,135.0,0,-,-,-,-,,
2015/6/1,OFF,201603,-,-,-,-,-,-,-,135.0,0,-,-,-,-,,
2015/6/2,OFF,201506,-,-,-,-,-,-,-,133.5,26,-,-,131.5,126.5,,
2015/6/2,OFF,201507,-,-,-,-,-,-,-,133.5,3,-,-,130,128,,
2015/6/2,OFF,201509,-,-,-,-,-,-,-,132.5,0,-,-,-,-,,
2015/6/2,OFF,201512,-,-,-,-,-,-,-,133.0,0,-,-,-,-,,
2015/6/2,OFF,201603,-,-,-,-,-,-,-,133.0,0,-,-,-,-,,
2015/6/3,OFF,201506,136.5,136.5,136.5,136.5,3,2.25%,1,136.5,25,-,139,136.5,126.5,,
2015/6/3,OFF,201507,-,-,-,-,-,-,-,136.5,3,-,140,130,128,,
2015/6/3,OFF,201509,-,-,-,-,-,-,-,135.5,0,-,-,-,-,,
2015/6/3,OFF,201512,-,-,-,-,-,-,-,136.0,0,-,-,-,-,,
2015/6/3,OFF,201603,-,-,-,-,-,-,-,136.0,0,-,-,-,-,,
2015/6/4,OFF,201506,139,139,131,131,-5.5,-4.03%,2,131.0,25,-,132,139,126.5,,
2015/6/4,OFF,201507,-,-,-,-,-,-,-,131.0,3,-,131,130,128,,
2015/6/4,OFF,201509,-,-,-,-,-,-,-,130.0,0,-,-,-,-,,
2015/6/4,OFF,201512,-,-,-,-,-,-,-,130.5,0,-,-,-,-,,
2015/6/4,OFF,201603,-,-,-,-,-,-,-,130.5,0,-,-,-,-,,
2015/6/5,OFF,201506,139.5,141.5,138,141.5,10.5,8.02%,13,141.5,21,140.5,142,141.5,126.5,,
2015/6/5,OFF,201507,141,141,141,141,10,7.63%,1,141.0,3,-,142.5,141,128,,
2015/6/5,OFF,201509,-,-,-,-,-,-,-,140.5,0,-,-,-,-,,
2015/6/5,OFF,201512,-,-,-,-,-,-,-,141.0,0,-,-,-,-,,
2015/6/5,OFF,201603,-,-,-,-,-,-,-,141.0,0,-,-,-,-,,
2015/6/8,OFF,201506,143,143.5,143,143,1.5,1.06%,3,144.5,21,141,148,143.5,126.5,,
2015/6/8,OFF,201507,-,-,-,-,-,-,-,144.0,3,-,148.5,141,128,,
2015/6/8,OFF,201509,-,-,-,-,-,-,-,143.5,0,-,-,-,-,,
2015/6/8,OFF,201512,-,-,-,-,-,-,-,144.0,0,-,-,-,-,,
2015/6/8,OFF,201603,-,-,-,-,-,-,-,144.0,0,-,-,-,-,,
2015/6/9,OFF,201506,145,145,145,145,0.5,0.35%,1,145.0,20,-,-,145,126.5,,
2015/6/9,OFF,201507,-,-,-,-,-,-,-,144.5,3,-,-,141,128,,
2015/6/9,OFF,201509,-,-,-,-,-,-,-,144.0,0,-,-,-,-,,
2015/6/9,OFF,201512,-,-,-,-,-,-,-,144.5,0,-,-,-,-,,
2015/6/9,OFF,201603,-,-,-,-,-,-,-,144.5,0,-,-,-,-,,
2015/6/10,OFF,201506,140.5,140.5,140.5,140.5,-4.5,-3.10%,6,140.5,26,137.5,-,145,126.5,,
2015/6/10,OFF,201507,142.5,142.5,141,141,-3.5,-2.42%,2,141.0,5,138,-,142.5,128,,
2015/6/10,OFF,201509,-,-,-,-,-,-,-,139.5,0,-,-,-,-,,
2015/6/10,OFF,201512,-,-,-,-,-,-,-,140.0,0,-,-,-,-,,
2015/6/10,OFF,201603,-,-,-,-,-,-,-,140.0,0,-,-,-,-,,
2015/6/11,OFF,201506,141,141,141,141,0.5,0.36%,2,141.0,26,-,-,145,126.5,,
2015/6/11,OFF,201507,-,-,-,-,-,-,-,141.5,5,-,-,142.5,128,,
2015/6/11,OFF,201509,-,-,-,-,-,-,-,140.0,0,-,-,-,-,,
2015/6/11,OFF,201512,-,-,-,-,-,-,-,140.5,0,-,-,-,-,,
2015/6/11,OFF,201603,-,-,-,-,-,-,-,140.5,0,-,-,-,-,,
2015/6/12,OFF,201506,-,-,-,-,-,-,-,139.5,26,129.5,-,145,126.5,,
2015/6/12,OFF,201507,-,-,-,-,-,-,-,140.0,5,130,-,142.5,128,,
2015/6/12,OFF,201509,-,-,-,-,-,-,-,138.5,0,-,-,-,-,,
2015/6/12,OFF,201512,-,-,-,-,-,-,-,139.0,0,-,-,-,-,,
2015/6/12,OFF,201603,-,-,-,-,-,-,-,139.0,0,-,-,-,-,,
2015/6/15,OFF,201506,-,-,-,-,-,-,-,137.0,26,-,-,145,126.5,,
2015/6/15,OFF,201507,-,-,-,-,-,-,-,137.5,5,-,-,142.5,128,,
2015/6/15,OFF,201509,-,-,-,-,-,-,-,136.0,0,-,-,-,-,,
2015/6/15,OFF,201512,-,-,-,-,-,-,-,136.5,0,-,-,-,-,,
2015/6/15,OFF,201603,-,-,-,-,-,-,-,136.5,0,-,-,-,-,,
2015/6/16,OFF,201506,126.5,129,126,129,-8,-5.84%,12,129.0,23,125.5,-,145,126,,
2015/6/16,OFF,201507,133,135.5,127,127,-10.5,-7.64%,14,127.0,10,126,128,142.5,127,,
