交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/5/11,OGF,201505,48.8,48.8,48.8,48.8,0,0.00%,1,48.8,1,-,50.5,48.8,48.8,,
2015/5/11,OGF,201506,-,-,-,-,-,-,-,48.85,0,-,-,-,-,,
2015/5/11,OGF,201509,-,-,-,-,-,-,-,49.0,0,-,-,-,-,,
2015/5/11,OGF,201512,-,-,-,-,-,-,-,49.1,0,-,-,-,-,,
2015/5/11,OGF,201603,-,-,-,-,-,-,-,49.25,0,-,-,-,-,,
2015/5/12,OGF,201505,49.4,49.4,49.2,49.2,0.4,0.82%,6,49.2,5,48.8,-,49.4,48.8,,
2015/5/12,OGF,201506,-,-,-,-,-,-,-,49.25,0,47.85,-,-,-,,
2015/5/12,OGF,201509,-,-,-,-,-,-,-,49.4,0,-,-,-,-,,
2015/5/12,OGF,201512,-,-,-,-,-,-,-,49.5,0,-,-,-,-,,
2015/5/12,OGF,201603,-,-,-,-,-,-,-,49.65,0,-,-,-,-,,
2015/5/13,OGF,201505,49.85,49.85,49.4,49.4,0.2,0.41%,10,49.4,0,-,-,49.85,48.8,,
2015/5/13,OGF,201506,-,-,-,-,-,-,-,49.45,0,-,50.5,-,-,,
2015/5/13,OGF,201509,-,-,-,-,-,-,-,49.6,0,-,-,-,-,,
2015/5/13,OGF,201512,-,-,-,-,-,-,-,49.7,0,-,-,-,-,,
2015/5/13,OGF,201603,-,-,-,-,-,-,-,49.85,0,-,-,-,-,,
2015/5/14,OGF,201505,-,-,-,-,-,-,-,46.15,0,-,-,49.85,48.8,,
2015/5/14,OGF,201506,48.15,48.15,47.6,47.6,-1.85,-3.74%,4,46.2,4,-,47.75,48.15,47.6,,
2015/5/14,OGF,201509,-,-,-,-,-,-,-,46.35,0,-,-,-,-,,
2015/5/14,OGF,201512,-,-,-,-,-,-,-,46.45,0,-,-,-,-,,
2015/5/14,OGF,201603,-,-,-,-,-,-,-,46.6,0,-,-,-,-,,
2015/5/15,OGF,201505,46.5,46.5,46.5,46.5,0.35,0.76%,1,46.5,1,-,-,49.85,46.5,,
2015/5/15,OGF,201506,46,46.55,46,46.3,0.1,0.22%,18,46.3,11,46.3,-,48.15,46,,
2015/5/15,OGF,201509,-,-,-,-,-,-,-,46.7,0,-,-,-,-,,
2015/5/15,OGF,201512,-,-,-,-,-,-,-,46.8,0,-,-,-,-,,
2015/5/15,OGF,201603,-,-,-,-,-,-,-,46.95,0,-,-,-,-,,
2015/5/18,OGF,201505,-,-,-,-,-,-,-,47.55,1,-,49.05,49.85,46.5,,
2015/5/18,OGF,201506,46.5,47.7,46.5,47.6,1.3,2.81%,31,47.6,13,47.55,49,48.15,46,,
2015/5/18,OGF,201509,-,-,-,-,-,-,-,47.75,0,-,-,-,-,,
2015/5/18,OGF,201512,-,-,-,-,-,-,-,47.85,0,-,-,-,-,,
2015/5/18,OGF,201603,-,-,-,-,-,-,-,48.0,0,-,-,-,-,,
2015/5/19,OGF,201505,-,-,-,-,-,-,-,47.55,1,-,-,49.85,46.5,,
2015/5/19,OGF,201506,46.9,47.9,46.9,47,-0.6,-1.26%,10,47.0,18,46.9,47.2,48.15,46,,
2015/5/19,OGF,201509,-,-,-,-,-,-,-,47.75,0,-,-,-,-,,
2015/5/19,OGF,201512,-,-,-,-,-,-,-,47.85,0,-,-,-,-,,
2015/5/19,OGF,201603,-,-,-,-,-,-,-,48.0,0,-,-,-,-,,
2015/5/20,OGF,201505,-,-,-,-,-,-,-,0.0,1,45.55,50.4,49.85,46.5,,
2015/5/20,OGF,201506,47.2,48.4,47.2,48.2,1.2,2.55%,35,48.2,32,47.75,49,48.4,46,,
2015/5/20,OGF,201509,-,-,-,-,-,-,-,48.2,0,44.55,-,-,-,,
2015/5/20,OGF,201512,-,-,-,-,-,-,-,48.3,0,-,-,-,-,,
2015/5/20,OGF,201603,-,-,-,-,-,-,-,48.45,0,-,-,-,-,,
2015/5/21,OGF,201506,48.1,48.1,47.55,47.7,-0.5,-1.04%,4,47.7,33,47.55,47.8,48.4,46,,
2015/5/21,OGF,201507,-,-,-,-,-,-,-,47.3,0,44.5,-,-,-,,
2015/5/21,OGF,201509,-,-,-,-,-,-,-,47.7,0,-,-,-,-,,
2015/5/21,OGF,201512,-,-,-,-,-,-,-,47.8,0,-,-,-,-,,
