交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/5/11,OIF,201505,-,-,-,-,-,-,-,46.5,0,-,-,-,-,,
2015/5/11,OIF,201506,-,-,-,-,-,-,-,46.55,0,-,-,-,-,,
2015/5/11,OIF,201509,-,-,-,-,-,-,-,46.7,0,-,-,-,-,,
2015/5/11,OIF,201512,-,-,-,-,-,-,-,46.8,0,-,-,-,-,,
2015/5/11,OIF,201603,-,-,-,-,-,-,-,46.95,0,-,-,-,-,,
2015/5/12,OIF,201505,-,-,-,-,-,-,-,45.5,0,-,-,-,-,,
2015/5/12,OIF,201506,-,-,-,-,-,-,-,45.55,0,-,-,-,-,,
2015/5/12,OIF,201509,-,-,-,-,-,-,-,45.7,0,-,-,-,-,,
2015/5/12,OIF,201512,-,-,-,-,-,-,-,45.8,0,-,-,-,-,,
2015/5/12,OIF,201603,-,-,-,-,-,-,-,45.95,0,-,-,-,-,,
2015/5/13,OIF,201505,46.3,46.3,46.3,46.3,0.8,1.76%,1,46.3,1,-,-,46.3,46.3,,
2015/5/13,OIF,201506,-,-,-,-,-,-,-,46.35,0,-,-,-,-,,
2015/5/13,OIF,201509,-,-,-,-,-,-,-,46.5,0,-,-,-,-,,
2015/5/13,OIF,201512,-,-,-,-,-,-,-,46.6,0,-,-,-,-,,
2015/5/13,OIF,201603,-,-,-,-,-,-,-,46.75,0,-,-,-,-,,
2015/5/14,OIF,201505,-,-,-,-,-,-,-,45.7,1,-,-,46.3,46.3,,
2015/5/14,OIF,201506,45.35,45.35,45.35,45.35,-1,-2.16%,4,45.35,4,-,-,45.35,45.35,,
2015/5/14,OIF,201509,-,-,-,-,-,-,-,45.9,0,-,-,-,-,,
2015/5/14,OIF,201512,-,-,-,-,-,-,-,46.0,0,-,-,-,-,,
2015/5/14,OIF,201603,-,-,-,-,-,-,-,46.15,0,-,-,-,-,,
2015/5/15,OIF,201505,46.55,47,46.55,46.7,1,2.19%,5,46.7,4,-,-,47,46.3,,
2015/5/15,OIF,201506,46.1,46.1,46.05,46.05,0.7,1.54%,5,46.35,1,-,-,46.1,45.35,,
2015/5/15,OIF,201509,-,-,-,-,-,-,-,46.9,0,-,-,-,-,,
2015/5/15,OIF,201512,-,-,-,-,-,-,-,47.0,0,-,-,-,-,,
2015/5/15,OIF,201603,-,-,-,-,-,-,-,47.15,0,-,-,-,-,,
2015/5/18,OIF,201505,46.15,47.3,46.1,46.5,-0.2,-0.43%,6,46.5,3,-,-,47.3,46.1,,
2015/5/18,OIF,201506,-,-,-,-,-,-,-,46.15,1,-,-,46.1,45.35,,
2015/5/18,OIF,201509,-,-,-,-,-,-,-,46.7,0,-,-,-,-,,
2015/5/18,OIF,201512,-,-,-,-,-,-,-,46.8,0,-,-,-,-,,
2015/5/18,OIF,201603,-,-,-,-,-,-,-,46.95,0,-,-,-,-,,
2015/5/19,OIF,201505,46.8,46.8,46.8,46.8,0.3,0.65%,2,46.8,3,-,-,47.3,46.1,,
2015/5/19,OIF,201506,46.8,46.8,46.8,46.8,0.65,1.41%,7,46.8,8,46.6,-,46.8,45.35,,
2015/5/19,OIF,201509,-,-,-,-,-,-,-,47.0,0,-,-,-,-,,
2015/5/19,OIF,201512,-,-,-,-,-,-,-,47.1,0,-,-,-,-,,
2015/5/19,OIF,201603,-,-,-,-,-,-,-,47.25,0,-,-,-,-,,
2015/5/20,OIF,201505,-,-,-,-,-,-,-,0.0,3,-,-,47.3,46.1,,
2015/5/20,OIF,201506,47.75,47.75,47.15,47.15,0.35,0.75%,2,47.15,10,-,-,47.75,45.35,,
2015/5/20,OIF,201509,-,-,-,-,-,-,-,47.2,0,-,-,-,-,,
2015/5/20,OIF,201512,-,-,-,-,-,-,-,47.3,0,-,-,-,-,,
2015/5/20,OIF,201603,-,-,-,-,-,-,-,47.45,0,-,-,-,-,,
2015/5/21,OIF,201506,-,-,-,-,-,-,-,46.65,10,-,-,47.75,45.35,,
2015/5/21,OIF,201507,-,-,-,-,-,-,-,46.35,0,-,-,-,-,,
