交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/8,OJF,201507,19.55,19.55,18.8,19.1,-0.53,-2.70%,3,18.74,1,18.7,18.78,19.55,18.8,,
2015/7/8,OJF,201508,19.1,19.1,18.84,18.84,-0.81,-4.12%,64,18.84,63,18.73,18.81,19.1,18.84,,
2015/7/8,OJF,201509,-,-,-,-,-,-,-,18.78,0,16.81,22.58,-,-,,
2015/7/8,OJF,201512,-,-,-,-,-,-,-,18.83,0,-,-,-,-,,
2015/7/8,OJF,201603,-,-,-,-,-,-,-,18.89,0,-,-,-,-,,
2015/7/9,OJF,201507,17.51,18.92,17.51,18.92,0.18,0.96%,52,18.92,36,19.16,19.35,19.55,17.51,,
2015/7/9,OJF,201508,16.51,19.37,16.51,19.37,0.53,2.81%,67,19.25,27,19.15,19.34,19.37,16.51,,
2015/7/9,OJF,201509,-,-,-,-,-,-,-,18.96,0,16.16,19.36,-,-,,
2015/7/9,OJF,201512,-,-,-,-,-,-,-,19.01,0,-,19.36,-,-,,
2015/7/9,OJF,201603,-,-,-,-,-,-,-,19.07,0,18.16,19.36,-,-,,
2015/7/13,OJF,201507,19.9,19.93,19.84,19.88,0.96,5.07%,15,19.88,43,20.02,20.12,19.93,17.51,,
2015/7/13,OJF,201508,19.9,20.31,19.64,20.31,1.06,5.51%,37,20.31,56,20.01,20.1,20.31,16.51,,
2015/7/13,OJF,201509,-,-,-,-,-,-,-,19.92,0,18.01,20.13,-,-,,
2015/7/13,OJF,201512,-,-,-,-,-,-,-,19.97,0,-,20.13,-,-,,
2015/7/13,OJF,201603,-,-,-,-,-,-,-,20.03,0,18.98,20.13,-,-,,
2015/7/14,OJF,201507,19.82,19.82,19.43,19.43,-0.45,-2.26%,5,19.3,43,19.2,19.39,19.93,17.51,,
2015/7/14,OJF,201508,19.9,19.9,19.14,19.14,-1.17,-5.76%,25,19.14,77,19.21,19.4,20.31,16.51,,
2015/7/14,OJF,201509,-,-,-,-,-,-,-,19.34,0,17.21,19.4,-,-,,
2015/7/14,OJF,201512,-,-,-,-,-,-,-,19.39,0,-,19.4,-,-,,
2015/7/14,OJF,201603,-,-,-,-,-,-,-,19.45,0,18.2,19.4,-,-,,
2015/7/15,OJF,201507,19.35,19.93,19.09,19.22,-0.08,-0.41%,14,0.0,49,19.12,19.17,19.93,17.51,,
2015/7/15,OJF,201508,19.35,19.35,18.21,18.9,-0.24,-1.25%,83,18.9,81,18.73,18.81,20.31,16.51,,
2015/7/15,OJF,201509,-,-,-,-,-,-,-,19.26,0,16.75,20.81,-,-,,
2015/7/15,OJF,201512,-,-,-,-,-,-,-,19.31,0,-,-,-,-,,
2015/7/15,OJF,201603,-,-,-,-,-,-,-,19.37,0,-,-,-,-,,
2015/7/16,OJF,201508,19.12,19.44,18.8,19.28,0.38,2.01%,236,19.28,230,19.26,19.35,20.31,16.51,,
2015/7/16,OJF,201509,19.05,19.39,19.05,19.27,0.01,0.05%,92,19.27,83,19.22,19.33,19.39,19.05,,
2015/7/16,OJF,201512,-,-,-,-,-,-,-,19.69,0,19.06,19.35,-,-,,
2015/7/16,OJF,201603,-,-,-,-,-,-,-,19.75,0,18.86,-,-,-,,
2015/7/16,OJF,201606,-,-,-,-,-,-,-,19.81,0,18.66,-,-,-,,
2015/7/17,OJF,201508,19.51,19.58,19.4,19.46,0.18,0.93%,76,19.46,296,19.54,19.68,20.31,16.51,,
2015/7/17,OJF,201509,19.53,19.54,19.38,19.47,0.2,1.04%,54,19.47,127,19.49,19.63,19.54,19.05,,
2015/7/17,OJF,201512,-,-,-,-,-,-,-,19.87,0,19.32,19.68,-,-,,
2015/7/17,OJF,201603,-,-,-,-,-,-,-,19.93,0,19.12,19.68,-,-,,
2015/7/17,OJF,201606,-,-,-,-,-,-,-,19.99,0,18.92,19.68,-,-,,
2015/7/20,OJF,201508,19.7,19.79,19.28,19.5,0.04,0.21%,112,19.5,365,19.45,19.64,20.31,16.51,,
2015/7/20,OJF,201509,19.65,19.7,19.22,19.44,-0.03,-0.15%,81,19.44,202,19.36,19.58,19.7,19.05,,
2015/7/20,OJF,201512,19.79,19.79,19.55,19.55,-0.32,-1.61%,3,19.55,3,19.25,19.64,19.79,19.55,,
2015/7/20,OJF,201603,-,-,-,-,-,-,-,19.97,0,19.05,19.64,-,-,,
2015/7/20,OJF,201606,-,-,-,-,-,-,-,20.03,0,18.85,19.64,-,-,,
2015/7/21,OJF,201508,19.43,19.53,19.25,19.42,-0.08,-0.41%,195,19.42,490,19.26,19.4,20.31,16.51,,
2015/7/21,OJF,201509,19.37,19.49,19.28,19.36,-0.08,-0.41%,111,19.36,283,19.21,19.35,19.7,19.05,,
2015/7/21,OJF,201512,-,-,-,-,-,-,-,19.47,3,19.04,19.4,19.79,19.55,,
2015/7/21,OJF,201603,-,-,-,-,-,-,-,19.89,0,18.84,19.4,-,-,,
2015/7/21,OJF,201606,-,-,-,-,-,-,-,19.95,0,18.64,19.4,-,-,,
