交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/8/7,OPF,201708,78.7,78.7,78.5,78.5,-0.4,-0.51%,5,78.5,5,78.4,79.5,78.7,78.5,,一般,,
2017/8/7,OPF,201709,-,-,-,-,-,-,0,78.6,0,-,78.3,-,-,,一般,,
2017/8/7,OPF,201712,-,-,-,-,-,-,0,78.8,0,-,-,-,-,,一般,,
2017/8/7,OPF,201803,-,-,-,-,-,-,0,78.9,0,-,-,-,-,,一般,,
2017/8/7,OPF,201806,-,-,-,-,-,-,0,79.1,0,-,-,-,-,,一般,,
2017/8/8,OPF,201708,78.2,78.4,78.2,78.4,-0.1,-0.13%,20,78.4,25,78.5,83.2,78.7,78.2,,一般,,
2017/8/8,OPF,201709,78,78.9,78,78.9,0.3,0.38%,88,78.9,72,78,78.9,78.9,78,,一般,,
2017/8/8,OPF,201712,-,-,-,-,-,-,0,78.7,0,-,-,-,-,,一般,,
2017/8/8,OPF,201803,-,-,-,-,-,-,0,78.8,0,-,-,-,-,,一般,,
2017/8/8,OPF,201806,-,-,-,-,-,-,0,79,0,-,-,-,-,,一般,,
2017/8/9,OPF,201708,79.6,79.8,79.6,79.8,1.4,1.79%,7,75.9,22,73.7,78.1,79.8,78.2,,一般,,
2017/8/9,OPF,201709,79,79.9,77,77,-1.9,-2.41%,61,77,111,74.2,77,79.9,77,,一般,,
2017/8/9,OPF,201712,-,-,-,-,-,-,0,76.2,0,-,-,-,-,,一般,,
2017/8/9,OPF,201803,-,-,-,-,-,-,0,76.3,0,-,-,-,-,,一般,,
2017/8/9,OPF,201806,-,-,-,-,-,-,0,76.5,0,-,-,-,-,,一般,,
2017/8/10,OPF,201708,79.5,80.3,78.5,78.5,2.6,3.43%,46,78.5,32,78.6,80.5,80.3,78.2,,一般,,
2017/8/10,OPF,201709,78.6,80.5,78.5,78.7,1.7,2.21%,21,78.7,124,78.5,-,80.5,77,,一般,,
2017/8/10,OPF,201712,-,-,-,-,-,-,0,78.8,0,-,-,-,-,,一般,,
2017/8/10,OPF,201803,-,-,-,-,-,-,0,78.9,0,-,-,-,-,,一般,,
2017/8/10,OPF,201806,-,-,-,-,-,-,0,79.1,0,-,-,-,-,,一般,,
2017/8/11,OPF,201708,78.9,80.3,78.5,80.2,1.7,2.17%,23,80.2,39,80,83.2,80.3,78.2,,一般,,
2017/8/11,OPF,201709,78.9,80,78.9,80,1.3,1.65%,18,80,127,80.1,83.1,80.5,77,,一般,,
2017/8/11,OPF,201712,-,-,-,-,-,-,0,80.5,0,-,-,-,-,,一般,,
2017/8/11,OPF,201803,-,-,-,-,-,-,0,80.6,0,-,-,-,-,,一般,,
2017/8/11,OPF,201806,-,-,-,-,-,-,0,80.8,0,-,-,-,-,,一般,,
2017/8/14,OPF,201708,80,80,77,77,-3.2,-3.99%,23,77,24,75.6,77,80.3,77,,一般,,
2017/8/14,OPF,201709,80.5,80.5,77.7,77.7,-2.3,-2.88%,27,77,132,76,77,80.5,77,,一般,,
2017/8/14,OPF,201712,-,-,-,-,-,-,0,77.3,0,-,-,-,-,,一般,,
2017/8/14,OPF,201803,-,-,-,-,-,-,0,77.4,0,-,-,-,-,,一般,,
2017/8/14,OPF,201806,-,-,-,-,-,-,0,77.6,0,-,-,-,-,,一般,,
2017/8/15,OPF,201708,78.9,78.9,78.8,78.8,1.8,2.34%,2,78.8,26,77,79.4,80.3,77,,一般,,
2017/8/15,OPF,201709,77.7,79.1,77.7,78.4,1.4,1.82%,11,78.4,129,78.9,79.6,80.5,77,,一般,,
2017/8/15,OPF,201712,-,-,-,-,-,-,0,79.1,0,-,-,-,-,,一般,,
2017/8/15,OPF,201803,-,-,-,-,-,-,0,79.2,0,-,-,-,-,,一般,,
2017/8/15,OPF,201806,-,-,-,-,-,-,0,79.4,0,-,-,-,-,,一般,,
2017/8/16,OPF,201708,77.6,77.6,77.3,77.5,-1.3,-1.65%,19,0,31,76.1,77.6,80.3,77,,一般,,
2017/8/16,OPF,201709,78.6,78.8,77.3,77.5,-0.9,-1.15%,19,77.5,133,77.2,77.6,80.5,77,,一般,,
2017/8/16,OPF,201712,-,-,-,-,-,-,0,77.8,0,-,-,-,-,,一般,,
2017/8/16,OPF,201803,-,-,-,-,-,-,0,77.9,0,-,-,-,-,,一般,,
2017/8/16,OPF,201806,-,-,-,-,-,-,0,78.1,0,-,-,-,-,,一般,,
2017/8/17,OPF,201709,78.2,78.2,77.3,77.6,0.1,0.13%,23,77.6,146,75.2,77.9,80.5,77,,一般,,
2017/8/17,OPF,201710,77.3,77.3,77.3,77.3,-0.5,-0.64%,1,77.3,1,74.8,78,77.3,77.3,,一般,,
2017/8/17,OPF,201712,-,-,-,-,-,-,0,77.9,0,-,-,-,-,,一般,,
2017/8/17,OPF,201803,-,-,-,-,-,-,0,78,0,-,-,-,-,,一般,,
2017/8/17,OPF,201806,-,-,-,-,-,-,0,78.2,0,-,-,-,-,,一般,,
2017/8/18,OPF,201709,76.6,76.6,75.7,76.4,-1.2,-1.55%,69,76.4,145,73,77.2,80.5,75.7,,一般,,
2017/8/18,OPF,201710,76,76,76,76,-1.3,-1.68%,3,76,4,72.8,76.2,77.3,76,,一般,,
2017/8/18,OPF,201712,-,-,-,-,-,-,0,76.7,0,-,-,-,-,,一般,,
2017/8/18,OPF,201803,-,-,-,-,-,-,0,76.8,0,-,-,-,-,,一般,,
2017/8/18,OPF,201806,-,-,-,-,-,-,0,77,0,-,-,-,-,,一般,,
2017/8/21,OPF,201709,76.9,77.2,75.3,75.5,-0.9,-1.18%,25,75.5,144,75.1,75.6,80.5,75.3,,一般,,
2017/8/21,OPF,201710,76,76,75.8,75.8,-0.2,-0.26%,2,75.8,3,74.7,75.4,77.3,75.8,,一般,,
2017/8/21,OPF,201712,-,-,-,-,-,-,0,75.8,0,-,-,-,-,,一般,,
2017/8/21,OPF,201803,-,-,-,-,-,-,0,75.9,0,-,-,-,-,,一般,,
2017/8/21,OPF,201806,-,-,-,-,-,-,0,76.1,0,-,-,-,-,,一般,,
2017/8/22,OPF,201709,76.1,76.3,75.7,75.9,0.4,0.53%,26,75.9,152,75.8,75.9,80.5,75.3,,一般,,
2017/8/22,OPF,201710,-,-,-,-,-,-,0,75.8,3,75.6,75.9,77.3,75.8,,一般,,
2017/8/22,OPF,201712,-,-,-,-,-,-,0,76.2,0,-,-,-,-,,一般,,
2017/8/22,OPF,201803,-,-,-,-,-,-,0,76.3,0,-,-,-,-,,一般,,
2017/8/22,OPF,201806,-,-,-,-,-,-,0,76.5,0,-,-,-,-,,一般,,
2017/8/23,OPF,201709,76.4,80.3,76.3,78.8,2.9,3.82%,98,78.8,203,78.5,79,80.5,75.3,,一般,,
2017/8/23,OPF,201710,76.1,78.3,76.1,77.8,2,2.64%,47,77.8,46,78.3,79,78.3,75.8,,一般,,
2017/8/23,OPF,201712,-,-,-,-,-,-,0,79.1,0,-,-,-,-,,一般,,
