交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/11/1,OTF,201711,392,414,392,407.5,23,5.98%,19,407.5,5,408.5,-,414,392,,一般,,
2017/11/1,OTF,201712,-,-,-,-,-,-,0,408,0,-,-,-,-,,一般,,
2017/11/1,OTF,201803,-,-,-,-,-,-,0,409,0,-,-,-,-,,一般,,
2017/11/1,OTF,201806,-,-,-,-,-,-,0,409.5,0,-,-,-,-,,一般,,
2017/11/1,OTF,201809,-,-,-,-,-,-,0,410.5,0,-,-,-,-,,一般,,
2017/11/2,OTF,201711,414.5,414.5,414.5,414.5,7,1.72%,1,414.5,4,416,416.5,414.5,392,,一般,,
2017/11/2,OTF,201712,413.5,413.5,413.5,413.5,5.5,1.35%,2,413.5,2,412.5,-,413.5,413.5,,一般,,
2017/11/2,OTF,201803,-,-,-,-,-,-,0,416,0,-,-,-,-,,一般,,
2017/11/2,OTF,201806,-,-,-,-,-,-,0,416.5,0,-,-,-,-,,一般,,
2017/11/2,OTF,201809,-,-,-,-,-,-,0,417.5,0,-,-,-,-,,一般,,
2017/11/3,OTF,201711,417.5,420,417.5,420,5.5,1.33%,2,420,3,415.5,-,420,392,,一般,,
2017/11/3,OTF,201712,-,-,-,-,-,-,0,419,2,421,-,413.5,413.5,,一般,,
2017/11/3,OTF,201803,-,-,-,-,-,-,0,421.5,0,-,-,-,-,,一般,,
2017/11/3,OTF,201806,-,-,-,-,-,-,0,422,0,-,-,-,-,,一般,,
2017/11/3,OTF,201809,-,-,-,-,-,-,0,423,0,-,-,-,-,,一般,,
2017/11/6,OTF,201711,435,436,430,430,10,2.38%,6,413.5,4,400,427,436,392,,一般,,
2017/11/6,OTF,201712,422,422,422,422,3,0.72%,2,422,0,-,424.5,422,413.5,,一般,,
2017/11/6,OTF,201803,-,-,-,-,-,-,0,415,0,-,-,-,-,,一般,,
2017/11/6,OTF,201806,-,-,-,-,-,-,0,415.5,0,-,-,-,-,,一般,,
2017/11/6,OTF,201809,-,-,-,-,-,-,0,416.5,0,-,-,-,-,,一般,,
2017/11/7,OTF,201711,-,-,-,-,-,-,0,425,4,410,440,436,392,,一般,,
2017/11/7,OTF,201712,-,-,-,-,-,-,0,433.5,0,-,435,422,413.5,,一般,,
2017/11/7,OTF,201803,-,-,-,-,-,-,0,426.5,0,-,-,-,-,,一般,,
2017/11/7,OTF,201806,-,-,-,-,-,-,0,427,0,-,-,-,-,,一般,,
2017/11/7,OTF,201809,-,-,-,-,-,-,0,428,0,-,-,-,-,,一般,,
2017/11/8,OTF,201711,420,420,420,420,-5,-1.18%,1,420,3,407,-,436,392,,一般,,
2017/11/8,OTF,201712,413.5,413.5,413.5,413.5,-20,-4.61%,1,413.5,1,-,-,422,413.5,,一般,,
2017/11/8,OTF,201803,-,-,-,-,-,-,0,421.5,0,-,-,-,-,,一般,,
2017/11/8,OTF,201806,-,-,-,-,-,-,0,422,0,-,-,-,-,,一般,,
2017/11/8,OTF,201809,-,-,-,-,-,-,0,423,0,-,-,-,-,,一般,,
2017/11/9,OTF,201711,418,418,418,418,-2,-0.48%,1,418,3,400,-,436,392,,一般,,
2017/11/9,OTF,201712,435,435,435,435,21.5,5.20%,1,411.5,1,373,-,435,413.5,,一般,,
2017/11/9,OTF,201803,-,-,-,-,-,-,0,419.5,0,-,-,-,-,,一般,,
2017/11/9,OTF,201806,-,-,-,-,-,-,0,420,0,-,-,-,-,,一般,,
2017/11/9,OTF,201809,-,-,-,-,-,-,0,421,0,-,-,-,-,,一般,,
2017/11/10,OTF,201711,408.5,430,408.5,430,12,2.87%,3,430,3,429,-,436,392,,一般,,
2017/11/10,OTF,201712,431,431,430,430,18.5,4.50%,3,430,3,-,-,435,413.5,,一般,,
2017/11/10,OTF,201803,-,-,-,-,-,-,0,431.5,0,-,-,-,-,,一般,,
2017/11/10,OTF,201806,-,-,-,-,-,-,0,432,0,-,-,-,-,,一般,,
2017/11/10,OTF,201809,-,-,-,-,-,-,0,433,0,-,-,-,-,,一般,,
2017/11/13,OTF,201711,-,-,-,-,-,-,0,417.5,3,-,419,436,392,,一般,,
2017/11/13,OTF,201712,-,-,-,-,-,-,0,417.5,3,413,-,435,413.5,,一般,,
2017/11/13,OTF,201803,-,-,-,-,-,-,0,419,0,412.5,-,-,-,,一般,,
