交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/04/30,OZ1,201805  ,89,89,81,81,-9,-10.00%,528.0,81,1913,-,81,89,41.25,,一般,,
2018/04/30,OZ1,201806  ,80.9,83.3,80.9,82.8,-6.9,-7.69%,5.0,80.8,25,-,80.9,83.3,37.3,,一般,,
2018/04/30,OZ1,201809  ,-,-,-,-,-,-,0.0,80.1,1,-,-,44.35,44.35,,一般,,
2018/04/30,OZ1,201812  ,-,-,-,-,-,-,0.0,80,1,-,-,44.3,44.3,,一般,,
2018/04/30,OZ1,201805/201806     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2018/05/02,OZ1,201805  ,80.1,82.1,75.1,75.8,-5.2,-6.42%,434.0,75.9,1634,75.7,76,89,41.25,,一般,,
2018/05/02,OZ1,201806  ,80.8,80.8,75.1,75.7,-5.1,-6.31%,22.0,75.7,42,75.7,75.9,83.3,37.3,,一般,,
2018/05/02,OZ1,201809  ,-,-,-,-,-,-,0.0,75,1,72.3,-,44.35,44.35,,一般,,
2018/05/02,OZ1,201812  ,-,-,-,-,-,-,0.0,74.9,1,72.1,-,44.3,44.3,,一般,,
2018/05/03,OZ1,201805  ,75.4,76.9,73.6,75.3,-0.6,-0.79%,199.0,75.3,1512,75.2,75.5,89,41.25,,一般,,
2018/05/03,OZ1,201806  ,74.2,76.6,74.2,75.6,-0.1,-0.13%,74.0,75.2,94,75,75.6,83.3,37.3,,一般,,
2018/05/03,OZ1,201809  ,-,-,-,-,-,-,0.0,74.4,1,-,-,44.35,44.35,,一般,,
2018/05/03,OZ1,201812  ,-,-,-,-,-,-,0.0,74.3,1,-,-,44.3,44.3,,一般,,
2018/05/04,OZ1,201805  ,77.2,82.2,76.8,80.7,5.4,7.17%,114.0,80.7,1459,80.4,80.6,89,41.25,,一般,,
2018/05/04,OZ1,201806  ,77,80.9,77,80.9,5.7,7.58%,7.0,80.6,98,80.1,80.6,83.3,37.3,,一般,,
2018/05/04,OZ1,201809  ,-,-,-,-,-,-,0.0,79.8,1,-,-,44.35,44.35,,一般,,
2018/05/04,OZ1,201812  ,-,-,-,-,-,-,0.0,79.7,1,-,-,44.3,44.3,,一般,,
2018/05/07,OZ1,201805  ,81.9,82.2,78.7,78.7,-2,-2.48%,581.0,79.1,1151,78.8,79.2,89,41.25,,一般,,
2018/05/07,OZ1,201806  ,81.7,81.7,79,79,-1.6,-1.99%,270.0,79,299,78.8,79.2,83.3,37.3,,一般,,
2018/05/07,OZ1,201809  ,-,-,-,-,-,-,0.0,78.2,1,-,-,44.35,44.35,,一般,,
2018/05/07,OZ1,201812  ,-,-,-,-,-,-,0.0,78.1,1,-,-,44.3,44.3,,一般,,
2018/05/08,OZ1,201805  ,78.3,78.3,77.7,77.8,-1.3,-1.64%,27.0,78.1,1149,77.6,78.2,89,41.25,,一般,,
2018/05/08,OZ1,201806  ,78.1,78.2,77.8,77.9,-1.1,-1.39%,10.0,77.9,302,77.7,78.3,83.3,37.3,,一般,,
2018/05/08,OZ1,201809  ,-,-,-,-,-,-,0.0,77.2,1,-,-,44.35,44.35,,一般,,
2018/05/08,OZ1,201812  ,-,-,-,-,-,-,0.0,77.1,1,-,-,44.3,44.3,,一般,,
2018/05/09,OZ1,201805  ,78.3,78.3,76.5,77.4,-0.7,-0.90%,125.0,77.2,1107,77,77.5,89,41.25,,一般,,
2018/05/09,OZ1,201806  ,77,77.1,77,77.1,-0.8,-1.03%,2.0,77.3,301,77.1,77.6,83.3,37.3,,一般,,
2018/05/09,OZ1,201809  ,-,-,-,-,-,-,0.0,76.3,1,-,-,44.35,44.35,,一般,,
2018/05/09,OZ1,201812  ,-,-,-,-,-,-,0.0,76.2,1,-,-,44.3,44.3,,一般,,
2018/05/10,OZ1,201805  ,77.7,78.4,77.6,78.4,1.2,1.55%,31.0,78.6,1101,78.4,78.7,89,41.25,,一般,,
2018/05/10,OZ1,201806  ,78.1,78.5,78.1,78.5,1.2,1.55%,4.0,78.5,301,78.1,78.7,83.3,37.3,,一般,,
2018/05/10,OZ1,201809  ,78.8,78.8,78.8,78.8,2.5,3.28%,1.0,78.8,0,-,-,78.8,44.35,,一般,,
2018/05/10,OZ1,201812  ,78.8,78.8,78.8,78.8,2.6,3.41%,1.0,78.8,0,-,-,78.8,44.3,,一般,,
2018/05/11,OZ1,201805  ,79.3,80.1,79.3,79.6,1,1.27%,44.0,79.7,1097,79.4,79.8,89,41.25,,一般,,
2018/05/11,OZ1,201806  ,79.5,79.7,79.5,79.7,1.2,1.53%,2.0,79.7,303,79.5,80,83.3,37.3,,一般,,
