交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/04/30,OZF,201805  ,89.8,91.2,81,81,-9,-10.00%,1412.0,81,152,-,81,91.2,81,,一般,,
2018/04/30,OZF,201806  ,86.8,86.8,80.8,80.8,-8.9,-9.92%,36.0,80.8,24,-,81,86.8,80.8,,一般,,
2018/04/30,OZF,201809  ,-,-,-,-,-,-,0.0,80.1,0,-,-,-,-,,一般,,
2018/04/30,OZF,201812  ,-,-,-,-,-,-,0.0,80,0,-,-,-,-,,一般,,
2018/04/30,OZF,201903  ,-,-,-,-,-,-,0.0,80.8,0,-,-,-,-,,一般,,
2018/04/30,OZF,201805/201806     ,0.01,0.01,0.01,0.01,-,-,2.0,-,-,-0.11,-0.01,0.01,0.01,,一般,16.0,
2018/05/02,OZF,201805  ,80.2,82.2,75.2,75.9,-5.1,-6.30%,763.0,75.9,207,75.8,76,91.2,75.2,,一般,,
2018/05/02,OZF,201806  ,80.7,80.7,75.3,75.9,-4.9,-6.06%,86.0,75.7,74,75.8,76,86.8,75.3,,一般,,
2018/05/02,OZF,201809  ,-,-,-,-,-,-,0.0,75,0,72.5,-,-,-,,一般,,
2018/05/02,OZF,201812  ,-,-,-,-,-,-,0.0,74.9,0,74,-,-,-,,一般,,
2018/05/02,OZF,201903  ,-,-,-,-,-,-,0.0,75.7,0,72.9,-,-,-,,一般,,
2018/05/03,OZF,201805  ,75.4,77.2,73.6,75.4,-0.5,-0.66%,475.0,75.3,241,75.1,75.4,91.2,73.6,,一般,,
2018/05/03,OZF,201806  ,74.3,76.9,74,75.2,-0.5,-0.66%,62.0,75.2,109,75.2,75.5,86.8,74,,一般,,
2018/05/03,OZF,201809  ,-,-,-,-,-,-,0.0,74.4,0,-,-,-,-,,一般,,
2018/05/03,OZF,201812  ,-,-,-,-,-,-,0.0,74.3,0,74.1,-,-,-,,一般,,
2018/05/03,OZF,201903  ,-,-,-,-,-,-,0.0,75.1,0,-,-,-,-,,一般,,
2018/05/04,OZF,201805  ,76.4,82.5,76.4,80.7,5.4,7.17%,828.0,80.7,182,80.5,80.8,91.2,73.6,,一般,,
2018/05/04,OZF,201806  ,76.6,82,76.6,80.6,5.4,7.18%,68.0,80.6,114,80.4,80.7,86.8,74,,一般,,
2018/05/04,OZF,201809  ,-,-,-,-,-,-,0.0,79.8,0,-,-,-,-,,一般,,
2018/05/04,OZF,201812  ,-,-,-,-,-,-,0.0,79.7,0,-,-,-,-,,一般,,
2018/05/04,OZF,201903  ,-,-,-,-,-,-,0.0,80.5,0,-,-,-,-,,一般,,
2018/05/07,OZF,201805  ,82.1,82.4,78.9,79.1,-1.6,-1.98%,310.0,79.1,166,79,79.1,91.2,73.6,,一般,,
2018/05/07,OZF,201806  ,81.7,82,79,79,-1.6,-1.99%,64.0,79,130,79,79.2,86.8,74,,一般,,
2018/05/07,OZF,201809  ,-,-,-,-,-,-,0.0,78.2,0,-,-,-,-,,一般,,
2018/05/07,OZF,201812  ,-,-,-,-,-,-,0.0,78.1,0,-,-,-,-,,一般,,
2018/05/07,OZF,201903  ,-,-,-,-,-,-,0.0,78.9,0,-,-,-,-,,一般,,
2018/05/08,OZF,201805  ,78.4,78.6,77.7,78.1,-1,-1.26%,119.0,78.1,172,77.9,78.2,91.2,73.6,,一般,,
2018/05/08,OZF,201806  ,78.4,78.4,77.8,78,-1,-1.27%,54.0,77.9,163,77.8,78.2,86.8,74,,一般,,
2018/05/08,OZF,201809  ,-,-,-,-,-,-,0.0,77.2,0,-,-,-,-,,一般,,
2018/05/08,OZF,201812  ,-,-,-,-,-,-,0.0,77.1,0,-,-,-,-,,一般,,
2018/05/08,OZF,201903  ,-,-,-,-,-,-,0.0,77.9,0,-,-,-,-,,一般,,
2018/05/09,OZF,201805  ,78.3,78.3,76.7,77.2,-0.9,-1.15%,91.0,77.2,190,77.1,77.4,91.2,73.6,,一般,,
2018/05/09,OZF,201806  ,78.2,78.2,76.9,77.3,-0.6,-0.77%,21.0,77.3,177,77.2,77.5,86.8,74,,一般,,
2018/05/09,OZF,201809  ,-,-,-,-,-,-,0.0,76.3,0,-,-,-,-,,一般,,
2018/05/09,OZF,201812  ,-,-,-,-,-,-,0.0,76.2,0,-,-,-,-,,一般,,
2018/05/09,OZF,201903  ,-,-,-,-,-,-,0.0,77,0,-,-,-,-,,一般,,
2018/05/10,OZF,201805  ,77.6,78.7,77.6,78.6,1.4,1.81%,94.0,78.6,188,78.4,78.6,91.2,73.6,,一般,,
2018/05/10,OZF,201806  ,77.5,78.6,77.5,78.4,1.1,1.42%,22.0,78.5,175,78.4,78.7,86.8,74,,一般,,
