交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/11/01,PCF,201811  ,-,-,-,-,-,-,0.0,100.5,0,-,-,-,-,,一般,,
2018/11/01,PCF,201812  ,-,-,-,-,-,-,0.0,100.5,0,-,-,-,-,,一般,,
2018/11/01,PCF,201903  ,-,-,-,-,-,-,0.0,101,0,-,-,-,-,,一般,,
2018/11/01,PCF,201906  ,-,-,-,-,-,-,0.0,101,0,-,-,-,-,,一般,,
2018/11/01,PCF,201909  ,-,-,-,-,-,-,0.0,101.5,0,-,-,-,-,,一般,,
2018/11/02,PCF,201811  ,103.5,103.5,103.5,103.5,3,2.99%,1.0,102,1,-,-,103.5,103.5,,一般,,
2018/11/02,PCF,201812  ,-,-,-,-,-,-,0.0,102,0,-,-,-,-,,一般,,
2018/11/02,PCF,201903  ,-,-,-,-,-,-,0.0,102.5,0,-,-,-,-,,一般,,
2018/11/02,PCF,201906  ,-,-,-,-,-,-,0.0,102.5,0,-,-,-,-,,一般,,
2018/11/02,PCF,201909  ,-,-,-,-,-,-,0.0,103,0,-,-,-,-,,一般,,
2018/11/05,PCF,201811  ,-,-,-,-,-,-,0.0,98.7,1,92.2,-,103.5,103.5,,一般,,
2018/11/05,PCF,201812  ,-,-,-,-,-,-,0.0,98.7,0,-,-,-,-,,一般,,
2018/11/05,PCF,201903  ,-,-,-,-,-,-,0.0,99.2,0,-,-,-,-,,一般,,
2018/11/05,PCF,201906  ,-,-,-,-,-,-,0.0,99.2,0,-,-,-,-,,一般,,
2018/11/05,PCF,201909  ,-,-,-,-,-,-,0.0,99.7,0,-,-,-,-,,一般,,
2018/11/06,PCF,201811  ,-,-,-,-,-,-,0.0,102,1,92.5,-,103.5,103.5,,一般,,
2018/11/06,PCF,201812  ,-,-,-,-,-,-,0.0,102,0,92,-,-,-,,一般,,
2018/11/06,PCF,201903  ,-,-,-,-,-,-,0.0,102.5,0,-,-,-,-,,一般,,
2018/11/06,PCF,201906  ,-,-,-,-,-,-,0.0,102.5,0,-,-,-,-,,一般,,
2018/11/06,PCF,201909  ,-,-,-,-,-,-,0.0,103,0,-,-,-,-,,一般,,
2018/11/07,PCF,201811  ,106,106,106,106,4,3.92%,1.0,106,1,100.5,106,106,103.5,,一般,,
2018/11/07,PCF,201812  ,-,-,-,-,-,-,0.0,106,0,99.9,105,-,-,,一般,,
2018/11/07,PCF,201903  ,-,-,-,-,-,-,0.0,106.5,0,-,-,-,-,,一般,,
2018/11/07,PCF,201906  ,-,-,-,-,-,-,0.0,106.5,0,-,-,-,-,,一般,,
2018/11/07,PCF,201909  ,-,-,-,-,-,-,0.0,107,0,-,-,-,-,,一般,,
2018/11/08,PCF,201811  ,105,105,105,105,-1,-0.94%,1.0,105,0,105,-,106,103.5,,一般,,
2018/11/08,PCF,201812  ,-,-,-,-,-,-,0.0,105,0,104,-,-,-,,一般,,
2018/11/08,PCF,201903  ,-,-,-,-,-,-,0.0,105.5,0,-,-,-,-,,一般,,
2018/11/08,PCF,201906  ,-,-,-,-,-,-,0.0,105.5,0,-,-,-,-,,一般,,
2018/11/08,PCF,201909  ,-,-,-,-,-,-,0.0,106,0,-,-,-,-,,一般,,
2018/11/09,PCF,201811  ,-,-,-,-,-,-,0.0,105,0,-,105,106,103.5,,一般,,
2018/11/09,PCF,201812  ,-,-,-,-,-,-,0.0,105,0,-,105,-,-,,一般,,
2018/11/09,PCF,201903  ,-,-,-,-,-,-,0.0,105.5,0,-,-,-,-,,一般,,
2018/11/09,PCF,201906  ,-,-,-,-,-,-,0.0,105.5,0,-,-,-,-,,一般,,
2018/11/09,PCF,201909  ,-,-,-,-,-,-,0.0,106,0,-,-,-,-,,一般,,
2018/11/12,PCF,201811  ,-,-,-,-,-,-,0.0,101.5,0,-,104.5,106,103.5,,一般,,
2018/11/12,PCF,201812  ,-,-,-,-,-,-,0.0,101.5,0,-,104.5,-,-,,一般,,
2018/11/12,PCF,201903  ,-,-,-,-,-,-,0.0,102,0,-,-,-,-,,一般,,
2018/11/12,PCF,201906  ,-,-,-,-,-,-,0.0,102,0,-,-,-,-,,一般,,
2018/11/12,PCF,201909  ,-,-,-,-,-,-,0.0,102.5,0,-,-,-,-,,一般,,
2018/11/13,PCF,201811  ,-,-,-,-,-,-,0.0,103.5,0,-,-,106,103.5,,一般,,
2018/11/13,PCF,201812  ,-,-,-,-,-,-,0.0,103.5,0,-,-,-,-,,一般,,
2018/11/13,PCF,201903  ,-,-,-,-,-,-,0.0,104,0,-,-,-,-,,一般,,
2018/11/13,PCF,201906  ,-,-,-,-,-,-,0.0,104,0,-,-,-,-,,一般,,
2018/11/13,PCF,201909  ,-,-,-,-,-,-,0.0,104.5,0,-,-,-,-,,一般,,
2018/11/14,PCF,201811  ,-,-,-,-,-,-,0.0,102,0,100,-,106,103.5,,一般,,
2018/11/14,PCF,201812  ,-,-,-,-,-,-,0.0,102,0,100,-,-,-,,一般,,
2018/11/14,PCF,201903  ,-,-,-,-,-,-,0.0,102.5,0,-,-,-,-,,一般,,
2018/11/14,PCF,201906  ,-,-,-,-,-,-,0.0,102.5,0,-,-,-,-,,一般,,
2018/11/14,PCF,201909  ,-,-,-,-,-,-,0.0,103,0,-,-,-,-,,一般,,
2018/11/15,PCF,201811  ,-,-,-,-,-,-,0.0,102.5,0,-,-,106,103.5,,一般,,
2018/11/15,PCF,201812  ,-,-,-,-,-,-,0.0,102.5,0,-,-,-,-,,一般,,
2018/11/15,PCF,201903  ,-,-,-,-,-,-,0.0,103,0,-,-,-,-,,一般,,
2018/11/15,PCF,201906  ,-,-,-,-,-,-,0.0,103,0,-,-,-,-,,一般,,
2018/11/15,PCF,201909  ,-,-,-,-,-,-,0.0,103.5,0,-,-,-,-,,一般,,
2018/11/16,PCF,201811  ,105.5,105.5,105.5,105.5,3,2.93%,1.0,105.5,1,-,106.5,106,103.5,,一般,,
2018/11/16,PCF,201812  ,-,-,-,-,-,-,0.0,105.5,0,-,-,-,-,,一般,,
2018/11/16,PCF,201903  ,-,-,-,-,-,-,0.0,106,0,-,-,-,-,,一般,,
2018/11/16,PCF,201906  ,-,-,-,-,-,-,0.0,106,0,-,-,-,-,,一般,,
2018/11/16,PCF,201909  ,-,-,-,-,-,-,0.0,106.5,0,-,-,-,-,,一般,,
2018/11/19,PCF,201811  ,105.5,105.5,105.5,105.5,0,0.00%,21.0,105.5,0,105.5,-,106,103.5,,一般,,
2018/11/19,PCF,201812  ,105.5,-,-,105.5,0,0.00%,20.0,105.5,0,-,-,-,-,,一般,,
2018/11/19,PCF,201903  ,-,-,-,-,-,-,0.0,106,0,-,-,-,-,,一般,,
2018/11/19,PCF,201906  ,-,-,-,-,-,-,0.0,106,0,-,-,-,-,,一般,,
2018/11/19,PCF,201909  ,-,-,-,-,-,-,0.0,106.5,0,-,-,-,-,,一般,,
2018/11/20,PCF,201811  ,-,-,-,-,-,-,0.0,104.5,0,100.5,-,106,103.5,,一般,,
2018/11/20,PCF,201812  ,-,-,-,-,-,-,0.0,104.5,0,-,-,-,-,,一般,,
2018/11/20,PCF,201903  ,-,-,-,-,-,-,0.0,105,0,-,-,-,-,,一般,,
2018/11/20,PCF,201906  ,-,-,-,-,-,-,0.0,105,0,-,-,-,-,,一般,,
2018/11/20,PCF,201909  ,-,-,-,-,-,-,0.0,105.5,0,-,-,-,-,,一般,,
